轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.51,142.99,0.24,0.22,0.22,6.72,3.8,7.28,7.72,6.3,-0.05,0.0,176.2,3.8,311.0,1.0,1.0,127.0,681.0,148.0,0.0,137.0,7.52,255.6,177.0,30.6,30.1,0.2,2.4,2067.6,0.0,16.83,25.7,37.2,37.2,37.4,37.3,42.5,39.3,38.3,39.4,65.2,64.4,33.2,34.1,32.6,28.7,30.0,29.0,25.0,0.0,0.0,0.3,6.0,6.0,4.0,0.0,34.0,34.0,33.0,103.0,106.0,66.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,49.0,0.24,0.22,0.22,7.88,6.78,4.54,8.9,-0.1,-0.02,-0.04,176.2,5.2,313.0,1.0,1.0,172.0,681.0,214.0,0.0,195.0,8.66,336.6,230.0,31.7,31.1,0.2,2.4,2067.6,0.0,16.83,25.4,37.2,37.3,37.5,37.3,42.5,39.3,38.3,38.6,65.3,64.5,33.1,34.1,32.7,28.7,32.0,31.0,25.0,0.2,-0.6,0.1,6.0,6.0,4.0,0.0,34.0,34.0,33.0,103.0,106.0,66.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.33,189.0,0.24,0.22,0.22,6.86,6.86,10.9,9.56,-10.7,-0.01,0.02,176.3,4.7,313.0,1.0,1.0,221.0,680.0,268.0,0.0,259.0,9.36,396.6,272.0,29.7,29.1,0.2,2.4,2067.6,0.0,16.83,25.3,37.2,37.3,37.5,37.3,42.5,39.3,38.4,39.5,65.4,64.6,33.1,34.1,32.5,28.6,30.0,28.0,25.0,-0.5,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,33.0,104.0,106.0,66.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.55,249.98,0.24,0.22,0.22,3.5,6.94,9.48,8.75,-4.0,0.09,-0.01,176.2,4.7,317.0,1.0,1.0,179.0,681.0,207.0,0.0,199.0,8.56,328.8,226.0,32.7,31.8,0.2,2.4,2067.6,0.0,16.83,25.3,37.2,37.3,37.5,37.3,42.5,39.3,38.3,39.2,65.3,64.5,33.1,34.1,32.7,28.7,32.0,31.0,25.0,0.0,0.3,0.0,6.0,6.0,4.0,0.0,34.0,34.0,33.0,104.0,106.0,66.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.98,299.02,0.24,0.22,0.22,5.08,8.32,8.26,9.21,-3.0,0.09,0.02,176.2,5.3,312.0,1.0,1.0,195.0,681.0,241.0,2.0,221.0,8.96,359.9,247.0,31.3,31.1,0.2,2.4,2067.6,0.0,16.83,25.4,37.2,37.2,37.4,37.3,42.5,39.3,38.4,40.4,65.3,64.4,33.1,34.1,32.6,28.7,32.0,30.0,25.0,0.0,0.2,-0.9,6.0,6.0,4.0,0.0,34.0,34.0,33.0,104.0,106.0,66.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.39,276.01,0.24,0.22,0.22,2.74,6.82,8.24,8.56,-4.5,-0.09,0.0,176.1,4.5,311.0,1.0,1.0,166.0,680.0,195.0,0.0,183.0,8.36,317.2,217.0,31.4,30.8,0.2,2.4,2067.6,0.0,16.83,25.3,37.2,37.3,37.5,37.3,42.5,39.3,38.5,40.8,65.3,64.5,33.1,34.1,32.6,28.6,31.0,30.0,25.0,0.0,0.8,-0.2,6.0,6.0,4.0,0.0,34.0,34.0,33.0,104.0,106.0,66.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.37,46.01,0.24,0.22,0.22,6.82,7.5,4.6,8.52,2.0,0.01,0.01,176.2,4.2,314.0,1.0,1.0,162.0,681.0,191.0,0.0,178.0,8.34,309.0,214.0,32.2,31.4,0.2,2.4,2067.6,0.0,16.83,25.4,37.2,37.3,37.5,37.3,42.5,39.3,38.2,38.2,65.3,64.5,33.1,34.1,32.7,28.7,32.0,31.0,25.0,0.2,-0.3,0.0,6.0,6.0,4.0,0.0,34.0,34.0,33.0,104.0,106.0,66.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.88,9.0,0.24,0.22,0.22,5.36,7.3,3.78,8.08,-13.1,-0.06,0.01,176.2,4.6,312.0,1.0,1.0,144.0,681.0,164.0,0.0,158.0,7.88,281.5,193.0,32.3,31.1,0.2,2.4,2067.6,0.0,16.83,25.4,37.2,37.3,37.5,37.3,42.5,39.3,38.3,38.7,65.3,64.5,33.1,34.1,32.6,28.6,32.0,30.0,25.0,0.3,0.0,0.0,6.0,6.0,4.0,0.0,34.0,34.0,33.0,104.0,106.0,66.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.55,241.99,0.24,0.22,0.22,2.68,4.92,8.54,7.73,-5.0,0.06,-0.01,0.0,4.7,322.0,1.0,1.0,123.0,681.0,143.0,0.0,136.0,7.54,258.0,176.0,29.6,28.6,0.1,2.4,2067.6,0.0,16.83,25.5,37.2,37.1,37.3,37.3,42.4,39.2,38.2,38.1,65.1,64.3,33.3,34.1,32.7,28.7,29.0,28.0,25.0,0.0,0.4,0.0,6.0,6.0,4.0,2.0,34.0,34.0,33.0,103.0,106.0,66.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.56,24.01,0.24,0.22,0.22,6.72,8.16,3.66,8.74,-7.4,0.04,0.03,176.2,4.8,311.0,1.0,1.0,181.0,681.0,210.0,0.0,204.0,8.54,334.6,228.0,31.2,31.1,0.2,2.4,2067.6,0.0,16.83,25.4,37.2,37.2,37.5,37.3,42.5,39.3,38.2,38.4,65.3,64.4,33.1,34.1,32.6,28.7,32.0,30.0,25.0,0.1,-0.2,-0.1,6.0,6.0,4.0,0.0,34.0,34.0,33.0,104.0,106.0,66.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
