轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
13.97,82.51,0.25,0.31,0.31,11.62,11.32,11.7,14.2,8.2,0.03,0.03,176.7,6.8,198,1,1,710,687,861,0,859,13.92,877.7,600,31.1,31.1,1.5,3.5,2034.5,0,16.78,22.9,40.4,41.0,41.9,40.4,45.7,41.5,41.1,41.0,61.2,60.3,36.8,36.8,28.4,27.0,39,35,25,0.5,0.0,0.3,6,6,4,0,36,35,35,112,113,69,36,36,300,0,0,0,0,0,0,0,0,0
14.2,329.26,0.25,0.31,0.31,12.84,14.52,13.24,14.46,8.1,0.02,0.05,176.7,6.6,199,1,1,755,687,918,0,917,14.24,916.1,628,31.7,30.7,1.5,3.6,2067.6,0,16.83,23.0,40.3,40.8,41.7,40.2,45.5,41.4,41.0,39.8,60.9,60.0,36.8,36.7,28.4,27.0,39,35,25,0.0,-0.3,-0.9,6,6,4,0,36,35,35,112,113,68,36,36,300,0,0,0,0,0,0,0,0,0
14.11,203.76,0.25,0.31,0.31,11.86,13.12,14.1,14.38,6.5,-0.01,-0.04,176.7,7.0,198,1,1,744,687,896,-2,889,14.12,902.9,618,30.4,30.9,1.4,3.5,2067.6,0,16.83,22.9,40.5,41.1,41.9,40.4,45.7,41.6,41.0,38.6,61.3,60.4,36.8,36.7,28.4,27.0,39,35,25,-0.5,-0.3,-0.3,6,6,4,0,36,35,35,112,113,69,36,36,300,0,0,0,0,0,0,0,0,0
13.99,140.0,0.25,0.31,0.31,13.12,12.04,13.46,14.26,7.7,0.05,0.08,176.7,7.4,198,1,1,718,687,871,0,870,13.96,882.9,604,33.1,32.1,1.5,3.6,2067.6,0,16.83,23.0,40.3,40.9,41.8,40.3,45.6,41.4,41.1,41.6,61.0,60.1,36.8,36.8,28.4,27.0,40,36,25,-0.5,-0.2,0.3,6,6,4,0,36,35,35,112,113,69,36,36,300,0,0,0,0,0,0,0,0,0
14.3,19.76,0.25,0.31,0.31,13.9,12.24,11.22,14.57,8.8,0.0,-0.03,176.7,7.0,197,1,1,772,687,942,0,939,14.3,933.0,635,29.9,29.8,1.4,3.5,2067.6,0,16.83,23.0,40.8,41.3,42.1,40.6,45.9,41.8,41.2,39.6,61.6,60.6,36.9,36.8,28.4,27.0,39,35,25,0.0,0.0,0.0,6,6,4,0,36,35,35,112,113,69,36,36,300,0,0,0,0,0,0,0,0,0
14.01,130.5,0.25,0.31,0.31,11.78,11.14,11.68,14.27,6.7,0.03,0.02,176.7,7.0,197,1,1,715,688,868,0,868,13.96,885.1,604,30.7,31.2,1.4,3.5,2045.9,0,16.8,22.9,40.5,41.0,41.9,40.4,45.7,41.5,41.1,40.1,61.3,60.3,36.8,36.8,28.4,27.0,39,35,25,0.0,0.0,0.3,6,6,4,0,36,35,35,112,113,69,36,36,300,0,0,0,0,0,0,0,0,0
14.23,155.99,0.25,0.31,0.31,11.72,11.3,12.82,14.49,9.4,0.03,0.07,176.7,7.0,196,1,1,751,687,907,0,904,14.2,915.6,623,29.9,29.7,1.4,3.5,2067.6,0,16.83,23.0,40.6,41.1,42.0,40.5,45.8,41.6,41.3,41.7,61.4,60.5,36.8,36.8,28.4,27.0,38,35,25,-0.3,0.0,0.3,6,6,4,0,36,35,35,112,113,69,36,36,300,0,0,0,0,0,0,0,0,0
14.23,117.0,0.25,0.31,0.31,12.8,12.82,13.04,14.5,4.6,0.07,-0.02,176.7,6.3,197,1,1,748,687,914,0,903,14.18,910.5,623,30.0,29.5,1.4,3.5,2067.6,0,16.83,23.0,40.6,41.2,42.0,40.5,45.9,41.7,41.2,39.5,61.4,60.5,36.8,36.8,28.4,27.0,38,35,25,0.0,0.0,0.0,6,6,4,0,36,35,35,112,113,69,36,36,300,0,0,0,0,0,0,0,0,0
14.13,37.76,0.25,0.31,0.31,13.0,13.12,12.44,14.35,6.7,-0.01,-0.07,176.7,7.3,199,1,1,735,688,893,0,885,14.12,902.8,617,31.1,30.2,1.4,3.5,1987.0,0,16.71,22.9,40.3,40.8,41.7,40.2,45.5,41.3,41.0,40.5,60.9,60.0,36.8,36.7,28.3,27.0,38,35,25,0.0,-0.3,0.3,6,6,4,0,36,35,35,112,113,69,36,36,300,0,0,0,0,0,0,0,0,0
14.04,166.0,0.25,0.31,0.31,12.32,12.34,13.64,14.31,8.7,0.0,0.05,176.7,6.4,197,1,1,724,687,884,0,865,14.02,891.8,609,30.4,31.2,1.4,3.5,2067.6,0,16.83,22.9,40.5,41.1,42.0,40.5,45.7,41.6,41.3,41.1,61.3,60.4,36.8,36.8,28.4,27.0,39,35,25,-0.8,0.0,0.0,6,6,4,0,36,35,35,112,113,69,36,36,300,0,0,0,0,0,0,0,0,0
14.3,23.0,0.25,0.31,0.31,13.6,13.98,12.66,14.57,5.6,0.02,0.01,176.7,7.0,198,1,1,767,687,933,0,917,14.32,929.4,635,30.0,31.1,1.4,3.5,2067.6,0,16.83,23.0,40.7,41.2,42.0,40.6,45.9,41.7,41.2,39.8,61.5,60.6,36.8,36.8,28.4,27.0,39,35,25,0.0,-0.6,-0.3,6,6,4,0,36,35,35,112,113,69,36,36,300,0,0,0,0,0,0,0,0,0
14.16,169.24,0.25,0.31,0.31,12.18,12.28,13.64,14.4,8.0,0.01,-0.05,176.7,6.1,197,1,1,735,688,893,0,885,14.1,906.6,617,30.7,30.8,1.4,3.5,2067.6,0,16.83,22.9,40.5,41.0,41.9,40.4,45.7,41.5,41.2,41.1,61.3,60.3,36.7,36.7,28.4,27.0,39,35,25,-0.3,-0.3,0.0,6,6,4,0,36,35,35,112,113,69,36,36,300,0,0,0,0,0,0,0,0,0
14.19,12.24,0.25,0.31,0.31,12.2,12.36,11.98,14.44,8.3,0.05,0.0,176.6,6.8,197,1,1,750,687,910,0,904,14.2,911.3,624,30.0,30.6,1.4,3.5,2067.6,0,16.83,23.0,40.6,41.2,42.1,40.5,45.9,41.7,41.3,41.2,61.5,60.5,36.8,36.8,28.4,27.0,38,35,25,0.5,0.0,0.0,6,6,4,0,36,35,35,112,113,69,36,36,300,0,0,0,0,0,0,0,0,0
14.15,35.75,0.25,0.31,0.31,12.2,13.22,12.62,14.35,7.6,0.01,-0.01,176.8,7.3,198,1,1,744,688,905,0,896,14.14,907.9,620,32.5,32.6,1.5,3.6,2067.6,0,16.83,23.0,40.3,40.9,41.7,40.2,45.5,41.4,40.9,39.0,60.9,60.0,36.8,36.8,28.4,27.0,40,36,25,0.3,0.0,0.0,6,6,4,0,36,35,35,112,113,68,36,36,300,0,0,0,0,0,0,0,0,0
14.2,121.0,0.25,0.31,0.31,11.88,12.38,12.3,14.43,7.4,0.03,-0.05,176.7,6.6,198,1,1,747,687,907,0,894,14.14,905.7,620,32.3,32.3,1.5,3.6,2067.6,0,16.83,23.0,40.3,40.9,41.7,40.3,45.5,41.3,41.0,40.0,60.9,60.0,36.8,36.8,28.4,27.0,40,36,25,0.0,0.0,0.3,6,6,4,0,36,35,35,112,113,68,36,36,300,0,0,0,0,0,0,0,0,0
