轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
10.89,286.99,0.24,0.31,0.22,7.52,8.86,10.64,11.1,9.1,0.06,0.01,174.0,4.8,188,1,3,385,678,455,0,401,10.88,533.2,366,29.3,28.8,0.2,2.4,1534.9,0,16.03,24.0,48.5,49.3,49.7,48.7,55.0,50.8,50.9,53.5,75.8,74.7,40.5,41.1,36.7,33.6,33,31,25,0.0,0.0,-0.5,6,6,4,0,41,40,40,114,114,76,41,41,300,0,0,0,0,0,0,0,0,0
11.72,106.99,0.24,0.31,0.22,8.3,8.44,9.84,11.95,10.5,-0.01,-0.01,174.0,5.1,193,1,3,456,679,543,0,512,11.72,624.8,427,30.0,30.7,0.2,2.4,1633.8,0,16.18,24.2,48.7,49.5,49.9,48.8,55.2,51.1,51.1,53.3,75.9,74.7,40.6,41.0,36.6,33.7,34,32,25,0.0,0.0,0.0,6,6,4,0,41,40,40,114,114,76,41,41,300,0,0,0,0,0,0,0,0,0
12.51,1.01,0.24,0.31,0.22,9.18,9.44,11.44,12.75,8.4,-0.02,-0.03,174.0,6.1,189,1,3,461,678,547,0,603,12.48,709.1,482,30.8,30.8,0.2,2.5,1617.3,0,16.15,24.0,48.3,49.0,49.4,48.4,54.7,50.5,50.6,53.5,75.8,74.6,40.6,41.0,36.6,33.6,35,31,25,0.0,-0.2,0.0,6,6,4,0,41,40,40,114,114,76,41,41,300,0,0,0,0,0,0,0,0,0
11.25,240.52,0.24,0.31,0.22,7.8,7.84,10.2,11.42,3.4,0.0,-0.04,174.0,6.7,191,1,3,391,678,461,-2,442,11.24,572.2,391,30.2,29.9,0.2,2.4,1391.7,0,15.8,24.6,49.1,50.0,50.4,49.3,55.8,51.6,51.5,53.6,75.8,74.7,40.9,41.2,36.7,33.7,34,32,25,0.0,0.0,0.0,6,6,4,0,41,40,40,115,115,76,41,41,300,0,0,0,0,0,0,0,0,0
11.77,191.48,0.24,0.31,0.22,8.52,8.32,10.46,12.03,3.5,-0.02,-0.05,174.1,6.0,195,1,3,502,679,602,-2,516,11.8,633.5,434,30.9,30.7,0.2,2.5,1922.9,0,16.61,25.1,49.6,50.4,50.8,49.8,56.2,52.0,51.7,53.8,75.8,74.7,41.1,41.2,36.6,33.6,36,34,25,-0.4,0.0,0.5,6,6,4,0,41,41,40,115,115,76,41,41,300,0,0,0,0,0,0,0,0,0
11.35,171.0,0.24,0.31,0.22,9.06,8.08,10.94,11.62,2.3,0.01,0.05,174.0,5.4,193,1,3,407,678,492,0,470,11.38,588.8,403,30.6,30.0,0.2,2.4,1448.4,0,15.89,24.8,49.3,50.1,50.6,49.5,56.0,51.8,51.8,55.0,75.8,74.7,41.0,41.2,36.7,33.7,35,32,25,-0.2,0.0,0.5,6,6,4,0,41,40,40,115,115,76,41,41,300,0,0,0,0,0,0,0,0,0
11.35,84.49,0.24,0.31,0.22,9.28,7.8,9.2,11.61,-0.2,-0.02,-0.06,174.0,5.6,194,1,3,408,678,488,0,465,11.36,587.4,401,30.4,30.9,0.2,2.5,1448.4,0,15.89,24.8,49.3,50.1,50.6,49.4,56.0,51.8,51.6,53.1,75.8,74.7,41.0,41.2,36.7,33.7,35,32,25,0.0,0.0,0.0,6,6,4,0,41,41,40,115,115,76,41,41,300,0,0,0,0,0,0,0,0,0
11.44,77.51,0.24,0.31,0.22,8.18,7.92,9.54,11.68,11.2,0.01,0.0,173.9,6.2,187,1,3,354,677,427,0,471,11.44,591.5,405,29.3,29.7,0.2,2.4,1276.3,0,15.61,23.8,48.4,49.1,49.5,48.5,54.9,50.7,50.6,53.5,75.8,74.7,40.5,41.0,36.6,33.7,33,30,25,0.2,0.0,0.0,6,6,4,0,41,40,40,114,114,75,41,41,300,0,0,0,0,0,0,0,0,0
11.44,319.0,0.24,0.31,0.22,7.84,8.26,9.82,11.68,3.8,-0.01,0.04,174.0,5.8,193,1,3,411,679,491,0,477,11.42,594.9,405,30.9,31.3,0.2,2.4,1526.6,0,16.02,24.8,49.3,50.1,50.5,49.5,56.0,51.7,51.5,52.1,75.8,74.7,41.0,41.2,36.7,33.6,35,32,25,0.0,0.0,-0.2,6,6,4,0,41,41,40,115,115,76,41,41,300,0,0,0,0,0,0,0,0,0
11.41,26.5,0.24,0.31,0.22,7.78,8.28,9.76,11.64,6.6,0.05,-0.01,174.0,5.3,192,1,3,433,679,517,0,473,11.4,589.7,403,29.4,29.7,0.2,2.4,1635.8,0,16.18,24.2,48.7,49.4,49.8,48.8,55.2,51.0,51.1,53.8,75.9,74.7,40.6,41.0,36.6,33.7,34,31,25,0.2,0.0,0.0,6,6,4,0,41,40,40,114,114,75,41,41,300,0,0,0,0,0,0,0,0,0
