轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.23,175.0,0.38,0.36,0.31,3.4,4.04,6.26,7.34,6.0,0.0,-0.04,175.9,3.2,38.0,1.0,1.0,63.0,685.0,78.0,0.0,63.0,7.24,125.0,84.0,28.9,28.8,0.4,2.5,2067.6,0.0,16.83,13.5,28.4,27.2,27.4,27.6,27.7,30.2,27.2,27.7,41.6,43.9,22.7,25.0,23.7,29.0,27.0,27.0,25.0,0.0,0.4,0.0,6.0,6.0,4.0,0.0,23.0,24.0,24.0,55.0,60.0,57.0,25.0,25.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,87.01,0.38,0.36,0.31,6.58,1.64,6.66,7.41,8.9,0.01,0.02,176.0,2.9,25.0,1.0,1.0,71.0,686.0,81.0,0.0,74.0,7.28,145.3,99.0,31.6,30.9,0.4,2.6,2067.6,0.0,16.83,13.5,28.4,27.3,27.4,27.7,27.8,30.3,27.2,27.8,41.6,43.9,22.6,25.1,23.8,29.0,28.0,28.0,25.0,-0.1,0.0,0.0,6.0,6.0,4.0,0.0,23.0,24.0,24.0,55.0,59.0,55.0,25.0,25.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.28,262.01,0.38,0.37,0.31,4.56,5.96,4.72,7.36,11.6,-0.02,-0.02,175.8,3.4,25.0,1.0,1.0,75.0,686.0,90.0,0.0,76.0,7.28,148.9,100.0,31.2,30.2,0.4,2.6,2067.6,0.0,16.83,13.5,28.3,27.2,27.3,27.6,27.6,30.2,27.1,27.6,41.6,43.9,22.6,25.0,23.7,28.9,27.0,27.0,25.0,0.0,0.0,-0.1,6.0,6.0,4.0,0.0,23.0,24.0,24.0,55.0,59.0,58.0,25.0,25.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.29,83.48,0.38,0.36,0.31,6.2,1.7,5.92,7.39,10.9,0.06,0.02,176.0,3.2,24.0,1.0,1.0,81.0,686.0,100.0,0.0,77.0,7.28,142.7,99.0,32.3,31.4,0.4,2.6,2067.6,0.0,16.83,13.5,28.4,27.2,27.4,27.6,27.7,30.3,27.2,27.7,41.6,43.9,22.8,25.0,23.8,29.0,29.0,29.0,25.0,0.0,0.0,0.3,6.0,6.0,4.0,0.0,23.0,24.0,24.0,55.0,60.0,56.0,25.0,25.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.32,298.51,0.38,0.37,0.31,4.16,5.3,3.72,7.39,-2.5,0.02,0.12,10.6,3.5,20.0,1.0,1.0,84.0,685.0,106.0,0.0,88.0,7.32,170.1,116.0,32.6,31.8,0.4,2.6,2067.6,0.0,16.83,13.5,28.3,27.2,27.3,27.5,27.6,30.1,27.0,27.6,41.6,44.0,22.8,24.9,23.6,28.9,29.0,29.0,25.0,0.3,0.0,0.0,6.0,6.0,4.0,0.0,23.0,24.0,24.0,57.0,57.0,60.0,24.0,24.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.35,2.02,0.38,0.36,0.31,6.34,2.7,4.08,7.42,17.6,0.08,0.09,175.5,4.3,30.0,1.0,1.0,78.0,685.0,99.0,0.0,86.0,7.32,175.4,117.0,33.0,31.7,0.4,2.6,2067.6,0.0,16.83,13.5,28.3,27.2,27.3,27.5,27.6,30.2,27.0,27.6,41.5,43.9,22.8,24.9,23.6,28.9,29.0,29.0,25.0,0.0,-0.2,0.0,6.0,6.0,4.0,0.0,23.0,24.0,24.0,57.0,57.0,60.0,24.0,24.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.24,325.51,0.38,0.37,0.31,5.6,4.92,3.94,7.33,10.5,0.0,0.01,175.7,3.6,32.0,1.0,1.0,61.0,685.0,73.0,0.0,63.0,7.24,124.8,85.0,30.8,29.7,0.4,2.6,2067.6,0.0,16.83,13.5,28.4,27.2,27.4,27.6,27.6,30.2,27.1,27.7,41.6,43.9,22.6,25.0,23.8,28.9,27.0,27.0,25.0,0.4,-0.1,0.0,6.0,6.0,4.0,0.0,23.0,24.0,24.0,55.0,59.0,58.0,25.0,25.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.36,349.99,0.38,0.36,0.31,6.0,3.2,3.5,7.43,16.1,-0.07,-0.08,0.0,3.8,11.0,1.0,1.0,83.0,685.0,106.0,0.0,85.0,7.34,164.5,116.0,32.4,31.6,0.5,2.6,2067.6,0.0,16.83,13.5,28.3,27.2,27.3,27.5,27.6,30.2,27.0,27.6,41.5,43.9,22.8,24.9,23.6,28.9,29.0,29.0,25.0,0.1,-0.1,0.0,6.0,6.0,4.0,1.0,23.0,24.0,24.0,57.0,57.0,60.0,24.0,24.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.29,122.0,0.38,0.36,0.31,4.42,1.72,6.16,7.37,7.5,-0.01,0.0,176.1,3.5,39.0,1.0,1.0,70.0,686.0,88.0,0.0,73.0,7.28,139.1,96.0,32.5,31.3,0.4,2.6,2067.6,0.0,16.83,13.5,28.4,27.3,27.4,27.6,27.7,30.3,27.2,27.7,41.6,43.9,22.6,25.1,23.7,29.0,29.0,29.0,25.0,0.0,0.0,0.4,6.0,6.0,4.0,0.0,23.0,24.0,24.0,55.0,60.0,56.0,25.0,25.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.24,281.99,0.38,0.37,0.31,3.48,5.56,3.86,7.31,10.5,0.03,-0.01,175.5,3.5,30.0,1.0,1.0,60.0,685.0,75.0,0.0,63.0,7.24,127.2,84.0,30.8,29.7,0.4,2.6,2067.6,0.0,16.83,13.5,28.4,27.2,27.3,27.6,27.6,30.2,27.1,27.6,41.6,43.9,22.6,25.0,23.8,28.9,27.0,27.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,23.0,24.0,24.0,55.0,59.0,58.0,25.0,25.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
