轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.74,96.01,1.01,1.11,1.11,18.02,22.96,20.96,16.84,-4.9,-0.11,0.04,170.8,10.1,41,1,1,1646,660,1918,8,1953,16.72,1700.5,1159,32.2,33.5,0.5,2.6,2067.6,0,16.83,22.2,56.9,58.3,58.5,53.0,54.2,57.2,56.5,57.4,58.1,60.9,30.6,31.8,33.9,36.6,50,45,25,-30.0,-33.2,-39.1,6,6,4,0,29,29,29,64,62,65,31,31,300,0,0,0,0,0,0,0,0,0
13.43,236.02,0.25,0.32,0.34,11.86,9.62,9.72,13.5,-2.6,-0.01,0.02,180.0,8.3,30,1,1,702,653,809,-5,762,13.4,817.2,561,34.0,34.7,0.5,2.6,2013.9,0,16.75,21.7,58.8,60.5,60.6,54.9,56.2,59.4,57.8,59.0,58.0,60.8,30.4,31.8,33.5,36.3,43,41,25,0.3,0.0,0.0,6,6,4,0,29,29,29,64,62,65,31,31,300,0,0,0,0,0,0,0,0,0
14.9,347.0,0.25,0.32,0.34,13.44,10.9,13.42,14.95,2.2,0.01,-0.03,119.5,8.1,54,1,1,907,658,1057,0,1049,14.88,1003.1,687,32.1,32.6,0.5,2.6,1230.0,0,15.54,22.4,57.0,58.6,58.6,53.1,54.4,57.4,57.2,57.9,58.0,60.8,30.6,31.7,33.9,36.5,40,37,25,-0.9,-0.2,0.9,6,6,4,0,29,29,29,63,62,64,31,31,300,0,0,0,0,0,0,0,0,0
15.23,24.98,0.25,0.32,0.34,11.82,9.64,12.8,15.32,11.4,0.09,0.06,173.7,7.5,37,1,1,1079,659,1251,0,1154,15.18,1070.2,724,31.5,33.1,0.5,2.6,2067.6,0,16.83,22.3,56.9,58.4,58.5,53.0,54.2,57.3,56.8,57.6,58.1,60.8,30.6,31.8,34.0,36.5,42,39,25,-0.5,-0.2,0.6,6,6,4,0,29,29,29,64,62,65,31,31,300,0,0,0,0,0,0,0,0,0
16.17,254.02,0.27,0.33,0.34,16.62,9.72,10.14,16.28,18.1,0.05,-0.03,177.8,9.0,49,1,1,1658,656,1920,-5,1798,16.16,1589.6,1082,34.6,35.1,0.5,2.6,2067.6,0,16.83,21.8,58.7,60.3,60.3,54.6,56.0,59.1,57.5,58.7,57.9,60.7,30.4,31.8,33.9,36.5,53,49,25,0.7,0.6,1.1,6,6,4,0,29,29,29,64,62,65,31,31,300,0,0,0,0,0,0,0,0,0
15.28,352.01,0.25,0.32,0.34,13.52,11.08,13.28,15.36,17.2,0.0,-0.02,0.0,7.7,23,1,1,1278,653,1478,0,1424,15.3,1351.1,922,34.4,35.4,0.5,2.6,2067.6,0,16.83,21.5,58.9,60.5,60.6,54.9,56.2,59.3,57.7,58.9,57.9,60.8,30.6,31.8,33.7,36.3,49,46,25,-1.8,0.0,0.3,6,6,4,1,29,29,29,64,62,65,31,31,300,0,0,0,0,0,0,0,0,0
16.86,52.99,1.13,1.22,1.21,4.18,4.6,6.08,17.0,0.9,-0.04,0.0,171.2,11.1,54,1,1,1570,659,1831,-2,1942,16.84,1702.0,1170,34.0,33.9,0.5,2.7,2067.6,0,16.83,22.2,56.9,58.3,58.4,52.9,54.1,57.2,56.5,57.4,58.1,60.9,30.6,31.8,33.8,36.6,49,44,25,32.7,36.9,48.0,6,6,4,0,29,29,29,64,62,65,31,31,300,0,0,0,0,0,0,0,0,0
16.82,155.02,1.29,1.38,1.36,13.32,13.88,7.58,16.95,-0.6,0.0,0.01,171.0,10.4,50,1,1,1580,660,1848,2,1953,16.82,1712.8,1170,32.4,33.4,0.5,2.6,2067.6,0,16.83,22.2,56.9,58.3,58.4,52.9,54.1,57.2,56.5,57.4,58.1,60.9,30.6,31.8,33.8,36.6,49,44,25,7.4,8.0,2.5,6,6,4,0,29,29,29,64,62,65,31,31,300,0,0,0,0,0,0,0,0,0
15.02,42.98,0.25,0.32,0.34,10.92,10.3,12.82,15.06,-3.3,0.13,-0.09,171.9,7.3,41,1,1,812,657,942,0,1003,14.94,986.6,679,32.1,33.1,0.5,2.6,2067.6,0,16.83,22.4,56.8,58.3,58.5,52.9,54.1,57.2,56.7,57.6,58.1,60.8,30.6,31.8,33.9,36.5,40,37,25,-0.5,0.0,0.3,6,6,4,0,29,29,29,64,62,65,31,31,300,0,0,0,0,0,0,0,0,0
15.65,227.99,0.25,0.32,0.34,16.32,12.0,11.38,15.8,17.6,-0.1,0.0,176.8,8.5,39,1,1,1437,654,1664,2,1602,15.66,1470.1,1000,34.0,34.9,0.5,2.6,2067.6,0,16.83,21.6,58.9,60.5,60.6,54.9,56.2,59.3,57.7,58.9,57.9,60.7,30.6,31.7,33.7,36.3,50,45,25,0.4,-0.5,0.3,6,6,4,0,29,29,29,64,62,65,31,31,300,0,0,0,0,0,0,0,0,0
