轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.2,37.51,0.38,0.36,0.31,6.0,1.36,4.0,7.28,4.6,-0.01,-0.01,173.7,3.0,19.0,1.0,1.0,51.0,685.0,63.0,0.0,46.0,7.18,93.6,63.0,32.2,31.2,0.5,2.6,2067.6,0.0,16.83,11.7,27.8,26.8,26.8,26.0,26.2,29.0,25.7,26.5,41.8,44.3,21.0,23.6,22.1,27.0,28.0,29.0,25.0,0.0,0.0,0.1,6.0,6.0,4.0,0.0,22.0,22.0,22.0,56.0,58.0,56.0,23.0,23.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.29,87.01,0.38,0.36,0.31,5.64,1.42,5.7,7.38,10.2,0.03,0.01,173.7,3.4,6.0,1.0,1.0,71.0,685.0,84.0,0.0,72.0,7.26,134.2,95.0,30.9,29.9,0.4,2.6,2067.6,0.0,16.83,11.8,27.8,26.8,26.7,26.0,26.2,29.0,25.7,26.5,41.7,44.2,21.1,23.5,22.1,26.9,27.0,27.0,25.0,0.0,0.0,0.1,6.0,6.0,4.0,0.0,22.0,22.0,22.0,58.0,60.0,58.0,23.0,23.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,29.48,0.38,0.36,0.31,7.96,1.72,3.8,7.3,8.2,-0.04,0.0,173.6,3.0,0.0,1.0,1.0,56.0,685.0,66.0,0.0,49.0,7.18,97.8,67.0,29.9,30.0,0.5,2.6,2067.6,0.0,16.83,11.8,27.8,26.8,26.7,26.0,26.2,29.0,25.7,26.5,41.8,44.2,21.0,23.5,22.1,27.0,28.0,28.0,25.0,0.0,0.0,0.1,6.0,6.0,4.0,0.0,22.0,22.0,22.0,57.0,59.0,57.0,23.0,23.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,216.5,0.38,0.37,0.31,3.56,5.18,4.74,7.31,0.8,0.01,-0.01,173.9,2.9,6.0,1.0,1.0,56.0,686.0,66.0,0.0,55.0,7.2,112.7,75.0,30.2,29.2,0.5,2.6,2067.6,0.0,16.83,11.7,27.9,26.8,26.8,26.0,26.2,29.0,25.7,26.5,41.9,44.4,21.3,23.6,22.4,27.0,27.0,27.0,25.0,0.0,0.1,-0.2,6.0,6.0,4.0,0.0,22.0,22.0,22.0,55.0,56.0,54.0,23.0,23.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,246.49,0.38,0.37,0.31,3.96,6.88,4.64,7.28,2.5,0.01,0.02,173.4,3.2,358.0,1.0,1.0,57.0,685.0,67.0,0.0,56.0,7.2,109.3,77.0,30.1,29.2,0.5,2.6,2067.6,0.0,16.83,11.8,27.8,26.8,26.8,26.0,26.2,28.9,25.7,26.5,41.8,44.2,21.0,23.5,22.1,27.0,26.0,27.0,25.0,0.0,0.0,-0.2,6.0,6.0,4.0,0.0,22.0,22.0,22.0,57.0,59.0,58.0,23.0,23.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.17,290.02,0.38,0.37,0.31,4.08,5.44,3.32,7.24,13.5,-0.02,0.0,173.5,2.7,358.0,1.0,1.0,50.0,685.0,57.0,0.0,45.0,7.16,86.5,60.0,32.7,31.7,0.4,2.6,2067.6,0.0,16.83,11.8,27.8,26.8,26.8,26.0,26.2,29.0,25.7,26.5,41.8,44.3,21.0,23.5,22.1,27.0,28.0,29.0,25.0,0.2,0.0,0.0,6.0,6.0,4.0,0.0,22.0,22.0,22.0,56.0,59.0,57.0,23.0,23.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.18,194.0,0.38,0.36,0.31,4.44,5.08,6.74,7.29,-5.6,0.01,0.0,173.9,3.1,6.0,1.0,1.0,55.0,685.0,67.0,0.0,51.0,7.18,104.3,68.0,31.5,30.5,0.5,2.6,2067.6,0.0,16.83,11.7,27.9,26.8,26.8,26.0,26.2,28.9,25.8,26.5,41.9,44.3,21.1,23.6,22.1,27.0,28.0,28.0,25.0,0.0,0.0,-0.3,6.0,6.0,4.0,0.0,22.0,22.0,22.0,55.0,58.0,55.0,23.0,23.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.26,358.49,0.38,0.36,0.31,6.78,2.86,4.24,7.33,8.5,0.02,0.0,173.6,3.1,7.0,1.0,1.0,65.0,685.0,78.0,0.0,61.0,7.22,115.2,81.0,30.7,29.6,0.4,2.6,2067.6,0.0,16.83,11.8,27.8,26.8,26.8,26.0,26.2,28.9,25.7,26.5,41.8,44.2,21.0,23.5,22.1,26.9,27.0,27.0,25.0,0.0,-0.2,0.0,6.0,6.0,4.0,0.0,22.0,22.0,22.0,58.0,59.0,58.0,23.0,23.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.17,237.49,0.38,0.37,0.31,3.72,5.8,4.54,7.28,7.2,0.0,0.0,173.8,3.2,23.0,1.0,1.0,56.0,685.0,67.0,0.0,50.0,7.18,102.7,69.0,32.1,31.1,0.4,2.6,2067.6,0.0,16.83,11.7,27.8,26.8,26.8,26.0,26.2,28.9,25.8,26.5,41.9,44.3,21.0,23.6,22.2,27.0,28.0,28.0,25.0,0.0,0.0,-0.2,6.0,6.0,4.0,0.0,22.0,22.0,22.0,55.0,58.0,56.0,23.0,23.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.17,270.0,0.37,0.37,0.31,3.5,5.42,3.74,7.28,-0.2,-0.04,0.0,173.8,2.9,8.0,1.0,1.0,54.0,685.0,64.0,0.0,48.0,7.18,91.5,65.0,31.7,31.0,0.4,2.6,2067.6,0.0,16.83,11.7,27.8,26.8,26.8,26.0,26.2,29.0,25.7,26.5,41.8,44.3,21.0,23.6,22.1,27.0,28.0,28.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,22.0,22.0,22.0,55.0,58.0,56.0,23.0,23.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
