轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.56,1.01,2.47,2.48,2.57,15.56,11.24,16.68,16.62,-3.3,-0.02,0.1,174.4,9.2,343,1,1,1625,682,1964,-2,1927,16.52,1730.0,1181,33.5,34.4,0.5,2.6,2067.6,0,16.83,16.8,61.9,62.5,62.8,59.3,60.7,63.9,63.1,64.7,57.6,60.5,26.4,28.9,29.3,32.3,54,48,25,-2.8,0.0,0.4,6,6,4,0,26,27,26,64,62,65,28,28,300,0,0,0,0,0,0,0,0,0
16.53,144.0,3.04,3.1,3.11,21.56,23.5,21.14,16.6,-16.0,-0.03,-0.05,174.3,10.8,336,1,1,1626,682,1970,0,1948,16.44,1733.4,1183,32.3,34.2,0.5,2.6,2067.6,0,16.83,16.9,61.1,61.7,62.0,58.5,59.9,63.1,62.4,63.9,57.4,60.3,26.4,28.8,29.2,32.3,54,48,25,-69.0,-76.3,-68.6,6,6,4,0,26,27,26,64,62,64,28,28,300,0,0,0,0,0,0,0,0,0
16.51,317.02,4.61,4.65,4.69,21.56,15.56,22.56,16.66,-13.3,0.14,0.03,173.9,13.0,340,1,1,1642,682,1976,0,1933,16.6,1714.2,1173,32.9,34.2,0.5,2.6,2067.6,0,16.83,16.9,62.0,62.6,63.0,59.5,60.8,64.1,63.4,64.9,57.6,60.5,26.4,28.9,29.4,32.4,54,48,25,-178.8,-137.5,-186.9,6,6,4,0,26,27,26,64,62,65,28,28,300,0,0,0,0,0,0,0,0,0
17.3,43.99,2.93,2.99,3.02,7.32,8.66,11.24,17.35,-6.2,0.05,0.03,174.2,10.5,324,1,1,1640,682,1978,0,1997,17.26,1696.1,1155,31.9,34.2,0.4,2.6,2067.6,0,16.83,16.9,60.8,61.4,61.6,58.1,59.6,62.7,62.1,63.6,57.3,60.2,26.3,28.8,29.2,32.3,54,48,25,15.7,25.9,29.5,6,6,4,0,26,27,26,64,62,65,28,28,300,0,0,0,0,0,0,0,0,0
17.19,118.01,3.27,3.35,3.35,7.96,12.76,8.38,17.27,-0.3,-0.14,-0.08,174.2,10.1,330,1,1,1605,681,1933,0,2009,17.12,1700.5,1161,32.8,34.2,0.4,2.6,2067.6,0,16.83,16.9,61.1,61.6,61.9,58.4,59.9,63.0,62.4,63.9,57.4,60.3,26.4,28.8,29.2,32.2,54,48,25,103.3,168.8,108.2,6,6,4,0,26,27,26,64,61,65,28,28,300,0,0,0,0,0,0,0,0,0
16.97,60.01,5.34,5.44,5.42,17.22,19.36,20.04,17.08,-9.0,-0.05,-0.09,173.7,11.0,344,1,1,1644,682,1982,2,1974,16.94,1704.7,1164,33.5,34.3,0.5,2.6,2067.6,0,16.83,16.8,61.2,61.8,62.0,58.6,60.0,63.2,62.5,64.0,57.5,60.3,26.4,28.8,29.3,32.3,54,48,25,-30.2,-27.5,-35.6,6,6,4,0,26,27,26,64,62,65,28,28,300,0,0,0,0,0,0,0,0,0
17.24,203.0,3.48,3.55,3.55,17.28,14.22,14.82,17.39,-17.7,0.02,0.04,174.5,10.8,345,1,1,1644,682,1982,0,1985,17.24,1686.2,1153,33.5,34.2,0.4,2.6,2067.6,0,16.83,16.8,60.8,61.4,61.6,58.1,59.6,62.8,62.1,63.6,57.4,60.2,26.3,28.8,29.2,32.3,54,49,25,1.2,0.0,-0.3,6,6,4,0,26,27,26,64,62,65,28,28,300,0,0,0,0,0,0,0,0,0
17.0,2.99,5.62,5.7,5.68,18.94,16.36,23.48,17.16,-13.9,0.15,-0.01,174.0,12.3,327,1,1,1610,681,1939,0,1997,17.06,1698.8,1159,31.5,34.1,0.4,2.6,2067.6,0,16.83,16.9,61.4,62.0,62.3,58.8,60.2,63.4,62.7,64.2,57.5,60.4,26.4,28.8,29.3,32.4,54,48,25,-55.2,-45.1,-59.0,6,6,4,0,26,27,26,64,62,65,28,28,300,0,0,0,0,0,0,0,0,0
16.98,195.98,1.63,1.7,1.71,18.36,19.0,13.74,17.12,-5.5,-0.07,0.11,174.3,10.1,326,1,1,1618,682,1949,0,1977,16.98,1710.2,1167,31.4,34.1,0.5,2.6,2067.6,0,16.83,17.0,61.7,62.3,62.6,59.1,60.4,63.7,62.9,64.5,57.6,60.4,26.4,28.8,29.3,32.3,54,48,25,2.0,-2.1,-0.6,6,6,4,0,26,27,26,64,61,65,28,28,300,0,0,0,0,0,0,0,0,0
16.74,151.99,3.57,3.66,3.65,18.0,23.6,16.84,16.86,-11.6,-0.02,-0.1,174.3,12.3,345,1,1,1636,681,1963,-4,1941,16.7,1720.8,1174,33.5,34.4,0.5,2.6,2067.6,0,16.83,16.9,60.8,61.5,61.6,58.2,59.6,62.8,62.2,63.6,57.4,60.2,26.4,28.8,29.2,32.2,53,49,25,-11.6,-13.1,-13.1,6,6,4,0,26,27,26,64,61,65,28,28,300,0,0,0,0,0,0,0,0,0
16.69,204.01,4.26,4.31,4.33,21.96,19.5,18.38,16.86,-11.2,0.05,0.05,174.4,10.8,343,1,1,1649,682,1984,-2,1971,16.74,1712.2,1169,33.5,34.3,0.5,2.6,2067.6,0,16.83,16.9,61.4,62.0,62.2,58.8,60.2,63.4,62.7,64.2,57.5,60.3,26.4,28.8,29.3,32.3,53,48,25,-171.4,-160.0,-144.2,6,6,4,0,26,27,26,64,61,65,28,28,300,0,0,0,0,0,0,0,0,0
16.42,172.01,2.35,2.38,2.39,19.26,17.96,16.38,16.56,-12.8,0.0,-0.02,174.3,10.3,327,1,1,1647,682,1988,2,1914,16.42,1723.7,1182,31.9,34.0,0.5,2.6,2067.6,0,16.83,16.9,61.9,62.5,62.8,59.3,60.7,63.9,63.2,64.7,57.6,60.5,26.4,28.8,29.3,32.3,54,48,25,-19.7,-20.8,-15.7,6,6,4,0,26,27,26,64,62,65,28,28,300,0,0,0,0,0,0,0,0,0
17.13,247.0,1.76,1.84,1.85,14.92,7.04,6.28,17.22,-8.6,0.06,-0.08,174.4,10.8,344,1,1,1619,682,1951,0,2001,17.12,1702.9,1161,33.5,34.3,0.5,2.6,2067.6,0,16.83,16.9,61.7,62.3,62.6,59.1,60.5,63.7,63.0,64.5,57.6,60.4,26.4,28.8,29.3,32.3,54,48,25,29.2,12.2,12.1,6,6,4,0,26,27,26,64,62,65,28,28,300,0,0,0,0,0,0,0,0,0
17.04,204.98,4.36,4.44,4.4,17.64,13.26,7.92,17.2,-7.7,-0.18,-0.08,173.8,13.5,344,1,1,1608,682,1930,0,2003,17.1,1700.1,1161,33.9,34.2,0.5,2.6,2067.6,0,16.83,16.8,61.2,61.8,62.0,58.6,60.0,63.1,62.5,64.0,57.4,60.3,26.4,28.8,29.3,32.3,54,48,25,6.5,-0.3,0.3,6,6,4,0,26,27,26,64,62,65,28,28,300,0,0,0,0,0,0,0,0,0
16.95,351.0,4.82,4.87,4.9,19.46,16.8,24.96,17.05,-8.8,-0.12,0.05,174.0,11.6,325,1,1,1659,682,2000,2,1978,16.96,1699.1,1163,31.7,34.1,0.4,2.6,2067.6,0,16.83,16.9,61.4,62.0,62.2,58.8,60.2,63.4,62.7,64.2,57.5,60.4,26.4,28.8,29.3,32.4,53,48,25,-64.3,-52.2,-75.5,6,6,4,0,26,27,26,64,61,65,28,28,300,0,0,0,0,0,0,0,0,0
17.08,171.0,3.85,3.91,3.94,11.5,8.04,5.16,17.23,-10.6,0.07,-0.02,174.0,12.5,327,1,1,1598,682,1915,0,1997,17.08,1703.2,1163,31.7,34.1,0.5,2.6,2067.6,0,16.83,16.9,62.1,62.7,63.0,59.5,60.9,64.2,63.4,64.9,57.6,60.5,26.4,28.9,29.4,32.4,54,48,25,120.9,82.4,53.0,6,6,4,0,26,27,26,64,62,65,28,28,300,0,0,0,0,0,0,0,0,0
16.92,6.01,4.45,4.5,4.52,18.42,15.86,23.52,17.02,-8.4,0.0,-0.05,174.1,11.6,336,1,1,1654,683,1994,0,1964,16.9,1707.8,1164,32.2,34.2,0.5,2.6,2067.6,0,16.83,16.9,61.7,62.3,62.6,59.1,60.5,63.7,63.0,64.5,57.6,60.4,26.4,28.8,29.3,32.3,53,48,25,-47.9,-36.7,-52.8,6,6,4,0,26,27,26,64,62,65,28,28,300,0,0,0,0,0,0,0,0,0
16.8,34.99,0.97,1.07,1.04,6.14,5.66,6.8,16.91,-9.2,0.02,0.05,174.0,11.0,343,1,1,1545,681,1872,-8,1901,16.76,1688.5,1158,33.8,34.5,0.5,2.6,2067.6,0,16.83,16.8,60.9,61.5,61.7,58.3,59.7,62.9,62.3,63.7,57.4,60.2,26.4,28.8,29.2,32.2,53,48,25,47.2,44.9,53.4,6,6,4,0,26,27,26,64,62,65,28,28,300,0,0,0,0,0,0,0,0,0
