轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.23,339.01,0.26,0.23,0.25,6.84,2.3,6.16,7.25,-4.8,0.01,0.05,177.7,3.3,259.0,1.0,1.0,66.0,686.0,82.0,0.0,66.0,7.24,129.6,90.0,31.6,31.6,0.7,2.7,2067.6,0.0,16.83,22.5,34.8,33.4,33.4,33.8,33.5,33.9,35.2,33.9,45.4,43.8,31.3,33.9,31.8,32.1,33.0,34.0,25.0,0.0,-0.3,0.0,6.0,6.0,4.0,0.0,32.0,32.0,32.0,90.0,90.0,60.0,33.0,33.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.18,117.0,0.25,0.23,0.25,2.68,3.12,9.1,7.16,-5.1,0.05,-0.07,177.7,2.5,251.0,1.0,1.0,50.0,686.0,60.0,0.0,43.0,7.18,86.6,62.0,33.4,32.9,0.7,2.7,1633.8,0.0,16.18,22.4,34.8,33.4,33.3,33.8,33.5,33.9,35.0,32.8,45.4,43.8,31.3,33.9,31.8,32.1,34.0,35.0,25.0,-0.1,0.1,0.0,6.0,6.0,4.0,0.0,32.0,32.0,32.0,90.0,90.0,60.0,33.0,33.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.17,160.99,0.25,0.23,0.25,2.46,5.74,7.46,7.13,-4.1,0.01,-0.07,177.5,3.1,257.0,1.0,1.0,42.0,686.0,52.0,0.0,36.0,7.14,77.7,51.0,33.8,33.5,0.7,2.7,1440.1,0.0,15.88,22.2,34.7,33.4,33.4,33.8,33.5,33.9,35.3,35.5,45.4,43.8,31.1,33.8,31.7,32.1,35.0,36.0,25.0,0.0,0.5,0.0,6.0,6.0,4.0,0.0,32.0,32.0,32.0,90.0,90.0,60.0,33.0,33.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.26,261.0,0.25,0.24,0.25,3.8,7.74,5.32,7.26,-7.5,-0.03,0.03,177.3,3.1,260.0,1.0,1.0,66.0,686.0,81.0,0.0,67.0,7.26,134.0,92.0,34.2,33.5,0.7,2.7,2067.6,0.0,16.83,22.3,34.8,33.4,33.4,33.8,33.5,33.9,35.0,33.1,45.4,43.8,31.3,33.8,31.7,32.1,35.0,36.0,25.0,0.1,0.0,0.0,6.0,6.0,4.0,0.0,32.0,32.0,32.0,90.0,90.0,60.0,33.0,33.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.16,207.0,0.25,0.24,0.25,2.38,7.32,5.52,7.14,8.2,0.07,-0.04,177.6,2.2,247.0,1.0,1.0,46.0,686.0,54.0,0.0,36.0,7.14,73.5,53.0,33.0,33.2,0.7,2.7,1211.4,0.0,15.51,22.6,34.8,33.4,33.3,33.8,33.5,33.9,35.2,33.8,45.4,43.8,31.3,34.0,31.7,32.2,34.0,35.0,25.0,0.0,0.2,-0.1,6.0,6.0,4.0,0.0,32.0,32.0,32.0,90.0,90.0,60.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.18,250.99,0.25,0.24,0.25,3.48,8.46,5.92,7.18,-8.4,-0.04,0.02,177.6,3.0,254.0,1.0,1.0,52.0,686.0,61.0,0.0,48.0,7.18,91.7,65.0,34.9,33.7,0.7,2.7,1430.8,0.0,15.86,22.2,34.8,33.4,33.4,33.8,33.5,33.9,34.9,32.7,45.4,43.8,31.3,33.8,31.7,32.1,36.0,36.0,25.0,0.0,0.0,-0.1,6.0,6.0,4.0,0.0,32.0,32.0,32.0,90.0,90.0,60.0,33.0,33.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.28,217.01,0.25,0.24,0.25,2.64,7.1,5.58,7.27,-8.8,-0.06,-0.06,177.5,3.1,261.0,1.0,1.0,71.0,686.0,82.0,0.0,67.0,7.26,136.6,92.0,33.9,33.7,0.7,2.7,2067.6,0.0,16.83,22.3,34.8,33.4,33.4,33.8,33.5,33.9,35.0,32.6,45.4,43.8,31.3,33.8,31.7,32.1,35.0,36.0,25.0,0.0,0.2,0.0,6.0,6.0,4.0,0.0,32.0,32.0,32.0,90.0,90.0,60.0,33.0,33.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.18,352.01,0.26,0.23,0.25,5.98,1.82,5.0,7.16,-1.3,-0.02,0.05,177.4,2.8,253.0,1.0,1.0,52.0,686.0,64.0,0.0,47.0,7.18,97.7,65.0,34.6,33.9,0.7,2.7,1430.8,0.0,15.86,22.3,34.8,33.4,33.4,33.8,33.5,33.9,35.1,33.6,45.4,43.8,31.3,33.8,31.7,32.1,36.0,36.0,25.0,0.1,-0.1,0.0,6.0,6.0,4.0,0.0,32.0,32.0,32.0,90.0,90.0,60.0,33.0,33.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.26,326.99,0.26,0.23,0.25,6.68,3.78,6.18,7.26,-10.9,-0.05,-0.02,177.6,3.5,260.0,1.0,1.0,71.0,686.0,87.0,0.0,69.0,7.26,135.7,95.0,34.0,33.1,0.7,2.7,2067.6,0.0,16.83,22.3,34.8,33.4,33.4,33.8,33.5,33.9,35.1,33.4,45.4,43.8,31.3,33.8,31.7,32.1,35.0,36.0,25.0,0.0,-0.6,0.0,6.0,6.0,4.0,0.0,32.0,32.0,32.0,90.0,90.0,60.0,33.0,33.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.17,199.01,0.25,0.24,0.25,2.9,7.14,6.48,7.17,-1.9,-0.02,0.0,177.7,2.5,255.0,1.0,1.0,45.0,686.0,52.0,0.0,38.0,7.16,74.4,54.0,32.8,32.0,0.7,2.7,1807.2,0.0,16.44,22.4,34.8,33.4,33.3,33.8,33.5,33.9,35.1,33.1,45.4,43.8,31.3,33.9,31.8,32.2,33.0,34.0,25.0,0.0,0.2,-0.3,6.0,6.0,4.0,0.0,32.0,32.0,32.0,90.0,90.0,60.0,33.0,33.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
