轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.9,109.01,0.23,0.29,0.28,8.24,8.1,9.18,11.85,-22.2,0.02,0.05,177.5,6.2,171.0,1.0,1.0,424.0,683.0,513.0,0.0,509.0,11.88,639.1,436.0,31.2,31.6,0.7,2.7,1133.4,0.0,15.17,17.0,50.9,52.6,51.6,52.1,53.2,50.5,53.5,52.8,56.3,53.8,28.2,30.9,31.5,31.7,40.0,37.0,25.0,0.0,0.2,0.0,6.0,6.0,4.0,0.0,28.0,28.0,28.0,96.0,96.0,60.0,30.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.94,76.0,0.23,0.29,0.28,9.1,9.38,10.32,12.96,-21.5,0.03,0.01,1.6,7.1,175.0,1.0,1.0,545.0,684.0,657.0,3.0,669.0,12.96,760.7,519.0,33.0,33.2,0.7,2.7,1326.8,0.0,15.69,17.0,50.3,52.0,50.9,51.5,52.5,49.8,52.9,51.6,56.3,53.8,28.2,30.7,31.5,31.6,42.0,39.0,25.0,0.0,0.0,0.2,6.0,6.0,4.0,2.0,28.0,28.0,28.0,96.0,95.0,60.0,30.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.81,51.01,0.24,0.3,0.29,12.08,13.36,14.02,15.8,-10.6,-0.11,0.0,177.3,9.6,168.0,1.0,1.0,1104.0,680.0,1328.0,0.0,1328.0,15.8,1236.3,846.0,31.8,32.6,0.7,2.7,2067.6,0.0,16.83,17.2,51.7,53.5,52.4,52.9,54.0,51.3,54.0,53.4,56.3,53.8,28.2,31.2,31.5,31.6,49.0,46.0,25.0,-0.5,1.5,0.3,6.0,6.0,4.0,0.0,28.0,28.0,28.0,97.0,96.0,61.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.47,139.0,0.24,0.3,0.28,13.5,15.56,12.72,15.4,-17.2,0.0,-0.05,177.6,9.4,171.0,1.0,1.0,943.0,682.0,1134.0,0.0,1125.0,15.42,1078.6,736.0,31.6,32.2,0.8,2.7,2067.6,0.0,16.83,17.2,51.8,53.5,52.4,53.0,54.1,51.3,54.1,53.7,56.3,53.8,28.2,31.2,31.5,31.6,48.0,45.0,25.0,0.3,0.0,-2.0,6.0,6.0,4.0,0.0,28.0,28.0,28.0,97.0,96.0,61.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.01,141.01,0.23,0.29,0.28,9.34,6.38,8.66,11.0,14.9,0.02,0.0,177.9,7.1,163.0,1.0,1.0,372.0,684.0,443.0,-2.0,422.0,11.0,556.3,378.0,35.1,34.3,0.8,2.8,1216.6,0.0,15.52,17.0,49.8,51.5,50.4,51.0,52.1,49.4,52.4,50.3,56.3,53.8,28.1,30.7,31.3,31.6,42.0,39.0,25.0,0.0,-0.6,0.0,6.0,6.0,4.0,0.0,28.0,28.0,27.0,96.0,95.0,60.0,30.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.12,267.01,0.24,0.3,0.28,12.52,10.6,11.44,15.14,-9.1,0.02,0.01,177.6,6.9,170.0,1.0,1.0,954.0,683.0,1152.0,-4.0,1107.0,15.14,1055.1,716.0,33.9,33.8,0.8,2.8,2056.3,0.0,16.81,17.2,51.7,53.5,52.3,52.9,54.0,51.3,53.8,51.7,56.3,53.8,28.2,31.2,31.5,31.6,48.0,45.0,25.0,0.0,-0.9,0.8,6.0,6.0,4.0,0.0,28.0,28.0,28.0,97.0,96.0,61.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.93,333.0,0.23,0.29,0.28,10.78,10.36,10.84,12.91,1.8,-0.02,0.03,146.3,6.0,177.0,1.0,1.0,567.0,685.0,685.0,0.0,672.0,12.92,760.7,519.0,33.8,33.1,0.8,2.8,1626.6,0.0,16.17,17.0,50.1,51.8,50.7,51.3,52.4,49.7,52.7,52.1,56.3,53.8,28.1,30.7,31.4,31.6,43.0,40.0,25.0,-0.5,-0.2,0.0,6.0,6.0,4.0,0.0,28.0,28.0,28.0,96.0,95.0,60.0,30.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.96,19.01,0.23,0.29,0.28,8.6,9.96,9.4,12.94,0.0,-0.05,0.02,177.4,5.8,169.0,1.0,1.0,547.0,683.0,663.0,2.0,668.0,12.96,756.7,518.0,31.9,31.4,0.7,2.8,1227.9,0.0,15.53,16.9,50.7,52.4,51.3,51.9,52.9,50.2,53.3,52.6,56.3,53.8,28.2,30.9,31.4,31.7,40.0,37.0,25.0,0.2,0.6,0.2,6.0,6.0,4.0,0.0,28.0,28.0,28.0,96.0,96.0,60.0,30.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.93,180.0,0.23,0.29,0.28,9.54,8.96,9.92,11.93,-18.9,0.0,-0.01,177.5,5.8,171.0,1.0,1.0,428.0,683.0,511.0,0.0,514.0,11.92,639.9,438.0,31.1,31.6,0.7,2.7,1133.4,0.0,15.17,17.0,50.9,52.6,51.6,52.1,53.3,50.5,53.6,53.8,56.3,53.8,28.2,30.9,31.5,31.7,39.0,37.0,25.0,-0.4,0.2,0.0,6.0,6.0,4.0,0.0,28.0,28.0,28.0,96.0,96.0,60.0,30.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.59,200.02,0.23,0.29,0.28,9.68,10.74,10.76,12.6,-12.4,0.14,0.07,177.5,5.4,172.0,1.0,1.0,562.0,684.0,681.0,-4.0,638.0,12.6,728.8,495.0,31.9,31.8,0.8,2.7,1667.8,0.0,16.23,17.0,50.4,52.1,51.0,51.7,52.7,50.0,52.9,50.5,56.3,53.8,28.2,30.8,31.5,31.6,42.0,39.0,25.0,-1.1,0.0,-0.5,6.0,6.0,4.0,0.0,28.0,28.0,28.0,96.0,96.0,60.0,30.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
