轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.11,66.24,0.26,0.35,0.33,14.12,18.06,13.48,16.1,-6.4,0.24,0.07,178.5,7.7,200.0,1.0,1.0,1163.0,697.0,1431.0,3.0,1413.0,16.06,1343.4,920.0,33.4,35.1,0.7,2.7,2067.6,0.0,16.83,17.3,65.5,67.2,65.8,66.2,67.5,64.5,67.4,64.0,57.9,55.2,26.7,29.3,31.5,31.6,54.0,50.0,25.0,1.9,0.4,-1.5,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.96,348.26,0.26,0.34,0.33,10.6,16.08,14.72,16.0,-9.2,-0.24,-0.02,178.0,9.0,200.0,1.0,1.0,1189.0,696.0,1467.0,-8.0,1466.0,16.0,1343.6,912.0,32.4,32.9,0.7,2.7,2067.6,0.0,16.83,17.3,65.3,67.1,65.7,66.0,67.3,64.4,67.3,64.3,57.9,55.2,26.8,29.3,31.4,31.6,52.0,48.0,25.0,-0.2,3.2,0.3,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.16,216.0,0.27,0.34,0.33,16.6,10.9,14.5,16.24,-9.4,-0.16,0.04,177.4,9.7,202.0,1.0,1.0,1265.0,697.0,1560.0,-2.0,1541.0,16.2,1438.7,978.0,34.4,34.5,0.7,2.7,2067.6,0.0,16.83,17.4,65.4,67.1,65.8,66.1,67.4,64.4,67.4,65.0,57.9,55.2,26.7,29.4,31.4,31.6,54.0,50.0,25.0,-2.8,-0.8,0.7,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.2,268.49,0.26,0.34,0.33,13.62,11.48,16.82,16.18,-7.7,0.03,0.02,177.7,10.1,203.0,1.0,1.0,1212.0,697.0,1492.0,6.0,1481.0,16.18,1393.3,956.0,31.2,33.1,0.7,2.6,2067.6,0.0,16.83,17.3,65.5,67.2,65.8,66.2,67.5,64.5,67.5,64.3,57.9,55.2,26.7,29.4,31.5,31.5,51.0,47.0,25.0,-1.1,1.0,1.4,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.2,276.77,0.26,0.34,0.33,13.36,11.08,15.96,16.18,-1.0,0.01,0.01,178.2,6.9,201.0,1.0,1.0,1255.0,697.0,1547.0,0.0,1550.0,16.16,1420.2,970.0,32.5,33.8,0.7,2.6,2067.6,0.0,16.83,17.4,65.5,67.2,65.9,66.2,67.5,64.5,67.7,66.0,57.9,55.2,26.7,29.4,31.4,31.6,53.0,49.0,25.0,-0.9,0.0,1.8,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.05,200.02,0.27,0.34,0.33,15.24,10.36,12.72,16.06,-8.7,-0.01,0.06,178.0,8.9,201.0,1.0,1.0,1162.0,697.0,1431.0,5.0,1413.0,16.04,1335.2,915.0,35.2,35.4,0.7,2.7,2067.6,0.0,16.83,17.3,65.5,67.2,65.9,66.2,67.5,64.5,67.4,64.6,57.9,55.2,26.8,29.3,31.4,31.6,54.0,51.0,25.0,-0.7,-0.5,2.2,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.93,15.77,0.26,0.35,0.33,11.0,16.02,14.68,15.9,1.8,-0.08,-0.1,178.3,8.6,199.0,1.0,1.0,1116.0,696.0,1369.0,0.0,1351.0,15.9,1275.8,872.0,33.8,35.0,0.7,2.7,2067.6,0.0,16.83,17.2,65.5,67.2,65.9,66.2,67.5,64.5,67.8,66.1,57.9,55.2,26.7,29.3,31.4,31.5,53.0,50.0,25.0,0.2,3.6,-0.7,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.23,322.24,0.26,0.34,0.33,11.52,11.96,15.54,16.25,-12.7,-0.21,0.05,178.0,10.0,204.0,1.0,1.0,1256.0,697.0,1545.0,2.0,1523.0,16.26,1436.1,983.0,30.9,31.9,0.7,2.7,2067.6,0.0,16.83,17.3,65.5,67.2,65.9,66.2,67.5,64.5,67.7,65.5,57.9,55.3,26.7,29.5,31.5,31.5,51.0,47.0,25.0,0.0,2.3,0.0,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,336.74,0.26,0.34,0.33,11.64,14.66,16.12,16.0,-9.8,-0.13,0.01,178.0,9.0,202.0,1.0,1.0,1135.0,697.0,1389.0,3.0,1370.0,16.0,1312.1,901.0,34.1,34.3,0.7,2.7,2067.6,0.0,16.83,17.2,65.5,67.2,65.9,66.2,67.5,64.5,67.7,65.6,57.9,55.2,26.7,29.3,31.4,31.5,53.0,49.0,25.0,-0.3,3.8,0.0,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.22,141.26,0.27,0.34,0.32,17.36,13.18,10.72,16.21,-10.1,0.13,-0.06,178.4,9.9,201.0,1.0,1.0,1275.0,697.0,1574.0,3.0,1579.0,16.2,1441.9,981.0,32.4,32.8,0.7,2.7,2067.6,0.0,16.83,17.3,65.3,67.1,65.7,66.0,67.3,64.4,67.1,63.3,57.9,55.2,26.8,29.3,31.4,31.5,52.0,48.0,25.0,3.5,-0.6,0.5,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.85,134.24,0.27,0.34,0.33,16.6,14.68,11.04,15.87,-3.9,0.05,0.01,178.2,8.1,201.0,1.0,1.0,1094.0,696.0,1345.0,-7.0,1357.0,15.86,1252.5,857.0,34.9,35.0,0.7,2.7,2067.6,0.0,16.83,17.2,65.5,67.2,65.9,66.2,67.5,64.5,67.6,65.0,57.9,55.2,26.7,29.3,31.4,31.5,55.0,51.0,25.0,0.4,-2.7,-0.3,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.94,197.24,0.27,0.34,0.33,17.62,10.96,14.54,15.99,-7.6,-0.02,0.05,178.0,9.9,201.0,1.0,1.0,1179.0,696.0,1450.0,-8.0,1451.0,15.96,1335.5,908.0,33.4,33.9,0.7,2.7,2067.6,0.0,16.83,17.2,65.5,67.2,65.9,66.2,67.5,64.5,67.8,66.3,57.9,55.2,26.7,29.3,31.4,31.6,54.0,50.0,25.0,-0.4,-1.7,0.0,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.09,90.0,0.26,0.34,0.33,15.28,15.7,11.56,16.14,-6.4,0.07,0.05,178.3,8.7,200.0,1.0,1.0,1171.0,697.0,1446.0,0.0,1438.0,16.08,1349.1,924.0,31.2,32.8,0.7,2.6,2067.6,0.0,16.83,17.4,65.2,67.0,65.6,65.9,67.2,64.3,67.2,64.6,57.9,55.2,26.8,29.3,31.4,31.6,52.0,48.0,25.0,3.0,-0.9,-0.5,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.14,158.51,0.27,0.34,0.33,18.34,12.46,11.8,16.15,-14.2,0.21,0.01,178.4,8.0,202.0,1.0,1.0,1194.0,696.0,1465.0,5.0,1455.0,16.12,1367.8,934.0,30.7,32.0,0.7,2.6,2067.6,0.0,16.83,17.2,65.3,67.0,65.7,66.0,67.3,64.4,67.7,65.6,58.0,55.2,26.7,29.3,31.4,31.6,50.0,46.0,25.0,0.4,-2.2,0.3,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.85,327.74,0.26,0.34,0.33,11.12,13.44,15.36,15.91,-5.3,0.01,0.02,177.9,8.8,200.0,1.0,1.0,1167.0,696.0,1434.0,-7.0,1434.0,15.92,1316.4,894.0,32.7,34.2,0.7,2.6,2067.6,0.0,16.83,17.3,65.1,66.9,65.5,65.8,67.1,64.2,67.1,64.0,57.9,55.2,26.8,29.3,31.4,31.6,52.0,48.0,25.0,0.0,2.1,0.0,6.0,6.0,4.0,0.0,27.0,27.0,26.0,98.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.27,310.0,0.26,0.34,0.33,12.1,12.16,17.26,16.28,-7.6,-0.09,0.03,178.1,10.0,200.0,1.0,1.0,1286.0,697.0,1588.0,6.0,1564.0,16.26,1461.3,996.0,32.5,33.9,0.7,2.6,2067.6,0.0,16.83,17.3,65.1,66.9,65.4,65.8,67.2,64.2,67.2,64.6,57.9,55.2,26.8,29.4,31.5,31.6,51.0,48.0,25.0,-0.3,1.6,1.9,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.03,28.26,0.26,0.34,0.33,12.16,16.62,15.06,16.05,-8.9,0.02,0.05,178.2,10.6,202.0,1.0,1.0,1213.0,696.0,1498.0,-7.0,1503.0,16.04,1370.1,931.0,32.7,34.0,0.7,2.7,2067.6,0.0,16.83,17.4,65.5,67.2,65.9,66.2,67.5,64.5,67.5,64.8,57.9,55.2,26.7,29.4,31.4,31.6,53.0,49.0,25.0,0.0,1.5,-1.0,6.0,6.0,4.0,0.0,27.0,27.0,26.0,99.0,97.0,60.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
