轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,114.01,0.24,0.22,0.24,5.52,1.04,6.06,7.34,-4.3,-0.01,0.0,177.1,3.3,64.0,1.0,1.0,81.0,685.0,94.0,0.0,77.0,7.32,154.5,109.0,34.9,34.3,0.8,2.8,1459.7,0.0,15.91,16.2,32.1,32.1,31.9,32.4,32.4,31.7,33.2,33.5,48.2,46.0,25.9,28.3,27.2,28.0,36.0,36.0,25.0,0.0,0.0,0.1,6.0,6.0,4.0,0.0,27.0,27.0,27.0,86.0,86.0,55.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.35,236.02,0.24,0.23,0.24,3.74,5.24,7.36,7.34,10.2,-0.03,-0.06,177.1,3.0,57.0,1.0,1.0,80.0,685.0,94.0,0.0,82.0,7.32,165.6,117.0,33.5,34.0,0.8,2.7,1437.0,0.0,15.87,16.2,32.1,32.0,31.9,32.4,32.4,31.7,33.2,33.1,48.2,46.0,25.9,28.3,27.2,28.0,36.0,36.0,25.0,0.0,0.4,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,86.0,86.0,55.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.44,307.51,0.24,0.23,0.24,4.4,8.26,6.8,7.47,-5.6,-0.01,0.01,177.1,4.3,66.0,1.0,1.0,107.0,685.0,134.0,0.0,117.0,7.44,232.1,157.0,33.0,32.2,0.7,2.8,1789.6,0.0,16.41,16.4,31.9,31.8,31.7,32.3,32.3,31.6,32.8,31.9,47.9,45.8,25.6,28.3,27.0,27.8,35.0,35.0,25.0,0.0,0.0,-0.2,6.0,6.0,4.0,0.0,27.0,27.0,26.0,86.0,86.0,56.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.44,221.0,0.24,0.23,0.24,3.74,4.4,7.5,7.44,-4.3,-0.01,0.0,177.0,4.1,65.0,1.0,1.0,111.0,685.0,136.0,0.0,118.0,7.44,231.7,157.0,32.3,31.9,0.8,2.7,1746.2,0.0,16.35,16.4,31.9,31.8,31.8,32.3,32.3,31.6,33.0,33.6,47.9,45.8,25.6,28.3,27.0,27.9,35.0,34.0,25.0,0.0,0.3,0.0,6.0,6.0,4.0,0.0,27.0,27.0,26.0,86.0,86.0,56.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.64,162.0,0.24,0.22,0.24,5.12,1.52,7.74,7.62,-3.8,-0.01,-0.03,177.0,4.7,67.0,1.0,1.0,122.0,685.0,155.0,0.0,139.0,7.62,264.9,179.0,33.8,33.2,0.7,2.8,1734.8,0.0,16.33,16.4,31.9,31.8,31.7,32.3,32.2,31.5,33.0,33.5,47.9,45.7,25.6,28.1,27.0,27.8,36.0,35.0,25.0,0.0,0.0,0.2,6.0,6.0,4.0,0.0,27.0,27.0,26.0,86.0,86.0,57.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.29,265.0,0.24,0.23,0.24,3.42,6.8,7.02,7.3,5.7,-0.04,-0.01,177.1,3.3,62.0,1.0,1.0,74.0,685.0,88.0,0.0,76.0,7.28,152.9,102.0,34.7,33.6,0.8,2.8,1452.5,0.0,15.9,16.2,32.1,32.1,32.0,32.5,32.5,31.7,33.3,33.2,48.2,46.1,25.9,28.3,27.3,28.0,36.0,36.0,25.0,0.0,0.2,-0.2,6.0,6.0,4.0,0.0,27.0,27.0,27.0,86.0,86.0,55.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.43,60.01,0.24,0.23,0.24,4.96,3.26,5.86,7.43,-6.7,-0.01,-0.01,177.1,4.1,67.0,1.0,1.0,106.0,684.0,133.0,0.0,114.0,7.44,223.1,152.0,30.8,30.6,0.7,2.7,1661.6,0.0,16.22,16.2,32.0,31.9,31.7,32.3,32.3,31.6,32.8,30.9,48.1,45.9,25.7,28.3,27.1,27.9,33.0,33.0,25.0,0.1,-0.3,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,86.0,86.0,55.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,191.02,0.24,0.23,0.24,4.34,2.66,9.26,7.28,0.3,0.01,0.0,177.3,3.1,63.0,1.0,1.0,75.0,685.0,94.0,0.0,78.0,7.3,147.4,103.0,34.5,33.8,0.8,2.8,1454.5,0.0,15.9,16.2,32.1,32.1,32.0,32.4,32.5,31.7,33.3,33.8,48.2,46.0,25.9,28.3,27.2,28.0,36.0,36.0,25.0,-0.4,0.1,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,86.0,86.0,55.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,131.0,0.24,0.22,0.24,5.14,1.18,6.78,7.3,-2.4,-0.05,0.01,177.1,3.0,63.0,1.0,1.0,75.0,685.0,90.0,0.0,77.0,7.28,147.2,103.0,34.1,33.8,0.8,2.8,1455.6,0.0,15.9,16.2,32.2,32.1,32.0,32.5,32.5,31.8,33.3,33.7,48.2,46.1,25.9,28.3,27.3,28.1,36.0,36.0,25.0,0.0,0.0,0.2,6.0,6.0,4.0,0.0,27.0,27.0,27.0,86.0,86.0,55.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
