轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
13.55,342.5,0.24,0.23,0.24,9.48,10.44,12.04,13.53,4.1,-0.02,-0.04,175.5,6.6,191.0,1.0,1.0,655.0,692.0,798.0,0.0,781.0,13.52,831.7,568.0,32.1,32.1,0.7,2.7,2067.6,0.0,16.83,14.4,37.2,38.1,38.0,38.5,38.6,37.0,39.1,37.5,51.9,49.4,23.9,26.4,26.8,27.0,43.0,40.0,25.0,-0.6,0.0,0.8,6.0,6.0,4.0,0.0,25.0,25.0,24.0,88.0,90.0,56.0,26.0,26.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.94,56.99,0.24,0.23,0.24,10.24,12.32,15.86,13.94,-5.1,-0.11,0.02,175.5,8.8,190.0,1.0,1.0,704.0,692.0,859.0,-2.0,854.0,13.94,884.2,604.0,31.1,32.2,0.7,2.7,2067.6,0.0,16.83,14.4,37.2,38.1,38.0,38.5,38.6,37.0,39.2,39.1,51.9,49.4,23.8,26.4,26.7,27.0,43.0,40.0,25.0,-0.7,0.0,0.0,6.0,6.0,4.0,0.0,25.0,25.0,24.0,88.0,90.0,56.0,26.0,26.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.36,67.0,0.24,0.23,0.24,8.28,10.32,12.76,13.36,-6.2,0.04,-0.13,175.5,7.8,195.0,1.0,1.0,614.0,692.0,752.0,0.0,732.0,13.38,807.7,553.0,33.0,32.8,0.7,2.7,2067.6,0.0,16.83,14.5,37.2,38.1,38.1,38.5,38.6,37.0,39.2,39.5,51.9,49.4,23.9,26.4,26.8,27.1,43.0,40.0,25.0,0.0,0.2,0.0,6.0,6.0,4.0,0.0,25.0,25.0,24.0,88.0,90.0,56.0,26.0,26.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.59,50.0,0.24,0.23,0.24,9.04,11.08,14.2,13.61,2.5,0.0,0.07,175.4,7.4,192.0,1.0,1.0,654.0,691.0,798.0,0.0,789.0,13.6,841.2,574.0,33.4,33.1,0.8,2.7,2067.6,0.0,16.83,14.5,37.2,38.1,38.0,38.5,38.6,37.0,39.3,39.2,51.9,49.4,23.9,26.4,26.7,27.1,44.0,41.0,25.0,0.0,0.2,0.0,6.0,6.0,4.0,0.0,25.0,25.0,24.0,88.0,90.0,56.0,26.0,26.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.19,264.49,0.25,0.23,0.24,13.14,12.24,12.96,14.17,-0.6,0.05,0.1,175.5,7.7,189.0,1.0,1.0,736.0,692.0,896.0,0.0,889.0,14.16,909.7,622.0,34.6,34.1,0.8,2.7,2067.6,0.0,16.83,14.5,37.2,38.2,38.1,38.6,38.7,37.1,39.3,39.4,51.9,49.4,23.7,26.4,26.7,26.9,46.0,42.0,25.0,0.0,-0.8,0.0,6.0,6.0,4.0,0.0,25.0,25.0,24.0,88.0,90.0,56.0,26.0,26.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.9,324.5,0.25,0.23,0.24,11.28,10.8,12.8,13.88,6.5,-0.04,-0.04,175.0,7.2,188.0,1.0,1.0,655.0,692.0,803.0,0.0,817.0,13.88,866.3,593.0,33.1,33.6,0.7,2.7,2067.6,0.0,16.83,14.4,37.1,38.1,38.0,38.5,38.6,37.0,39.1,37.8,51.9,49.4,23.9,26.4,26.7,27.0,44.0,41.0,25.0,-0.5,0.0,0.9,6.0,6.0,4.0,0.0,25.0,25.0,24.0,88.0,90.0,56.0,26.0,26.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.49,108.5,0.24,0.23,0.24,10.32,14.2,15.36,14.44,7.7,-0.01,0.02,175.6,7.2,189.0,1.0,1.0,791.0,692.0,966.0,0.0,952.0,14.46,951.6,649.0,34.9,34.9,0.7,2.7,2067.6,0.0,16.83,14.6,37.3,38.3,38.2,38.7,38.8,37.2,39.4,39.6,52.0,49.5,23.7,26.4,26.7,27.0,47.0,44.0,25.0,-0.2,0.3,-1.0,6.0,6.0,4.0,0.0,25.0,25.0,24.0,88.0,90.0,56.0,26.0,26.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.18,98.5,0.24,0.23,0.24,9.12,11.86,14.12,14.18,0.7,-0.03,-0.03,175.5,7.0,189.0,1.0,1.0,725.0,692.0,889.0,2.0,888.0,14.2,908.8,622.0,32.5,33.1,0.7,2.7,2067.6,0.0,16.83,14.4,37.2,38.1,38.0,38.5,38.6,37.0,39.3,39.2,51.9,49.4,23.9,26.4,26.7,27.0,44.0,41.0,25.0,0.0,0.0,-0.3,6.0,6.0,4.0,0.0,25.0,25.0,24.0,88.0,90.0,56.0,26.0,26.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.97,190.51,0.25,0.23,0.24,13.12,13.62,13.38,13.97,1.4,0.04,0.0,175.6,7.0,189.0,1.0,1.0,709.0,691.0,864.0,-2.0,859.0,13.98,883.0,604.0,31.0,32.2,0.7,2.7,2067.6,0.0,16.83,14.4,37.2,38.1,38.0,38.5,38.6,37.0,39.3,39.2,51.9,49.4,23.8,26.5,26.7,27.0,43.0,41.0,25.0,0.9,-1.5,-0.9,6.0,6.0,4.0,0.0,25.0,25.0,24.0,88.0,90.0,56.0,26.0,26.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.77,197.5,0.25,0.23,0.24,12.02,13.26,11.92,13.78,-1.9,0.04,0.05,175.7,7.3,192.0,1.0,1.0,705.0,691.0,858.0,-2.0,828.0,13.78,868.4,591.0,35.0,34.5,0.8,2.8,2067.6,0.0,16.83,14.5,37.2,38.1,38.0,38.5,38.6,37.0,39.3,38.9,51.9,49.4,23.9,26.4,26.7,27.0,46.0,43.0,25.0,0.5,-0.6,0.0,6.0,6.0,4.0,0.0,25.0,25.0,24.0,88.0,90.0,56.0,26.0,26.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
