轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
-0.06,218.02,86.0,85.99,86.0,12.46,10.84,0.2,0.13,11.0,0.01,-0.05,180.1,3.8,332.0,1.0,1.0,18.0,679.0,21.0,0.0,0.0,0.0,4.2,0.0,29.7,33.8,0.4,2.6,2067.6,0.0,16.83,27.0,41.4,38.4,40.0,37.9,38.4,37.1,40.5,41.0,47.3,48.9,32.4,34.1,34.5,33.8,25.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,32.0,32.0,31.0,85.0,100.0,63.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.41,267.98,11.78,11.67,11.87,8.94,9.4,8.6,4.39,20.6,0.05,0.0,178.3,4.0,317.0,1.0,1.0,18.0,681.0,21.0,0.0,0.0,4.3,4.8,0.0,30.5,33.4,0.5,2.6,2067.6,0.0,16.83,27.7,41.3,38.4,39.9,37.7,38.2,36.9,40.4,41.0,47.1,48.6,32.7,34.1,34.2,34.0,25.0,27.0,25.0,-155.2,-166.1,-148.7,5.0,6.0,4.0,0.0,32.0,32.0,31.0,84.0,100.0,63.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.24,168.98,4.71,4.54,4.88,6.02,6.4,15.36,5.24,12.5,0.06,0.01,178.3,4.0,317.0,1.0,1.0,17.0,681.0,20.0,0.0,0.0,5.18,4.2,0.0,30.4,33.4,0.5,2.6,2067.6,0.0,16.83,27.6,41.4,38.4,39.9,37.7,38.1,36.9,40.4,41.0,47.1,48.5,32.7,34.1,34.2,34.0,25.0,27.0,25.0,-105.3,-113.3,-265.0,5.0,6.0,4.0,0.0,32.0,32.0,31.0,84.0,100.0,63.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.12,209.99,86.0,85.99,86.0,13.9,10.62,0.0,0.08,17.5,0.02,-0.02,179.5,4.8,325.0,1.0,1.0,17.0,679.0,20.0,0.0,0.0,0.0,4.3,0.0,29.9,33.6,0.4,2.6,2067.6,0.0,16.83,27.0,41.4,38.4,39.9,37.9,38.4,37.0,40.5,41.0,47.3,48.9,32.4,34.1,34.5,33.8,25.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,32.0,32.0,31.0,85.0,100.0,63.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,225.0,86.0,85.99,86.0,12.76,11.44,0.24,0.02,-35.6,0.0,0.01,178.7,2.3,337.0,1.0,1.0,17.0,679.0,20.0,0.0,0.0,0.0,4.1,0.0,29.7,33.4,0.4,2.6,2067.6,0.0,16.83,27.9,41.4,38.4,40.0,37.9,38.4,37.1,40.5,41.0,47.4,48.9,32.4,34.1,34.5,33.7,25.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,32.0,32.0,31.0,85.0,100.0,64.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,212.0,86.0,85.99,86.0,12.84,7.94,5.7,0.23,-4.7,0.01,0.01,179.4,1.9,312.0,1.0,1.0,18.0,679.0,21.0,0.0,0.0,0.0,4.4,0.0,29.6,33.8,0.5,2.6,2067.6,0.0,16.83,27.8,41.5,38.6,40.0,38.1,38.5,37.1,40.5,41.0,47.5,49.0,32.5,34.2,34.3,33.7,25.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,31.0,31.0,31.0,83.0,99.0,65.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.14,212.0,86.0,85.99,86.0,11.2,10.76,0.04,0.08,21.3,0.0,0.08,179.6,4.2,325.0,1.0,1.0,18.0,680.0,21.0,0.0,0.0,0.0,4.3,0.0,30.2,33.2,0.5,2.6,2067.6,0.0,16.83,27.0,41.4,38.4,40.0,37.9,38.4,37.0,40.4,41.0,47.3,48.9,32.4,34.1,34.5,33.8,25.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,32.0,32.0,31.0,85.0,100.0,63.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,225.0,86.0,85.99,86.0,11.82,11.42,0.08,0.02,-38.2,0.0,0.02,178.8,2.4,325.0,1.0,1.0,18.0,679.0,21.0,0.0,0.0,0.0,4.2,0.0,30.0,33.2,0.5,2.6,2067.6,0.0,16.83,28.2,41.4,38.5,39.9,37.9,38.4,37.1,40.5,41.0,47.4,49.0,32.4,34.1,34.5,33.8,25.0,27.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,32.0,32.0,31.0,84.0,100.0,64.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.51,140.0,21.0,21.02,21.0,1.4,2.7,2.7,2.49,7.7,0.0,0.0,178.4,3.3,322.0,1.0,1.0,17.0,680.0,21.0,0.0,0.0,2.46,4.3,0.0,30.2,33.2,0.5,2.6,2067.6,0.0,16.83,27.4,41.4,38.4,40.0,37.8,38.3,36.9,40.5,41.0,47.2,48.7,32.5,34.1,34.5,33.8,25.0,27.0,25.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,32.0,32.0,31.0,86.0,100.0,63.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.16,189.0,14.22,14.13,14.28,7.62,7.0,11.74,4.12,7.1,0.03,0.01,178.3,4.2,319.0,1.0,1.0,18.0,681.0,20.0,0.0,0.0,4.08,4.3,0.0,30.2,33.9,0.4,2.6,2067.6,0.0,16.83,27.7,41.4,38.4,39.9,37.7,38.2,36.9,40.4,41.0,47.1,48.6,32.7,34.1,34.2,34.0,25.0,27.0,25.0,-135.1,-127.1,-199.8,5.0,6.0,4.0,0.0,32.0,32.0,31.0,84.0,100.0,63.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
