轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,164.48,86,86,86,12.12,2.58,14.04,0.03,30.1,0.02,0.0,177.3,1.5,198,1,1,17,685,20,0,0,0,4.2,0,31.1,30.3,0.4,2.6,2067.6,0,16.83,20.0,26.5,27.5,25.8,26.8,26.7,26.9,29.0,29.4,33.7,35.4,25.7,27.8,25.7,25.7,25,27,25,0.0,0,0,3,4,4,0,26,26,25,89,97,61,27,27,300,0,0,0,0,0,0,0,0,0
0.0,169.49,86,86,86,12.02,2.4,14.08,0.01,60.9,0.0,0.0,177.3,1.5,161,1,1,16,684,20,0,0,0,4.4,0,30.7,30.4,0.4,2.6,2067.6,0,16.83,21.2,26.6,27.3,25.8,26.7,26.7,26.9,29.0,29.4,33.4,35.2,25.9,28.1,25.9,25.8,25,27,25,0.0,0,0,3,4,4,0,26,26,25,89,97,61,28,28,300,0,0,0,0,0,0,0,0,0
0.0,169.49,86,86,86,9.72,2.58,11.7,0.02,38.8,0.0,0.0,177.3,2.5,178,1,1,16,685,20,0,0,0,4.2,0,32.6,30.9,0.4,2.6,2067.6,0,16.83,21.1,26.5,27.3,25.8,26.8,26.7,26.9,29.0,29.5,33.6,35.3,25.7,27.9,25.8,25.7,26,29,25,0.0,0,0,3,4,4,0,26,26,26,89,97,61,27,27,300,0,0,0,0,0,0,0,0,0
0.0,169.49,86,86,86,11.26,2.42,13.48,0.01,54.9,0.0,0.01,177.3,1.3,161,1,1,17,684,20,0,0,0,4.0,0,30.7,30.8,0.4,2.6,2067.6,0,16.83,21.1,26.6,27.3,25.8,26.7,26.7,26.8,29.0,29.4,33.4,35.2,25.9,28.1,25.8,25.8,25,27,25,0.0,0,0,3,4,4,0,26,26,25,89,97,61,28,28,300,0,0,0,0,0,0,0,0,0
0.01,164.48,86,86,86,10.72,2.58,12.76,0.03,52.9,0.01,0.0,177.3,1.2,184,1,1,16,685,20,0,0,0,4.1,0,31.6,31.0,0.4,2.6,2067.6,0,16.83,20.3,26.5,27.4,25.8,26.7,26.7,26.9,29.0,29.4,33.6,35.4,25.7,27.9,25.7,25.7,26,28,25,0.0,0,0,3,4,4,0,26,26,25,89,97,61,27,27,300,0,0,0,0,0,0,0,0,0
0.0,169.49,86,86,86,11.48,2.52,13.46,0.01,61.3,0.0,0.0,177.4,1.6,162,1,1,16,684,20,0,0,0,3.9,0,29.6,31.1,0.4,2.6,2067.6,0,16.83,21.4,26.5,27.3,25.8,26.7,26.7,26.9,29.0,29.4,33.5,35.2,25.9,27.9,25.8,25.8,25,26,25,0.0,0,0,3,4,4,0,26,26,25,89,97,61,27,27,300,0,0,0,0,0,0,0,0,0
0.0,169.49,86,86,86,10.94,2.52,12.9,0.01,63.1,0.0,0.0,177.3,1.7,167,1,1,16,685,20,0,0,0,4.4,0,29.6,31.2,0.4,2.6,2067.6,0,16.83,21.4,26.5,27.3,25.8,26.7,26.7,26.9,29.0,29.4,33.5,35.3,25.9,27.9,25.8,25.7,25,27,25,0.0,0,0,3,4,4,0,26,26,26,89,97,61,27,27,300,0,0,0,0,0,0,0,0,0
0.0,169.49,86,86,86,10.34,2.28,12.42,0.01,73.5,0.0,0.0,177.3,1.5,161,1,1,16,684,20,0,0,0,4.6,0,29.9,30.6,0.4,2.5,2067.6,0,16.83,21.5,26.5,27.3,25.8,26.7,26.7,26.9,29.0,29.4,33.5,35.2,25.9,27.9,25.8,25.8,25,26,25,0.0,0,0,3,4,4,0,26,26,25,89,97,61,27,27,300,0,0,0,0,0,0,0,0,0
0.0,164.48,86,86,86,10.82,2.5,12.68,0.02,43.8,0.0,0.0,177.3,2.3,183,1,1,16,685,20,0,0,0,4.1,0,31.5,30.5,0.4,2.6,2067.6,0,16.83,20.1,26.5,27.5,25.8,26.8,26.7,26.9,29.0,29.4,33.7,35.4,25.7,27.9,25.7,25.7,26,27,25,0.0,0,0,3,4,4,0,26,26,25,89,97,61,27,27,300,0,0,0,0,0,0,0,0,0
0.0,169.49,86,86,86,10.24,2.56,12.18,0.03,20.8,0.0,0.0,177.3,1.8,186,1,1,17,685,20,0,0,0,4.0,0,32.4,31.0,0.5,2.6,2067.6,0,16.83,20.8,26.5,27.3,25.8,26.8,26.7,26.9,29.0,29.5,33.6,35.3,25.7,27.9,25.8,25.7,27,29,25,0.0,0,0,3,4,4,0,26,26,26,89,97,61,27,27,300,0,0,0,0,0,0,0,0,0
