轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
14.56,202.0,0.24,0.22,0.27,11.68,6.8,12.24,14.59,-7.4,-0.08,0.02,177.2,8.4,23,1,1,810,681,988,0,980,14.54,964.0,658,28.9,32.9,0.5,2.6,2067.6,0,16.83,20.9,51.3,50.0,50.1,50.9,50.9,50.5,51.2,52.1,57.2,58.6,31.8,34.5,33.7,34.0,38,34,25,0.5,-0.2,0.5,6,6,4,0,32,32,31,89,100,68,34,34,300,0,0,0,0,0,0,0,0,0
15.06,285.01,0.24,0.23,0.27,12.4,7.3,15.86,15.09,-0.7,-0.02,0.06,177.2,7.1,20,1,1,909,681,1104,0,1099,15.06,1039.5,708,29.4,32.6,0.4,2.6,2067.6,0,16.83,21.0,51.3,50.0,50.1,50.9,50.9,50.5,51.2,52.1,57.2,58.6,31.8,34.5,33.7,34.0,38,34,25,-0.6,0.2,0.0,6,6,4,0,32,32,31,89,100,68,34,34,300,0,0,0,0,0,0,0,0,0
12.93,47.99,0.24,0.23,0.26,9.26,7.6,11.82,13.0,-11.5,-0.05,-0.02,177.3,7.7,29,1,1,590,681,703,-2,702,12.98,766.7,525,32.9,32.5,0.5,2.7,1894.0,0,16.57,20.7,50.9,49.7,49.8,50.6,50.6,50.2,51.0,51.8,57.2,58.6,31.6,34.4,33.7,34.0,37,34,25,0.0,0.0,-0.8,6,6,4,0,32,32,31,88,100,67,34,34,300,0,0,0,0,0,0,0,0,0
14.48,234.0,0.24,0.22,0.27,12.1,6.8,13.96,14.49,-3.0,0.02,0.0,176.6,7.9,23,1,1,798,681,957,0,944,14.46,948.8,647,29.5,32.3,0.5,2.6,2067.6,0,16.83,20.9,51.3,50.0,50.1,50.9,50.9,50.5,51.2,52.1,57.2,58.6,31.8,34.5,33.7,34.0,37,33,25,-0.3,0.0,0.3,6,6,4,0,32,32,31,89,100,68,34,34,300,0,0,0,0,0,0,0,0,0
13.76,51.01,0.24,0.23,0.26,9.92,8.24,11.02,13.75,-3.6,0.0,-0.03,177.4,7.8,22,1,1,666,681,803,0,781,13.72,841.2,577,29.6,32.3,0.5,2.6,1878.5,0,16.55,20.9,51.3,50.0,50.1,50.9,51.0,50.5,51.2,52.1,57.2,58.6,31.8,34.5,33.7,34.0,36,33,25,0.0,0.2,-0.7,6,6,4,0,32,32,31,89,100,68,34,34,300,0,0,0,0,0,0,0,0,0
15.16,65.02,0.24,0.23,0.27,10.86,10.18,12.4,15.2,-5.3,-0.06,0.0,177.3,9.0,20,1,1,912,681,1092,2,1080,15.16,1038.3,710,29.5,32.6,0.5,2.6,1937.4,0,16.64,21.0,51.3,50.0,50.1,50.8,50.9,50.5,51.2,52.1,57.1,58.5,31.8,34.5,33.6,34.0,37,34,25,0.0,0.2,-0.6,6,6,4,0,32,32,31,89,100,68,34,34,300,0,0,0,0,0,0,0,0,0
12.36,217.01,0.24,0.22,0.26,7.72,5.76,9.94,12.35,8.3,0.04,-0.03,177.2,6.0,18,1,1,510,680,608,0,604,12.32,695.0,473,31.1,32.3,0.5,2.6,1616.3,0,16.15,20.6,50.7,49.4,49.6,50.4,50.4,50.0,50.9,51.7,57.2,58.6,31.6,34.4,33.6,34.0,35,32,25,0.0,0.0,0.0,6,6,4,0,32,32,31,88,100,67,34,34,300,0,0,0,0,0,0,0,0,0
12.47,272.02,0.24,0.22,0.26,10.02,5.92,11.88,12.49,-2.3,-0.01,0.0,177.0,6.3,21,1,1,514,680,610,0,598,12.48,699.7,480,29.9,33.0,0.5,2.6,1245.4,0,15.56,20.6,50.5,49.3,49.4,50.2,50.3,49.9,50.8,51.6,57.2,58.6,31.7,34.4,33.6,33.9,34,31,25,0.0,0.0,0.0,6,6,4,0,32,32,31,88,100,67,34,34,300,0,0,0,0,0,0,0,0,0
13.27,40.0,0.24,0.23,0.26,10.28,7.6,11.78,13.27,-1.6,0.0,-0.02,177.3,7.2,18,1,1,619,681,749,0,748,13.3,803.8,546,31.2,32.7,0.5,2.6,1526.6,0,16.02,20.6,50.8,49.5,49.7,50.4,50.5,50.0,50.9,51.8,57.2,58.6,31.6,34.4,33.7,34.0,36,33,25,-0.2,0.0,-0.5,6,6,4,0,32,32,31,88,100,67,34,34,300,0,0,0,0,0,0,0,0,0
12.47,162.0,0.24,0.22,0.26,8.62,5.78,11.04,12.51,2.6,-0.02,0.0,177.0,6.4,22,1,1,508,680,602,0,584,12.48,694.7,477,29.2,32.9,0.5,2.6,1185.7,0,15.41,20.6,50.2,49.0,49.2,50.0,50.1,49.6,50.6,51.5,57.2,58.6,31.6,34.3,33.6,33.8,33,30,25,0.0,-0.1,0.0,6,6,4,0,32,32,31,88,100,67,34,34,300,0,0,0,0,0,0,0,0,0
