轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,350.14,92.13,93.64,92.56,0.0,0,0,0.06,-51.8,0.0,-0.07,0,16.4,74,1,2,0,679,0,0,0,0,3.7,0,19.3,17.7,0.1,0.1,2120.7,0,16.91,9.0,12.5,12.5,12.4,13.1,15.5,12.8,12.7,13.9,13.3,13.3,16.6,14.0,14.9,23.6,25,25,25,0,0,0,1,8,3,0,15,18,15,25,13,15,14,14,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.0,0,0,0.06,-52.3,0.03,0.01,0,16.8,74,1,2,0,677,0,0,0,0,1.5,0,19.3,17.7,0.1,0.1,2120.7,0,16.91,9.0,12.3,12.5,12.4,13.0,15.5,12.7,12.5,13.8,13.3,13.3,16.8,13.8,14.9,23.5,25,26,25,0,0,0,1,8,3,0,15,18,15,25,13,15,13,13,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.0,0,0,0.06,-50.1,-0.02,0.01,0,17.0,72,1,2,0,679,0,0,0,0,2.0,0,19.4,17.9,0.1,0.1,2120.7,0,16.91,9.0,12.3,12.5,12.4,13.0,15.5,12.7,12.5,13.8,13.3,13.3,16.8,13.8,14.9,23.5,25,25,25,0,0,0,1,8,3,0,15,18,15,25,13,15,13,13,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.0,0,0,0.06,-51.0,-0.03,-0.02,0,18.5,74,1,2,0,679,0,0,0,0,1.4,0,19.4,17.8,0.1,0.1,2120.7,0,16.91,9.0,12.5,12.5,12.4,13.1,15.5,12.8,12.7,13.9,13.3,13.3,16.6,14.0,14.9,23.6,25,25,25,0,0,0,1,8,3,0,15,18,15,25,13,15,14,14,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.0,0,0,0.06,-53.3,-0.01,-0.06,0,19.1,73,1,2,0,678,0,0,0,0,1.0,0,19.5,17.8,0.1,0.1,2120.7,0,16.91,9.0,12.3,12.5,12.4,13.0,15.5,12.7,12.5,13.8,13.3,13.3,16.8,13.8,14.9,23.5,25,25,25,0,0,0,1,8,3,0,15,18,15,25,13,15,13,13,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.0,0,0,0.07,-45.7,-0.02,0.0,0,15.1,73,1,2,0,682,0,0,0,0,2.4,0,19.6,18.1,0.1,0.1,2120.7,0,16.91,9.0,12.5,12.6,12.5,13.1,15.7,12.8,12.7,13.9,13.3,13.3,16.8,14.0,14.9,23.8,25,25,25,0,0,0,1,8,3,0,16,18,15,25,14,15,14,14,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.0,0,0,0.05,-53.0,-0.02,0.03,0,19.1,72,1,2,0,680,0,0,0,0,0.6,0,19.6,17.9,0.1,0.1,2120.7,0,16.91,9.0,12.5,12.5,12.4,13.1,15.5,12.8,12.7,13.9,13.3,13.3,16.8,14.0,14.9,23.8,25,25,25,0,0,0,1,8,3,0,16,18,15,25,14,15,14,14,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.0,0,0,0.05,-50.2,0.01,-0.08,0,13.5,74,1,2,0,679,0,0,0,0,0.1,0,19.5,18.1,0.1,0.1,2120.7,0,16.91,9.0,12.5,12.5,12.4,13.1,15.5,12.8,12.7,13.8,13.3,13.3,16.6,14.0,14.9,23.6,25,25,25,0,0,0,1,8,3,0,15,18,15,25,13,15,14,14,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.0,0,0,0.06,-56.8,-0.01,0.01,0,19.2,76,1,2,0,679,0,0,0,0,2.8,0,19.2,17.8,0.1,0.1,2120.7,0,16.91,9.0,12.4,12.5,12.4,13.1,15.5,12.7,12.6,13.8,13.3,13.3,16.8,13.8,14.9,23.6,25,25,25,0,0,0,1,8,3,0,15,18,15,25,13,15,13,13,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.0,0,0,0.06,-49.8,0.03,0.05,0,14.4,74,1,2,0,677,0,0,0,0,1.6,0,19.6,18.0,0.1,0.1,2120.7,0,16.91,9.0,12.3,12.5,12.4,13.0,15.5,12.7,12.5,13.8,13.3,13.3,16.6,13.8,14.9,23.5,25,25,25,0,0,0,1,8,3,0,15,18,15,25,13,15,13,13,300,0,0,0,0,0,0,0,0,0
