轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
12.7,244.51,14.21,14.14,14.12,3.58,7.08,9.06,12.82,-7.7,-0.07,0.0,172.4,11.4,84,1,3,511,690,624,2,596,12.72,672.6,462,32.0,31.1,0.2,2.4,612.3,0,12.36,14.6,32.4,31.5,32.5,32.2,35.0,33.4,33.4,34.1,53.1,53.7,21.2,22.5,25.9,25.8,35,31,25,7.7,16.1,21.6,6,6,4,0,21,21,21,85,59,89,22,22,300,0,0,0,0,0,0,0,0,0
11.49,47.02,10.82,10.72,10.73,7.74,9.5,8.96,11.58,-5.1,-0.09,-0.2,174.9,9.7,90,1,3,472,689,581,0,565,11.52,715.1,487,33.1,32.3,0.1,2.3,612.3,0,12.36,14.4,32.4,31.5,32.5,32.2,35.0,33.5,33.4,34.0,53.1,53.7,21.2,22.5,25.9,25.8,36,32,25,-0.3,-0.2,-0.8,6,6,4,0,21,21,21,85,58,89,22,22,300,0,0,0,0,0,0,0,0,0
12.49,320.0,14.22,14.14,14.12,5.26,6.88,7.26,12.68,-11.2,0.1,0.06,172.2,12.7,85,1,3,502,690,612,0,599,12.6,677.0,465,32.1,31.2,0.2,2.4,612.3,0,12.36,14.6,32.3,31.5,32.4,32.2,35.0,33.4,33.4,34.0,53.1,53.7,21.2,22.5,25.9,25.8,35,31,25,0.6,0.0,0.0,6,6,4,0,21,21,21,85,59,89,22,22,300,0,0,0,0,0,0,0,0,0
12.69,292.0,12.73,12.65,12.67,1.94,4.32,3.64,12.82,12.2,0.09,0.09,174.7,8.4,80,1,3,506,689,617,2,600,12.78,682.0,467,34.9,34.1,0.2,2.4,612.3,0,12.36,14.4,32.3,31.5,32.4,32.2,34.9,33.4,33.4,34.0,53.1,53.8,21.2,22.5,25.7,25.7,38,34,25,23.2,50.2,42.7,6,6,4,0,21,21,21,85,60,89,22,22,300,0,0,0,0,0,0,0,0,0
12.38,97.49,11.83,11.78,11.75,8.34,8.46,10.24,12.4,13.0,-0.02,0.05,174.7,10.3,79,1,3,494,689,601,0,596,12.3,705.8,476,34.5,33.7,0.2,2.4,612.3,0,12.36,14.3,32.4,31.5,32.4,32.2,34.9,33.4,33.4,34.0,53.2,53.8,21.2,22.5,25.8,25.7,37,33,25,0.0,0.0,1.4,6,6,4,0,21,21,21,85,60,89,22,22,300,0,0,0,0,0,0,0,0,0
10.34,266.0,15.79,15.71,15.7,2.52,2.9,6.78,10.43,11.0,0.08,0.03,174.7,8.9,81,1,3,298,691,366,2,359,10.32,496.3,341,34.3,33.2,0.1,2.4,369.3,0,10.44,14.4,32.2,31.3,32.3,32.0,34.7,33.3,33.4,34.0,53.1,53.7,21.2,22.5,25.8,25.8,33,31,25,0.1,0.1,0.9,6,6,4,0,21,21,21,85,58,88,22,22,300,0,0,0,0,0,0,0,0,0
12.31,121.5,11.5,11.41,11.43,7.4,7.44,9.18,12.36,11.3,-0.06,-0.04,174.1,7.7,79,1,3,493,689,598,-2,593,12.26,690.4,474,32.6,34.0,0.1,2.3,612.3,0,12.36,14.3,32.4,31.5,32.4,32.2,34.9,33.4,33.4,34.0,53.1,53.7,21.2,22.5,25.7,25.7,38,34,25,0.5,0.2,0.2,6,6,4,0,21,21,21,85,59,89,22,22,300,0,0,0,0,0,0,0,0,0
13.01,91.01,13.11,13.05,13.04,5.62,9.8,11.4,13.13,-2.7,0.09,0.04,173.6,8.9,86,1,3,504,689,614,0,606,13.04,662.3,453,34.1,33.3,0.2,2.3,612.3,0,12.36,14.4,32.3,31.5,32.4,32.2,34.9,33.4,33.4,34.1,53.2,53.8,21.2,22.5,25.7,25.6,37,33,25,-0.6,0.0,0.3,6,6,4,0,21,21,21,85,60,89,22,22,300,0,0,0,0,0,0,0,0,0
12.44,87.52,12.52,12.43,12.42,5.54,4.44,5.08,12.55,1.4,0.16,-0.08,175.1,8.8,85,1,3,469,690,575,0,537,12.48,576.6,392,33.4,32.4,0.2,2.4,506.8,0,11.6,14.2,32.4,31.5,32.5,32.2,34.9,33.4,33.4,34.0,53.1,53.7,21.2,22.5,25.9,25.8,36,32,25,136.6,108.9,123.9,6,6,4,0,21,21,21,85,58,89,22,22,300,0,0,0,0,0,0,0,0,0
12.26,298.51,12.36,12.29,12.27,6.8,7.88,9.86,12.38,9.1,-0.01,0.06,174.5,7.0,80,1,3,494,690,607,0,597,12.3,690.7,471,34.6,33.7,0.2,2.4,612.3,0,12.36,14.3,32.4,31.5,32.4,32.2,34.9,33.4,33.4,34.0,53.2,53.8,21.2,22.5,25.7,25.6,37,34,25,-1.3,-0.3,0.2,6,6,4,0,21,21,21,85,60,89,22,22,300,0,0,0,0,0,0,0,0,0
