轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,280.01,86.0,86.0,86.0,10.52,6.56,14.16,0.06,-1.7,0.01,0.0,178.7,2.6,206.0,1.0,3.0,16.0,687.0,18.0,0.0,0.0,0.0,1.9,0.0,34.5,33.2,0.2,2.4,2067.6,0.0,16.83,2.4,19.1,18.7,18.7,19.5,22.1,19.5,20.7,19.6,39.2,39.0,12.8,15.7,16.9,18.4,28.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,15.0,15.0,16.0,84.0,54.0,92.0,15.0,15.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,280.01,86.0,86.0,86.0,11.22,6.94,15.2,0.06,2.0,0.0,0.0,175.8,2.8,210.0,1.0,3.0,15.0,687.0,18.0,0.0,0.0,0.0,2.3,0.0,34.5,33.2,0.2,2.4,2067.6,0.0,16.83,2.4,19.1,18.7,18.7,19.5,22.1,19.5,20.7,19.6,39.1,39.0,12.6,15.7,16.9,18.5,28.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,15.0,15.0,16.0,84.0,54.0,92.0,15.0,15.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,280.01,86.0,86.0,86.0,10.3,6.74,13.54,0.06,36.4,0.0,0.0,172.6,2.7,206.0,1.0,3.0,14.0,687.0,18.0,0.0,0.0,0.0,4.5,0.0,34.4,33.0,0.2,2.3,2067.6,0.0,16.83,2.5,19.3,18.8,18.8,19.6,22.3,19.6,20.7,19.7,39.3,39.2,13.0,15.5,16.8,18.2,28.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,15.0,15.0,16.0,84.0,55.0,92.0,15.0,15.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,280.01,86.0,86.0,86.0,10.66,5.92,15.22,0.06,8.7,0.02,0.01,110.8,2.3,193.0,1.0,3.0,15.0,688.0,18.0,0.0,0.0,0.0,2.9,0.0,34.8,33.4,0.2,2.4,2067.6,0.0,16.83,2.4,19.1,18.7,18.8,19.6,22.1,19.5,20.7,19.6,39.2,39.2,12.9,15.7,16.9,18.2,28.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,15.0,15.0,16.0,84.0,54.0,92.0,15.0,15.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,280.01,86.0,86.0,86.0,9.44,5.54,12.96,0.06,37.9,0.0,0.0,172.6,2.6,203.0,1.0,3.0,15.0,687.0,18.0,0.0,0.0,0.0,1.9,0.0,34.5,33.1,0.1,2.4,2067.6,0.0,16.83,2.5,19.3,18.8,18.8,19.6,22.3,19.6,20.7,19.8,39.5,39.4,13.0,15.6,17.1,18.2,28.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,15.0,15.0,16.0,84.0,56.0,91.0,15.0,15.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,280.01,86.0,86.0,86.0,9.4,5.68,12.2,0.05,47.0,0.0,0.01,172.7,2.1,193.0,1.0,3.0,16.0,687.0,18.0,0.0,0.0,0.0,2.9,0.0,33.9,32.6,0.2,2.4,2067.6,0.0,16.83,2.2,19.3,18.8,19.0,19.8,22.3,19.6,20.8,19.8,39.6,39.6,13.0,15.7,17.1,18.2,27.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,15.0,15.0,16.0,84.0,58.0,91.0,15.0,15.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,280.01,86.0,86.0,86.0,9.46,5.9,13.36,0.07,7.3,-0.01,0.0,177.5,2.1,197.0,1.0,3.0,16.0,687.0,18.0,0.0,0.0,0.0,0.8,0.0,34.6,33.3,0.2,2.4,2067.6,0.0,16.83,2.4,19.1,18.7,18.8,19.6,22.1,19.5,20.7,19.6,39.2,39.1,12.8,15.7,16.9,18.2,28.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,15.0,15.0,16.0,84.0,54.0,92.0,15.0,15.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,280.01,86.0,86.0,86.0,9.36,5.74,12.36,0.05,51.5,-0.02,0.0,172.6,2.1,195.0,1.0,3.0,15.0,687.0,18.0,-2.0,0.0,0.0,1.6,0.0,34.0,32.7,0.2,2.4,2067.6,0.0,16.83,2.4,19.4,18.8,19.0,19.8,22.3,19.6,20.8,19.8,39.7,39.6,13.0,15.7,17.2,18.2,27.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,15.0,15.0,16.0,84.0,58.0,91.0,15.0,15.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,280.01,86.0,86.0,86.0,10.56,6.58,13.98,0.06,-1.1,-0.01,0.0,177.0,2.3,210.0,1.0,3.0,16.0,687.0,18.0,0.0,0.0,0.0,0.9,0.0,34.6,33.2,0.2,2.4,2067.6,0.0,16.83,2.4,19.1,18.7,18.7,19.5,22.1,19.5,20.7,19.6,39.2,39.0,12.8,15.7,16.9,18.4,28.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,15.0,15.0,16.0,84.0,54.0,92.0,15.0,15.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,280.01,86.0,86.0,86.0,10.32,6.38,13.8,0.07,6.1,0.03,0.02,175.8,2.3,198.0,1.0,3.0,16.0,687.0,18.0,0.0,0.0,0.0,2.6,0.0,34.8,33.5,0.1,2.4,2067.6,0.0,16.83,2.4,19.1,18.7,18.8,19.6,22.1,19.5,20.7,19.6,39.2,39.1,12.8,15.7,16.9,18.2,28.0,30.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,15.0,15.0,16.0,84.0,54.0,92.0,15.0,15.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
