轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,229.39,92.13,93.64,92.56,0.0,0,0,0.04,-131.3,0.01,0.03,0,6.5,288,1,2,0,681,0,0,0,0,1.9,0,25.3,22.9,0.1,0.1,2120.7,0,16.91,13.3,20.0,19.0,18.7,19.6,22.3,20.1,19.2,19.7,17.5,17.6,18.5,24.9,20.9,23.0,26,25,25,0,0,0,1,8,3,0,19,19,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.04,-135.3,0.05,-0.03,0,8.3,287,1,2,0,682,0,0,0,0,2.9,0,25.2,22.8,0.1,0.1,2120.7,0,16.91,13.3,20.0,19.0,18.8,19.6,22.3,20.1,19.2,19.8,17.5,17.6,18.5,24.9,20.9,23.0,26,25,25,0,0,0,1,8,3,0,19,19,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.05,-135.0,-0.01,0.01,0,7.4,290,1,2,0,681,0,0,0,0,1.1,0,25.1,22.7,0.1,0.1,2120.7,0,16.91,13.3,20.0,19.0,18.7,19.6,22.3,20.1,19.2,19.7,17.5,17.6,18.5,24.9,20.9,23.0,26,25,25,0,0,0,1,8,3,0,19,19,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.04,-134.0,-0.04,-0.06,0,8.5,290,1,2,0,682,0,0,0,0,2.9,0,25.0,22.7,0.1,0.1,2120.7,0,16.91,13.3,20.0,19.0,18.8,19.7,22.3,20.1,19.2,19.8,17.5,17.6,18.5,25.0,20.9,23.0,26,25,25,0,0,0,1,8,3,0,19,19,19,30,18,18,25,25,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.03,-137.3,-0.04,-0.01,0,7.6,294,1,2,0,682,0,0,0,0,0.2,0,25.1,22.7,0.1,0.1,2120.7,0,16.91,13.2,19.9,18.8,18.7,19.6,22.2,19.9,19.2,19.6,17.5,17.6,18.5,24.9,20.8,22.8,26,25,25,0,0,0,1,8,3,0,19,19,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.04,-134.3,0.03,-0.01,0,7.3,290,1,2,0,681,0,0,0,0,1.2,0,25.3,22.9,0.1,0.1,2120.7,0,16.91,13.3,20.0,19.0,18.7,19.6,22.3,20.1,19.2,19.7,17.5,17.6,18.5,24.8,20.9,23.0,26,25,25,0,0,0,1,8,3,0,19,19,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.05,-134.3,0.07,0.03,0,7.8,289,1,2,0,682,0,0,0,0,1.9,0,25.5,23.0,0.1,0.1,2120.7,0,16.91,13.3,20.0,19.0,18.8,19.8,22.4,20.1,19.3,19.8,17.5,17.6,18.5,24.9,21.1,23.2,26,25,25,0,0,0,1,8,3,0,19,20,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.04,-129.0,0.01,0.01,0,7.4,287,1,2,0,682,0,0,0,0,1.1,0,25.4,23.0,0.1,0.1,2120.7,0,16.91,13.4,20.0,19.0,18.8,19.8,22.4,20.1,19.3,19.8,17.5,17.6,18.5,24.9,21.1,23.2,26,25,25,0,0,0,1,8,3,0,19,20,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.04,-135.4,0.0,0.0,0,8.2,287,1,2,0,682,0,0,0,0,0.4,0,25.3,22.8,0.1,0.1,2120.7,0,16.91,13.3,20.0,19.0,18.8,19.6,22.3,20.1,19.2,19.8,17.5,17.6,18.5,24.9,20.9,23.0,26,25,25,0,0,0,1,8,3,0,19,19,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.04,-133.1,0.05,-0.01,0,8.3,290,1,2,0,681,0,0,0,0,1.6,0,25.1,22.8,0.1,0.1,2120.7,0,16.91,13.5,20.1,19.1,18.8,19.8,22.4,20.2,19.3,19.8,17.5,17.6,18.7,24.9,21.1,23.2,26,25,25,0,0,0,1,8,3,0,19,20,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.04,-132.3,-0.03,0.0,0,7.2,289,1,2,0,682,0,0,0,0,2.1,0,25.1,22.8,0.1,0.1,2120.7,0,16.91,13.3,20.0,19.0,18.8,19.8,22.4,20.1,19.3,19.8,17.5,17.6,18.5,24.9,20.9,23.1,26,25,25,0,0,0,1,8,3,0,19,20,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.03,-136.8,0.04,0.01,0,7.8,292,1,2,0,682,0,0,0,0,1.4,0,25.1,22.8,0.1,0.1,2120.7,0,16.91,13.2,19.8,18.8,18.7,19.6,22.1,19.9,19.1,19.6,17.5,17.6,18.5,24.9,20.8,22.8,26,25,25,0,0,0,1,8,3,0,19,19,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.04,-132.9,0.0,0.03,0,7.5,289,1,2,0,682,0,0,0,0,1.2,0,25.4,23.0,0.1,0.1,2120.7,0,16.91,13.3,20.0,19.0,18.8,19.8,22.4,20.1,19.3,19.8,17.5,17.6,18.5,24.9,20.9,23.1,26,25,25,0,0,0,1,8,3,0,19,20,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.05,-131.9,-0.01,0.05,0,7.2,287,1,2,0,682,0,0,0,0,1.7,0,25.4,22.9,0.1,0.1,2120.7,0,16.91,13.3,20.0,19.0,18.8,19.6,22.3,20.1,19.2,19.7,17.5,17.6,18.5,24.9,20.9,23.0,26,25,25,0,0,0,1,8,3,0,19,19,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.04,-134.0,0.06,0.01,0,7.4,289,1,2,0,682,0,0,0,0,2.8,0,25.2,22.8,0.1,0.1,2120.7,0,16.91,13.3,20.0,19.0,18.7,19.6,22.3,20.1,19.2,19.7,17.5,17.6,18.5,24.9,20.9,23.0,26,25,25,0,0,0,1,8,3,0,19,19,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.04,-135.1,0.04,0.01,0,8.5,292,1,2,0,682,0,0,0,0,2.0,0,25.5,23.0,0.1,0.1,2120.7,0,16.91,13.2,19.9,18.9,18.7,19.6,22.3,19.9,19.2,19.6,17.5,17.7,18.5,24.9,20.9,23.0,26,25,25,0,0,0,1,8,3,0,19,19,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.04,-135.4,0.01,0.02,0,7.7,290,1,2,0,682,0,0,0,0,1.1,0,25.5,23.0,0.1,0.1,2120.7,0,16.91,13.3,20.0,19.0,18.7,19.6,22.3,20.1,19.2,19.7,17.5,17.6,18.5,24.9,20.9,23.0,26,25,25,0,0,0,1,8,3,0,19,19,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.05,-139.9,0.0,0.0,0,6.5,292,1,2,0,683,0,0,0,0,2.2,0,25.3,22.9,0.1,0.1,2120.7,0,16.91,13.2,19.9,18.8,18.7,19.6,22.3,19.9,19.2,19.6,17.5,17.6,18.5,24.9,20.8,23.0,26,25,25,0,0,0,1,8,3,0,19,19,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
0,229.39,92.13,93.64,92.56,0.0,0,0,0.05,-132.2,0.01,-0.01,0,7.2,290,1,2,0,681,0,0,0,0,1.3,0,25.5,23.0,0.1,0.1,2120.7,0,16.91,13.4,20.1,19.0,18.8,19.8,22.4,20.1,19.3,19.8,17.5,17.6,18.5,24.9,21.1,23.2,26,25,25,0,0,0,1,8,3,0,19,20,19,30,18,18,24,24,300,0,0,0,0,0,0,0,0,0
