轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,350.14,92.24,93.64,92.56,0.06,0,0,0.05,-178.1,-0.02,0.03,0,7.6,137,1,2,0,681,0,0,0,0,1.1,0,21.9,18.5,0.2,0.2,2120.7,0,16.91,22.3,25.7,21.3,20.2,22.2,24.6,25.0,20.4,21.8,15.3,15.2,20.5,19.3,23.9,29.5,25,25,25,0,0,0,1,8,3,0,18,18,20,29,16,17,19,19,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.05,-176.9,0.01,0.01,0,6.4,142,1,2,0,681,0,0,0,0,1.4,0,21.7,18.5,0.1,0.2,2120.7,0,16.91,22.5,25.6,21.1,20.1,22.1,24.6,24.8,20.4,21.7,15.2,15.3,20.3,19.3,23.9,29.1,25,25,25,0,0,0,1,8,3,0,18,18,20,28,16,17,19,19,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.05,-176.9,0.01,-0.01,0,4.3,141,1,2,0,682,0,0,0,0,1.3,0,22.0,18.5,0.1,0.2,2120.7,0,16.91,22.7,25.6,21.1,20.1,22.1,24.6,24.8,20.4,21.5,15.2,15.3,20.3,19.3,23.7,29.0,25,25,25,0,0,0,1,8,3,0,18,18,20,28,16,17,19,19,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.05,-151.0,0.0,0.0,0,6.1,122,1,2,0,681,0,0,0,0,2.0,0,22.0,18.7,0.1,0.2,2120.7,0,16.91,22.3,25.6,21.1,20.1,22.2,24.6,24.8,20.4,21.7,15.2,15.2,20.1,19.3,23.8,29.2,25,25,25,0,0,0,1,8,3,0,18,18,20,28,16,17,19,19,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.05,-154.4,0.01,0.0,0,6.8,121,1,2,0,681,0,0,0,0,2.6,0,21.5,18.4,0.2,0.2,2120.7,0,16.91,22.3,25.6,21.1,20.1,22.2,24.6,24.8,20.4,21.7,15.2,15.2,20.1,19.3,23.7,29.2,25,25,25,0,0,0,1,8,3,0,18,18,20,28,16,17,19,19,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.04,174.6,0.0,0.04,0,6.9,143,1,2,0,681,0,0,0,0,2.6,0,21.9,18.7,0.2,0.2,2120.7,0,16.91,22.7,25.6,21.1,20.1,22.1,24.6,24.8,20.4,21.7,15.3,15.3,20.3,19.3,23.9,29.0,25,25,25,0,0,0,1,8,3,0,18,18,20,28,16,17,19,19,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.04,0,0,0.05,175.2,0.0,0.0,0,8.0,133,1,2,0,680,0,0,0,0,1.6,0,21.9,18.4,0.2,0.2,2120.7,0,16.91,22.4,25.7,21.1,20.1,22.2,24.6,24.9,20.4,21.8,15.2,15.2,20.4,19.3,23.9,29.2,25,25,25,0,0,0,1,8,3,0,18,18,20,28,16,17,19,19,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.06,171.6,0.01,0.0,0,3.1,169,1,2,0,680,0,0,0,0,2.3,0,21.5,18.3,0.2,0.2,2120.7,0,16.91,23.8,25.6,21.1,20.1,22.1,24.4,24.8,20.4,21.5,15.2,15.2,20.3,19.2,23.7,29.0,25,25,25,0,0,0,1,8,3,0,18,18,20,28,16,17,19,19,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.05,-173.8,-0.01,0.0,0,8.1,136,1,2,0,680,0,0,0,0,2.9,0,21.6,18.3,0.2,0.2,2120.7,0,16.91,22.3,25.7,21.3,20.2,22.2,24.6,25.0,20.4,21.8,15.3,15.2,20.5,19.3,23.9,29.5,25,25,25,0,0,0,1,8,3,0,18,18,20,28,16,17,19,19,300,0,0,0,0,0,0,0,0,0
0,350.14,92.24,93.64,92.56,0.0,0,0,0.04,-178.3,0.01,0.0,0,4.4,144,1,2,0,681,0,0,0,0,2.2,0,22.1,18.8,0.2,0.2,2120.7,0,16.91,22.8,25.6,21.1,20.1,22.1,24.6,24.8,20.4,21.5,15.2,15.3,20.3,19.3,23.7,29.0,25,25,25,0,0,0,1,8,3,0,18,18,20,28,16,17,19,19,300,0,0,0,0,0,0,0,0,0
