轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,228.49,92.3,93.64,92.56,0.18,0.0,0.0,0.06,-18.5,0.0,0.01,0.0,4.8,243.0,1.0,2.0,0.0,675.0,0.0,0.0,0.0,0.0,2.4,0.0,23.8,22.2,0.1,0.1,2120.7,0.0,16.91,8.7,20.0,17.1,17.4,17.3,20.6,19.8,19.9,20.2,46.1,46.1,15.0,17.7,13.0,22.7,30.0,26.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,16.0,16.0,15.0,33.0,24.0,35.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,228.49,92.3,93.64,92.56,0.0,0.0,0.0,0.05,-7.0,0.01,0.0,0.0,5.0,242.0,1.0,2.0,0.0,677.0,0.0,0.0,0.0,0.0,1.6,0.0,24.4,22.6,0.1,0.1,2120.7,0.0,16.91,9.6,20.2,17.4,17.8,17.6,20.9,20.1,20.2,20.4,46.7,46.6,15.3,17.8,14.1,22.7,30.0,26.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,16.0,16.0,15.0,34.0,24.0,36.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,228.49,92.3,93.64,92.56,0.0,0.0,0.0,0.06,-35.7,0.01,0.03,0.0,4.6,238.0,1.0,2.0,0.0,676.0,0.0,0.0,0.0,0.0,1.5,0.0,23.8,22.1,0.1,0.1,2120.7,0.0,16.91,9.3,20.0,17.1,17.5,17.3,20.6,19.8,19.9,20.2,46.2,46.1,15.1,17.7,13.6,22.8,30.0,26.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,16.0,16.0,15.0,33.0,24.0,35.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,228.49,92.3,93.64,92.56,0.0,0.0,0.0,0.05,-9.0,0.01,-0.02,0.0,4.1,245.0,1.0,2.0,0.0,677.0,0.0,0.0,0.0,0.0,0.9,0.0,24.4,22.6,0.1,0.1,2120.7,0.0,16.91,9.4,20.2,17.4,17.8,17.6,21.0,20.1,20.2,20.4,46.7,46.6,15.3,17.8,14.0,22.7,30.0,26.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,16.0,16.0,15.0,34.0,24.0,36.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,228.49,92.3,93.64,92.56,0.0,0.0,0.0,0.06,4.4,0.0,0.01,0.0,3.8,225.0,1.0,2.0,0.0,680.0,0.0,0.0,0.0,0.0,1.4,0.0,24.0,22.3,0.1,0.1,2120.7,0.0,16.91,8.6,20.1,17.3,17.6,17.4,20.7,19.9,20.0,20.3,46.4,46.3,15.3,17.7,14.6,22.8,30.0,26.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,16.0,16.0,15.0,34.0,24.0,35.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,228.49,92.3,93.64,92.56,0.0,0.0,0.0,0.05,-14.9,0.03,0.0,0.0,4.6,244.0,1.0,2.0,0.0,675.0,0.0,0.0,0.0,0.0,3.0,0.0,24.1,22.3,0.1,0.1,2120.7,0.0,16.91,8.7,20.0,17.1,17.4,17.3,20.6,19.8,19.9,20.2,46.1,46.1,15.0,17.7,13.2,22.7,30.0,26.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,16.0,16.0,15.0,33.0,24.0,35.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,228.49,92.3,93.64,92.56,0.0,0.0,0.0,0.05,-30.0,-0.01,0.01,0.0,5.5,245.0,1.0,2.0,0.0,675.0,0.0,0.0,0.0,0.0,1.7,0.0,23.8,22.1,0.1,0.1,2120.7,0.0,16.91,8.8,20.0,17.1,17.4,17.3,20.6,19.8,19.9,20.2,46.2,46.1,15.0,17.7,13.5,22.7,30.0,26.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,16.0,16.0,15.0,33.0,24.0,35.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,228.49,92.3,93.64,92.56,0.0,0.0,0.0,0.06,10.8,0.01,-0.03,0.0,6.2,228.0,1.0,2.0,0.0,678.0,0.0,0.0,0.0,0.0,2.0,0.0,24.4,22.7,0.1,0.1,2120.7,0.0,16.91,9.0,20.2,17.3,17.8,17.4,20.9,19.9,20.1,20.4,46.5,46.4,15.1,17.8,14.3,22.7,30.0,26.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,16.0,16.0,15.0,34.0,24.0,35.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,228.49,92.3,93.64,92.56,0.0,0.0,0.0,0.06,-5.8,-0.01,0.01,0.0,5.5,223.0,1.0,2.0,0.0,678.0,0.0,0.0,0.0,0.0,2.6,0.0,24.2,22.5,0.1,0.1,2120.7,0.0,16.91,9.3,20.2,17.3,17.7,17.4,20.8,19.9,20.1,20.4,46.5,46.4,15.3,17.8,14.4,22.7,30.0,26.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,16.0,16.0,15.0,34.0,24.0,35.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,228.49,92.3,93.64,92.56,0.0,0.0,0.0,0.06,34.0,0.02,0.01,0.0,4.6,207.0,1.0,2.0,0.0,676.0,0.0,0.0,0.0,0.0,2.4,0.0,24.1,22.3,0.1,0.1,2120.7,0.0,16.91,10.1,19.9,17.0,17.3,17.1,20.4,19.8,19.7,20.1,45.9,45.8,15.0,17.7,13.7,22.7,30.0,26.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,15.0,16.0,15.0,33.0,23.0,35.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,228.49,92.3,93.64,92.56,0.0,0.0,0.0,0.06,-16.3,0.0,-0.03,0.0,6.0,235.0,1.0,2.0,0.0,679.0,0.0,0.0,0.0,0.0,1.9,0.0,23.9,22.3,0.1,0.1,2120.7,0.0,16.91,8.6,20.1,17.3,17.6,17.4,20.7,19.9,20.0,20.3,46.4,46.4,15.3,17.8,14.5,22.8,30.0,26.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,16.0,16.0,15.0,34.0,24.0,35.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,228.49,92.3,93.64,92.56,0.0,0.0,0.0,0.06,-15.6,0.01,-0.02,0.0,5.3,248.0,1.0,2.0,0.0,677.0,0.0,0.0,0.0,0.0,2.1,0.0,24.2,22.6,0.1,0.1,2120.7,0.0,16.91,9.3,20.2,17.4,17.8,17.6,21.0,20.1,20.2,20.4,46.7,46.6,15.3,17.8,14.0,22.7,30.0,26.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,16.0,16.0,15.0,34.0,24.0,36.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,228.49,92.3,93.64,92.56,0.0,0.0,0.0,0.06,-25.7,0.02,0.0,0.0,5.5,248.0,1.0,2.0,0.0,674.0,0.0,0.0,0.0,0.0,1.2,0.0,24.1,22.3,0.1,0.1,2120.7,0.0,16.91,8.4,19.9,17.1,17.4,17.3,20.6,19.8,19.8,20.1,46.1,46.0,14.8,17.7,13.0,22.7,30.0,26.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,15.0,16.0,15.0,33.0,23.0,35.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,228.49,92.3,93.64,92.56,0.0,0.0,0.0,0.05,2.4,0.01,0.02,0.0,3.2,231.0,1.0,2.0,0.0,679.0,0.0,0.0,0.0,0.0,1.7,0.0,24.1,22.3,0.1,0.1,2120.7,0.0,16.91,8.8,20.0,17.3,17.6,17.4,20.7,19.9,19.9,20.2,46.3,46.2,15.1,17.7,14.3,22.8,30.0,26.0,25.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,16.0,16.0,15.0,33.0,24.0,35.0,17.0,17.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
