轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0,350.14,92.13,93.64,92.56,0.12,0.0,0.0,0.06,-176.9,-0.01,0.01,0,5.3,201,1,2,0,686,0,0,0,0,1.7,0,15.9,14.4,0,0,2120.7,0,16.91,6.9,10.0,9.9,9.5,10.7,13.4,9.9,9.5,10.4,10.2,10.3,14.0,11.1,11.2,20.1,25,26,25,0,0,0,1,8,3,0,16,18,17,22,10,11,11,11,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.06,0.0,0.0,0.07,-169.8,0.02,-0.01,0,4.2,193,1,2,0,686,0,0,0,0,4.4,0,16.0,14.5,0,0,2120.7,0,16.91,6.9,9.9,9.9,9.4,10.7,13.3,9.9,9.5,10.4,10.2,10.3,14.0,11.1,11.2,20.2,25,26,25,0,0,0,1,8,3,0,15,18,17,22,10,11,11,11,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.0,0.0,0.1,0.1,-178.4,0.0,0.0,0,4.6,201,1,2,0,686,0,0,0,0,1.0,0,15.8,14.4,0,0,2120.7,0,16.91,7.0,9.9,9.9,9.3,10.6,13.2,9.9,9.3,10.4,10.2,10.3,13.8,11.0,11.2,20.4,25,26,25,0,0,0,1,8,3,0,15,18,17,22,10,11,11,11,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.0,0.0,0.0,0.05,-179.4,0.01,0.0,0,5.0,198,1,2,0,686,0,0,0,0,1.7,0,16.1,14.6,0,0,2120.7,0,16.91,7.0,9.9,9.9,9.4,10.6,13.2,9.9,9.4,10.4,10.2,10.3,14.0,11.1,11.2,20.4,25,26,25,0,0,0,1,8,3,0,15,18,17,22,10,11,11,11,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.54,0.0,0.06,0.09,-174.1,-0.01,0.0,0,5.0,194,1,2,0,686,0,0,0,0,2.9,0,16.0,14.4,0,0,2120.7,0,16.91,7.0,9.9,9.9,9.4,10.7,13.3,9.9,9.5,10.4,10.2,10.3,14.0,11.1,11.2,20.4,25,26,25,0,0,0,1,8,3,0,15,18,17,22,10,11,11,11,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.14,0.0,0.0,0.06,173.1,0.01,0.0,0,6.5,206,1,2,0,686,0,0,0,0,2.0,0,16.2,14.6,0,0,2120.7,0,16.91,7.3,10.0,10.1,9.5,10.7,13.4,10.1,9.5,10.4,10.2,10.3,14.0,11.1,11.2,20.5,25,26,25,0,0,0,1,8,3,0,16,18,18,22,10,11,11,11,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.0,0.0,0.0,0.07,-173.7,0.0,-0.01,0,5.4,199,1,2,0,686,0,0,0,0,1.8,0,16.0,14.5,0,0,2120.7,0,16.91,7.0,10.0,10.0,9.5,10.7,13.3,9.9,9.5,10.4,10.2,10.3,14.0,11.1,11.2,20.1,25,26,25,0,0,0,1,8,3,0,16,18,17,22,10,11,11,11,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.32,0.0,0.06,0.09,173.6,0.0,0.01,0,5.7,206,1,2,0,686,0,0,0,0,2.4,0,15.9,14.5,0,0,2120.7,0,16.91,7.2,10.0,10.1,9.5,10.7,13.4,10.1,9.5,10.4,10.2,10.3,14.0,11.1,11.2,20.3,25,26,25,0,0,0,1,8,3,0,16,18,17,22,10,11,11,11,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.02,0.0,0.0,0.05,-176.9,0.0,0.01,0,4.9,200,1,2,0,686,0,0,0,0,0.9,0,16.1,14.6,0,0,2120.7,0,16.91,7.0,10.0,10.0,9.5,10.7,13.4,9.9,9.5,10.4,10.2,10.3,14.1,11.1,11.2,20.1,25,26,25,0,0,0,1,8,3,0,16,18,17,22,10,11,11,11,300,0,0,0,0,0,0,0,0,0
0,350.14,92.13,93.64,92.56,0.0,0.0,0.0,0.05,180.0,0.0,0.01,0,5.8,205,1,2,0,686,0,0,0,0,2.8,0,16.1,14.5,0,0,2120.7,0,16.91,7.4,10.0,10.1,9.5,10.7,13.4,10.0,9.5,10.4,10.2,10.3,14.0,11.1,11.2,20.2,25,26,25,0,0,0,1,8,3,0,16,18,18,22,10,11,11,11,300,0,0,0,0,0,0,0,0,0
