轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,70.99,86.0,86.0,86.0,3.14,10.74,15.22,0.06,112.3,0.0,0.0,175.0,1.8,6.0,1.0,2.0,0.0,677.0,0.0,0.0,0.0,0.0,2.9,0.0,24.5,25.2,0.5,3.1,2067.6,0.0,16.83,-6.3,-2.7,-2.9,3.1,3.8,-1.4,-3.5,3.4,3.7,16.3,15.6,5.4,1.0,4.4,12.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,9.0,10.0,83.0,52.0,54.0,1.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70.99,86.0,86.0,86.0,3.16,10.74,15.26,0.05,107.3,-0.01,0.0,175.0,1.6,7.0,1.0,2.0,0.0,676.0,0.0,0.0,0.0,0.0,1.9,0.0,24.3,24.9,0.5,3.1,2067.6,0.0,16.83,-6.3,-2.7,-2.9,3.1,3.8,-1.4,-3.5,3.4,3.8,16.3,15.6,5.2,1.0,4.4,12.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,10.0,10.0,83.0,52.0,54.0,1.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70.99,86.0,86.0,86.0,3.14,10.68,14.92,0.05,114.5,0.0,0.0,175.0,1.7,10.0,1.0,2.0,0.0,676.0,0.0,0.0,0.0,0.0,3.1,0.0,23.9,24.6,0.5,3.1,2067.6,0.0,16.83,-5.9,-2.7,-2.9,2.9,3.7,-1.4,-3.5,3.3,3.7,16.3,15.7,5.5,1.0,4.3,12.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,10.0,10.0,83.0,52.0,55.0,1.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70.99,86.0,86.0,86.0,2.86,10.4,14.5,0.01,119.7,0.0,0.0,174.9,0.9,2.0,1.0,2.0,0.0,676.0,0.0,0.0,0.0,0.0,2.5,0.0,23.1,23.8,0.5,3.1,2067.6,0.0,16.83,-5.8,-2.7,-3.0,2.9,3.6,-1.5,-3.5,3.3,3.7,16.3,15.7,5.5,1.0,4.3,12.0,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,10.0,10.0,83.0,53.0,57.0,1.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70.99,86.0,86.0,86.0,2.94,10.42,14.76,0.02,-131.5,0.0,0.0,174.7,0.6,127.0,1.0,2.0,0.0,677.0,0.0,0.0,0.0,0.0,2.5,0.0,22.2,23.7,0.5,3.0,2067.6,0.0,16.83,-4.0,-2.7,-3.1,2.7,3.4,-1.5,-3.5,3.0,3.4,16.5,16.0,4.4,0.9,3.8,11.8,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,10.0,10.0,83.0,59.0,59.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70.99,86.0,86.0,86.0,3.06,10.52,15.02,0.05,108.3,0.0,0.0,174.8,2.0,347.0,1.0,2.0,0.0,676.0,0.0,0.0,0.0,0.0,3.7,0.0,22.2,23.0,0.5,3.0,2067.6,0.0,16.83,-4.7,-2.7,-3.0,2.8,3.5,-1.5,-3.5,3.1,3.5,16.4,15.8,5.5,0.9,4.2,12.0,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,9.0,10.0,83.0,54.0,59.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70.99,86.0,86.0,86.0,2.76,10.28,14.74,0.01,145.8,0.0,0.0,174.7,1.2,324.0,1.0,2.0,0.0,676.0,0.0,0.0,0.0,0.0,2.9,0.0,22.2,23.2,0.5,3.0,2067.6,0.0,16.83,-3.3,-2.7,-3.1,2.8,3.5,-1.5,-3.5,3.1,3.5,16.4,15.8,5.3,0.9,4.1,12.0,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,9.0,10.0,83.0,55.0,59.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70.99,86.0,86.0,86.0,3.2,10.66,15.12,0.05,102.3,-0.01,0.0,174.9,1.2,1.0,1.0,2.0,0.0,676.0,0.0,0.0,0.0,0.0,4.2,0.0,23.6,24.3,0.5,3.1,2067.6,0.0,16.83,-5.7,-2.7,-3.0,2.9,3.5,-1.4,-3.5,3.3,3.7,16.3,15.8,5.5,1.0,4.3,12.0,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,10.0,10.0,83.0,53.0,57.0,1.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70.99,86.0,86.0,86.0,2.94,10.46,14.7,0.04,75.9,-0.01,0.0,174.9,0.9,27.0,1.0,2.0,0.0,676.0,0.0,0.0,0.0,0.0,3.0,0.0,23.5,24.5,0.5,3.1,2067.6,0.0,16.83,-5.5,-2.7,-3.0,2.9,3.7,-1.4,-3.5,3.3,3.7,16.3,15.7,5.5,1.0,4.3,12.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,10.0,10.0,83.0,52.0,56.0,1.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70.99,86.0,86.0,86.0,3.08,10.58,15.14,0.05,105.4,0.0,0.0,174.9,0.9,359.0,1.0,2.0,0.0,676.0,0.0,0.0,0.0,0.0,3.1,0.0,23.7,24.3,0.5,3.1,2067.6,0.0,16.83,-5.2,-2.7,-3.0,2.9,3.7,-1.4,-3.5,3.3,3.7,16.4,15.7,5.5,1.0,4.3,12.0,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,10.0,10.0,83.0,53.0,57.0,1.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
