轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
2.74,158.26,21,21,21,2.3,3.44,1.54,2.78,-9.9,0.0,0.0,173.6,3.6,149,1,2,0,692,0,0,0,2.74,2.5,0,23.5,25.0,0.4,3.1,425.4,0,10.95,-12.4,-9.4,-9.4,-10.1,-10.4,-9.2,-9.8,-9.4,-9.5,5.3,4.8,-1.1,0.9,-9.2,2.0,26,26,25,0,0,0,5,5,4,0,7,7,8,80,58,57,0,0,300,0,0,0,0,0,0,0,0,0
2.76,268.24,21,21,21,2.28,3.3,1.76,2.79,4.1,0.01,0.0,173.5,3.3,139,1,2,0,691,0,0,0,2.74,2.0,0,24.6,26.0,0.4,3.1,425.4,0,10.95,-11.9,-9.4,-9.5,-10.6,-10.4,-9.2,-9.8,-9.4,-9.5,5.4,4.8,-1.3,0.6,-8.9,2.0,26,26,25,0,0,0,5,5,4,0,6,7,8,80,59,58,0,0,300,0,0,0,0,0,0,0,0,0
2.7,58.75,21,21,21,2.28,3.56,1.76,2.75,-3.5,-0.03,0.0,173.5,3.5,142,1,2,0,691,0,0,0,2.7,2.8,0,24.5,26.0,0.5,3.1,425.4,0,10.95,-12.1,-9.4,-9.5,-10.1,-10.4,-9.2,-9.8,-9.4,-9.5,5.4,4.8,-1.3,0.7,-8.9,2.1,26,26,25,0,0,0,5,5,4,0,6,7,8,80,58,58,0,0,300,0,0,0,0,0,0,0,0,0
2.57,222.77,21,21,21,2.48,3.5,1.76,2.57,1.7,0.01,0.0,173.6,3.3,140,1,2,0,692,0,0,0,2.54,3.7,0,24.2,25.7,0.5,3.1,425.4,0,10.95,-11.9,-9.4,-9.5,-10.5,-10.4,-9.2,-9.8,-9.4,-9.5,5.3,4.8,-1.4,0.8,-9.0,2.0,26,26,25,0,0,0,5,5,4,0,6,7,8,80,58,58,0,0,300,0,0,0,0,0,0,0,0,0
2.57,79.74,21,21,21,2.28,3.38,1.84,2.61,0.6,0.02,-0.01,173.5,3.2,140,1,2,0,692,0,0,0,2.56,2.1,0,24.2,25.7,0.4,3.1,425.4,0,10.95,-11.9,-9.4,-9.5,-10.2,-10.4,-9.2,-9.8,-9.4,-9.5,5.3,4.8,-1.4,0.7,-9.0,2.0,26,26,25,0,0,0,5,5,4,0,6,7,8,80,58,58,0,0,300,0,0,0,0,0,0,0,0,0
2.76,275.0,21,21,21,2.32,3.5,1.8,2.79,-11.6,-0.03,-0.02,173.7,3.7,153,1,2,0,692,0,0,0,2.74,2.9,0,22.9,24.3,0.5,3.1,425.4,0,10.95,-12.2,-9.4,-9.4,-10.7,-10.4,-9.2,-9.8,-9.4,-9.6,5.3,4.7,-1.1,0.9,-9.0,2.0,26,26,25,0,0,0,5,5,4,0,7,7,8,80,58,57,0,0,300,0,0,0,0,0,0,0,0,0
2.67,351.76,21,21,21,2.4,3.42,1.84,2.71,0.6,-0.01,0.0,173.6,3.1,142,1,2,0,692,0,0,0,2.64,2.9,0,24.2,25.7,0.5,3.1,425.4,0,10.95,-11.9,-9.4,-9.5,-10.1,-10.4,-9.2,-9.8,-9.4,-9.5,5.3,4.8,-1.3,0.7,-8.9,2.1,26,26,25,0,0,0,5,5,4,0,7,7,8,80,58,57,0,0,300,0,0,0,0,0,0,0,0,0
2.76,301.25,21,21,21,2.64,3.44,1.72,2.79,4.6,0.0,0.0,173.4,3.3,139,1,2,0,691,0,0,0,2.74,3.5,0,24.6,25.8,0.5,3.1,425.4,0,10.95,-11.9,-9.4,-9.5,-10.6,-10.4,-9.2,-9.8,-9.4,-9.5,5.4,4.8,-1.3,0.6,-8.9,2.0,26,26,25,0,0,0,5,5,4,0,6,7,8,80,59,58,0,0,300,0,0,0,0,0,0,0,0,0
2.63,74.27,21,21,21,2.28,3.52,1.76,2.68,-1.0,-0.02,0.0,173.5,3.4,141,1,2,0,691,0,0,0,2.62,2.4,0,24.5,26.0,0.4,3.2,425.4,0,10.95,-12.0,-9.4,-9.5,-10.1,-10.4,-9.2,-9.8,-9.4,-9.5,5.4,4.8,-1.4,0.7,-8.9,2.1,26,26,25,0,0,0,5,5,4,0,6,7,8,80,58,58,0,0,300,0,0,0,0,0,0,0,0,0
2.67,272.02,21,21,21,2.32,3.44,1.14,2.71,-3.2,-0.01,0.0,173.6,3.3,143,1,2,0,692,0,0,0,2.66,2.3,0,23.9,25.3,0.5,3.1,425.4,0,10.95,-12.0,-9.4,-9.5,-10.2,-10.4,-9.2,-9.8,-9.4,-9.5,5.3,4.8,-1.3,0.7,-8.9,2.0,26,26,25,0,0,0,5,5,4,0,6,7,8,80,58,58,0,0,300,0,0,0,0,0,0,0,0,0
2.7,59.51,21,21,21,2.36,3.58,1.88,2.82,-9.2,-0.02,-0.02,173.7,3.7,148,1,2,0,692,0,0,0,2.7,2.7,0,22.2,24.1,0.4,3.1,425.4,0,10.95,-12.0,-9.4,-9.4,-10.1,-10.4,-9.2,-9.8,-9.4,-9.5,5.3,4.7,-1.1,0.9,-9.0,2.0,26,26,25,0,0,0,5,5,4,0,7,7,8,80,58,57,0,0,300,0,0,0,0,0,0,0,0,0
2.85,272.48,21,21,21,2.22,3.58,1.9,2.95,-9.1,-0.01,-0.01,173.6,3.8,151,1,2,0,692,0,0,0,2.84,2.7,0,23.4,24.9,0.4,3.1,425.4,0,10.95,-12.3,-9.4,-9.5,-10.7,-10.4,-9.2,-9.8,-9.4,-9.5,5.3,4.8,-1.2,0.7,-9.1,2.0,26,26,25,0,0,0,5,5,4,0,7,7,8,80,58,57,0,0,300,0,0,0,0,0,0,0,0,0
2.58,110.74,21,21,21,2.46,3.36,1.82,2.62,-3.9,-0.02,-0.01,173.5,3.2,140,1,2,0,692,0,0,0,2.56,4.1,0,24.2,25.6,0.5,3.1,425.4,0,10.95,-11.9,-9.4,-9.5,-10.2,-10.4,-9.2,-9.8,-9.4,-9.5,5.3,4.8,-1.4,0.7,-9.0,2.0,26,26,25,0,0,0,5,5,4,0,6,7,8,80,58,58,0,0,300,0,0,0,0,0,0,0,0,0
2.76,273.24,21,21,21,2.24,3.48,1.88,2.8,-5.6,-0.02,0.0,173.6,3.6,145,1,2,0,692,0,0,0,2.76,2.7,0,23.7,25.2,0.5,3.1,425.4,0,10.95,-12.1,-9.4,-9.4,-10.2,-10.4,-9.2,-9.8,-9.4,-9.5,5.3,4.8,-1.3,0.7,-8.9,2.0,26,26,25,0,0,0,5,5,4,0,7,7,8,80,58,57,0,0,300,0,0,0,0,0,0,0,0,0
2.84,306.76,21,21,21,2.46,3.44,1.92,2.89,-6.9,0.01,0.01,173.7,3.7,151,1,2,0,692,0,0,0,2.84,2.3,0,23.2,24.8,0.5,3.1,425.4,0,10.95,-12.3,-9.4,-9.5,-10.7,-10.4,-9.2,-9.8,-9.4,-9.5,5.3,4.8,-1.2,0.7,-9.1,2.0,26,26,25,0,0,0,5,5,4,0,7,7,8,80,58,57,0,0,300,0,0,0,0,0,0,0,0,0
2.74,220.25,21,21,21,2.34,3.54,1.74,2.72,10.9,0.01,0.0,173.5,3.1,138,1,2,0,691,0,0,0,2.72,4.0,0,24.7,26.2,0.5,3.1,425.4,0,10.95,-11.9,-9.4,-9.5,-10.5,-10.4,-9.2,-9.8,-9.4,-9.5,5.4,4.8,-1.3,0.7,-8.9,2.0,26,26,25,0,0,0,5,5,4,0,6,7,8,80,59,58,0,0,300,0,0,0,0,0,0,0,0,0
2.58,249.52,21,21,21,2.28,3.4,1.66,2.61,-4.2,-0.02,0.0,173.6,3.4,141,1,2,0,691,0,0,0,2.56,3.4,0,24.3,25.8,0.5,3.1,425.4,0,10.95,-11.9,-9.4,-9.5,-10.1,-10.4,-9.2,-9.8,-9.4,-9.5,5.3,4.8,-1.4,0.7,-9.0,2.0,26,26,25,0,0,0,5,5,4,0,6,7,8,80,58,58,0,0,300,0,0,0,0,0,0,0,0,0
2.73,304.49,21,21,21,2.44,3.4,1.86,2.79,-9.3,0.0,-0.02,173.7,3.8,148,1,2,0,692,0,0,0,2.72,2.4,0,22.8,24.1,0.4,3.1,425.4,0,10.95,-12.1,-9.4,-9.4,-10.1,-10.4,-9.2,-9.8,-9.4,-9.5,5.3,4.7,-1.1,0.8,-9.0,2.0,26,26,25,0,0,0,5,5,4,0,7,7,8,80,58,57,0,0,300,0,0,0,0,0,0,0,0,0
