轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.13,141.98,0.33,0.26,0.26,8.2,10.6,9.48,11.18,4.2,0.02,0.01,173.2,5.4,113,1,3,395,693,474,0,528,11.14,612.2,388,31.1,32.9,0.6,2.8,926.9,0,14.19,-7.3,8.7,9.4,11.0,11.9,8.6,7.7,11.8,11.7,33.7,33.5,6.1,6.5,-0.8,10.5,35,30,25,0.0,0.0,0.0,6,6,4,0,11,12,12,94,52,58,6,6,300,0,0,0,0,0,0,0,0,0
11.19,151.99,0.31,0.29,0.28,8.12,9.94,8.98,11.36,-0.8,0.04,0.05,173.2,6.1,115,1,3,400,695,476,-1,529,11.22,611.0,389,31.2,33.1,0.6,2.8,889.0,0,14.0,-7.3,8.7,9.4,10.9,11.9,8.6,7.7,11.7,11.6,33.7,33.5,6.2,6.7,-0.8,10.4,35,30,25,0.0,0.0,0.0,6,6,4,0,11,11,12,94,53,59,6,6,300,0,0,0,0,0,0,0,0,0
11.55,45.0,0.32,0.26,0.26,10.12,10.66,8.74,11.48,9.8,-0.02,0.01,173.2,5.3,111,1,3,434,694,519,0,576,11.52,648.9,411,31.0,32.4,0.6,2.8,800.1,0,13.51,-7.3,8.6,9.4,10.7,11.9,8.6,7.7,11.8,11.7,33.7,33.5,6.1,6.5,-0.7,10.4,35,30,25,0.0,0.0,0.0,6,6,4,0,11,12,12,94,52,58,6,6,300,0,0,0,0,0,0,0,0,0
10.98,239.0,0.39,0.33,0.32,8.4,9.88,8.28,11.03,10.6,-0.07,-0.01,173.1,5.3,115,1,3,373,695,450,0,496,10.98,582.3,372,32.1,33.3,0.6,2.8,734.7,0,13.13,-7.3,8.7,9.4,10.7,11.9,8.6,7.7,11.6,11.7,33.7,33.6,5.9,6.6,-1.0,10.4,34,30,25,0.7,0.0,0.0,6,6,4,0,11,12,12,94,54,60,6,6,300,0,0,0,0,0,0,0,0,0
11.2,85.0,0.31,0.29,0.28,8.76,9.92,8.8,11.03,0.9,-0.02,-0.01,173.1,6.4,115,1,3,392,695,482,0,528,11.2,609.3,389,31.0,32.6,0.6,2.8,889.0,0,14.0,-7.3,8.6,9.4,11.0,11.9,8.6,7.7,11.7,11.6,33.7,33.5,6.2,6.7,-0.8,10.4,35,30,25,-0.2,0.0,0.0,6,6,4,0,11,11,12,94,53,59,6,6,300,0,0,0,0,0,0,0,0,0
11.15,231.01,0.34,0.26,0.26,8.44,10.92,9.1,11.3,3.0,-0.02,0.06,173.2,5.8,114,1,3,391,694,474,0,521,11.16,606.8,386,31.7,33.0,0.6,2.8,926.9,0,14.19,-7.3,8.6,9.4,10.8,11.9,8.6,7.7,11.7,11.7,33.7,33.5,6.1,6.5,-0.8,10.5,35,30,25,0.6,0.0,0.0,6,6,4,0,11,12,12,94,52,58,6,6,300,0,0,0,0,0,0,0,0,0
11.22,196.99,0.27,0.28,0.28,7.92,10.02,8.28,11.19,3.6,-0.01,-0.03,173.1,4.8,114,1,3,401,695,492,0,547,11.24,620.7,394,31.2,32.6,0.6,2.8,932.0,0,14.22,-7.3,8.6,9.4,10.7,11.9,8.6,7.7,11.7,11.7,33.7,33.5,6.2,6.6,-0.8,10.5,35,31,25,0.0,0.0,0.0,6,6,4,0,11,12,12,94,53,59,6,6,300,0,0,0,0,0,0,0,0,0
11.52,11.02,0.26,0.28,0.28,9.1,7.48,4.76,11.5,1.2,0.03,0.02,173.2,5.6,114,1,3,428,695,524,0,576,11.5,646.5,411,31.5,33.1,0.6,2.8,932.0,0,14.22,-7.3,8.6,9.4,10.8,11.9,8.6,7.7,11.7,11.7,33.7,33.5,6.2,6.5,-0.7,10.4,35,30,25,2.6,1.8,0.8,6,6,4,0,11,12,12,94,53,59,6,6,300,0,0,0,0,0,0,0,0,0
11.15,286.99,0.32,0.29,0.28,8.7,10.06,8.36,11.24,-4.9,0.01,-0.02,173.1,5.5,118,1,3,392,695,477,0,523,11.12,606.9,386,31.7,33.2,0.6,2.8,917.7,0,14.14,-7.3,8.7,9.4,10.7,11.9,8.6,7.7,11.6,11.7,33.8,33.5,6.2,6.7,-0.8,10.4,35,31,25,0.0,0.0,0.0,6,6,4,0,11,11,12,94,53,60,6,6,300,0,0,0,0,0,0,0,0,0
11.15,115.99,0.33,0.26,0.26,8.1,10.26,9.06,11.15,-1.2,0.0,-0.04,173.2,5.8,114,1,3,391,693,473,0,518,11.14,606.2,385,31.2,33.0,0.6,2.8,926.9,0,14.19,-7.3,8.6,9.4,10.9,11.9,8.6,7.7,11.7,11.7,33.7,33.5,6.1,6.5,-0.8,10.4,35,30,25,0.0,0.0,0.0,6,6,4,0,11,12,12,94,52,58,6,6,300,0,0,0,0,0,0,0,0,0
9.81,171.0,0.37,0.28,0.28,6.46,3.22,7.88,9.97,3.2,0.0,0.04,173.2,4.8,118,1,3,278,693,332,0,371,9.8,471.7,301,31.5,32.6,0.6,2.8,645.8,0,12.58,-7.3,8.7,9.4,11.0,12.0,8.7,7.8,11.8,11.8,33.5,33.5,5.9,6.5,-0.8,10.3,33,29,25,0.0,1.6,0.0,6,6,4,0,11,12,12,94,53,58,6,6,300,0,0,0,0,0,0,0,0,0
10.45,141.98,0.33,0.29,0.28,7.28,9.22,8.4,10.51,-0.2,0.03,0.02,173.2,5.3,120,1,3,326,694,390,-1,442,10.46,532.8,340,31.3,33.1,0.6,2.8,834.8,0,13.7,-7.3,8.7,9.4,10.8,11.9,8.6,7.7,11.6,11.7,33.8,33.5,6.2,6.7,-0.8,10.4,34,30,25,0.0,0.0,0.0,6,6,4,0,11,11,12,94,53,60,6,6,300,0,0,0,0,0,0,0,0,0
10.22,164.02,0.35,0.27,0.28,6.54,9.3,7.22,10.26,-0.3,0.06,0.05,173.3,5.3,120,1,3,303,693,366,0,405,10.24,507.4,326,31.1,32.3,0.6,2.8,643.8,0,12.57,-7.4,8.7,9.4,10.9,12.0,8.7,7.8,11.9,11.8,33.5,33.5,5.9,6.4,-0.8,10.3,33,29,25,0.0,0.0,0.0,6,6,4,0,11,12,12,94,53,58,6,6,300,0,0,0,0,0,0,0,0,0
11.16,211.0,0.41,0.32,0.34,6.92,10.34,8.38,11.19,9.3,-0.06,-0.01,173.2,5.2,115,1,3,389,695,464,0,505,11.14,601.3,382,31.1,32.6,0.6,2.8,774.5,0,13.37,-7.3,8.7,9.4,10.5,11.9,8.6,7.7,11.7,11.7,33.7,33.5,6.2,6.5,-0.6,10.4,34,30,25,0.2,0.2,0.0,6,6,4,0,11,12,12,94,53,59,6,6,300,0,0,0,0,0,0,0,0,0
11.19,207.0,0.29,0.29,0.29,7.58,10.28,8.8,11.08,2.4,0.01,0.01,173.1,6.0,118,1,3,400,693,477,0,527,11.18,609.1,388,31.6,33.1,0.6,2.8,1250.6,0,15.57,-7.3,8.7,9.4,10.5,11.8,8.6,7.7,11.6,11.6,33.7,33.6,5.9,6.5,-0.9,10.6,35,31,25,0.0,0.2,0.0,6,6,4,0,11,12,12,94,54,59,6,6,300,0,0,0,0,0,0,0,0,0
10.71,211.0,0.4,0.32,0.3,6.68,9.3,8.4,10.74,1.4,0.0,0.02,173.1,5.3,116,1,3,352,694,419,0,472,10.72,559.8,357,31.9,33.1,0.6,2.8,724.4,0,13.07,-7.3,8.6,9.4,10.6,11.9,8.6,7.7,11.6,11.7,33.7,33.5,6.1,6.5,-0.6,10.4,34,30,25,0.0,0.0,0.0,6,6,4,0,11,12,12,94,53,59,6,6,300,0,0,0,0,0,0,0,0,0
11.19,275.0,0.28,0.29,0.29,9.52,10.46,8.7,11.21,-0.4,-0.02,-0.02,173.1,5.5,118,1,3,396,693,480,0,530,11.2,610.5,389,31.6,33.1,0.6,2.8,796.0,0,13.49,-7.3,8.6,9.4,10.7,11.8,8.6,7.7,11.6,11.6,33.7,33.6,5.9,6.5,-0.9,10.6,35,31,25,0.0,0.0,0.0,6,6,4,0,11,12,12,94,54,59,6,6,300,0,0,0,0,0,0,0,0,0
10.81,45.0,0.35,0.29,0.28,8.78,9.26,8.3,10.85,7.8,0.02,-0.01,173.1,5.8,118,1,3,361,694,426,0,484,10.8,565.9,361,31.7,33.2,0.6,2.8,790.9,0,13.46,-7.3,8.7,9.4,10.7,11.9,8.6,7.7,11.7,11.6,33.8,33.5,6.1,6.5,-0.9,10.4,34,30,25,0.0,0.0,0.0,6,6,4,0,11,12,12,94,53,60,6,6,300,0,0,0,0,0,0,0,0,0
10.43,297.0,0.37,0.29,0.28,8.22,8.96,8.36,10.44,-1.5,0.04,-0.07,173.2,5.2,119,1,3,324,694,386,0,431,10.42,528.3,336,31.3,32.7,0.6,2.8,807.2,0,13.55,-7.3,8.7,9.4,10.8,11.9,8.6,7.7,11.7,11.7,33.8,33.5,6.0,6.5,-0.9,10.6,34,30,25,0.0,-0.2,0.0,6,6,4,0,11,12,12,94,53,60,6,6,300,0,0,0,0,0,0,0,0,0
10.78,25.99,0.28,0.26,0.28,9.0,10.18,7.82,10.83,-5.5,-0.02,0.02,173.3,5.4,125,1,3,356,693,422,0,479,10.76,566.8,359,30.3,32.0,0.6,2.8,792.9,0,13.47,-7.6,8.7,9.4,11.2,12.0,8.7,7.8,11.9,11.8,33.4,33.5,5.3,6.4,-1.0,10.4,34,29,25,0.0,0.0,0.0,6,6,4,0,11,11,12,94,55,57,6,6,300,0,0,0,0,0,0,0,0,0
