轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,332.24,86.0,86.0,86.0,13.62,7.06,7.46,0.04,13.8,-0.01,0.0,172.3,2.1,288.0,1.0,2.0,0.0,687.0,0.0,0.0,0.0,0.0,2.8,0.0,23.8,25.1,0.5,3.0,425.4,0.0,10.95,-11.9,-2.2,-3.5,-0.8,-1.2,-3.2,-4.2,-0.6,0.5,11.0,10.1,2.9,7.6,1.1,14.4,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,11.0,90.0,53.0,57.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.24,86.0,86.0,86.0,13.7,7.22,7.56,0.05,-3.8,-0.01,0.0,172.4,2.3,288.0,1.0,2.0,0.0,687.0,0.0,0.0,0.0,0.0,2.4,0.0,24.1,25.2,0.5,3.0,425.4,0.0,10.95,-11.9,-2.2,-3.5,-0.8,-1.2,-3.2,-4.2,-0.6,0.5,11.0,10.1,2.9,7.6,1.1,14.5,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,11.0,90.0,53.0,57.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,4.0,86.0,86.0,86.0,13.86,11.84,0.36,0.09,16.7,0.0,-0.01,174.7,2.4,256.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,2.9,0.0,24.3,25.1,0.5,3.1,425.4,0.0,10.95,-12.1,-2.4,-3.7,-1.1,-1.4,-3.4,-4.2,-0.7,0.2,10.8,9.9,2.9,7.5,0.9,14.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,92.0,56.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,339.52,86.0,86.0,86.0,14.2,8.04,6.44,0.07,30.8,0.0,0.0,176.3,1.8,258.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,1.9,0.0,22.9,24.1,0.5,3.0,425.4,0.0,10.95,-12.0,-2.4,-3.7,-1.0,-1.4,-3.2,-4.2,-0.7,0.3,10.8,9.9,2.5,7.6,0.9,14.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,91.0,55.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.24,86.0,86.0,86.0,13.78,7.1,7.48,0.05,-2.1,-0.01,0.0,172.3,2.4,290.0,1.0,2.0,0.0,687.0,0.0,0.0,0.0,0.0,3.4,0.0,23.8,25.2,0.5,3.0,425.4,0.0,10.95,-11.9,-2.2,-3.5,-0.8,-1.2,-3.2,-4.2,-0.6,0.5,11.0,10.1,2.7,7.6,1.0,14.5,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,10.0,90.0,53.0,57.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.24,86.0,86.0,86.0,13.68,7.24,7.36,0.05,0.6,-0.01,0.0,172.3,2.2,288.0,1.0,2.0,0.0,687.0,0.0,0.0,0.0,0.0,4.0,0.0,23.8,25.1,0.5,3.0,425.4,0.0,10.95,-11.9,-2.2,-3.5,-0.8,-1.2,-3.2,-4.2,-0.6,0.5,11.0,10.1,2.9,7.6,1.1,14.5,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,10.0,90.0,53.0,57.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.24,86.0,86.0,86.0,13.64,7.22,7.48,0.05,31.5,0.0,0.0,172.1,1.5,262.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,3.1,0.0,23.6,24.6,0.5,3.0,425.4,0.0,10.95,-11.9,-2.4,-3.5,-0.9,-1.2,-3.2,-4.2,-0.6,0.3,10.9,10.0,2.8,7.6,0.9,14.4,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,11.0,91.0,54.0,58.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,338.26,86.0,86.0,86.0,14.12,8.02,6.48,0.05,23.1,-0.02,-0.03,177.2,1.9,262.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,2.4,0.0,23.1,24.0,0.5,3.0,425.4,0.0,10.95,-12.0,-2.4,-3.7,-1.0,-1.4,-3.3,-4.2,-0.7,0.3,10.8,10.0,2.5,7.6,0.8,14.2,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,91.0,55.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,5.76,86.0,86.0,86.0,13.46,12.0,0.08,0.09,13.5,-0.01,0.02,174.7,2.3,258.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,2.9,0.0,23.9,24.9,0.5,3.1,425.4,0.0,10.95,-12.1,-2.4,-3.7,-1.1,-1.4,-3.3,-4.2,-0.7,0.2,10.8,9.9,3.1,7.5,0.9,14.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,92.0,56.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.5,86.0,86.0,86.0,13.92,7.54,7.06,0.05,38.5,0.0,-0.04,3.3,2.8,249.0,1.0,2.0,0.0,687.0,0.0,0.0,0.0,0.0,2.3,0.0,23.3,24.6,0.5,3.0,425.4,0.0,10.95,-11.9,-2.4,-3.6,-0.9,-1.3,-3.2,-4.2,-0.7,0.3,10.9,10.0,2.7,7.5,0.8,14.3,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,10.0,13.0,11.0,91.0,54.0,58.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,359.24,86.0,86.0,86.0,14.16,11.14,1.46,0.08,30.7,-0.01,0.02,174.8,2.3,256.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,2.1,0.0,24.2,25.2,0.5,3.1,425.4,0.0,10.95,-12.1,-2.4,-3.7,-1.1,-1.4,-3.3,-4.3,-0.7,0.2,10.8,9.9,2.5,7.6,0.9,14.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,92.0,56.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,335.74,86.0,86.0,86.0,13.98,7.82,6.46,0.05,23.1,-0.01,-0.01,172.3,2.1,264.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,2.9,0.0,22.8,24.1,0.5,3.0,425.4,0.0,10.95,-11.9,-2.4,-3.6,-1.0,-1.4,-3.2,-4.2,-0.7,0.3,10.8,10.0,2.7,7.6,0.7,14.3,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,91.0,55.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,9.5,86.0,86.0,86.0,11.98,11.52,0.0,0.1,17.7,0.0,0.01,174.7,2.3,259.0,1.0,2.0,0.0,689.0,0.0,0.0,0.0,0.0,3.7,0.0,24.2,25.2,0.5,3.1,425.4,0.0,10.95,-12.1,-2.4,-3.7,-1.1,-1.4,-3.4,-4.3,-0.7,0.2,10.8,9.9,3.3,7.4,1.1,14.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,92.0,56.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,335.27,86.0,86.0,86.0,14.04,8.0,6.54,0.07,15.9,0.0,0.0,174.8,1.8,271.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,2.4,0.0,23.0,24.2,0.5,3.0,425.4,0.0,10.95,-11.9,-2.4,-3.6,-0.9,-1.4,-3.2,-4.2,-0.7,0.3,10.9,10.0,2.7,7.6,0.7,14.3,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,91.0,55.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.24,86.0,86.0,86.0,13.48,7.24,7.36,0.06,34.4,0.0,0.0,172.2,1.6,264.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,4.0,0.0,23.7,24.9,0.5,3.0,425.4,0.0,10.95,-11.9,-2.4,-3.5,-0.9,-1.2,-3.2,-4.2,-0.6,0.3,10.9,10.0,2.9,7.6,0.9,14.4,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,11.0,91.0,54.0,58.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,355.0,86.0,86.0,86.0,14.36,10.48,2.76,0.08,14.1,0.0,0.01,174.9,2.4,261.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,2.7,0.0,23.9,25.0,0.5,3.1,425.4,0.0,10.95,-12.1,-2.4,-3.7,-1.1,-1.4,-3.3,-4.3,-0.7,0.2,10.8,9.9,2.5,7.6,0.9,14.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,92.0,56.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.24,86.0,86.0,86.0,13.64,7.04,7.52,0.05,-4.6,0.0,0.0,172.3,2.3,291.0,1.0,2.0,0.0,687.0,0.0,0.0,0.0,0.0,4.0,0.0,23.8,24.8,0.5,3.0,425.4,0.0,10.95,-11.9,-2.2,-3.5,-0.8,-1.2,-3.2,-4.2,-0.6,0.5,11.0,10.1,2.7,7.6,1.0,14.4,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,10.0,90.0,53.0,57.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,340.99,86.0,86.0,86.0,14.26,8.3,6.14,0.08,19.3,0.0,0.01,175.9,2.0,259.0,1.0,2.0,0.0,687.0,0.0,0.0,0.0,0.0,3.2,0.0,22.7,24.1,0.5,3.0,425.4,0.0,10.95,-12.0,-2.4,-3.7,-1.1,-1.4,-3.2,-4.2,-0.7,0.3,10.8,10.0,2.5,7.6,0.9,14.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,91.0,55.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,335.27,86.0,86.0,86.0,14.06,8.02,6.64,0.06,35.6,0.0,-0.04,174.5,1.7,267.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,3.3,0.0,23.1,24.2,0.5,3.0,425.4,0.0,10.95,-11.9,-2.4,-3.6,-0.9,-1.4,-3.2,-4.2,-0.7,0.3,10.9,10.0,2.7,7.6,0.7,14.3,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,91.0,55.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,16.24,86.0,86.0,86.0,12.06,12.72,1.66,0.1,45.4,-0.01,-0.02,174.7,1.9,257.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,3.8,0.0,24.2,25.1,0.5,3.1,425.4,0.0,10.95,-11.9,-2.4,-3.7,-1.1,-1.5,-3.4,-4.3,-0.7,0.2,10.8,9.9,3.6,7.3,0.9,14.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,92.0,57.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,334.01,86.0,86.0,86.0,13.98,7.84,6.76,0.07,0.5,0.0,-0.02,110.3,1.7,259.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,3.0,0.0,23.3,24.2,0.5,3.0,425.4,0.0,10.95,-11.8,-2.4,-3.6,-0.9,-1.4,-3.2,-4.2,-0.7,0.3,10.9,10.0,2.6,7.5,0.8,14.3,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,91.0,54.0,58.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,336.49,86.0,86.0,86.0,14.12,7.9,6.54,0.03,16.6,0.0,-0.03,170.5,2.2,262.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,2.2,0.0,22.8,24.2,0.5,3.0,425.4,0.0,10.95,-11.9,-2.4,-3.6,-1.0,-1.4,-3.2,-4.2,-0.7,0.3,10.8,10.0,2.5,7.6,0.7,14.3,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,91.0,55.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.24,86.0,86.0,86.0,13.56,7.12,7.38,0.05,13.5,-0.01,0.0,172.2,1.9,283.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,2.5,0.0,23.8,25.1,0.5,3.0,425.4,0.0,10.95,-12.0,-2.3,-3.5,-0.8,-1.2,-3.2,-4.2,-0.6,0.4,11.0,10.1,2.9,7.6,0.9,14.3,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,11.0,90.0,53.0,58.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.24,86.0,86.0,86.0,13.38,6.88,6.6,0.0,20.9,0.0,0.0,172.2,1.7,283.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,2.4,0.0,23.5,24.8,0.5,3.0,425.4,0.0,10.95,-11.9,-2.2,-3.5,-0.9,-1.2,-3.2,-4.2,-0.6,0.4,11.0,10.1,2.7,7.6,0.9,14.4,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,10.0,90.0,53.0,57.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.24,86.0,86.0,86.0,13.28,6.72,7.4,0.01,-4.5,0.0,0.0,172.3,2.2,292.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,2.8,0.0,23.9,24.9,0.5,3.0,425.4,0.0,10.95,-11.9,-2.2,-3.5,-0.8,-1.2,-3.2,-4.2,-0.6,0.5,11.0,10.1,2.7,7.6,1.0,14.4,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,10.0,90.0,53.0,57.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.24,86.0,86.0,86.0,13.58,7.3,7.48,0.05,33.2,0.0,0.0,172.1,1.6,262.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,2.3,0.0,23.2,24.5,0.5,3.0,425.4,0.0,10.95,-11.9,-2.4,-3.5,-0.9,-1.2,-3.2,-4.2,-0.6,0.3,10.9,10.0,2.9,7.6,0.9,14.4,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,11.0,91.0,54.0,58.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,348.98,86.0,86.0,86.0,14.68,9.52,4.12,0.05,9.7,0.01,0.01,175.1,2.0,260.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,2.3,0.0,23.4,24.4,0.5,3.1,425.4,0.0,10.95,-12.1,-2.4,-3.7,-1.1,-1.4,-3.2,-4.2,-0.7,0.3,10.8,9.9,2.5,7.6,0.9,14.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,91.0,55.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.24,86.0,86.0,86.0,13.68,7.24,7.52,0.04,-4.3,0.0,0.0,172.3,2.3,291.0,1.0,2.0,0.0,687.0,0.0,0.0,0.0,0.0,2.6,0.0,24.1,25.1,0.5,3.0,425.4,0.0,10.95,-11.9,-2.2,-3.5,-0.8,-1.2,-3.2,-4.2,-0.6,0.5,11.0,10.1,2.7,7.6,1.0,14.4,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,10.0,90.0,53.0,57.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,4.25,86.0,86.0,86.0,13.78,11.66,0.0,0.08,22.5,-0.04,0.01,174.8,2.3,256.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,1.8,0.0,24.0,24.9,0.5,3.1,425.4,0.0,10.95,-12.1,-2.4,-3.7,-1.1,-1.4,-3.3,-4.2,-0.7,0.2,10.8,9.9,2.9,7.5,0.9,14.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,92.0,56.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.75,86.0,86.0,86.0,14.2,7.66,7.04,0.06,33.9,-0.01,0.01,3.4,2.7,249.0,1.0,2.0,0.0,687.0,0.0,0.0,0.0,0.0,2.3,0.0,23.4,24.7,0.5,3.0,425.4,0.0,10.95,-11.8,-2.4,-3.6,-0.9,-1.3,-3.2,-4.2,-0.7,0.3,10.9,10.0,2.7,7.5,0.9,14.3,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,10.0,13.0,11.0,91.0,54.0,58.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.24,86.0,86.0,86.0,13.58,7.14,7.56,0.05,2.7,0.0,0.0,172.2,2.0,284.0,1.0,2.0,0.0,687.0,0.0,0.0,0.0,0.0,1.9,0.0,23.4,24.6,0.5,3.0,425.4,0.0,10.95,-12.0,-2.3,-3.5,-0.9,-1.2,-3.2,-4.2,-0.6,0.4,10.9,10.1,2.9,7.6,0.9,14.3,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,11.0,90.0,54.0,58.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.24,86.0,86.0,86.0,13.7,6.94,7.5,0.04,0.6,0.0,0.0,172.3,2.2,291.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,2.4,0.0,24.0,25.4,0.5,3.0,425.4,0.0,10.95,-11.9,-2.2,-3.5,-0.8,-1.2,-3.2,-4.2,-0.6,0.5,11.0,10.1,2.9,7.6,1.1,14.4,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,11.0,90.0,53.0,57.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.24,86.0,86.0,86.0,13.58,7.04,7.42,0.05,-8.5,-0.02,0.0,172.3,2.2,291.0,1.0,2.0,0.0,687.0,0.0,0.0,0.0,0.0,2.1,0.0,24.3,25.5,0.5,3.0,425.4,0.0,10.95,-11.9,-2.2,-3.5,-0.8,-1.2,-3.2,-4.2,-0.6,0.5,11.0,10.1,2.9,7.6,1.1,14.4,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,11.0,90.0,53.0,57.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,332.24,86.0,86.0,86.0,13.48,7.02,7.4,0.03,10.7,0.0,0.0,172.2,1.8,283.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,3.0,0.0,23.9,25.1,0.5,3.0,425.4,0.0,10.95,-12.0,-2.3,-3.5,-0.8,-1.2,-3.2,-4.2,-0.6,0.4,10.9,10.1,2.9,7.6,0.9,14.3,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,13.0,11.0,90.0,53.0,58.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,345.49,86.0,86.0,86.0,14.08,8.96,5.28,0.08,47.5,0.0,-0.02,175.3,1.5,254.0,1.0,2.0,0.0,687.0,0.0,0.0,0.0,0.0,2.4,0.0,23.1,24.1,0.5,3.1,425.4,0.0,10.95,-12.1,-2.4,-3.7,-1.0,-1.4,-3.3,-4.2,-0.7,0.3,10.8,9.9,2.5,7.6,0.9,14.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,91.0,55.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,8.5,86.0,86.0,86.0,12.88,11.92,0.04,0.08,18.4,-0.01,-0.02,174.7,2.4,259.0,1.0,2.0,0.0,688.0,0.0,0.0,0.0,0.0,2.8,0.0,24.1,25.3,0.5,3.1,425.4,0.0,10.95,-12.1,-2.4,-3.7,-1.1,-1.4,-3.3,-4.3,-0.7,0.2,10.8,9.9,3.3,7.5,1.0,14.1,26.0,26.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,12.0,11.0,92.0,56.0,59.0,7.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
