轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.59,276.01,0.46,0.41,0.4,19.78,8.98,6.1,16.61,3.8,0.0,-0.01,171.5,10.0,95,1,3,1605,687,1919,0,2156,16.52,1768.4,1126,32.5,33.7,0.7,2.8,2067.6,0,16.83,-9.3,47.4,47.7,42.9,45.9,43.5,45.1,51.3,45.4,35.4,35.1,-1.3,3.6,2.6,13.8,56,48,25,15.0,4.6,3.9,6,6,4,0,6,7,8,94,53,59,3,3,300,0,0,0,0,0,0,0,0,0
16.65,141.01,0.76,0.74,0.69,5.58,12.66,5.66,16.74,3.1,-0.01,0.02,171.4,9.5,96,1,3,1649,687,1961,-1,2196,16.68,1800.3,1146,33.0,34.9,0.7,2.8,2067.6,0,16.83,-9.2,47.2,47.5,42.8,45.7,43.3,44.9,51.2,45.3,35.4,35.1,-1.3,3.6,2.6,13.8,57,48,25,16.6,41.1,14.8,6,6,4,0,6,7,8,94,52,58,3,3,300,0,0,0,0,0,0,0,0,0
16.41,20.02,0.3,0.22,0.22,27.54,27.44,34.62,16.4,-3.3,0.01,-0.04,171.4,10.1,97,1,3,1572,687,1869,-3,2132,16.38,1744.1,1107,33.2,36.4,0.7,2.9,2067.6,0,16.83,-9.2,47.1,47.4,42.7,45.5,43.1,44.7,51.0,45.2,35.4,35.1,-1.2,3.6,2.7,13.7,57,49,25,-157.7,-155.9,-189.5,6,6,4,0,6,7,7,94,53,57,3,3,300,0,0,0,0,0,0,0,0,0
16.29,79.99,0.3,0.28,0.31,15.6,15.54,17.04,16.31,-1.5,-0.05,0.04,171.4,8.5,95,1,3,1555,687,1854,2,2106,16.32,1728.1,1099,29.3,37.1,0.7,2.8,2067.6,0,16.83,-9.2,46.9,47.1,42.5,45.3,43.0,44.5,51.0,45.1,35.4,35.1,-1.0,3.6,2.7,13.7,58,49,25,-1.3,2.4,0.0,6,6,4,0,6,7,7,94,55,56,3,3,300,0,0,0,0,0,0,0,0,0
16.07,168.01,0.4,0.31,0.34,13.62,17.56,12.24,16.17,2.5,-0.03,0.04,171.4,9.0,93,1,3,1485,687,1767,-3,2015,16.1,1675.4,1063,28.8,33.8,0.7,2.8,2067.6,0,16.83,-9.3,46.9,47.1,42.4,45.3,43.0,44.5,51.0,45.1,35.4,35.1,-1.0,3.6,2.6,13.7,55,46,25,2.0,0.8,-1.8,6,6,4,0,6,7,8,94,58,55,3,3,300,0,0,0,0,0,0,0,0,0
16.71,337.0,0.81,0.76,0.72,21.02,13.6,15.74,16.69,-6.5,0.01,-0.03,171.4,9.2,97,1,3,1659,687,1976,-1,2226,16.68,1809.3,1150,28.7,34.4,0.7,2.8,2067.6,0,16.83,-9.3,47.2,47.5,42.7,45.6,43.3,44.8,51.1,45.3,35.4,35.1,-1.3,3.7,2.6,13.8,58,49,25,0.0,-0.6,2.8,6,6,4,0,6,7,7,94,52,58,3,3,300,0,0,0,0,0,0,0,0,0
16.47,132.98,0.28,0.31,0.31,4.88,11.28,3.68,16.56,-4.3,-0.05,-0.02,171.3,10.7,95,1,3,1599,688,1902,-1,2173,16.5,1762.6,1121,32.8,35.4,0.7,2.9,2067.6,0,16.83,-9.3,46.9,47.1,42.6,45.3,42.9,44.5,50.9,45.1,35.4,35.1,-1.0,3.6,2.7,13.7,55,47,25,11.3,29.3,8.8,6,6,4,0,6,7,8,94,57,56,3,3,300,0,0,0,0,0,0,0,0,0
16.4,11.99,0.33,0.28,0.29,18.38,12.82,10.76,16.42,-3.1,0.0,0.0,171.4,8.1,96,1,3,1574,687,1868,0,2134,16.38,1744.3,1108,33.0,36.1,0.7,2.8,2067.6,0,16.83,-9.2,46.8,47.1,42.5,45.3,42.9,44.5,50.9,45.0,35.4,35.1,-1.0,3.6,2.6,13.7,56,48,25,-2.0,0.0,9.3,6,6,4,0,6,7,8,95,59,55,3,3,300,0,0,0,0,0,0,0,0,0
16.45,245.99,0.22,0.21,0.25,20.46,18.82,10.08,16.54,-0.6,-0.01,-0.08,171.4,9.2,93,1,3,1559,687,1856,0,2109,16.42,1735.1,1103,32.6,36.0,0.7,2.9,2067.6,0,16.83,-9.2,46.9,47.1,42.3,45.3,43.0,44.5,51.0,45.1,35.4,35.1,-1.0,3.6,2.8,13.7,56,47,25,2.7,-0.8,0.0,6,6,4,0,6,7,8,94,55,56,3,3,300,0,0,0,0,0,0,0,0,0
16.69,178.99,0.68,0.65,0.65,15.64,18.84,13.64,16.75,-1.0,-0.02,0.01,171.4,9.3,96,1,3,1651,687,1968,3,2221,16.68,1805.5,1148,32.5,36.4,0.7,2.9,2067.6,0,16.83,-9.2,47.3,47.6,42.8,45.7,43.4,45.0,51.2,45.3,35.4,35.1,-1.3,3.8,2.6,13.8,58,50,25,2.2,1.3,-1.8,6,6,4,0,6,7,8,94,53,58,3,3,300,0,0,0,0,0,0,0,0,0
