轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.17,328.0,86,86,86,14.78,4.8,8.52,0.28,-10.8,0.0,-0.01,173.7,6.6,167,1,1,14,688,17,0,0,0,4.0,0,-2.3,0.8,0.3,3.1,2067.6,0,16.83,-28.8,-13.7,-14.0,-14.1,-15.1,-15.3,-14.9,-12.8,-11.3,20.0,20.1,-7.9,-3.8,-15.7,-9.5,26,26,25,0.0,0,0,1,4,4,0,0,1,2,85,55,52,-3,-3,300,0,0,0,0,0,0,0,0,0
0.14,360.0,86,86,86,14.62,11.64,1.18,0.25,-0.7,0.0,0.01,173.7,8.5,166,1,1,13,687,15,0,0,0,3.1,0,-2.3,0.7,0.3,3.1,2067.6,0,16.83,-28.8,-13.7,-14.1,-14.2,-15.1,-15.3,-15.0,-12.8,-11.3,19.9,20.0,-8.4,-4.0,-15.9,-9.5,26,26,25,0.0,0,0,1,4,4,0,0,1,2,85,55,52,-4,-4,300,0,0,0,0,0,0,0,0,0
0.09,212.0,86,86,86,7.48,16.78,6.08,0.2,-11.7,-0.01,0.01,173.8,8.2,166,1,1,13,687,17,-3,0,0,3.8,0,-2.0,1.0,0.3,3.1,2067.6,0,16.83,-28.8,-13.5,-13.9,-14.0,-15.0,-15.1,-14.7,-12.6,-11.1,20.2,20.3,-7.2,-4.1,-15.7,-9.8,26,26,25,0.0,0,0,1,4,4,0,1,1,2,85,54,51,-4,-4,300,0,0,0,0,0,0,0,0,0
0.21,245.99,86,86,86,0.1,15.04,12.32,0.24,1.4,0.01,-0.03,173.8,8.8,164,1,1,13,687,17,-1,0,0,4.6,0,-2.4,0.9,0.3,3.1,2067.6,0,16.83,-28.7,-13.6,-14.0,-14.0,-15.1,-15.1,-14.9,-12.7,-11.3,20.1,20.2,-7.5,-3.6,-15.7,-9.8,26,26,25,0.0,0,0,1,4,4,0,0,1,2,85,55,51,-3,-3,300,0,0,0,0,0,0,0,0,0
0.17,342.0,86,86,86,14.28,7.18,5.54,0.15,-9.3,-0.01,-0.02,173.7,9.9,167,1,1,14,687,15,0,0,0,3.0,0,-2.5,0.7,0.3,3.1,2067.6,0,16.83,-28.9,-13.7,-14.1,-14.2,-15.1,-15.3,-14.9,-12.8,-11.3,20.0,20.1,-8.2,-4.0,-15.8,-9.5,26,26,25,0.0,0,0,1,4,4,0,0,1,2,85,55,52,-4,-4,300,0,0,0,0,0,0,0,0,0
0.25,15.98,86,86,86,12.46,12.14,1.24,0.26,2.3,-0.01,-0.01,173.7,6.7,163,1,1,13,687,15,0,0,0,3.8,0,-2.5,0.8,0.3,3.1,2067.6,0,16.83,-28.7,-13.8,-14.2,-14.2,-15.2,-15.3,-15.0,-12.8,-11.4,19.9,20.0,-8.5,-4.2,-15.9,-9.5,26,26,25,0.0,0,0,1,4,4,0,0,1,1,85,55,51,-4,-4,300,0,0,0,0,0,0,0,0,0
0.33,155.99,86,86,86,12.38,10.62,8.98,0.4,1.7,0.0,0.01,173.6,4.9,159,1,1,12,687,15,-1,0,0,3.7,0,-2.6,0.7,0.3,3.1,2067.6,0,16.83,-28.7,-13.9,-14.4,-14.4,-15.3,-15.4,-15.1,-12.9,-11.5,19.7,19.9,-7.3,-4.7,-16.0,-9.6,26,26,25,0.0,0,0,1,4,4,0,1,1,1,85,55,53,-4,-4,300,0,0,0,0,0,0,0,0,0
0.24,256.0,86,86,86,5.0,13.74,12.86,0.21,1.1,-0.03,0.0,173.8,7.3,163,1,1,13,687,17,0,0,0,0.8,0,-2.5,0.9,0.3,3.1,2067.6,0,16.83,-28.6,-13.7,-14.0,-14.0,-15.1,-15.1,-14.9,-12.7,-11.3,20.1,20.2,-7.5,-3.6,-15.7,-9.8,26,27,25,0.0,0,0,1,4,4,0,0,1,2,85,55,51,-3,-3,300,0,0,0,0,0,0,0,0,0
0.28,42.01,86,86,86,6.68,12.9,8.88,0.33,-10.2,0.02,-0.04,173.9,7.8,164,1,1,13,687,15,-1,0,0,4.3,0,-2.1,0.9,0.3,3.1,2067.6,0,16.83,-28.6,-13.4,-13.7,-13.8,-14.8,-14.9,-14.6,-12.5,-11.1,20.4,20.5,-8.5,-4.3,-15.7,-9.9,26,26,25,0.0,0,0,1,4,4,0,0,1,1,85,54,50,-4,-4,300,0,0,0,0,0,0,0,0,0
0.28,46.01,86,86,86,6.02,12.06,8.7,0.35,-1.9,-0.02,0.02,173.7,7.2,162,1,1,14,687,17,2,0,0,1.5,0,-2.4,0.7,0.3,3.1,2067.6,0,16.83,-28.7,-13.8,-14.2,-14.2,-15.3,-15.3,-15.0,-12.9,-11.5,19.9,20.0,-8.3,-4.3,-15.9,-9.4,26,26,25,0.0,0,0,1,4,4,0,0,1,1,85,55,51,-4,-4,300,0,0,0,0,0,0,0,0,0
