轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.81,344.99,0.23,0.32,0.23,14.16,14.78,14.2,15.82,9.0,0.13,0.01,179.1,8.7,143,1,1,1138,648,1304,0,1480,15.76,1196.1,818,36.5,37.8,0.6,2.8,2180,0,17,14.4,34.5,35.9,38.2,33.4,36.3,38.6,34.9,36.0,48.3,47.5,20.8,22.7,24.2,24.5,48,45,25,0.3,0.3,-0.6,6,6,4,0,19,19,19,61,56,60,22,22,300,0,0,0,0,0,0,0,0,0
16.09,346.0,0.24,0.32,0.23,15.56,15.48,14.82,16.12,-26.4,0.01,0.06,0.0,8.8,150,1,1,1322,648,1526,-3,1725,16.08,1370.6,933,36.4,37.9,0.6,2.8,2180,0,17,14.6,34.1,35.6,37.8,33.1,35.9,38.3,34.7,35.6,48.2,47.5,20.8,22.7,24.2,24.5,52,47,25,0.0,0.7,-1.6,6,6,4,2,19,19,19,61,56,59,22,22,300,0,0,0,0,0,0,0,0,0
15.56,194.0,0.23,0.31,0.23,15.42,11.84,15.2,15.57,-1.1,-0.14,-0.02,113.3,7.6,151,1,1,1059,648,1217,-1,1373,15.56,1123.5,767,36.4,38.0,0.6,2.8,2180,0,17,14.5,34.4,35.8,38.1,33.3,36.1,38.5,34.8,35.8,48.3,47.5,20.8,22.7,24.3,24.4,50,46,25,-0.7,-0.3,0.7,6,6,4,0,19,19,19,61,56,60,22,22,300,0,0,0,0,0,0,0,0,0
11.53,213.01,0.26,0.35,0.25,9.22,6.96,6.84,11.51,5.2,-0.08,-0.12,63.7,6.8,173,1,1,423,642,472,2,510,11.48,587.0,403,37.2,37.3,0.6,2.8,2180,0,17,15.1,35.2,36.5,38.8,34.0,36.9,39.3,36.1,37.1,48.5,47.8,21.1,22.8,24.4,24.7,38,35,25,0.2,0.2,0.0,6,6,4,0,19,20,19,60,56,58,22,22,300,0,0,0,0,0,0,0,0,0
15.61,231.98,0.27,0.35,0.26,13.5,11.8,15.24,15.64,-6.8,-0.07,-0.03,176.9,7.3,161,1,1,1113,642,1276,-3,1420,15.62,1161.9,792,39.4,39.7,0.6,2.8,2180,0,17,14.9,34.7,36.1,38.4,33.6,36.5,38.8,35.8,36.8,48.6,47.9,21.1,22.8,24.5,24.8,50,46,25,-0.3,0.3,0.3,6,6,4,0,19,20,19,60,56,57,22,22,300,0,0,0,0,0,0,0,0,0
10.6,105.01,0.26,0.35,0.25,5.94,6.0,8.7,10.64,-7.2,-0.05,-0.02,0.0,6.0,174,1,1,330,642,378,3,403,10.58,500.8,343,37.1,36.8,0.6,2.8,2180,0,17,15.2,35.2,36.6,38.9,34.0,36.9,39.3,36.1,37.2,48.5,47.8,21.1,22.8,24.4,24.7,37,35,25,0.0,0.3,-0.2,6,6,4,2,19,20,19,61,56,59,22,22,300,0,0,0,0,0,0,0,0,0
16.17,205.99,0.27,0.35,0.26,15.08,12.28,15.76,16.18,-13.6,-0.17,-0.07,177.5,11.5,145,1,1,1351,649,1556,2,1774,16.16,1406.1,962,38.6,39.3,0.6,2.8,2180,0,17,14.3,35.2,36.6,38.9,34.0,36.9,39.3,35.5,36.6,48.4,47.6,20.9,22.7,24.5,24.7,53,49,25,-0.7,0.0,1.1,6,6,4,0,19,20,19,61,56,60,22,22,300,0,0,0,0,0,0,0,0,0
14.44,78.01,0.23,0.31,0.23,13.34,11.64,12.68,14.48,7.0,0.09,0.06,178.2,7.6,135,1,1,820,650,950,3,1066,14.44,935.7,641,36.3,37.5,0.6,2.8,2180,0,17,14.4,34.6,36.0,38.3,33.6,36.4,38.7,35.0,36.0,48.3,47.5,20.8,22.7,24.2,24.6,45,42,25,0.0,-0.3,-0.3,6,6,4,0,19,19,19,61,56,60,22,22,300,0,0,0,0,0,0,0,0,0
10.68,95.0,0.26,0.35,0.25,7.98,6.62,8.8,10.76,-12.1,-0.05,0.02,0.0,4.8,163,1,1,363,644,420,-3,445,10.72,539.8,366,35.9,37.2,0.6,2.8,2180,0,17,14.9,35.4,36.8,39.1,34.2,37.1,39.6,36.1,37.3,48.5,47.8,20.9,22.8,24.5,24.8,40,37,25,-0.2,0.1,0.0,6,6,4,2,19,20,19,61,56,59,22,22,300,0,0,0,0,0,0,0,0,0
15.31,267.98,0.27,0.35,0.26,12.9,12.12,14.86,15.36,1.7,-0.12,-0.02,177.1,7.6,159,1,1,1012,641,1156,0,1285,15.36,1074.4,732,39.7,40.2,0.7,2.8,2180,0,17,14.9,34.8,36.1,38.4,33.6,36.5,38.9,35.8,36.8,48.6,47.9,21.1,22.8,24.5,24.9,49,45,25,-0.3,0.5,0.3,6,6,4,0,19,20,19,61,56,57,22,22,300,0,0,0,0,0,0,0,0,0
