轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
14.13,141.98,15.98,16.03,15.9,8.0,8.68,9.74,14.16,-12.2,0.08,-0.17,178.8,14.9,22.0,1.0,1.0,853.0,650.0,976.0,0.0,1067.0,14.14,1011.2,654.0,38.8,40.3,0.6,2.8,977.0,0.0,14.44,25.2,57.1,58.2,61.8,55.3,60.1,60.1,58.2,59.6,61.6,60.8,35.4,37.8,39.2,39.9,48.0,43.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.59,122.0,15.14,15.22,15.07,8.66,9.08,10.62,13.59,-3.1,0.01,0.01,178.4,12.8,25.0,1.0,1.0,822.0,652.0,947.0,0.0,1048.0,13.58,1026.6,665.0,38.3,40.0,0.7,2.8,977.0,0.0,14.44,25.3,57.3,58.3,61.9,55.5,60.2,60.2,58.2,59.6,61.5,60.8,35.5,37.8,39.3,40.0,47.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.06,249.98,13.87,13.93,13.81,0.78,4.06,3.56,15.08,-2.0,0.16,0.04,177.8,13.3,14.0,1.0,1.0,878.0,647.0,1009.0,0.0,1100.0,15.0,974.3,629.0,38.7,40.3,0.6,2.8,977.0,0.0,14.44,25.7,57.4,58.5,62.0,55.5,60.3,60.3,58.2,59.6,61.5,60.8,35.5,37.7,39.4,40.0,48.0,43.0,25.0,4.0,22.0,19.0,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.69,266.0,13.46,13.54,13.36,14.18,13.4,17.04,13.71,3.1,-0.08,-0.04,107.7,12.3,36.0,1.0,1.0,809.0,653.0,936.0,-2.0,1026.0,13.68,1006.6,653.0,38.7,40.0,0.7,2.9,977.0,0.0,14.44,25.4,57.3,58.3,61.8,55.4,60.2,60.2,58.2,59.5,61.5,60.8,35.5,37.7,39.4,39.9,47.0,42.0,25.0,-162.4,-154.9,-193.2,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,71.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.01,173.99,14.7,14.76,14.64,7.8,8.06,9.1,14.06,9.6,0.19,0.07,178.2,12.5,11.0,1.0,1.0,844.0,648.0,972.0,0.0,1057.0,14.02,1009.9,654.0,39.1,40.5,0.7,2.8,977.0,0.0,14.44,25.4,57.4,58.5,62.0,55.6,60.3,60.3,58.3,59.7,61.5,60.8,35.5,37.7,39.4,39.9,48.0,43.0,25.0,-0.2,0.0,0.0,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.45,78.01,15.16,15.24,15.1,14.02,11.62,13.98,13.48,-11.0,-0.09,-0.05,178.0,14.4,27.0,1.0,1.0,823.0,652.0,942.0,0.0,1036.0,13.48,1028.4,665.0,38.6,39.9,0.6,2.8,977.0,0.0,14.44,25.4,57.3,58.4,61.9,55.5,60.2,60.2,58.2,59.5,61.5,60.8,35.5,37.8,39.3,40.0,47.0,42.0,25.0,-20.3,-18.6,-24.6,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.88,168.01,13.8,13.83,13.73,13.12,13.34,11.42,13.84,9.4,0.09,-0.05,178.6,11.1,7.0,1.0,1.0,836.0,651.0,960.0,0.0,1057.0,13.84,1021.0,661.0,38.3,39.8,0.7,2.9,977.0,0.0,14.44,25.1,57.1,58.0,61.6,55.2,59.9,60.0,58.0,59.3,61.6,60.9,35.4,37.9,39.4,40.0,47.0,42.0,25.0,-9.0,-8.3,-8.1,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.8,348.01,14.64,14.72,14.59,13.68,12.26,14.54,13.85,-7.6,-0.08,-0.09,177.0,10.7,21.0,1.0,1.0,820.0,647.0,938.0,-2.0,1043.0,13.84,995.6,645.0,38.6,40.2,0.6,2.8,977.0,0.0,14.44,25.7,57.4,58.4,62.1,55.5,60.2,60.3,58.3,59.8,61.5,60.8,35.5,37.8,39.4,40.0,47.0,42.0,25.0,-126.5,-113.4,-133.2,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.52,352.01,15.47,15.52,15.39,5.94,8.68,10.3,14.57,9.0,-0.19,-0.15,177.3,9.0,5.0,1.0,1.0,849.0,651.0,981.0,0.0,1089.0,14.54,988.6,640.0,38.3,40.0,0.6,2.8,977.0,0.0,14.44,25.1,57.1,58.1,61.7,55.2,60.0,60.0,58.1,59.5,61.6,60.9,35.4,37.8,39.3,40.0,47.0,42.0,25.0,0.0,0.2,0.0,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.39,164.02,15.47,15.52,15.39,8.06,8.54,9.44,14.41,3.7,0.28,0.05,178.6,12.1,6.0,1.0,1.0,854.0,651.0,979.0,0.0,1075.0,14.42,995.9,645.0,38.3,39.9,0.6,2.8,977.0,0.0,14.44,25.1,57.1,58.1,61.7,55.2,60.0,60.0,58.1,59.5,61.6,60.9,35.4,37.8,39.3,40.0,47.0,42.0,25.0,0.0,0.0,-0.8,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.92,47.99,15.47,15.52,15.39,5.02,7.68,10.62,13.95,7.5,-0.1,-0.05,178.1,13.1,18.0,1.0,1.0,835.0,651.0,960.0,-4.0,1072.0,13.96,1010.0,654.0,38.8,40.4,0.7,2.8,977.0,0.0,14.44,25.1,57.1,58.1,61.7,55.3,60.0,60.1,58.1,59.6,61.6,60.9,35.4,37.8,39.2,40.0,48.0,43.0,25.0,0.6,0.2,0.0,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.54,96.01,15.67,15.75,15.63,3.2,2.88,8.18,15.57,2.7,-0.21,-0.13,178.1,15.6,14.0,1.0,1.0,877.0,647.0,1006.0,0.0,1111.0,15.54,941.2,608.0,38.5,40.3,0.6,2.8,977.0,0.0,14.44,25.7,57.4,58.4,62.0,55.5,60.3,60.3,58.3,59.7,61.5,60.8,35.5,37.7,39.4,40.0,47.0,43.0,25.0,13.2,12.2,35.5,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.53,100.01,13.82,13.86,13.76,7.68,9.12,9.96,14.56,15.0,-0.08,0.03,178.1,10.0,5.0,1.0,1.0,868.0,647.0,987.0,0.0,1092.0,14.54,994.7,644.0,38.4,39.8,0.7,2.8,977.0,0.0,14.44,25.2,57.0,58.0,61.7,55.2,59.9,60.0,58.1,59.5,61.6,60.9,35.4,37.9,39.3,40.0,47.0,42.0,25.0,0.2,0.0,0.0,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.55,259.99,12.99,13.06,12.91,4.08,9.22,9.68,14.52,31.1,0.09,0.15,178.7,9.0,15.0,1.0,1.0,852.0,654.0,982.0,-2.0,1090.0,14.48,992.6,643.0,38.8,40.1,0.7,2.9,977.0,0.0,14.44,25.5,57.2,58.3,61.9,55.4,60.2,60.2,58.1,59.7,61.6,60.8,35.5,37.8,39.3,39.9,48.0,42.0,25.0,-0.5,0.8,0.0,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.48,64.01,12.05,12.1,11.96,17.58,17.0,18.08,13.49,4.3,-0.07,-0.05,178.1,9.1,13.0,1.0,1.0,807.0,647.0,924.0,-2.0,1027.0,13.48,1001.6,645.0,38.9,40.5,0.6,2.8,977.0,0.0,14.44,25.5,57.4,58.5,62.1,55.6,60.3,60.3,58.3,59.9,61.5,60.8,35.5,37.7,39.4,40.0,48.0,43.0,25.0,-283.0,-277.4,-297.0,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.51,281.99,14.89,14.98,14.81,6.38,8.34,10.24,14.57,-1.5,0.14,0.15,166.4,13.9,8.0,1.0,1.0,855.0,653.0,985.0,-2.0,1093.0,14.52,991.1,643.0,39.0,40.3,0.7,2.8,977.0,0.0,14.44,25.6,57.2,58.3,61.7,55.4,60.1,60.2,58.2,59.5,61.5,60.8,35.5,37.9,39.2,39.9,47.0,43.0,25.0,0.0,-0.4,0.0,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.2,69.98,15.49,15.53,15.41,13.92,12.28,14.64,14.17,7.5,-0.16,-0.13,178.2,12.9,19.0,1.0,1.0,838.0,651.0,966.0,0.0,1065.0,14.18,1006.2,647.0,38.8,40.4,0.7,2.8,977.0,0.0,14.44,25.1,57.1,58.1,61.8,55.3,60.0,60.1,58.1,59.6,61.6,60.9,35.4,37.8,39.2,40.0,48.0,43.0,25.0,-40.2,-37.7,-44.9,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.07,6.01,14.7,14.76,14.64,6.78,8.2,9.6,14.1,8.3,-0.15,-0.04,176.9,12.9,12.0,1.0,1.0,850.0,648.0,970.0,0.0,1067.0,14.1,1006.7,653.0,39.0,40.6,0.7,2.9,977.0,0.0,14.44,25.4,57.4,58.5,62.1,55.6,60.3,60.3,58.2,59.7,61.5,60.8,35.5,37.7,39.4,39.9,48.0,43.0,25.0,-0.2,0.0,0.0,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.34,298.01,13.79,13.83,13.73,8.04,8.62,9.62,14.33,9.0,0.08,0.25,177.7,10.5,6.0,1.0,1.0,854.0,649.0,982.0,0.0,1068.0,14.28,1004.3,649.0,38.6,39.9,0.6,2.8,977.0,0.0,14.44,25.2,57.0,58.0,61.7,55.2,60.0,60.0,58.1,59.5,61.6,60.9,35.4,37.9,39.3,40.0,47.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.16,202.0,14.87,14.95,14.79,7.14,8.12,8.26,14.21,-4.4,0.16,0.1,0.0,13.1,38.0,1.0,1.0,839.0,653.0,976.0,0.0,1074.0,14.18,1004.3,651.0,38.7,40.1,0.6,2.8,977.0,0.0,14.44,25.4,57.3,58.4,61.8,55.4,60.2,60.2,58.2,59.6,61.5,60.8,35.5,37.7,39.4,39.9,47.0,42.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,2.0,35.0,35.0,34.0,74.0,70.0,66.0,37.0,37.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
