轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.51,145.76,0.23,0.31,0.2,17.72,19.46,22.22,15.45,0.8,-0.17,0.06,176.0,10.9,166,1,1,1311,669,1553,-1,1736,15.46,1465.7,947,40.2,42.7,0.7,2.8,1646.1,0,16.2,22.6,60.6,61.7,65.1,60.2,63.3,64.4,62.0,63.9,61.4,60.5,31.8,34.2,36.2,36.9,58,52,25,-84.3,-89.1,-106.2,6,6,4,0,30,30,30,75,70,66,34,34,300,0,0,0,0,0,0,0,0,0
16.23,165.74,0.19,0.28,0.17,14.56,13.9,17.5,16.23,-0.6,-0.26,-0.05,176.3,11.1,170,1,1,1548,670,1832,3,2025,16.22,1660.8,1076,39.4,42.1,0.6,2.9,2037.6,0,16.79,22.8,61.3,62.4,65.7,60.8,63.9,65.0,62.4,64.2,61.4,60.5,31.8,34.2,36.2,37.1,59,53,25,-1.0,0.6,0.0,6,6,4,0,30,30,30,75,70,66,34,34,300,0,0,0,0,0,0,0,0,0
15.38,321.26,3.19,3.27,3.11,20.64,18.3,16.42,15.42,-9.8,0.23,-0.03,177.5,12.3,158,1,1,1234,672,1473,2,1624,15.34,1397.0,905,39.9,41.4,0.7,2.9,1484.4,0,15.95,22.6,61.0,62.1,65.6,60.5,63.7,64.9,62.3,64.2,61.3,60.5,31.8,34.1,36.2,36.9,54,49,25,-138.6,-125.7,-113.2,6,6,4,0,30,30,30,74,70,66,34,34,300,0,0,0,0,0,0,0,0,0
15.93,308.02,0.19,0.28,0.17,14.38,13.82,13.56,16.01,0.4,0.21,-0.02,176.5,9.4,171,1,1,1476,670,1744,-4,1943,15.94,1596.0,1030,39.6,42.2,0.6,2.8,2001.5,0,16.73,22.8,61.1,62.2,65.6,60.6,63.7,64.8,62.3,64.1,61.4,60.5,31.8,34.2,36.3,37.0,61,54,25,0.0,0.0,-0.3,6,6,4,0,30,30,30,75,70,66,34,34,300,0,0,0,0,0,0,0,0,0
15.15,70.74,0.25,0.33,0.23,13.2,10.98,13.1,15.18,4.1,-0.09,-0.07,176.9,8.0,166,1,1,979,668,1152,9,1240,15.14,1122.4,728,40.9,42.4,0.6,2.9,1265.0,0,15.59,22.9,60.1,61.1,64.6,59.6,62.7,63.8,61.9,63.9,61.4,60.5,31.8,34.2,36.1,36.9,50,45,25,0.0,0.0,0.6,6,6,4,0,30,30,30,74,69,65,34,34,300,0,0,0,0,0,0,0,0,0
14.84,184.5,0.25,0.33,0.23,12.66,11.34,13.18,14.84,3.7,0.24,0.07,178.0,6.4,165,1,1,968,667,1143,-3,1277,14.82,1112.2,717,41.2,42.3,0.7,2.9,1265.0,0,15.59,22.9,60.1,61.1,64.6,59.6,62.7,63.9,62.0,64.0,61.4,60.5,31.8,34.2,36.1,36.9,50,45,25,0.0,0.0,0.0,6,6,4,0,30,30,30,74,69,65,34,34,300,0,0,0,0,0,0,0,0,0
14.93,96.98,0.27,0.34,0.23,12.8,10.84,13.4,14.88,1.6,-0.11,-0.02,177.0,7.1,158,1,1,1020,672,1216,0,1357,14.9,1190.7,770,40.2,41.9,0.7,2.9,1484.4,0,15.95,22.8,61.1,62.2,65.6,60.6,63.8,65.0,62.4,64.1,61.3,60.5,31.8,34.2,36.1,37.0,53,47,25,0.0,0.0,0.9,6,6,4,0,30,30,30,75,70,66,34,34,300,0,0,0,0,0,0,0,0,0
16.2,137.02,6.2,6.28,6.15,16.7,15.88,22.46,16.23,-12.3,-0.21,-0.26,177.0,12.7,161,1,1,1277,673,1508,0,1664,16.2,1361.2,880,39.0,40.6,0.6,2.8,1484.4,0,15.95,22.7,61.0,62.0,65.5,60.4,63.7,64.8,62.2,64.1,61.3,60.5,31.8,34.2,36.3,36.9,54,49,25,-20.8,-16.9,-25.5,6,6,4,0,30,30,30,75,70,66,34,34,300,0,0,0,0,0,0,0,0,0
15.12,239.26,0.27,0.35,0.23,12.02,11.9,13.06,15.15,-7.6,0.09,0.08,177.8,8.8,157,1,1,1078,673,1285,-1,1432,15.1,1234.7,797,40.6,42.2,0.7,2.9,1484.4,0,15.95,23.0,61.0,62.1,65.5,60.5,63.7,64.9,62.4,64.3,61.3,60.5,31.8,34.1,36.1,36.9,53,47,25,0.0,0.8,-0.3,6,6,4,0,30,30,30,75,70,66,34,34,300,0,0,0,0,0,0,0,0,0
14.88,18.76,0.27,0.34,0.23,12.72,10.98,11.88,14.91,-13.4,-0.02,0.18,177.2,9.9,161,1,1,1029,673,1224,0,1368,14.9,1195.9,772,40.4,42.0,0.7,2.9,1484.4,0,15.95,22.8,61.2,62.2,65.6,60.6,63.8,65.0,62.4,64.1,61.3,60.5,31.8,34.2,36.1,37.0,53,47,25,0.0,-0.5,0.0,6,6,4,0,30,30,30,75,70,66,34,34,300,0,0,0,0,0,0,0,0,0
