轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
-0.01,78.98,86,86,86,15.34,9.56,1.36,0.01,54.4,-0.03,0.0,178.6,5.3,35,1,1,15,658,15,0,0,0,0.9,0,39.2,39.4,0.7,2.9,1122.1,0,15.12,30.7,49.9,51.0,54.0,49.5,51.5,53.1,51.6,52.6,59.3,59.1,34.8,36.2,39.4,39.7,34,35,25,0.0,0.0,0,2,4,2,0,33,33,33,75,68,62,36,36,300,0,0,0,0,0,0,0,0,0
-0.1,61.99,86,86,86,14.04,10.76,1.64,0.02,57.8,-0.02,-0.01,178.7,7.8,25,1,1,14,660,15,0,0,0,1.3,0,37.5,38.0,0.6,2.8,1122.1,0,15.12,28.8,49.4,50.4,53.5,49.1,51.0,52.6,50.9,51.9,58.7,58.5,34.9,36.3,39.5,39.9,32,33,25,0.0,0.0,0,2,4,2,0,33,34,33,76,68,62,36,36,300,0,0,0,0,0,0,0,0,0
0.03,81.0,86,86,86,14.96,9.68,1.42,0.01,57.9,0.03,0.0,178.6,3.8,43,1,1,14,659,17,0,0,0,0.8,0,39.1,39.1,0.7,2.9,1122.1,0,15.12,30.4,49.9,51.0,54.1,49.7,51.6,53.3,51.7,52.6,59.4,59.2,34.8,36.2,39.4,39.7,33,34,25,0.0,0.0,0,2,4,2,0,33,33,33,75,68,62,36,36,300,0,0,0,0,0,0,0,0,0
-0.09,63.0,86,86,86,14.2,10.84,1.64,0.02,59.1,0.04,0.02,178.6,7.7,24,1,1,14,660,15,0,0,0,1.2,0,37.6,38.1,0.7,2.8,1122.1,0,15.12,28.8,49.4,50.4,53.5,49.1,51.0,52.6,50.9,51.9,58.7,58.5,34.9,36.3,39.5,39.9,32,33,25,0.0,0.0,0,2,4,2,0,33,34,33,76,68,62,36,36,300,0,0,0,0,0,0,0,0,0
0.14,69.01,86,86,86,14.52,6.1,8.1,0.15,52.6,-0.01,0.0,178.7,9.1,27,1,1,14,659,17,0,0,0,3.1,0,37.5,37.9,0.6,2.8,1122.1,0,15.12,28.7,49.3,50.3,53.4,48.9,50.9,52.5,50.9,51.7,58.6,58.3,35.0,36.3,39.7,39.9,32,33,25,0.0,0.0,0,2,4,2,0,33,34,33,76,68,62,36,36,300,0,0,0,0,0,0,0,0,0
-0.18,105.98,86,86,86,11.74,9.16,4.4,0.11,69.0,-0.04,0.0,178.6,6.2,19,1,1,14,659,17,0,0,0,0.6,0,38.6,39.0,0.7,2.8,1122.1,0,15.12,29.0,49.6,50.6,53.7,49.2,51.1,52.8,51.2,52.0,58.9,58.7,34.9,36.2,39.4,39.9,33,34,25,0.0,0.0,0,2,4,2,0,33,34,33,75,68,62,36,36,300,0,0,0,0,0,0,0,0,0
-0.03,103.0,86,86,86,11.94,9.3,4.46,0.04,68.5,0.04,0.02,178.6,5.5,35,1,1,15,658,17,0,0,0,2.9,0,39.2,39.6,0.6,2.8,1122.1,0,15.12,29.3,49.6,50.7,53.8,49.3,51.2,52.9,51.2,52.2,59.0,58.8,34.9,36.2,39.4,39.8,34,35,25,0.0,0.0,0,2,4,2,0,33,33,33,75,68,62,36,36,300,0,0,0,0,0,0,0,0,0
-0.1,73.01,86,86,86,13.96,11.2,1.0,0.03,57.6,-0.02,-0.01,178.6,6.3,22,1,1,14,660,15,0,0,0,0.9,0,37.8,38.3,0.6,2.8,1122.1,0,15.12,28.6,49.4,50.5,53.5,49.1,51.1,52.7,51.0,51.9,58.8,58.6,34.9,36.3,39.4,39.9,33,34,25,0.0,0.0,0,2,4,2,0,33,34,33,76,68,62,36,36,300,0,0,0,0,0,0,0,0,0
-0.08,77.0,86,86,86,13.5,10.72,1.58,0.03,68.3,0.06,0.01,178.7,6.6,19,1,1,14,660,17,0,0,0,1.3,0,37.9,38.6,0.6,2.8,1122.1,0,15.12,28.6,49.4,50.6,53.5,49.1,51.1,52.7,51.0,52.0,58.8,58.6,34.9,36.3,39.5,39.9,33,34,25,0.0,0.0,0,2,4,2,0,33,34,33,75,68,62,36,36,300,0,0,0,0,0,0,0,0,0
-0.19,99.0,86,86,86,11.48,9.22,4.58,0.16,70.5,0.05,0.02,178.6,6.1,19,1,1,14,660,15,0,0,0,1.6,0,38.4,38.9,0.6,2.8,1122.1,0,15.12,28.9,49.6,50.6,53.7,49.2,51.1,52.8,51.2,52.0,58.9,58.7,34.9,36.2,39.4,39.9,33,34,25,0.0,0.0,0,2,4,2,0,33,34,33,75,68,62,36,36,300,0,0,0,0,0,0,0,0,0
