轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.62,126.0,0.83,0.88,0.79,15.96,13.04,14.0,16.69,4.5,-0.03,0.02,175.2,9.2,100,1,1,1626,663,1908,-1,2191,16.66,1724.3,1178,37.1,39.5,0.7,2.8,2180,0,17,10.0,63.4,64.5,67.4,61.4,66.3,66.9,64.7,67.0,54.5,53.6,20.5,23.0,24.2,25.8,59,53,25,0.0,-1.7,1.2,6,6,4,0,19,19,19,64,60,56,23,23,300,0,0,0,0,0,0,0,0,0
16.97,259.99,9.4,9.44,9.34,21.02,18.52,21.46,16.97,-3.2,-0.42,-0.05,175.6,13.7,100,1,1,1707,662,2002,0,2316,16.96,1795.4,1226,37.5,40.0,0.6,2.8,2180,0,17,10.3,63.7,64.9,67.8,61.7,66.7,67.2,64.6,67.1,54.7,53.7,20.5,23.0,24.2,25.8,61,55,25,-9.8,-12.4,-20.0,6,6,4,0,19,19,19,65,60,57,23,23,300,0,0,0,0,0,0,0,0,0
17.82,98.5,6.18,6.21,6.11,7.42,4.68,6.04,17.73,12.4,0.38,0.11,175.1,11.6,97,1,1,1758,661,2070,5,2412,17.76,1770.1,1201,37.2,40.0,0.6,2.8,2180,0,17,10.5,63.6,64.7,67.7,61.6,66.6,67.1,64.5,66.9,54.6,53.7,20.5,23.0,24.3,25.9,62,54,25,334.5,210.8,273.4,6,6,4,0,19,19,19,64,60,57,23,23,300,0,0,0,0,0,0,0,0,0
17.28,60.98,9.55,9.64,9.47,9.18,11.42,9.54,17.34,-11.5,0.5,0.2,176.7,12.3,105,1,1,1719,664,2024,0,2331,17.24,1783.6,1218,37.9,40.2,0.6,2.8,2180,0,17,10.3,64.3,65.5,68.5,62.3,67.3,67.8,65.0,67.4,54.7,53.7,20.5,23.0,24.3,25.9,62,55,25,1.8,2.8,2.3,6,6,4,0,19,19,19,65,60,56,23,23,300,0,0,0,0,0,0,0,0,0
17.19,304.49,8.9,8.99,8.83,20.96,21.4,20.06,17.2,-12.2,-0.29,-0.17,176.5,13.0,108,1,1,1718,662,2008,-3,2364,17.16,1783.8,1219,37.8,40.4,0.6,2.8,2180,0,17,10.3,64.3,65.5,68.5,62.4,67.4,67.8,65.1,67.5,54.7,53.7,20.5,23.1,24.2,25.9,62,55,25,-70.8,-73.3,-75.4,6,6,4,0,19,19,19,65,60,56,23,23,300,0,0,0,0,0,0,0,0,0
16.83,245.02,10.62,10.69,10.57,17.5,20.84,25.1,16.85,-1.6,-0.37,-0.31,176.0,14.1,99,1,1,1685,665,1994,-1,2305,16.8,1801.6,1230,37.8,40.2,0.6,2.8,2180,0,17,10.3,64.0,65.2,68.2,62.0,67.0,67.5,64.8,67.3,54.7,53.7,20.6,23.0,24.4,25.9,62,55,25,-103.5,-114.4,-148.4,6,6,4,0,19,19,19,65,60,57,23,23,300,0,0,0,0,0,0,0,0,0
16.95,211.0,0.28,0.34,0.26,10.04,9.16,15.92,16.86,15.3,-0.38,-0.13,175.1,11.7,90,1,1,1566,664,1827,23,2186,16.84,1678.2,1162,37.0,39.4,0.6,2.8,2180,0,17,10.4,63.2,64.3,67.3,61.2,66.2,66.7,64.5,66.8,54.6,53.7,20.5,23.0,24.2,25.8,56,49,25,4.2,5.9,13.1,6,6,4,0,19,19,19,64,60,56,23,23,300,0,0,0,0,0,0,0,0,0
17.37,33.01,8.63,8.71,8.54,3.3,8.18,3.14,17.42,-3.2,0.57,0.17,176.5,14.4,100,1,1,1725,665,2045,3,2357,17.34,1788.9,1218,37.9,40.2,0.6,2.8,2180,0,17,10.3,64.1,65.3,68.3,62.2,67.1,67.6,64.9,67.3,54.7,53.7,20.5,23.0,24.3,25.9,62,55,25,24.1,48.1,24.8,6,6,4,0,19,19,19,65,60,57,23,23,300,0,0,0,0,0,0,0,0,0
17.49,281.99,2.95,3.02,2.96,12.9,15.3,18.26,17.53,-1.0,-0.29,-0.09,176.3,10.5,101,1,1,1712,664,2020,0,2316,17.5,1755.9,1200,36.9,39.4,0.6,2.8,2180,0,17,10.0,63.3,64.5,67.4,61.3,66.3,66.8,64.8,67.2,54.5,53.6,20.5,23.0,24.2,25.8,59,53,25,0.6,4.8,-0.8,6,6,4,0,19,19,19,64,60,56,23,23,300,0,0,0,0,0,0,0,0,0
15.35,155.99,0.27,0.31,0.25,14.96,12.2,13.8,15.38,-5.8,-0.16,0.02,175.0,8.6,102,1,1,1238,662,1452,-1,1650,15.38,1395.4,952,37.1,39.3,0.7,2.8,2180,0,17,10.0,63.4,64.5,67.6,61.4,66.4,66.9,64.7,67.2,54.6,53.6,20.5,23.0,24.2,25.8,56,49,25,-0.3,-0.5,0.6,6,6,4,0,19,19,19,64,60,56,23,23,300,0,0,0,0,0,0,0,0,0
