轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
9.14,298.01,0.37,0.44,0.35,6.28,4.46,6.0,9.16,-24.6,-0.08,0.03,176.4,6.4,148,1,1,204,675,242,0,259,9.1,369.1,252,39.6,39.4,0.6,2.8,522.0,0,11.72,4.6,30.5,32.1,34.6,28.2,32.3,31.3,31.3,32.2,49.2,48.6,15.7,18,18.6,19.9,38,35,25,0.0,0.2,0.0,6,6,4,0,15,16,15,55,57,59,18,18,300,0,0,0,0,0,0,0,0,0
9.49,135.0,0.37,0.44,0.35,7.28,5.18,4.8,9.52,-4.8,0.04,-0.04,172.9,5.4,139,1,1,243,671,289,0,320,9.5,416.9,282,36.8,36.2,0.6,2.8,742.8,0,13.18,4.6,31.5,33.1,35.6,29.1,33.3,32.3,32.4,33.5,49.5,48.9,15.4,18,18.8,19.9,36,34,25,0.2,-0.3,0.0,6,6,4,0,16,16,15,56,55,59,18,18,300,0,0,0,0,0,0,0,0,0
8.95,163.01,0.37,0.44,0.35,7.6,4.42,4.58,8.95,-13.8,0.04,0.0,176.7,6.0,145,1,1,193,674,236,0,260,8.94,362.4,247,39.3,39.1,0.6,2.8,553.5,0,11.95,4.6,30.7,32.3,34.8,28.3,32.5,31.5,31.6,32.4,49.3,48.6,15.6,18,18.7,19.9,37,35,25,0.0,-0.2,0.1,6,6,4,0,16,16,15,55,56,60,18,18,300,0,0,0,0,0,0,0,0,0
10.01,132.98,0.37,0.44,0.35,7.86,6.84,5.22,10.03,-16.0,-0.09,-0.01,172.6,6.5,141,1,1,273,670,332,0,364,10.02,458.6,311,37.3,37.3,0.6,2.8,739.8,0,13.16,4.6,31.3,32.9,35.4,28.9,33.1,32.1,32.3,33.1,49.5,48.8,15.4,18,18.8,19.9,37,34,25,0.0,0.0,0.0,6,6,4,0,16,16,15,55,55,59,18,18,300,0,0,0,0,0,0,0,0,0
11.1,41.0,0.37,0.44,0.35,8.44,7.32,6.9,11.14,-17.3,-0.02,-0.1,172.8,8.2,142,1,1,367,668,429,0,497,11.12,547.5,377,38.2,38.2,0.6,2.8,752.0,0,13.23,4.6,32.2,33.8,36.3,29.8,34.0,33.0,33.3,34.4,49.7,49.0,15.4,18,19.1,20.1,39,35,25,0.0,0.0,0.0,6,6,4,0,16,16,16,56,54,58,18,18,300,0,0,0,0,0,0,0,0,0
10.13,10.01,0.37,0.44,0.35,7.98,6.52,6.62,10.19,-9.7,-0.06,0.0,172.9,5.4,140,1,1,286,669,338,0,376,10.14,464.2,317,36.4,37.6,0.5,2.8,673.3,0,12.75,4.6,31.6,33.2,35.7,29.2,33.4,32.4,32.5,33.5,49.5,48.9,15.4,18,18.8,20.0,38,35,25,0.0,0.0,0.0,6,6,4,0,16,16,15,55,54,59,18,18,300,0,0,0,0,0,0,0,0,0
8.9,130.0,0.37,0.44,0.35,7.14,5.6,3.82,8.9,-6.3,0.04,-0.08,177.4,5.2,140,1,1,197,672,229,0,262,8.88,356.1,244,38.7,38.6,0.6,2.8,565.6,0,12.04,4.6,30.9,32.5,35.0,28.5,32.6,31.7,31.7,32.7,49.3,48.7,15.4,18,18.7,19.9,37,35,25,0.2,-0.1,0.0,6,6,4,0,16,16,15,55,56,60,18,18,300,0,0,0,0,0,0,0,0,0
10.22,262.01,0.37,0.44,0.35,8.14,5.82,7.42,10.27,-12.0,0.09,0.04,172.8,5.6,142,1,1,295,669,347,0,373,10.2,477.6,324,39.7,39.6,0.6,2.8,843.0,0,13.75,4.7,31.9,33.5,36.0,29.5,33.7,32.7,32.9,33.9,49.6,48.9,15.4,18,19.0,20.1,40,37,25,0.0,0.0,0.2,6,6,4,0,16,16,16,56,54,59,18,18,300,0,0,0,0,0,0,0,0,0
9.47,105.98,0.37,0.44,0.35,7.46,6.66,4.82,9.49,-13.2,-0.06,-0.07,0.0,5.1,150,1,1,235,673,282,0,309,9.5,416.4,282,38.3,38.2,0.6,2.8,716.3,0,13.02,4.6,31.0,32.6,35.1,28.6,32.8,31.8,31.9,32.8,49.3,48.7,15.4,18,18.7,19.9,38,35,25,0.0,0.0,0.0,6,6,4,2,16,16,15,55,55,59,18,18,300,0,0,0,0,0,0,0,0,0
8.93,109.01,0.37,0.44,0.35,7.28,6.34,3.9,8.95,-12.0,0.07,-0.01,176.7,6.3,144,1,1,196,674,230,0,256,8.94,358.5,247,39.2,39.1,0.6,2.8,526.1,0,11.75,4.6,30.7,32.3,34.7,28.3,32.5,31.5,31.6,32.3,49.3,48.7,15.5,18,18.7,19.9,37,35,25,0.3,0.0,0.0,6,6,4,0,16,16,15,55,56,60,18,18,300,0,0,0,0,0,0,0,0,0
9.75,61.99,0.37,0.44,0.35,7.5,6.82,4.9,9.78,-6.7,0.15,0.08,173.0,4.9,140,1,1,257,669,301,-1,330,9.76,434.0,295,39.9,39.8,0.6,2.8,671.3,0,12.74,4.6,31.8,33.4,35.9,29.4,33.6,32.6,32.7,33.7,49.6,48.9,15.4,18,19.0,20.1,40,37,25,0.0,0.0,-0.1,6,6,4,0,16,16,16,56,54,59,18,18,300,0,0,0,0,0,0,0,0,0
10.05,256.0,0.37,0.44,0.35,8.04,6.04,7.12,10.07,-9.7,-0.08,0.06,173.1,5.5,141,1,1,280,668,334,0,371,10.04,460.6,314,38.0,38.0,0.6,2.8,848.1,0,13.78,4.6,32.3,33.9,36.4,29.9,34.1,33.1,33.4,34.5,49.7,49.0,15.4,18,19.1,20.1,39,35,25,0.0,0.0,0.0,6,6,4,0,16,16,16,56,54,58,18,18,300,0,0,0,0,0,0,0,0,0
8.88,247.0,0.37,0.44,0.35,7.56,3.8,6.12,8.91,1.4,0.11,-0.06,177.9,5.2,141,1,1,192,673,227,0,260,8.88,358.3,244,38.6,38.6,0.6,2.8,587.0,0,12.18,4.6,30.9,32.5,34.9,28.6,32.7,31.7,31.8,32.6,49.3,48.7,15.4,18,18.7,19.9,37,35,25,0.0,0.0,0.0,6,6,4,0,16,16,15,55,56,60,18,18,300,0,0,0,0,0,0,0,0,0
8.9,155.02,0.37,0.44,0.35,7.66,4.26,4.8,8.93,2.9,0.02,0.09,177.8,5.2,140,1,1,194,673,236,0,251,8.9,362.9,246,38.8,38.7,0.6,2.8,587.0,0,12.18,4.6,30.9,32.5,34.9,28.5,32.7,31.7,31.8,32.5,49.3,48.7,15.4,18,18.7,19.9,37,35,25,0.0,-0.3,0.2,6,6,4,0,16,16,15,55,56,60,18,18,300,0,0,0,0,0,0,0,0,0
8.52,249.01,0.37,0.44,0.35,6.74,3.14,5.84,8.44,-4.9,0.07,-0.04,177.1,4.9,142,1,1,166,672,208,0,223,8.44,324.2,221,39.1,38.9,0.6,2.8,565.6,0,12.04,4.6,30.8,32.4,34.8,28.4,32.6,31.6,31.7,32.4,49.3,48.7,15.5,18,18.7,19.9,37,35,25,-0.3,0.0,0.1,6,6,4,0,16,16,15,55,56,60,18,18,300,0,0,0,0,0,0,0,0,0
9.57,22.0,0.37,0.44,0.35,7.88,6.66,5.88,9.61,-7.9,-0.05,0.09,172.8,5.2,141,1,1,241,671,288,0,309,9.56,417.6,283,37.6,37.6,0.5,2.7,658.0,0,12.66,4.6,31.3,32.8,35.3,28.8,33.0,32.0,32.1,33.0,49.4,48.8,15.4,18,18.7,19.9,37,34,25,0.0,0.0,-0.4,6,6,4,0,16,16,15,56,55,59,18,18,300,0,0,0,0,0,0,0,0,0
8.16,136.01,0.37,0.44,0.35,7.08,4.68,3.14,8.17,-6.5,0.01,-0.02,176.5,5.0,143,1,1,151,674,175,0,185,8.14,300.9,204,39.7,39.4,0.6,2.8,456.9,0,11.21,4.6,30.5,32.2,34.6,28.2,32.3,31.4,31.4,32.1,49.2,48.6,15.7,18,18.7,19.9,37,35,25,0.3,-0.2,0.0,6,6,4,0,15,16,15,55,56,60,18,18,300,0,0,0,0,0,0,0,0,0
11.18,108.0,0.37,0.44,0.35,8.7,7.46,7.1,11.21,-17.7,0.04,0.04,172.8,7.7,142,1,1,375,668,440,2,476,11.18,559.1,382,38.4,38.3,0.6,2.8,752.0,0,13.23,4.6,32.2,33.8,36.3,29.8,34.0,33.0,33.3,34.3,49.7,49.0,15.4,18,19.1,20.1,39,35,25,0.0,0.0,0.0,6,6,4,0,16,16,16,56,54,58,18,18,300,0,0,0,0,0,0,0,0,0
9.39,132.01,0.37,0.44,0.35,7.72,5.6,4.48,9.44,-23.5,0.01,-0.06,176.4,6.0,150,1,1,227,675,276,0,288,9.4,398.8,274,39.7,39.6,0.6,2.8,522.0,0,11.72,4.6,30.5,32.1,34.5,28.1,32.2,31.3,31.3,32.1,49.2,48.6,15.7,18,18.6,19.8,38,36,25,0.3,-0.1,0.0,6,6,4,0,15,16,15,55,57,59,18,18,300,0,0,0,0,0,0,0,0,0
10.14,24.01,0.37,0.44,0.35,7.72,6.66,6.54,10.18,-5.6,-0.04,-0.04,172.9,6.0,141,1,1,278,667,331,0,363,10.14,459.5,315,38.0,38.0,0.6,2.8,678.4,0,12.79,4.6,32.3,33.9,36.3,29.9,34.1,33.1,33.4,34.2,49.7,49.0,15.4,18,19.1,20.1,38,35,25,0.0,0.1,-0.1,6,6,4,0,16,16,16,56,54,58,18,18,300,0,0,0,0,0,0,0,0,0
10.14,266.0,0.37,0.44,0.35,8.24,5.58,7.22,10.18,-4.3,0.01,0.02,172.9,5.8,139,1,1,287,671,341,0,376,10.12,467.7,318,35.3,37.0,0.6,2.8,742.8,0,13.18,4.6,31.6,33.2,35.7,29.1,33.3,32.3,32.5,33.5,49.5,48.9,15.4,18,18.8,20.0,38,34,25,0.0,0.0,0.0,6,6,4,0,16,16,15,56,54,59,18,18,300,0,0,0,0,0,0,0,0,0
