轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
2.65,121.5,21,21,21,2.52,1.86,2.38,2.67,-15.4,0.02,0.04,0.0,3.3,324,1,1,0,672,0,0,0,2.64,0.8,0,35.4,35.3,0.5,2.7,120.4,0,7.44,13.2,25.7,26.3,29.3,22.9,27.4,24.8,25.0,25.5,33.5,33.3,21.5,24.8,22.5,23.8,30,29,25,0,0,0,5,5,4,2,23,24,24,60,55,57,24,24,300,0,0,0,0,0,0,0,0,0
2.61,218.99,21,21,21,2.34,1.96,2.1,2.63,4.8,0.02,-0.06,179.1,2.6,315,1,1,0,673,0,0,0,2.6,0.6,0,35.3,35.1,0.6,2.7,120.4,0,7.44,13.2,25.7,26.3,29.3,22.9,27.4,24.8,25.0,25.5,33.5,33.3,21.5,24.8,22.5,23.8,30,29,25,0,0,0,5,5,4,0,23,24,24,60,55,57,24,24,300,0,0,0,0,0,0,0,0,0
2.73,270.5,21,21,21,2.38,1.88,2.36,2.75,-0.9,0.01,0.04,178.5,3.0,305,1,1,0,672,0,0,0,2.74,1.2,0,36.1,35.9,0.5,2.8,120.4,0,7.44,13.6,25.9,26.4,29.5,23.1,27.5,24.9,25.0,25.7,33.6,33.4,21.7,25.1,22.7,23.9,31,30,25,0,0,0,5,5,4,0,23,24,24,60,55,55,25,25,300,0,0,0,0,0,0,0,0,0
2.76,43.49,21,21,21,2.34,1.96,2.4,2.79,-3.4,0.0,0.06,178.6,2.9,312,1,1,0,673,0,0,0,2.76,0.8,0,36.1,35.9,0.5,2.8,120.4,0,7.44,13.4,25.9,26.4,29.5,23.1,27.5,24.9,25.2,25.7,33.6,33.5,21.7,25.1,22.8,23.9,31,30,25,0,0,0,5,5,4,0,24,24,24,60,55,55,25,25,300,0,0,0,0,0,0,0,0,0
2.65,118.51,21,21,21,2.4,1.8,2.44,2.67,16.3,0.01,-0.03,179.1,3.2,299,1,1,0,672,0,0,0,2.64,2.6,0,35.7,35.4,0.5,2.8,120.4,0,7.44,13.5,25.7,26.3,29.5,23.0,27.5,24.8,25.0,25.5,33.5,33.4,21.5,24.8,22.7,23.8,30,30,25,0,0,0,5,5,4,0,23,24,24,60,55,56,24,24,300,0,0,0,0,0,0,0,0,0
2.71,321.01,21,21,21,2.52,1.82,2.28,2.73,6.6,0.02,-0.05,178.6,3.2,305,1,1,0,672,0,0,0,2.72,0.7,0,36.0,35.9,0.5,2.7,120.4,0,7.44,13.5,25.9,26.4,29.5,23.1,27.5,24.9,25.1,25.7,33.6,33.4,21.7,25.1,22.7,23.9,31,30,25,0,0,0,5,5,4,0,24,24,24,60,55,55,25,25,300,0,0,0,0,0,0,0,0,0
2.76,31.5,21,21,21,2.4,1.82,2.52,2.76,-1.0,0.0,0.06,178.6,3.4,307,1,1,0,673,0,0,0,2.76,1.0,0,36.0,36.0,0.6,2.7,120.4,0,7.44,13.4,25.9,26.4,29.5,23.1,27.5,24.9,25.2,25.7,33.6,33.5,21.7,25.1,22.7,23.9,31,30,25,0,0,0,5,5,4,0,24,24,24,60,55,55,25,25,300,0,0,0,0,0,0,0,0,0
2.7,81.5,21,21,21,2.34,1.76,2.52,2.71,-18.1,0.02,-0.05,178.7,3.5,319,1,1,0,673,0,0,0,2.7,1.0,0,36.2,36.0,0.6,2.8,120.4,0,7.44,13.4,25.9,26.4,29.6,23.1,27.5,24.9,25.2,25.7,33.6,33.5,21.7,25.1,22.7,23.9,31,30,25,0,0,0,5,5,4,0,24,24,24,60,55,54,25,25,300,0,0,0,0,0,0,0,0,0
2.65,150.52,21,21,21,2.68,2.02,2.38,2.67,13.1,0.0,-0.02,179.1,3.3,299,1,1,0,672,0,0,0,2.64,0.8,0,35.7,35.4,0.5,2.7,120.4,0,7.44,13.5,25.7,26.3,29.5,23.0,27.5,24.9,25.0,25.5,33.5,33.4,21.5,24.9,22.7,23.8,30,30,25,0,0,0,5,5,4,0,23,24,24,60,55,56,24,24,300,0,0,0,0,0,0,0,0,0
2.76,199.01,21,21,21,2.58,2.1,2.48,2.78,12.5,0.02,-0.06,178.6,2.5,303,1,1,0,673,0,0,0,2.76,2.5,0,36.2,35.9,0.5,2.7,120.4,0,7.44,13.4,25.9,26.4,29.5,23.1,27.5,24.9,25.2,25.7,33.6,33.4,21.7,25.1,22.7,23.9,31,30,25,0,0,0,5,5,4,0,24,24,24,60,55,55,25,25,300,0,0,0,0,0,0,0,0,0
