轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.95,139.0,0.2,0.15,0.21,5.06,6.96,1.68,7.98,26.9,-0.02,0.14,178.7,4.0,273,1,1,148,659,174,0,183,7.98,289.9,199,37.0,37.2,0.7,2.9,2180,0,17,17.8,24.3,25.4,28.5,24.9,27.4,30.2,26.6,26.7,34.1,33.8,26.3,28.1,26.4,26.4,35,33,25,0.2,0.0,0.0,6,6,4,0,25,25,25,64,59,56,28,28,300,0,0,0,0,0,0,0,0,0
7.24,352.01,0.2,0.15,0.22,3.2,2.32,8.08,7.28,32.2,-0.03,0.04,0.0,3.4,237,1,1,64,658,76,0,69,7.24,125.5,84,37.6,37.6,0.7,2.8,2180,0,17,18.1,24.5,25.6,28.6,25.0,27.5,30.3,26.8,26.8,34.7,34.3,26.4,28.0,26.5,26.4,34,33,25,-0.1,0.1,0.0,6,6,4,1,25,25,25,64,59,55,28,28,300,0,0,0,0,0,0,0,0,0
7.66,256.0,0.21,0.15,0.21,8.16,1.52,4.72,7.66,-7.7,-0.05,-0.15,179.1,5.0,268,1,1,132,658,155,0,153,7.64,266.0,181,36.7,36.8,0.6,2.8,2180,0,17,17.8,24.4,25.5,28.7,24.9,27.5,30.2,26.7,26.9,34.3,33.9,26.3,28.0,26.5,26.3,35,33,25,0.0,0.0,0.2,6,6,4,0,25,25,25,64,59,56,28,28,300,0,0,0,0,0,0,0,0,0
7.23,279.0,0.2,0.15,0.22,7.44,1.18,6.26,7.23,41.6,-0.03,-0.07,0.0,2.8,244,1,1,57,658,64,0,59,7.2,112.5,75,38.2,38.0,0.6,2.8,2180,0,17,18.0,24.5,25.6,28.6,25.0,27.5,30.3,26.8,26.8,34.7,34.3,26.4,28.0,26.5,26.4,34,33,25,-0.5,0.0,0.3,6,6,4,1,25,25,25,64,59,55,28,28,300,0,0,0,0,0,0,0,0,0
7.57,114.01,0.2,0.15,0.21,4.14,7.52,1.44,7.56,-10.2,0.0,-0.01,101.2,5.2,263,1,1,125,659,144,0,161,7.56,257.3,177,37.1,37.2,0.6,2.8,2180,0,17,17.8,24.4,25.5,28.7,24.9,27.5,30.2,26.7,26.9,34.2,33.9,26.3,28.0,26.5,26.3,34,33,25,0.1,0.0,-0.1,6,6,4,0,25,25,25,64,59,56,28,28,300,0,0,0,0,0,0,0,0,0
7.47,293.0,0.2,0.15,0.22,6.54,1.18,6.54,7.51,15.2,0.14,-0.03,178.4,4.2,260,1,1,113,659,134,0,129,7.46,231.0,158,37.1,37.2,0.7,2.8,2180,0,17,17.9,24.4,25.5,28.5,24.9,27.4,30.2,26.7,26.7,34.2,33.8,26.3,28.0,26.5,26.3,34,33,25,-0.4,0.0,0.3,6,6,4,0,25,25,25,64,59,56,28,28,300,0,0,0,0,0,0,0,0,0
7.68,268.99,0.21,0.15,0.22,8.36,1.22,5.64,7.69,2.9,-0.05,-0.03,178.8,3.9,267,1,1,134,658,147,-1,157,7.66,268.0,182,37.2,37.3,0.6,2.8,2180,0,17,17.8,24.4,25.5,28.5,24.9,27.4,30.2,26.7,26.7,34.3,33.9,26.3,28.0,26.4,26.3,35,33,25,0.0,0.0,0.4,6,6,4,0,25,25,25,64,59,56,28,28,300,0,0,0,0,0,0,0,0,0
7.16,299.02,0.2,0.15,0.22,5.3,1.12,7.04,7.18,-4.4,-0.03,-0.13,178.2,2.7,239,1,1,43,657,48,0,42,7.14,77.6,51,38.3,38.2,0.7,2.9,2180,0,17,18.6,24.5,25.6,28.7,25.1,27.5,30.3,26.9,27.0,34.8,34.5,26.4,28.0,26.5,26.3,34,34,25,-0.5,0.0,0.3,6,6,4,0,25,25,25,64,59,55,28,28,300,0,0,0,0,0,0,0,0,0
7.62,2.02,0.2,0.15,0.22,3.76,2.76,7.36,7.59,-31.7,0.07,-0.04,0.0,5.5,273,1,1,126,656,143,0,149,7.56,258.0,176,35.4,36.6,0.6,2.8,2180,0,17,17.9,24.2,25.4,28.6,24.8,27.4,30.0,26.5,26.7,34.0,33.6,26.3,28.0,26.5,26.3,35,33,25,-0.3,0.1,0.0,6,6,4,2,25,25,25,64,59,56,28,28,300,0,0,0,0,0,0,0,0,0
7.49,290.99,0.2,0.15,0.22,7.46,1.12,6.12,7.52,13.5,0.02,0.11,178.5,4.7,262,1,1,116,658,137,0,148,7.48,243.1,165,37.0,37.2,0.7,2.8,2180,0,17,18.0,24.3,25.5,28.7,24.9,27.5,30.2,26.7,26.8,34.2,33.8,26.3,28.0,26.5,26.3,34,33,25,-0.2,0.0,0.3,6,6,4,0,25,25,25,64,59,56,28,28,300,0,0,0,0,0,0,0,0,0
