轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
13.24,267.01,0.27,0.32,0.25,10.16,9.86,11.94,13.12,-7.5,0.08,-0.01,175.6,6.0,130,1,1,621,686,755,0,729,13.24,798.7,544,33.1,32.9,0,2.4,2067.6,0,16.83,18.6,41.2,38.6,41.8,40.5,38.7,39.8,39.0,39.9,57.2,59.4,25.3,30.1,29.1,29.4,40,37,25,0.0,0.0,0.0,6,6,4,0,25,26,26,60,92,92,30,30,300,0,0,0,0,0,0,0,0,0
13.59,105.98,0.27,0.32,0.25,10.1,10.7,12.22,13.55,-7.6,-0.05,0.03,175.5,7.8,127,1,1,625,687,758,0,791,13.6,840.5,573,32.7,32.8,0,2.4,2067.6,0,16.83,18.6,41.3,38.7,41.9,40.6,38.8,39.9,39.1,40.2,57.4,59.5,25.3,30.1,29.1,29.5,40,37,25,0.0,-1.0,0.0,6,6,4,0,25,26,26,60,92,92,30,30,300,0,0,0,0,0,0,0,0,0
13.74,47.99,0.27,0.32,0.25,9.92,10.82,11.98,13.65,-10.6,0.07,0.05,175.5,8.0,132,1,1,649,688,789,0,799,13.72,852.4,583,33.7,33.7,0,2.5,2067.6,0,16.83,18.6,41.4,38.7,41.9,40.7,38.8,40.0,39.2,40.3,57.4,59.5,25.3,30.1,29.0,29.3,42,38,25,0.0,0.0,0.0,6,6,4,0,25,26,26,60,92,92,30,30,300,0,0,0,0,0,0,0,0,0
13.47,175.0,0.27,0.32,0.25,11.76,10.72,13.32,13.41,1.3,0.05,0.03,175.4,6.9,126,1,1,605,687,737,0,741,13.46,813.9,558,32.4,32.3,0,2.4,2067.6,0,16.83,18.6,41.3,38.7,41.9,40.6,38.8,39.9,39.1,40.2,57.4,59.5,25.3,30.1,29.1,29.5,40,37,25,-0.5,-0.5,0.0,6,6,4,0,25,26,26,60,92,92,30,30,300,0,0,0,0,0,0,0,0,0
13.48,164.02,0.27,0.32,0.25,11.48,10.16,12.76,13.42,-7.9,0.01,0.0,175.4,7.2,131,1,1,669,687,813,0,770,13.48,824.9,564,34.3,34.2,0,2.5,2067.6,0,16.83,18.6,41.4,38.7,41.9,40.7,38.8,40.0,39.2,40.1,57.4,59.5,25.3,30.1,29.0,29.3,42,38,25,0.0,-0.2,0.0,6,6,4,0,25,26,26,60,92,92,30,30,300,0,0,0,0,0,0,0,0,0
13.26,104.51,0.27,0.32,0.25,8.78,9.88,10.94,13.2,-1.9,0.04,-0.01,175.6,6.6,128,1,1,604,686,736,0,724,13.24,792.7,543,33.3,33.0,0,2.5,2067.6,0,16.83,18.6,41.2,38.6,41.8,40.5,38.7,39.8,39.0,40.0,57.3,59.4,25.3,30.1,29.1,29.3,40,37,25,0.0,0.0,0.2,6,6,4,0,25,26,26,60,92,92,30,30,300,0,0,0,0,0,0,0,0,0
13.2,257.0,0.27,0.32,0.25,10.58,10.14,12.26,13.1,-10.1,0.08,0.02,175.6,7.3,130,1,1,632,687,768,-2,721,13.18,789.6,540,31.1,31.7,0,2.4,2067.6,0,16.83,18.6,41.3,38.6,41.9,40.6,38.7,39.9,39.1,40.0,57.3,59.5,25.3,30.1,29.1,29.5,40,36,25,0.0,0.0,0.0,6,6,4,0,25,26,26,60,92,92,30,30,300,0,0,0,0,0,0,0,0,0
13.22,321.52,0.27,0.32,0.25,8.1,9.82,11.14,13.13,-10.7,0.05,0.07,175.6,6.9,128,1,1,613,686,740,0,723,13.24,796.4,545,34.9,34.7,0,2.5,2067.6,0,16.83,18.6,41.3,38.6,41.8,40.6,38.7,39.9,39.0,40.1,57.3,59.4,25.3,30.1,29.0,29.3,42,39,25,0.0,0.0,-0.5,6,6,4,0,25,26,26,60,92,92,30,30,300,0,0,0,0,0,0,0,0,0
13.41,104.0,0.27,0.32,0.25,9.68,10.42,11.2,13.36,-8.5,0.0,-0.02,175.6,7.1,129,1,1,631,687,763,-2,742,13.4,813.4,556,31.3,31.3,0,2.4,2067.6,0,16.83,18.6,41.2,38.5,41.7,40.4,38.6,39.7,39.0,40.1,57.2,59.3,25.3,30.1,29.2,29.5,39,36,25,0.0,-0.2,0.0,6,6,4,0,26,26,26,60,92,92,30,30,300,0,0,0,0,0,0,0,0,0
13.68,356.51,0.27,0.32,0.25,10.1,11.08,11.92,13.57,-6.0,0.0,0.03,175.5,6.3,131,1,1,633,688,767,0,782,13.68,847.0,579,34.0,33.9,0,2.5,2067.6,0,16.83,18.6,41.4,38.7,41.9,40.7,38.8,39.9,39.2,40.2,57.4,59.5,25.3,30.1,29.0,29.3,41,38,25,0.0,0.0,-0.5,6,6,4,0,25,26,26,60,92,92,30,30,300,0,0,0,0,0,0,0,0,0
13.48,167.0,0.27,0.32,0.25,10.8,10.66,11.84,13.44,-1.9,0.01,-0.05,175.5,6.1,129,1,1,627,687,760,0,760,13.48,823.0,562,32.5,33.4,0,2.4,2067.6,0,16.83,18.6,41.3,38.6,41.9,40.6,38.7,39.9,39.1,40.2,57.3,59.4,25.3,30.1,29.1,29.4,41,37,25,0.0,-0.2,0.0,6,6,4,0,25,26,26,60,92,92,30,30,300,0,0,0,0,0,0,0,0,0
