轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
14.93,221.0,0.22,0.26,0.3,11.74,11.52,15.06,14.85,-3.8,0.07,-0.04,175.3,7.6,201.0,1.0,1.0,847.0,689.0,1030.0,0.0,1047.0,14.92,1008.0,689.0,31.1,31.3,0.0,2.4,2067.6,0.0,16.83,16.4,48.6,45.3,49.5,47.7,45.8,46.9,47.8,48.5,63.4,65.4,25.9,31.0,31.3,31.8,42.0,38.0,25.0,0.0,0.5,0.6,6.0,6.0,4.0,0.0,26.0,27.0,26.0,62.0,98.0,98.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.28,93.49,0.22,0.27,0.3,11.3,11.58,10.82,14.19,-0.5,0.05,0.02,175.3,6.4,198.0,1.0,1.0,808.0,689.0,993.0,-2.0,917.0,14.24,929.0,630.0,31.8,32.3,0.0,2.4,2067.6,0.0,16.83,16.5,48.6,45.4,49.5,47.8,45.9,46.9,47.8,48.4,63.4,65.5,25.9,31.0,31.3,31.8,43.0,39.0,25.0,0.3,0.0,0.2,6.0,6.0,4.0,0.0,26.0,26.0,26.0,62.0,98.0,98.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.6,286.99,0.22,0.27,0.3,10.6,11.66,12.52,14.47,-8.7,0.0,0.02,175.2,7.2,202.0,1.0,1.0,794.0,689.0,965.0,0.0,975.0,14.62,968.4,660.0,32.7,33.8,0.0,2.4,2067.6,0.0,16.83,16.3,48.6,45.3,49.4,47.7,45.8,46.8,47.7,48.3,63.4,65.5,25.9,31.0,31.1,31.7,44.0,40.0,25.0,0.0,1.3,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,62.0,98.0,98.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.86,47.48,0.22,0.27,0.3,11.68,13.88,11.58,14.8,-10.5,-0.01,0.03,175.3,7.6,203.0,1.0,1.0,837.0,689.0,1021.0,0.0,1037.0,14.88,1009.3,689.0,33.0,33.4,0.0,2.5,2067.6,0.0,16.83,16.5,48.7,45.4,49.5,47.8,45.9,46.9,47.8,48.5,63.4,65.5,25.9,31.0,31.3,31.8,44.0,40.0,25.0,0.3,-0.6,-0.3,6.0,6.0,4.0,0.0,26.0,27.0,26.0,62.0,98.0,98.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.69,122.51,0.22,0.27,0.3,11.38,11.58,11.18,14.64,-4.8,0.04,-0.04,175.2,6.9,201.0,1.0,1.0,816.0,688.0,990.0,-2.0,964.0,14.64,970.2,664.0,31.4,32.6,0.0,2.4,2067.6,0.0,16.83,16.3,48.6,45.3,49.4,47.7,45.8,46.9,47.7,48.4,63.4,65.5,25.7,31.0,31.2,31.7,43.0,39.0,25.0,0.3,-0.3,0.5,6.0,6.0,4.0,0.0,26.0,26.0,26.0,62.0,98.0,98.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.91,228.49,0.22,0.26,0.3,12.96,12.8,15.36,14.83,-6.0,-0.02,-0.03,175.3,7.4,202.0,1.0,1.0,834.0,689.0,1012.0,-2.0,1037.0,14.92,1005.7,689.0,33.0,33.2,0.0,2.4,2067.6,0.0,16.83,16.5,48.6,45.4,49.5,47.8,45.9,46.9,47.8,48.4,63.4,65.5,25.9,31.0,31.3,31.8,44.0,40.0,25.0,-0.9,0.0,-0.3,6.0,6.0,4.0,0.0,26.0,27.0,26.0,62.0,98.0,98.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.49,33.52,0.22,0.27,0.3,10.34,12.84,10.16,14.4,-2.7,-0.03,0.02,175.2,5.7,200.0,1.0,1.0,754.0,688.0,911.0,0.0,956.0,14.5,956.9,653.0,33.7,33.9,0.0,2.5,2067.6,0.0,16.83,16.3,48.6,45.4,49.4,47.7,45.8,46.9,47.8,48.5,63.4,65.5,25.9,31.0,31.2,31.8,43.0,39.0,25.0,0.2,0.0,-0.2,6.0,6.0,4.0,0.0,26.0,26.0,26.0,62.0,98.0,98.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.56,241.49,0.22,0.26,0.3,11.84,11.96,14.16,14.48,-3.8,-0.04,0.06,175.4,7.9,201.0,1.0,1.0,780.0,688.0,945.0,0.0,964.0,14.58,962.8,657.0,31.8,33.0,0.0,2.4,2067.6,0.0,16.83,16.3,48.6,45.4,49.4,47.7,45.9,46.9,47.8,48.4,63.4,65.4,25.9,31.0,31.2,31.8,43.0,39.0,25.0,-0.3,0.0,0.3,6.0,6.0,4.0,0.0,26.0,27.0,26.0,62.0,98.0,98.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.6,329.0,0.22,0.27,0.3,10.24,12.88,10.72,14.45,-4.3,0.11,-0.06,175.4,7.0,201.0,1.0,1.0,783.0,688.0,953.0,0.0,967.0,14.58,964.0,658.0,31.7,33.0,0.0,2.4,2067.6,0.0,16.83,16.3,48.6,45.3,49.4,47.7,45.9,46.9,47.8,48.4,63.4,65.4,25.9,31.0,31.2,31.8,43.0,39.0,25.0,-0.2,0.3,-1.0,6.0,6.0,4.0,0.0,26.0,27.0,26.0,62.0,98.0,98.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.6,342.5,0.22,0.27,0.3,11.14,13.28,11.54,14.47,-3.2,0.01,-0.03,175.3,8.3,201.0,1.0,1.0,803.0,689.0,972.0,-2.0,969.0,14.58,961.7,658.0,31.9,33.2,0.0,2.4,2067.6,0.0,16.83,16.3,48.6,45.3,49.4,47.7,45.8,46.9,47.7,48.4,63.4,65.5,25.8,31.0,31.2,31.7,43.0,40.0,25.0,-0.2,0.0,-1.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,62.0,98.0,97.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
