轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
12.28,317.02,0.22,0.26,0.26,9.98,11.18,10.58,12.22,2.3,0.01,0.04,175.7,5.3,184.0,1.0,1.0,462.0,681.0,552.0,0.0,578.0,12.28,688.6,468.0,33.8,33.7,0.0,2.4,2067.6,0.0,16.83,21.0,42.6,41.4,43.1,42.2,42.6,42.9,42.6,43.8,58.7,61.0,29.8,34.1,33.9,34.2,39.0,36.0,25.0,-0.2,-0.2,-0.2,6.0,6.0,4.0,0.0,29.0,29.0,29.0,63.0,95.0,95.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.63,212.0,0.22,0.26,0.26,9.24,10.14,10.38,12.49,11.0,0.07,0.01,175.7,6.4,183.0,1.0,1.0,461.0,681.0,550.0,0.0,622.0,12.62,722.0,492.0,32.7,32.9,0.0,2.4,2067.6,0.0,16.83,20.9,42.6,41.4,43.1,42.1,42.5,42.9,42.6,43.7,58.7,61.0,29.7,34.1,33.9,34.2,38.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,29.0,63.0,95.0,95.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.38,24.01,0.22,0.26,0.26,9.16,10.62,10.56,12.3,1.2,0.05,0.0,175.8,6.6,193.0,1.0,1.0,491.0,681.0,589.0,-2.0,585.0,12.36,691.8,471.0,33.3,32.6,0.0,2.5,2067.6,0.0,16.83,21.1,42.6,41.3,43.0,42.1,42.5,42.9,42.6,43.7,58.6,60.9,29.8,34.1,34.0,34.2,38.0,35.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,29.0,63.0,95.0,95.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.11,308.99,0.22,0.27,0.26,10.34,11.9,11.08,13.01,-1.7,0.05,0.03,175.9,6.4,189.0,1.0,1.0,582.0,681.0,703.0,0.0,693.0,13.1,775.2,531.0,31.9,31.7,0.0,2.4,2067.6,0.0,16.83,21.1,42.5,41.3,43.0,42.0,42.5,42.9,42.6,43.8,58.6,60.9,29.8,34.1,34.1,34.2,38.0,35.0,25.0,-0.2,0.0,-0.2,6.0,6.0,4.0,0.0,29.0,29.0,29.0,63.0,95.0,95.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.14,276.01,0.22,0.27,0.26,10.56,12.1,11.64,13.05,0.0,0.04,0.01,176.0,6.6,194.0,1.0,1.0,608.0,681.0,734.0,0.0,713.0,13.16,789.9,537.0,34.1,33.7,0.0,2.5,2067.6,0.0,16.83,21.2,42.5,41.3,43.0,42.0,42.6,43.0,42.6,43.9,58.5,60.8,29.8,34.1,34.1,34.3,41.0,37.0,25.0,-0.2,0.0,-0.8,6.0,6.0,4.0,0.0,29.0,29.0,29.0,63.0,95.0,95.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.9,100.01,0.22,0.26,0.26,8.92,9.98,10.14,11.86,16.0,0.02,-0.01,175.8,5.7,183.0,1.0,1.0,493.0,681.0,589.0,0.0,529.0,11.9,643.8,440.0,33.3,33.7,0.0,2.4,2067.6,0.0,16.83,21.0,42.6,41.4,43.1,42.2,42.6,42.9,42.6,43.8,58.7,61.0,29.7,34.1,33.9,34.2,39.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,29.0,63.0,95.0,95.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.39,186.98,0.22,0.26,0.26,9.68,9.38,10.12,12.35,-2.7,-0.04,-0.02,176.0,6.2,193.0,1.0,1.0,479.0,681.0,577.0,2.0,590.0,12.4,694.9,478.0,33.2,33.5,0.0,2.4,2067.6,0.0,16.83,21.2,42.6,41.4,43.0,42.1,42.6,43.0,42.7,43.9,58.6,60.9,29.8,34.1,34.1,34.2,39.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,29.0,29.0,29.0,63.0,95.0,95.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.49,249.98,0.22,0.26,0.26,9.52,10.82,9.84,12.4,5.0,0.03,0.06,175.8,6.1,188.0,1.0,1.0,568.0,682.0,682.0,0.0,610.0,12.52,709.8,486.0,34.5,33.8,0.0,2.5,2067.6,0.0,16.83,21.1,42.6,41.3,43.0,42.1,42.5,42.9,42.6,43.7,58.7,61.0,29.6,34.1,33.9,34.2,40.0,36.0,25.0,0.0,0.0,-0.4,6.0,6.0,4.0,0.0,29.0,29.0,29.0,63.0,95.0,95.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.24,74.02,0.22,0.26,0.26,7.44,9.02,8.88,12.21,-5.4,-0.02,-0.05,175.8,6.8,194.0,1.0,1.0,520.0,681.0,629.0,0.0,574.0,12.22,677.6,464.0,33.0,32.6,0.0,2.4,2067.6,0.0,16.83,21.1,42.6,41.3,43.0,42.1,42.6,42.9,42.6,43.7,58.7,60.9,29.8,34.1,34.0,34.2,38.0,35.0,25.0,0.3,0.2,0.2,6.0,6.0,4.0,0.0,29.0,29.0,29.0,63.0,95.0,95.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.61,78.98,0.22,0.26,0.26,9.24,10.1,9.78,12.6,7.9,-0.02,0.0,175.6,6.2,183.0,1.0,1.0,478.0,681.0,578.0,2.0,630.0,12.62,722.3,494.0,32.8,32.9,0.0,2.4,2067.6,0.0,16.83,20.9,42.6,41.4,43.1,42.2,42.6,42.9,42.7,43.8,58.7,61.0,29.7,34.1,33.9,34.2,38.0,35.0,25.0,0.2,0.2,0.2,6.0,6.0,4.0,0.0,29.0,29.0,29.0,63.0,95.0,95.0,34.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
