轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
12.75,338.76,0.26,0.3,0.31,10.18,11.04,10.16,12.73,4.1,0.0,0.0,175.8,7.1,311.0,1.0,1.0,595.0,698.0,731.0,2.0,642.0,12.72,734.8,503.0,32.9,32.6,0.0,2.4,2067.6,0.0,16.83,16.3,40.4,38.0,41.0,39.8,38.2,39.3,39.5,39.9,57.2,59.4,26.1,31.5,30.1,30.6,40.0,36.0,25.0,0.2,-0.2,0.2,6.0,6.0,4.0,0.0,27.0,28.0,28.0,61.0,95.0,95.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.78,248.26,0.26,0.3,0.31,9.76,11.08,9.78,12.68,0.7,0.04,0.03,175.9,6.8,313.0,1.0,1.0,578.0,698.0,709.0,0.0,652.0,12.76,746.5,506.0,32.0,32.1,0.0,2.4,2067.6,0.0,16.83,16.3,40.4,38.0,41.0,39.8,38.2,39.3,39.5,39.9,57.2,59.4,26.3,31.6,30.1,30.5,39.0,35.0,25.0,-0.4,0.0,0.0,6.0,6.0,4.0,0.0,27.0,28.0,28.0,61.0,95.0,95.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.43,4.5,0.26,0.3,0.31,10.92,10.96,10.66,13.42,7.8,0.01,0.01,175.9,6.9,310.0,1.0,1.0,679.0,699.0,837.0,0.0,759.0,13.44,820.5,560.0,30.8,31.8,0.0,2.4,2067.6,0.0,16.83,16.5,40.2,37.8,40.8,39.6,38.0,39.1,39.1,39.7,56.9,59.1,26.3,31.6,30.2,30.7,40.0,37.0,25.0,-0.3,-0.5,0.0,6.0,6.0,4.0,0.0,27.0,28.0,28.0,61.0,95.0,95.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.94,252.25,0.26,0.3,0.31,9.66,10.32,8.94,13.82,3.6,-0.03,-0.05,175.9,6.6,311.0,1.0,1.0,685.0,698.0,844.0,-2.0,854.0,13.94,880.9,602.0,33.4,33.1,0.0,2.5,2067.6,0.0,16.83,16.4,40.3,37.9,40.9,39.7,38.1,39.2,39.2,39.8,57.0,59.2,26.3,31.6,30.2,30.7,42.0,38.0,25.0,0.2,0.0,0.2,6.0,6.0,4.0,0.0,27.0,28.0,28.0,61.0,95.0,95.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.17,146.27,0.26,0.3,0.31,10.2,10.64,10.62,13.02,12.2,-0.01,0.0,175.8,6.6,307.0,1.0,1.0,582.0,698.0,719.0,0.0,710.0,13.16,784.8,537.0,35.0,34.8,0.0,2.5,2067.6,0.0,16.83,16.3,40.3,37.9,41.0,39.8,38.1,39.2,39.5,40.1,57.2,59.4,26.1,31.4,30.0,30.5,41.0,37.0,25.0,-0.2,0.0,-0.5,6.0,6.0,4.0,0.0,27.0,28.0,27.0,61.0,95.0,95.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.88,19.51,0.26,0.3,0.31,10.96,10.5,10.88,13.86,8.7,0.05,-0.04,176.0,7.2,310.0,1.0,1.0,630.0,698.0,779.0,-2.0,839.0,13.88,873.2,596.0,31.1,31.1,0.0,2.4,2067.6,0.0,16.83,16.4,40.2,37.8,40.8,39.6,38.0,39.1,39.1,39.7,56.9,59.2,26.3,31.6,30.1,30.7,39.0,36.0,25.0,0.2,0.0,0.0,6.0,6.0,4.0,0.0,27.0,28.0,28.0,61.0,95.0,95.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.64,31.5,0.26,0.3,0.31,11.4,11.08,11.64,13.6,8.1,0.0,0.0,175.9,7.5,310.0,1.0,1.0,695.0,699.0,859.0,0.0,804.0,13.62,843.7,577.0,33.8,33.4,0.0,2.5,2067.6,0.0,16.83,16.4,40.3,37.9,40.9,39.8,38.1,39.3,39.2,39.8,57.0,59.2,26.3,31.6,30.3,30.7,42.0,38.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,28.0,28.0,61.0,95.0,95.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.15,325.51,0.26,0.3,0.31,9.66,10.84,9.62,13.08,2.3,-0.02,-0.01,175.8,6.5,309.0,1.0,1.0,539.0,697.0,664.0,0.0,707.0,13.12,783.3,535.0,33.9,33.8,0.0,2.5,2067.6,0.0,16.83,16.3,40.3,37.9,41.0,39.8,38.1,39.2,39.5,39.9,57.2,59.4,26.1,31.4,29.9,30.5,40.0,36.0,25.0,0.0,-0.2,0.0,6.0,6.0,4.0,0.0,27.0,28.0,28.0,61.0,95.0,95.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.95,110.02,0.26,0.3,0.31,10.46,10.44,12.06,13.88,-0.3,0.04,0.03,175.9,7.2,312.0,1.0,1.0,697.0,698.0,858.0,0.0,855.0,13.96,879.6,603.0,33.2,33.0,0.0,2.5,2067.6,0.0,16.83,16.4,40.3,37.9,41.0,39.7,38.1,39.2,39.2,39.8,57.0,59.2,26.3,31.6,30.2,30.7,41.0,37.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,28.0,28.0,61.0,95.0,95.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.74,359.75,0.27,0.3,0.31,9.66,9.44,10.22,13.68,8.9,-0.01,-0.01,175.7,6.9,306.0,1.0,1.0,594.0,698.0,728.0,0.0,799.0,13.72,852.0,583.0,34.9,34.9,0.0,2.5,2067.6,0.0,16.83,16.3,40.3,37.9,41.0,39.8,38.1,39.2,39.5,40.0,57.2,59.5,26.1,31.4,30.1,30.5,42.0,38.0,25.0,0.2,0.0,0.9,6.0,6.0,4.0,0.0,27.0,28.0,27.0,61.0,95.0,95.0,31.0,31.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
