轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
8.61,334.37,0.25,0.32,0.31,2.88,5.28,6.62,8.56,6.5,0.01,0.01,175.8,3.9,95,1,1,178,694,210,0,194,8.58,332.9,229,33.2,32.6,0,2.5,2067.6,0,16.83,20.2,39.9,38.3,40.6,39.4,38.6,39.3,38.2,39.3,55.9,58.2,26.4,30.1,30.4,30.2,33,32,25,0.0,0.4,-0.3,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
8.63,264.64,0.26,0.32,0.31,4.16,3.56,7.84,8.55,5.8,0.01,0.0,175.8,3.7,95,1,1,170,693,214,0,198,8.62,334.8,231,34.8,34.0,0,2.5,2067.6,0,16.83,20.0,39.8,38.3,40.4,39.2,38.6,39.2,38.1,39.4,55.8,58.1,26.4,30.1,30.5,30.4,35,33,25,-0.2,0.0,0.2,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
9.0,128.12,0.26,0.32,0.3,6.36,5.3,4.32,8.92,-11.7,0.0,0.03,175.8,5.1,111,1,1,191,692,241,0,226,9.0,362.9,251,33.3,32.4,0,2.5,2067.6,0,16.83,20.4,39.6,38.2,40.2,39.0,38.5,39.1,38.0,39.1,55.6,57.9,26.4,30.1,30.5,30.5,33,32,25,0.1,-0.1,0.0,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
8.56,287.24,0.26,0.32,0.31,4.14,4.68,9.02,8.48,0.2,-0.01,0.01,175.8,3.8,96,1,1,177,694,213,0,200,8.56,337.2,228,33.1,32.6,0,2.5,2067.6,0,16.83,20.1,39.9,38.4,40.6,39.4,38.6,39.3,38.2,39.4,55.9,58.2,26.4,30.1,30.4,30.2,34,32,25,-0.3,0.1,-0.2,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
8.74,84.13,0.26,0.32,0.3,6.42,6.4,5.02,8.69,-3.4,0.01,0.03,175.8,4.1,101,1,1,172,692,211,0,208,8.76,344.8,237,31.9,32.2,0,2.4,2067.6,0,16.83,20.2,39.7,38.3,40.4,39.2,38.5,39.2,38.1,39.3,55.8,58.0,26.4,30.1,30.5,30.3,33,32,25,0.1,0.0,0.0,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
8.65,27.86,0.25,0.32,0.3,4.64,6.46,4.6,8.61,-12.5,0.03,-0.02,175.8,4.7,108,1,1,181,692,228,0,201,8.64,341.0,232,32.5,31.8,0,2.4,2067.6,0,16.83,20.3,39.6,38.2,40.3,39.1,38.5,39.1,38.1,39.2,55.7,58.0,26.4,30.1,30.5,30.4,32,31,25,0.1,0.0,-0.4,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
8.65,31.25,0.26,0.32,0.3,4.04,6.0,4.66,8.59,-6.3,0.04,0.05,175.8,4.3,98,1,1,172,693,201,0,196,8.62,337.2,231,34.9,34.0,0,2.5,2067.6,0,16.83,20.0,39.8,38.3,40.4,39.2,38.5,39.2,38.1,39.2,55.8,58.1,26.4,30.1,30.4,30.2,34,33,25,0.0,0.0,-0.1,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
8.98,97.63,0.26,0.32,0.3,6.68,5.54,4.62,8.91,-5.3,0.01,0.03,175.8,4.1,111,1,1,192,692,234,0,224,8.98,365.2,250,33.7,33.0,0,2.4,2067.6,0,16.83,20.4,39.6,38.2,40.2,39.0,38.5,39.1,38.0,39.2,55.6,57.9,26.4,30.1,30.5,30.5,34,32,25,0.4,0.0,0.0,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
8.61,183.24,0.26,0.32,0.3,7.76,4.34,5.94,8.51,1.5,0.01,0.0,175.8,3.7,96,1,1,172,694,204,0,197,8.62,336.3,230,33.1,32.5,0,2.5,2067.6,0,16.83,20.1,39.9,38.4,40.6,39.4,38.6,39.3,38.2,39.5,55.9,58.2,26.4,30.1,30.4,30.3,33,32,25,-0.2,-0.1,0.1,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
8.61,131.51,0.26,0.32,0.3,6.88,5.2,4.2,8.54,-0.9,0.0,-0.01,175.8,3.9,96,1,1,171,694,205,0,197,8.62,340.1,231,33.1,32.5,0,2.5,2067.6,0,16.83,20.1,39.9,38.4,40.6,39.4,38.6,39.3,38.2,39.5,55.9,58.2,26.4,30.1,30.4,30.3,33,32,25,0.3,-0.1,0.0,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
8.79,43.63,0.26,0.32,0.3,5.18,6.68,5.04,8.75,-11.9,0.03,-0.02,175.8,4.9,103,1,1,180,692,211,0,212,8.78,350.9,239,31.1,31.4,0,2.4,2067.6,0,16.83,20.2,39.7,38.2,40.4,39.2,38.5,39.2,38.1,39.2,55.8,58.0,26.4,30.1,30.5,30.4,32,32,25,0.0,0.0,-0.2,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
8.64,100.62,0.26,0.32,0.3,7.22,6.32,4.16,8.6,4.0,-0.03,0.02,175.8,3.7,96,1,1,171,693,214,0,199,8.66,343.5,232,34.7,34.0,0,2.5,2067.6,0,16.83,20.0,39.8,38.3,40.4,39.2,38.5,39.2,38.1,39.2,55.8,58.1,26.4,30.1,30.5,30.4,35,33,25,0.3,-0.1,0.0,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
9.02,290.27,0.26,0.32,0.31,3.82,4.8,8.66,8.93,-9.8,0.03,0.02,175.8,5.1,111,1,1,190,692,235,0,225,8.98,365.2,251,33.4,32.6,0,2.5,2067.6,0,16.83,20.4,39.6,38.2,40.2,39.1,38.5,39.1,38.1,39.3,55.6,57.9,26.4,30.1,30.5,30.5,34,32,25,-0.1,0.1,0.0,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
8.52,300.38,0.26,0.32,0.31,3.56,4.22,6.96,8.42,2.4,-0.02,-0.01,175.8,3.3,95,1,1,166,693,204,0,194,8.5,327.1,224,34.2,33.5,0,2.5,2067.6,0,16.83,20.0,39.9,38.3,40.5,39.3,38.6,39.3,38.2,39.4,55.9,58.1,26.4,30.1,30.4,30.3,34,33,25,0.0,0.2,0.0,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
8.67,297.61,0.26,0.32,0.31,3.48,4.26,6.86,8.62,6.3,-0.01,0.0,175.8,3.9,93,1,1,168,694,216,0,200,8.66,341.8,233,34.1,33.3,0,2.5,2067.6,0,16.83,20.0,39.9,38.4,40.6,39.4,38.6,39.3,38.2,39.5,55.9,58.2,26.4,30.1,30.4,30.3,34,32,25,0.0,0.3,0.2,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
8.63,289.62,0.25,0.32,0.31,3.96,4.84,8.98,8.55,11.7,-0.01,0.0,175.8,4.5,94,1,1,170,694,214,0,196,8.62,340.2,230,33.7,32.9,0,2.5,2067.6,0,16.83,20.1,39.9,38.4,40.6,39.4,38.6,39.3,38.2,39.4,55.9,58.2,26.4,30.1,30.4,30.2,33,32,25,-0.2,0.1,-0.2,6,6,4,0,26,26,26,58,90,90,30,30,300,0,0,0,0,0,0,0,0,0
