轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
14.51,47.7,0.27,0.32,0.31,11.16,9.36,12.6,14.45,-5.7,0.02,-0.01,175.1,5.8,99,1,1,758,700,935,-2,949,14.48,952.6,650,31.3,32.5,0,2.4,2067.6,0,16.83,19.8,45.3,42.5,45.9,44.7,42.6,43.6,42.3,43.6,57.9,59.9,25.6,30.6,29.0,29.5,42,40,25,0.0,0.0,1.1,6,6,4,0,26,26,26,61,96,96,30,30,300,0,0,0,0,0,0,0,0,0
14.94,171.68,0.26,0.33,0.31,10.5,14.86,13.56,14.78,-3.8,0.0,0.03,175.2,6.6,98,1,1,937,700,1159,2,1040,14.96,1021.0,694,32.9,33.0,0,2.5,2067.6,0,16.83,19.9,45.1,42.3,45.8,44.5,42.4,43.4,42.0,43.4,57.7,59.8,25.6,30.6,29.1,29.5,44,40,25,-0.5,1.0,-1.2,6,6,4,0,26,26,26,61,96,96,30,30,300,0,0,0,0,0,0,0,0,0
14.82,67.97,0.27,0.32,0.31,12.66,11.46,13.98,14.75,-3.7,0.0,-0.09,175.1,7.4,98,1,1,834,700,1030,0,1034,14.82,1004.5,684,34.0,34.0,0,2.5,2067.6,0,16.83,19.9,45.2,42.4,45.9,44.6,42.5,43.5,42.1,43.6,57.8,59.8,25.6,30.6,29.1,29.5,45,41,25,-0.8,0.3,0.0,6,6,4,0,26,26,26,61,96,96,30,30,300,0,0,0,0,0,0,0,0,0
14.28,116.24,0.26,0.32,0.31,11.64,10.74,13.28,14.2,-6.9,-0.05,0.07,175.2,7.1,99,1,1,856,700,1060,0,921,14.3,929.4,634,34.5,34.7,0,2.5,2067.6,0,16.83,19.9,45.2,42.4,45.8,44.6,42.5,43.5,42.2,43.6,57.8,59.9,25.6,30.6,29.1,29.5,44,41,25,-0.8,0.0,0.0,6,6,4,0,26,26,26,62,96,96,30,30,300,0,0,0,0,0,0,0,0,0
14.74,222.48,0.26,0.33,0.31,11.16,13.26,11.3,14.61,1.6,-0.01,-0.01,175.1,6.9,98,1,1,768,700,950,2,1008,14.72,994.7,676,34.3,35.2,0,2.5,2067.6,0,16.83,19.6,45.3,42.5,45.9,44.7,42.6,43.5,42.4,43.8,58.0,60.0,25.6,30.6,29.1,29.5,45,41,25,0.0,0.0,0.0,6,6,4,0,26,26,26,61,96,96,30,30,300,0,0,0,0,0,0,0,0,0
14.7,296.75,0.26,0.33,0.31,10.58,11.6,9.8,14.61,-4.3,0.07,-0.05,175.0,8.3,97,1,1,711,700,877,-2,976,14.68,973.9,667,34.1,34.1,0,2.5,2067.6,0,16.83,19.7,45.2,42.4,45.8,44.6,42.5,43.5,42.4,43.8,57.9,60.0,25.6,30.6,29.1,29.5,43,39,25,0.5,0.0,0.0,6,6,4,0,26,26,26,61,96,96,30,30,300,0,0,0,0,0,0,0,0,0
15.0,341.06,0.27,0.33,0.31,12.04,11.16,10.78,14.93,-7.0,-0.04,-0.03,175.2,7.7,98,1,1,914,700,1128,-2,1027,14.94,1014.7,692,33.1,33.3,0,2.4,2067.6,0,16.83,19.9,45.1,42.3,45.7,44.5,42.4,43.4,42.1,43.4,57.8,59.8,25.6,30.6,29.1,29.5,44,41,25,1.1,-0.5,0.5,6,6,4,0,26,26,26,61,96,96,30,30,300,0,0,0,0,0,0,0,0,0
14.65,32.54,0.27,0.32,0.31,13.72,11.48,12.9,14.61,-6.7,-0.07,-0.11,175.0,8.3,97,1,1,726,700,895,0,961,14.64,971.8,664,33.8,33.9,0,2.5,2067.6,0,16.83,19.6,45.2,42.4,45.8,44.6,42.5,43.5,42.4,43.7,57.9,60.0,25.6,30.6,29.1,29.5,42,38,25,-0.6,-1.3,-0.3,6,6,4,0,26,26,26,61,96,96,30,30,300,0,0,0,0,0,0,0,0,0
14.84,19.33,0.27,0.32,0.31,12.94,11.22,13.34,14.8,-9.4,-0.02,0.02,175.5,8.1,101,1,1,891,700,1103,0,1016,14.8,997.7,680,30.4,31.2,0,2.4,2067.6,0,16.83,19.9,45.0,42.1,45.5,44.3,42.2,43.3,41.9,43.3,57.7,59.8,25.6,30.6,29.1,29.5,43,39,25,0.3,-0.4,0.3,6,6,4,0,26,26,26,61,96,96,30,30,300,0,0,0,0,0,0,0,0,0
14.06,191.27,0.26,0.33,0.31,11.42,13.02,12.08,13.91,-6.1,0.08,0.05,175.1,7.0,98,1,1,737,700,910,0,855,14.04,894.9,610,32.7,32.7,0,2.4,2067.6,0,16.83,19.8,45.3,42.4,45.9,44.7,42.6,43.6,42.4,43.7,57.9,60.0,25.6,30.6,29.0,29.5,41,37,25,-0.3,0.3,-0.8,6,6,4,0,26,26,26,61,96,96,30,30,300,0,0,0,0,0,0,0,0,0
