轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
13.89,130.0,0.52,0.6,0.58,10.16,9.48,11.74,13.88,-2.6,-0.05,0.01,173.0,9.1,35.0,1.0,1.0,1015.0,688.0,1241.0,-2.0,1247.0,13.9,1287.2,877.0,30.9,31.6,1.2,3.0,2067.6,0.0,16.83,14.4,59.1,61.3,59.1,59.9,61.0,61.4,63.5,62.3,63.8,63.8,27.3,30.3,31.4,35.1,43.0,38.0,25.0,0.0,0.2,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,58.0,64.0,91.0,30.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.25,240.98,0.51,0.6,0.58,7.52,6.86,9.04,11.26,10.8,0.02,-0.05,172.3,6.1,28.0,1.0,1.0,507.0,689.0,620.0,0.0,607.0,11.22,788.8,538.0,32.2,32.6,1.2,3.0,2067.6,0.0,16.83,14.2,56.0,58.3,56.3,57.0,58.0,58.2,60.6,59.9,64.0,63.9,27.3,29.9,31.5,35.1,37.0,33.0,25.0,0.0,0.0,0.4,6.0,6.0,4.0,0.0,27.0,27.0,27.0,57.0,63.0,90.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.01,347.0,0.52,0.6,0.58,12.32,10.7,11.0,14.01,-4.7,-0.01,0.11,173.1,9.4,38.0,1.0,1.0,1025.0,687.0,1239.0,0.0,1224.0,14.0,1293.7,884.0,28.8,29.8,1.2,3.0,2067.6,0.0,16.83,14.4,59.3,61.5,59.4,60.2,61.3,61.7,63.8,62.4,63.8,63.7,27.4,30.3,31.4,35.1,42.0,37.0,25.0,0.3,-0.5,-0.2,6.0,6.0,4.0,0.0,27.0,27.0,27.0,58.0,64.0,91.0,30.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.77,40.25,0.52,0.6,0.58,12.48,10.2,12.18,13.8,-0.3,-0.01,-0.04,173.0,8.3,35.0,1.0,1.0,967.0,688.0,1170.0,0.0,1163.0,13.8,1246.5,852.0,32.5,33.1,1.2,3.0,2067.6,0.0,16.83,14.4,59.0,61.2,59.1,59.8,61.0,61.3,63.4,62.2,63.8,63.8,27.3,30.2,31.4,35.1,43.0,38.0,25.0,0.0,-0.5,0.8,6.0,6.0,4.0,0.0,27.0,27.0,27.0,58.0,64.0,91.0,30.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.85,289.26,0.52,0.6,0.58,11.26,11.56,11.46,13.85,0.1,0.06,-0.03,173.1,7.6,35.0,1.0,1.0,984.0,688.0,1190.0,0.0,1183.0,13.82,1259.6,860.0,31.5,32.0,1.2,3.0,2067.6,0.0,16.83,14.4,59.0,61.2,59.1,59.8,60.9,61.3,63.5,62.2,63.8,63.8,27.3,30.2,31.4,35.1,43.0,38.0,25.0,0.3,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,58.0,64.0,91.0,30.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.24,133.74,0.51,0.6,0.58,9.78,9.4,9.78,12.24,-5.6,0.06,-0.04,172.6,8.2,39.0,1.0,1.0,666.0,689.0,810.0,0.0,805.0,12.24,958.8,655.0,31.4,31.1,1.2,3.0,2067.6,0.0,16.83,14.4,56.6,58.9,57.0,57.6,58.6,58.9,61.2,60.5,64.0,63.9,27.3,30.0,31.5,35.1,37.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,57.0,63.0,90.0,30.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.48,63.25,0.52,0.6,0.58,9.32,8.14,8.92,12.52,1.9,0.01,-0.03,172.6,9.2,33.0,1.0,1.0,723.0,689.0,878.0,0.0,872.0,12.52,1014.4,692.0,28.9,30.2,1.2,2.9,2067.6,0.0,16.83,14.4,57.5,59.7,57.7,58.3,59.4,59.7,62.1,61.2,63.9,63.8,27.3,30.0,31.5,35.2,38.0,34.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,57.0,64.0,91.0,30.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.98,137.02,0.52,0.6,0.58,10.86,10.36,12.58,13.0,11.0,0.08,-0.04,172.9,8.8,30.0,1.0,1.0,802.0,688.0,972.0,0.0,974.0,12.98,1092.2,747.0,31.6,32.6,1.2,3.0,2067.6,0.0,16.83,14.4,58.4,60.6,58.5,59.3,60.4,60.7,63.0,61.9,63.9,63.8,27.3,30.1,31.5,35.1,41.0,36.0,25.0,-0.2,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,57.0,64.0,91.0,30.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.23,99.76,0.51,0.6,0.58,7.52,6.64,6.92,11.22,8.0,0.04,0.02,172.4,7.2,28.0,1.0,1.0,499.0,689.0,604.0,0.0,590.0,11.22,774.2,530.0,31.2,32.6,1.2,3.0,2067.6,0.0,16.83,14.2,55.8,58.2,56.2,56.8,57.9,58.0,60.6,59.8,63.9,63.8,27.3,29.8,31.5,35.1,37.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,57.0,63.0,90.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.4,248.76,0.52,0.6,0.58,8.18,8.2,10.38,12.43,5.1,0.08,0.05,172.8,8.9,32.0,1.0,1.0,695.0,689.0,841.0,0.0,841.0,12.38,984.0,673.0,28.5,29.5,1.2,2.9,2067.6,0.0,16.83,14.4,57.3,59.6,57.6,58.2,59.2,59.5,61.9,61.0,63.9,63.9,27.3,30.0,31.5,35.2,37.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,57.0,64.0,91.0,30.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
