轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.34,20.02,0.45,0.43,0.51,5.18,4.5,8.24,7.34,-2.2,-0.02,0.03,171.8,4.2,305.0,1.0,1.0,106.0,685.0,131.0,0.0,115.0,7.32,229.6,158.0,30.2,30.4,0.2,2.1,2067.6,0.0,16.83,12.2,23.2,25.8,25.1,24.4,25.5,24.6,25.3,24.5,45.1,45.3,20.0,22.0,21.4,24.5,27.0,27.0,25.0,-0.2,0.1,0.0,6.0,6.0,4.0,0.0,20.0,20.0,20.0,54.0,60.0,76.0,22.0,22.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.28,72.0,0.45,0.43,0.51,4.08,6.44,6.2,7.3,4.4,0.0,0.06,171.5,3.4,304.0,1.0,1.0,102.0,685.0,121.0,0.0,109.0,7.3,211.9,145.0,30.9,28.9,0.2,2.1,2067.6,0.0,16.83,12.2,23.1,25.7,25.1,24.4,25.5,24.6,25.3,24.5,45.1,45.4,20.0,22.0,21.4,24.5,28.0,27.0,25.0,0.0,0.6,-0.1,6.0,6.0,4.0,0.0,20.0,20.0,20.0,54.0,60.0,76.0,22.0,22.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.39,358.99,0.45,0.43,0.51,5.06,3.44,7.26,7.38,-17.3,0.03,-0.07,171.4,3.8,318.0,1.0,1.0,111.0,684.0,136.0,0.0,122.0,7.38,238.5,162.0,33.1,33.7,0.2,2.1,2067.6,0.0,16.83,12.1,23.1,25.7,25.1,24.4,25.5,24.6,25.4,24.5,45.1,45.3,20.0,22.0,21.4,24.5,30.0,29.0,25.0,-0.1,0.1,0.0,6.0,6.0,4.0,0.0,20.0,20.0,20.0,55.0,58.0,76.0,22.0,22.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,191.02,0.45,0.43,0.5,6.12,7.3,2.86,7.31,-5.5,-0.08,-0.06,0.0,3.8,323.0,1.0,1.0,107.0,684.0,124.0,0.0,117.0,7.3,222.3,150.0,29.7,30.7,0.1,2.1,2067.6,0.0,16.83,12.1,23.1,25.7,25.1,24.4,25.4,24.6,25.2,24.4,45.1,45.3,20.0,22.0,21.5,24.6,27.0,27.0,25.0,0.3,-0.2,0.0,6.0,6.0,4.0,2.0,20.0,20.0,20.0,56.0,57.0,76.0,22.0,22.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.45,115.99,0.45,0.43,0.5,4.74,7.98,4.24,7.45,-6.7,0.1,0.09,171.6,4.4,313.0,1.0,1.0,116.0,684.0,145.0,0.0,127.0,7.46,247.1,167.0,33.6,32.1,0.2,2.1,2067.6,0.0,16.83,12.1,23.1,25.7,25.1,24.4,25.5,24.6,25.2,24.5,45.1,45.3,20.0,22.0,21.4,24.5,29.0,29.0,25.0,0.0,0.2,-0.2,6.0,6.0,4.0,0.0,20.0,20.0,20.0,54.0,59.0,76.0,22.0,22.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.24,212.0,0.46,0.43,0.5,6.72,5.46,2.22,7.25,-5.2,-0.05,0.01,175.8,3.7,311.0,1.0,1.0,99.0,684.0,116.0,0.0,103.0,7.24,199.3,136.0,31.3,29.6,0.2,2.1,2067.6,0.0,16.83,12.1,23.1,25.7,25.1,24.4,25.4,24.6,25.3,24.4,45.1,45.3,20.0,22.0,21.4,24.5,28.0,27.0,25.0,0.3,-0.2,0.0,6.0,6.0,4.0,0.0,20.0,20.0,20.0,56.0,57.0,76.0,22.0,22.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.34,28.01,0.45,0.43,0.51,4.72,4.56,6.84,7.33,8.2,-0.04,0.05,171.7,3.4,306.0,1.0,1.0,108.0,684.0,131.0,0.0,117.0,7.34,231.5,159.0,31.3,28.8,0.2,2.1,2067.6,0.0,16.83,12.1,23.1,25.7,25.1,24.4,25.5,24.6,25.3,24.5,45.1,45.4,20.0,22.0,21.5,24.5,28.0,28.0,25.0,-0.1,0.2,0.0,6.0,6.0,4.0,0.0,20.0,20.0,20.0,54.0,60.0,76.0,22.0,22.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.38,250.99,0.46,0.43,0.5,7.04,3.86,3.0,7.37,-20.6,0.01,-0.11,171.3,4.6,325.0,1.0,1.0,113.0,684.0,136.0,0.0,118.0,7.36,230.2,159.0,28.9,31.5,0.2,2.0,2067.6,0.0,16.83,12.1,23.1,25.7,25.1,24.4,25.5,24.6,25.3,24.4,45.1,45.3,20.0,22.0,21.5,24.5,28.0,28.0,25.0,0.0,0.0,0.1,6.0,6.0,4.0,0.0,20.0,20.0,20.0,55.0,58.0,76.0,22.0,22.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.39,144.0,0.45,0.43,0.5,4.4,8.14,2.38,7.39,-10.1,0.11,-0.13,171.4,3.9,316.0,1.0,1.0,113.0,684.0,134.0,0.0,120.0,7.38,237.3,161.0,32.3,31.1,0.1,2.2,2067.6,0.0,16.83,12.1,23.1,25.7,25.1,24.4,25.5,24.6,25.3,24.5,45.1,45.3,20.0,22.0,21.4,24.5,30.0,29.0,25.0,0.1,0.0,-0.1,6.0,6.0,4.0,0.0,20.0,20.0,20.0,55.0,58.0,76.0,22.0,22.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.57,104.0,0.45,0.43,0.5,4.1,7.94,4.82,7.59,3.8,-0.06,0.13,171.5,4.2,315.0,1.0,1.0,124.0,684.0,149.0,0.0,138.0,7.58,260.2,177.0,31.3,32.7,0.2,2.1,2067.6,0.0,16.83,12.1,23.1,25.7,25.1,24.4,25.5,24.6,25.3,24.5,45.1,45.3,20.0,22.0,21.4,24.5,30.0,29.0,25.0,0.0,0.5,-0.1,6.0,6.0,4.0,0.0,20.0,20.0,20.0,55.0,59.0,76.0,22.0,22.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.28,268.99,0.46,0.43,0.5,7.84,3.84,4.02,7.26,-17.1,0.07,0.07,171.4,3.7,321.0,1.0,1.0,99.0,684.0,119.0,0.0,104.0,7.26,202.3,137.0,30.6,30.5,0.2,2.1,2067.6,0.0,16.83,12.1,23.1,25.7,25.1,24.4,25.5,24.6,25.3,24.5,45.1,45.3,20.0,22.0,21.5,24.5,29.0,28.0,25.0,0.0,-0.2,0.1,6.0,6.0,4.0,0.0,20.0,20.0,20.0,55.0,58.0,76.0,22.0,22.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
