轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.14,284.0,86,86,86,7.66,6.72,13.0,0.05,-4.7,0.02,-0.01,175.8,4.5,141,1,1,0,688,0,0,0,0,1.5,0,27.3,26.7,0.3,0.1,2067.6,0,16.83,15.3,22.2,21.7,23.0,21.8,21.9,20.8,22.8,22.5,24.7,25.1,26.9,27.3,22.2,25.0,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,56,60,71,27,27,300,0,0,0,0,0,0,0,0,0
0.06,38.02,86,86,86,6.98,14.84,5.46,0.06,-6.8,0.01,0.0,98.7,5.1,144,1,1,0,688,0,0,0,0,1.9,0,27.6,27.0,0.3,0.1,2067.6,0,16.83,15.2,22.4,21.8,23.1,21.9,22.0,21.0,23.0,22.7,24.8,25.1,26.7,28.4,22.4,25.1,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,59,61,67,28,28,300,0,0,0,0,0,0,0,0,0
0.09,223.99,86,86,86,6.68,11.36,8.0,0.09,-11.5,0.01,0.01,172.0,3.8,150,1,1,0,689,0,0,0,0,1.8,0,26.5,25.8,0.3,0.1,2067.6,0,16.83,15.3,22.2,21.8,23.1,21.8,22.0,20.8,22.8,22.5,24.7,25.1,26.6,27.8,22.2,25.0,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,57,60,69,27,27,300,0,0,0,0,0,0,0,0,0
0.14,244.01,86,86,86,0.5,12.2,12.04,0.01,13.2,0.0,0.02,164.5,3.2,141,1,1,0,689,0,0,0,0,2.4,0,26.5,25.4,0.3,0.1,2067.6,0,16.83,15.3,22.2,21.7,23.0,21.8,21.9,20.8,22.8,22.5,24.7,25.1,26.7,27.4,22.2,25.0,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,57,60,70,27,27,300,0,0,0,0,0,0,0,0,0
0.14,294.98,86,86,86,9.26,3.52,13.64,0.12,-10.9,0.03,0.01,174.8,4.6,143,1,1,0,688,0,0,0,0,3.7,0,26.9,26.1,0.3,0.1,2067.6,0,16.83,15.3,22.2,21.7,23.0,21.8,21.9,20.8,22.8,22.5,24.7,25.1,26.9,27.5,22.2,25.0,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,56,60,71,27,27,300,0,0,0,0,0,0,0,0,0
0.09,178.99,86,86,86,13.56,8.4,2.54,0.08,-14.4,0.03,0.02,172.2,5.0,143,1,1,0,689,0,0,0,0,2.2,0,27.1,26.3,0.3,0.1,2067.6,0,16.83,15.3,22.3,21.8,23.1,21.9,22.0,20.9,22.9,22.7,24.7,25.1,26.6,28.2,22.2,25.0,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,57,60,70,28,28,300,0,0,0,0,0,0,0,0,0
0.1,356.0,86,86,86,13.34,11.3,4.18,0.07,-16.5,0.02,0.03,165.3,4.5,136,1,1,0,688,0,0,0,0,1.7,0,27.7,26.9,0.3,0.1,2067.6,0,16.83,15.3,22.4,21.8,23.2,21.9,22.0,21.0,23.0,22.7,24.8,25.1,26.6,28.0,22.4,25.1,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,59,60,67,28,28,300,0,0,0,0,0,0,0,0,0
0.09,105.98,86,86,86,8.6,5.94,11.8,0.07,15.4,0.03,0.02,173.1,3.5,129,1,1,0,687,0,0,0,0,2.5,0,27.1,26.2,0.3,0.1,2067.6,0,16.83,15.3,22.3,21.8,23.1,21.9,22.0,21.0,23.0,22.7,24.8,25.1,27.0,28.6,22.4,25.1,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,57,62,69,28,28,300,0,0,0,0,0,0,0,0,0
0.03,240.01,86,86,86,0.52,12.16,11.66,0.05,22.5,0.0,0.06,110.0,2.6,144,1,1,0,689,0,0,0,0,3.0,0,27.0,26.2,0.3,0.1,2067.6,0,16.83,15.3,22.2,21.8,23.0,21.8,22.0,20.8,22.8,22.5,24.7,25.1,26.7,27.5,22.2,25.0,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,57,60,70,27,27,300,0,0,0,0,0,0,0,0,0
0.09,151.99,86,86,86,13.42,4.02,9.92,0.11,-6.7,0.0,0.02,172.4,4.0,130,1,1,0,689,0,0,0,0,2.4,0,27.7,26.7,0.3,0.1,2067.6,0,16.83,15.3,22.3,21.8,23.1,21.9,22.0,20.9,23.0,22.7,24.7,25.1,26.7,28.6,22.2,25.0,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,57,61,70,28,28,300,0,0,0,0,0,0,0,0,0
0.08,96.01,86,86,86,6.8,7.78,11.68,0.07,10.2,0.02,0.03,173.5,4.2,132,1,1,0,688,0,0,0,0,3.0,0,27.5,26.6,0.3,0.1,2067.6,0,16.83,15.3,22.3,21.8,23.1,21.9,22.0,21.0,23.0,22.7,24.8,25.1,27.0,28.6,22.4,25.1,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,57,62,69,28,28,300,0,0,0,0,0,0,0,0,0
0.21,276.01,86,86,86,5.6,9.26,12.24,0.14,-16.0,0.03,0.04,172.9,4.5,140,1,1,0,688,0,0,0,0,1.7,0,26.7,25.8,0.3,0.1,2067.6,0,16.83,15.3,22.5,21.9,23.3,22.0,22.1,21.0,23.1,22.8,24.8,25.2,26.2,27.5,22.2,25.1,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,59,59,66,27,27,300,0,0,0,0,0,0,0,0,0
0.06,38.99,86,86,86,6.68,14.72,6.1,0.07,-10.9,0.02,-0.01,109.6,4.5,145,1,1,0,688,0,0,0,0,2.1,0,26.8,25.7,0.3,0.1,2067.6,0,16.83,15.2,22.3,21.8,23.1,21.9,22.0,21.0,23.0,22.7,24.8,25.1,26.7,28.4,22.4,25.1,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,59,61,67,28,28,300,0,0,0,0,0,0,0,0,0
0.19,277.99,86,86,86,6.16,9.2,12.52,0.16,-19.8,0.01,0.01,172.9,4.8,140,1,1,0,688,0,0,0,0,2.0,0,27.1,26.3,0.3,0.1,2067.6,0,16.83,15.3,22.5,21.9,23.3,22.0,22.1,21.0,23.1,22.8,24.8,25.2,26.2,27.5,22.2,25.1,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,59,59,66,27,27,300,0,0,0,0,0,0,0,0,0
0.05,41.0,86,86,86,6.36,15.3,6.24,0.07,-7.6,0.01,0.05,121.6,4.7,145,1,1,0,688,0,0,0,0,1.8,0,27.5,26.9,0.3,0.1,2067.6,0,16.83,15.2,22.3,21.8,23.1,21.9,22.0,21.0,23.0,22.7,24.8,25.1,26.7,28.5,22.4,25.1,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,59,61,67,28,28,300,0,0,0,0,0,0,0,0,0
0.12,148.0,86,86,86,13.8,2.5,11.06,0.1,-2.9,0.01,0.02,172.4,4.0,128,1,1,0,689,0,0,0,0,2.1,0,27.5,26.7,0.3,0.1,2067.6,0,16.83,15.3,22.3,21.8,23.1,21.9,22.0,20.9,23.0,22.7,24.7,25.1,26.7,28.6,22.2,25.0,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,57,61,70,28,28,300,0,0,0,0,0,0,0,0,0
0.09,235.01,86,86,86,2.84,12.1,11.54,0.06,6.1,0.03,-0.04,10.7,3.0,151,1,1,0,689,0,0,0,0,2.5,0,27.1,26.5,0.3,0.1,2067.6,0,16.83,15.3,22.2,21.7,23.0,21.8,22.0,20.8,22.8,22.5,24.7,25.1,26.7,27.6,22.2,25.0,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,57,60,70,27,27,300,0,0,0,0,0,0,0,0,0
0.08,105.98,86,86,86,8.84,5.72,12.72,0.07,12.1,0.01,0.0,173.1,3.2,130,1,1,0,687,0,0,0,0,2.4,0,27.3,26.4,0.3,0.1,2067.6,0,16.83,15.3,22.3,21.8,23.1,21.9,22.0,21.0,23.0,22.7,24.8,25.1,27.0,28.6,22.4,25.1,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,57,62,69,28,28,300,0,0,0,0,0,0,0,0,0
0.08,221.0,86,86,86,7.52,11.74,7.32,0.08,-18.2,0.01,0.03,172.0,3.7,150,1,1,0,689,0,0,0,0,3.4,0,26.6,25.5,0.3,0.1,2067.6,0,16.83,15.3,22.2,21.8,23.1,21.8,22.0,20.8,22.8,22.5,24.7,25.1,26.6,27.8,22.2,25.0,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,57,60,69,27,27,300,0,0,0,0,0,0,0,0,0
0.14,132.98,86,86,86,13.14,0.0,13.02,0.11,6.3,0.0,0.02,172.5,1.9,129,1,1,0,687,0,0,0,0,1.9,0,26.5,25.7,0.3,0.1,2067.6,0,16.83,15.4,22.3,21.8,23.1,21.9,22.0,20.9,23.0,22.7,24.7,25.1,26.7,28.6,22.3,25.0,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,57,61,69,28,28,300,0,0,0,0,0,0,0,0,0
0.1,351.0,86,86,86,13.48,10.64,5.36,0.13,0.4,0.02,0.07,134.6,3.2,132,1,1,0,688,0,0,0,0,2.8,0,27.9,26.9,0.3,0.1,2067.6,0,16.83,15.3,22.4,21.8,23.2,21.9,22.0,21.0,23.0,22.7,24.8,25.1,26.6,27.9,22.4,25.1,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,59,59,68,27,27,300,0,0,0,0,0,0,0,0,0
0.08,119.02,86,86,86,11.26,3.24,12.46,0.07,8.1,0.02,0.02,172.7,2.9,128,1,1,0,687,0,0,0,0,2.2,0,27.7,26.7,0.3,0.1,2067.6,0,16.83,15.4,22.3,21.8,23.1,21.9,22.0,20.9,23.0,22.7,24.7,25.1,26.9,28.6,22.3,25.0,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,57,61,69,28,28,300,0,0,0,0,0,0,0,0,0
0.08,47.02,86,86,86,5.2,14.36,7.6,0.03,-17.6,0.02,0.02,178.1,5.4,149,1,1,0,688,0,0,0,0,2.2,0,26.7,25.8,0.3,0.1,2067.6,0,16.83,15.3,22.3,21.8,23.1,21.9,22.0,21.0,23.0,22.7,24.8,25.2,26.9,28.6,22.4,25.1,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,59,62,67,28,28,300,0,0,0,0,0,0,0,0,0
0.08,119.02,86,86,86,10.66,3.06,12.16,0.07,10.5,0.02,0.01,172.8,2.8,128,1,1,0,688,0,0,0,0,1.9,0,27.9,26.8,0.3,0.1,2067.6,0,16.83,15.4,22.3,21.8,23.1,21.9,22.0,20.9,23.0,22.7,24.7,25.1,26.9,28.6,22.3,25.0,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,57,61,69,28,28,300,0,0,0,0,0,0,0,0,0
0.14,182.02,86,86,86,14.0,8.88,1.46,0.06,-17.8,0.02,0.02,172.2,6.3,145,1,1,0,689,0,0,0,0,1.9,0,26.5,25.8,0.3,0.1,2067.6,0,16.83,15.3,22.3,21.8,23.1,21.8,22.0,20.9,22.9,22.7,24.7,25.1,26.6,28.1,22.2,25.0,30,27,25,0.0,0.0,0.0,1,4,4,0,24,24,25,57,60,70,28,28,300,0,0,0,0,0,0,0,0,0
