轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
10.45,243.0,0.5,0.59,0.53,7.92,6.94,6.98,10.45,-4.5,0.01,0.06,175.6,7.5,88.0,1.0,1.0,399.0,679.0,480.0,0.0,473.0,10.44,650.6,444.0,29.3,30.0,0.3,2.1,2067.6,0.0,16.83,21.6,42.9,41.1,43.5,40.8,41.2,40.6,44.5,43.2,60.5,60.5,32.0,32.8,36.4,39.1,33.0,30.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,58.0,63.0,86.0,32.0,32.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.62,169.99,0.5,0.59,0.53,7.36,6.24,7.64,10.64,16.8,0.07,0.02,173.6,5.8,87.0,1.0,1.0,430.0,678.0,517.0,0.0,504.0,10.64,683.0,467.0,30.4,30.8,0.2,2.1,2067.6,0.0,16.83,21.7,43.1,41.3,43.6,41.0,41.4,40.8,44.5,43.2,60.5,60.5,32.0,32.8,36.6,39.3,34.0,30.0,25.0,0.0,0.1,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,58.0,63.0,86.0,32.0,32.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.42,173.02,0.5,0.59,0.53,6.82,5.3,7.1,9.44,10.5,-0.02,0.01,174.1,5.4,81.0,1.0,1.0,276.0,679.0,330.0,0.0,323.0,9.42,494.0,337.0,31.1,31.1,0.2,2.3,1441.2,0.0,15.88,21.8,43.0,41.3,43.5,41.0,41.3,40.7,44.5,43.3,60.5,60.6,32.1,32.9,36.6,39.3,31.0,29.0,25.0,0.0,0.1,-0.2,6.0,6.0,4.0,0.0,30.0,30.0,30.0,58.0,63.0,86.0,32.0,32.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.27,299.99,0.5,0.59,0.53,8.04,4.88,6.86,10.28,3.8,0.03,0.04,0.0,5.7,78.0,1.0,1.0,382.0,680.0,464.0,2.0,445.0,10.28,623.5,426.0,33.9,34.0,0.2,2.1,1628.6,0.0,16.17,21.9,42.8,41.0,43.3,40.8,41.1,40.5,44.3,43.2,60.5,60.6,32.1,32.9,36.4,39.3,34.0,31.0,25.0,0.2,0.0,0.6,6.0,6.0,4.0,1.0,30.0,30.0,30.0,58.0,63.0,86.0,32.0,32.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.44,56.02,0.5,0.59,0.53,8.18,6.8,8.56,10.43,5.4,0.03,0.06,175.7,6.8,86.0,1.0,1.0,400.0,678.0,485.0,-2.0,479.0,10.42,653.0,444.0,28.3,30.0,0.3,2.2,2067.6,0.0,16.83,21.6,42.9,41.1,43.5,40.8,41.2,40.6,44.4,43.2,60.5,60.5,32.1,32.8,36.4,39.1,33.0,30.0,25.0,-0.2,0.0,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,58.0,63.0,86.0,32.0,32.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.19,172.01,0.51,0.59,0.53,9.44,7.74,9.1,12.22,6.3,0.06,0.05,174.1,7.8,90.0,1.0,1.0,701.0,681.0,840.0,-5.0,833.0,12.22,971.4,660.0,32.1,31.2,0.3,2.2,2067.6,0.0,16.83,21.4,43.4,41.5,43.7,41.3,41.6,40.9,44.4,43.1,60.6,60.6,32.1,33.1,36.5,39.3,41.0,36.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,30.0,30.0,31.0,58.0,63.0,87.0,33.0,33.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.65,334.01,0.5,0.59,0.53,7.38,5.62,6.6,10.65,7.5,0.01,0.03,176.0,5.8,86.0,1.0,1.0,446.0,679.0,529.0,-4.0,522.0,10.66,694.9,473.0,30.0,30.5,0.2,2.1,2067.6,0.0,16.83,21.6,42.9,41.1,43.5,40.8,41.2,40.6,44.4,43.2,60.5,60.5,32.1,32.8,36.4,39.1,34.0,30.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,57.0,63.0,86.0,32.0,32.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.77,334.01,0.5,0.59,0.53,7.22,5.46,7.1,10.76,-3.1,0.0,-0.02,175.4,6.1,90.0,1.0,1.0,429.0,679.0,513.0,2.0,503.0,10.74,685.7,470.0,27.8,27.1,0.2,2.1,2067.6,0.0,16.83,21.6,42.9,41.1,43.5,40.8,41.2,40.6,44.4,43.2,60.5,60.5,32.0,32.7,36.5,39.1,33.0,30.0,25.0,0.0,0.0,0.2,6.0,6.0,4.0,0.0,30.0,30.0,30.0,58.0,63.0,86.0,32.0,32.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.19,22.0,0.5,0.59,0.53,7.92,5.0,7.02,9.17,14.0,0.0,0.01,174.6,5.0,81.0,1.0,1.0,245.0,678.0,289.0,0.0,283.0,9.16,450.1,307.0,30.0,31.2,0.3,2.1,1447.3,0.0,15.89,21.6,43.1,41.3,43.6,41.1,41.4,40.8,44.5,43.3,60.5,60.6,32.1,32.8,36.6,39.3,31.0,29.0,25.0,-0.2,-0.1,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,58.0,63.0,86.0,32.0,32.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.66,263.99,0.5,0.59,0.53,8.8,6.98,8.08,10.68,-3.2,0.01,0.03,175.5,6.2,89.0,1.0,1.0,420.0,679.0,503.0,2.0,491.0,10.64,678.0,465.0,30.0,29.7,0.2,2.2,2067.6,0.0,16.83,21.6,42.9,41.2,43.5,40.8,41.2,40.6,44.4,43.2,60.5,60.5,32.0,32.8,36.5,39.1,33.0,30.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,30.0,30.0,30.0,58.0,63.0,86.0,32.0,32.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
