轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.68,33.98,0.23,0.23,0.22,4.7,3.72,5.42,7.68,3.8,-0.01,0.05,173.1,3.9,163.0,1.0,1.0,129.0,688.0,159.0,0.0,142.0,7.66,269.7,183.0,30.1,29.6,0.1,2.2,2067.6,0.0,16.83,15.6,39.7,37.0,37.9,37.5,40.1,40.5,38.7,38.9,56.5,58.0,26.0,28.3,29.9,32.7,29.0,27.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,26.0,27.0,57.0,61.0,67.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.06,279.0,0.24,0.23,0.22,7.36,5.62,5.56,8.06,10.9,0.02,-0.03,172.9,4.2,161.0,1.0,1.0,149.0,689.0,174.0,0.0,164.0,8.04,295.7,200.0,29.1,28.8,0.1,2.2,2067.6,0.0,16.83,15.6,39.2,36.6,37.5,37.1,39.7,40.0,38.3,38.4,56.1,57.6,25.9,28.2,29.8,32.7,29.0,27.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,57.0,61.0,67.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.61,149.0,0.23,0.23,0.22,4.92,5.22,5.66,7.62,1.5,0.04,0.03,172.9,4.1,161.0,1.0,1.0,129.0,688.0,151.0,0.0,142.0,7.6,260.8,179.0,31.7,30.8,0.1,2.2,2067.6,0.0,16.83,15.6,39.5,36.8,37.7,37.3,39.9,40.3,38.5,38.6,56.3,57.8,26.0,28.2,29.9,32.7,31.0,29.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,26.0,27.0,57.0,61.0,67.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.61,347.0,0.23,0.23,0.22,6.16,5.46,6.22,7.64,8.5,0.05,0.06,173.0,4.4,162.0,1.0,1.0,125.0,688.0,156.0,0.0,142.0,7.6,257.8,179.0,31.3,30.4,0.1,2.2,2067.6,0.0,16.83,15.6,39.6,36.8,37.8,37.4,40.0,40.3,38.6,38.7,56.3,57.9,26.0,28.3,29.9,32.7,30.0,29.0,25.0,-0.1,-0.1,0.0,6.0,6.0,4.0,0.0,27.0,26.0,27.0,57.0,61.0,67.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.93,319.0,0.24,0.23,0.22,6.12,4.64,4.76,7.93,4.4,-0.02,-0.02,173.1,4.8,161.0,1.0,1.0,143.0,689.0,167.0,0.0,161.0,7.92,284.4,194.0,29.2,29.5,0.1,2.2,2067.6,0.0,16.83,15.6,39.8,37.1,38.0,37.6,40.2,40.5,38.8,39.0,56.6,58.1,26.0,28.3,29.9,32.7,29.0,28.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,26.0,27.0,57.0,61.0,67.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.49,286.99,0.24,0.23,0.22,6.72,5.04,5.06,7.51,9.3,-0.05,0.01,173.1,3.7,163.0,1.0,1.0,126.0,689.0,149.0,0.0,130.0,7.48,243.8,168.0,31.1,30.6,0.1,2.2,2067.6,0.0,16.83,15.6,39.7,36.9,37.8,37.4,40.0,40.3,38.6,38.8,56.4,57.9,26.0,28.3,30.0,32.5,30.0,28.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,26.0,27.0,57.0,61.0,67.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.89,6.98,0.24,0.23,0.22,5.54,4.9,5.8,7.93,9.0,0.05,0.04,173.1,4.5,160.0,1.0,1.0,139.0,688.0,174.0,0.0,160.0,7.92,279.4,194.0,29.2,29.6,0.1,2.2,2067.6,0.0,16.83,15.6,39.8,37.1,38.0,37.6,40.2,40.5,38.8,39.0,56.6,58.1,26.0,28.3,29.9,32.7,29.0,28.0,25.0,-0.1,-0.1,0.0,6.0,6.0,4.0,0.0,27.0,26.0,27.0,57.0,61.0,67.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.95,335.99,0.24,0.23,0.22,5.34,4.44,4.88,7.96,6.8,-0.02,-0.04,172.9,4.4,159.0,1.0,1.0,142.0,688.0,162.0,0.0,161.0,7.94,282.9,195.0,32.6,32.2,0.1,2.2,2067.6,0.0,16.83,15.6,39.4,36.7,37.6,37.2,39.8,40.2,38.4,38.5,56.2,57.7,26.0,28.2,29.8,32.7,32.0,30.0,25.0,0.0,0.0,0.1,6.0,6.0,4.0,0.0,27.0,26.0,26.0,57.0,61.0,67.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.51,106.99,0.23,0.23,0.22,3.84,4.2,5.06,7.57,2.1,0.0,0.04,173.0,4.4,163.0,1.0,1.0,120.0,688.0,151.0,0.0,136.0,7.52,258.8,176.0,30.8,29.9,0.1,2.2,2067.6,0.0,16.83,15.6,39.6,36.8,37.8,37.4,40.0,40.3,38.6,38.7,56.4,57.9,26.0,28.3,30.0,32.6,30.0,28.0,25.0,0.0,0.1,0.0,6.0,6.0,4.0,0.0,27.0,26.0,27.0,57.0,61.0,67.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.89,231.98,0.24,0.23,0.22,6.6,6.04,5.5,7.87,6.5,0.02,0.03,172.9,4.9,159.0,1.0,1.0,135.0,688.0,171.0,0.0,156.0,7.86,285.0,192.0,33.0,32.3,0.1,2.3,2067.6,0.0,16.83,15.6,39.3,36.6,37.6,37.2,39.8,40.1,38.4,38.5,56.1,57.7,25.9,28.2,29.8,32.7,32.0,30.0,25.0,0.3,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,57.0,61.0,67.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.04,317.02,0.24,0.23,0.22,5.44,4.38,4.58,8.05,3.9,-0.07,-0.03,172.8,4.9,162.0,1.0,1.0,150.0,688.0,174.0,0.0,163.0,8.02,295.2,200.0,28.6,29.2,0.1,2.2,2067.6,0.0,16.83,15.6,39.3,36.6,37.5,37.1,39.7,40.0,38.3,38.4,56.1,57.6,25.9,28.2,29.9,32.7,30.0,28.0,25.0,0.0,0.0,0.1,6.0,6.0,4.0,0.0,26.0,26.0,26.0,57.0,61.0,67.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.57,227.99,0.23,0.23,0.22,6.54,5.26,5.68,7.57,4.9,0.01,-0.01,173.0,4.4,163.0,1.0,1.0,127.0,688.0,145.0,0.0,139.0,7.56,257.8,177.0,30.6,29.6,0.1,2.2,2067.6,0.0,16.83,15.6,39.7,36.9,37.9,37.5,40.0,40.4,38.7,38.8,56.4,57.9,26.0,28.2,29.9,32.5,30.0,28.0,25.0,0.1,0.0,0.0,6.0,6.0,4.0,0.0,27.0,26.0,27.0,57.0,61.0,67.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.84,167.0,0.23,0.23,0.22,6.3,6.12,6.04,7.86,10.4,0.05,0.06,172.9,4.8,159.0,1.0,1.0,142.0,688.0,170.0,0.0,158.0,7.86,280.2,193.0,33.0,32.3,0.1,2.2,2067.6,0.0,16.83,15.6,39.3,36.6,37.6,37.2,39.8,40.1,38.4,38.5,56.1,57.7,25.9,28.2,29.8,32.7,32.0,30.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,26.0,26.0,57.0,61.0,67.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.91,51.01,0.23,0.23,0.22,5.4,4.48,6.76,7.89,7.7,-0.01,-0.04,172.9,4.3,159.0,1.0,1.0,132.0,688.0,168.0,0.0,156.0,7.88,283.0,192.0,32.4,31.8,0.1,2.2,2067.6,0.0,16.83,15.6,39.4,36.7,37.6,37.2,39.8,40.2,38.4,38.5,56.2,57.7,26.0,28.2,29.8,32.7,32.0,30.0,25.0,-0.1,-0.1,0.0,6.0,6.0,4.0,0.0,27.0,26.0,26.0,57.0,61.0,67.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
