轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
8.19,358.99,0.24,0.31,0.34,6.98,0.0,4.68,8.36,-6.5,-0.01,0.06,171.4,4.8,215,1,1,167,686,195,0,181,8.32,314.8,215,29.7,29.2,0.1,2.2,1941.5,0,16.64,18.8,46.2,43.2,44.3,44.0,46.6,46.8,44.9,45.5,60.5,61.8,28.5,30.6,33.2,36.1,30,27,25,0.0,0.0,-0.3,6,6,4,0,29,29,28,60,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.9,87.98,0.24,0.31,0.33,6.3,0.54,9.88,8.92,-0.5,0.05,-0.01,171.5,4.6,207,1,1,198,686,238,0,219,8.9,357.0,246,32.1,31.2,0.1,2.3,2067.6,0,16.83,19.0,46.6,43.7,44.8,44.5,47.1,47.3,45.4,46.0,60.8,62.1,28.6,30.7,33.4,36.2,32,30,25,-0.1,0.1,-3.7,6,6,4,0,29,29,29,61,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.28,184.0,0.24,0.34,0.33,4.82,0.0,2.76,8.34,0.5,-0.03,0.0,171.4,4.5,213,1,1,166,686,191,0,181,8.34,312.1,216,30.0,29.5,0.1,2.3,1941.5,0,16.64,18.8,46.2,43.2,44.3,44.0,46.6,46.8,44.9,45.5,60.5,61.8,28.5,30.7,33.2,36.1,30,28,25,0.0,0.0,0.1,6,6,4,0,29,29,28,60,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.9,106.99,0.24,0.32,0.32,6.34,0.64,3.3,8.89,1.5,0.02,0.03,171.5,4.9,206,1,1,186,687,229,0,225,8.88,355.0,244,31.9,31.5,0.1,2.3,2064.5,0,16.83,19.0,46.7,43.7,44.8,44.5,47.1,47.4,45.4,46.0,60.8,62.1,28.6,30.7,33.4,36.2,32,30,25,-0.1,0.1,0.1,6,6,4,0,29,29,29,61,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.55,198.0,0.24,0.31,0.33,4.4,15.6,2.16,8.5,-8.9,0.01,0.01,171.4,4.8,216,1,1,162,686,207,0,189,8.44,324.7,220,30.6,30.0,0.1,2.2,2023.2,0,16.76,18.8,46.1,43.1,44.2,43.9,46.5,46.7,44.8,45.4,60.5,61.8,28.5,30.7,33.3,35.9,31,28,25,0.1,-14.9,0.0,6,6,4,0,29,29,28,60,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.39,101.02,0.24,0.32,0.33,6.14,0.66,3.14,8.37,0.0,0.02,0.0,171.3,4.6,213,1,1,168,686,194,0,186,8.38,318.4,218,31.6,30.7,0.2,2.3,1955.0,0,16.66,18.8,46.0,43.0,44.1,43.8,46.4,46.6,44.7,45.3,60.4,61.7,28.5,30.7,33.3,36.1,31,29,25,0.0,0.1,0.1,6,6,4,0,29,29,28,60,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.84,321.98,0.24,0.31,0.31,6.66,0.18,3.22,8.83,-3.7,0.02,0.02,171.5,4.3,209,1,1,189,686,232,0,222,8.84,356.7,242,32.7,31.9,0.2,2.3,2067.6,0,16.83,19.0,46.6,43.6,44.8,44.5,47.0,47.2,45.3,45.9,60.8,62.0,28.5,30.7,33.4,36.2,33,30,25,0.1,0.0,0.0,6,6,4,0,29,29,29,61,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.65,342.0,0.24,0.31,0.33,8.7,0.0,0.92,8.68,0.0,0.0,0.03,171.5,4.0,209,1,1,183,687,222,0,205,8.66,340.4,233,32.9,31.9,0.2,2.2,2067.6,0,16.83,19.0,46.6,43.6,44.7,44.5,47.0,47.2,45.3,45.9,60.8,62.0,28.5,30.7,33.4,36.2,33,30,25,-0.2,0.0,0.0,6,6,4,0,29,29,29,61,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.58,34.99,0.24,0.31,0.33,7.02,0.1,2.92,8.54,-2.3,0.07,-0.04,171.3,5.1,213,1,1,167,686,208,0,197,8.5,328.6,224,31.3,30.5,0.1,2.2,2067.6,0,16.83,18.8,46.0,43.1,44.2,43.9,46.5,46.7,44.8,45.3,60.4,61.7,28.5,30.7,33.3,36.1,31,28,25,-0.3,0.0,0.1,6,6,4,0,29,29,28,60,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.4,216.0,0.24,0.34,0.31,5.92,1.26,2.2,8.41,-9.7,0.02,0.02,171.3,5.1,215,1,1,166,686,195,0,186,8.38,316.2,218,31.9,31.1,0.1,2.2,2067.6,0,16.83,18.8,46.0,43.0,44.1,43.8,46.4,46.7,44.7,45.3,60.4,61.7,28.5,30.7,33.2,36.1,31,29,25,0.0,0.0,0.0,6,6,4,0,29,29,28,60,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.55,230.0,0.24,0.34,0.33,5.8,0.44,1.32,8.47,-7.0,-0.01,-0.01,171.3,5.2,213,1,1,171,686,213,0,195,8.46,328.9,222,31.7,30.9,0.1,2.3,2003.5,0,16.73,18.8,46.0,43.1,44.1,43.8,46.4,46.7,44.7,45.3,60.4,61.7,28.5,30.7,33.2,36.0,31,29,25,0.0,0.1,0.0,6,6,4,0,29,29,28,60,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.53,151.99,0.23,0.34,0.31,5.1,0.0,3.6,8.49,-5.5,0.03,0.01,171.5,5.1,212,1,1,175,686,207,0,195,8.48,328.8,223,30.3,30.5,0.1,2.2,1977.7,0,16.7,18.8,46.4,43.4,44.5,44.2,46.8,47.1,45.1,45.7,60.7,61.9,28.5,30.7,33.3,36.2,31,29,25,0.0,0.0,0.2,6,6,4,0,29,29,29,60,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.86,56.99,0.24,0.32,0.34,5.82,0.18,2.8,8.87,-2.1,0.02,0.0,171.5,4.6,208,1,1,188,686,238,0,223,8.86,360.4,244,32.4,31.3,0.2,2.3,2067.6,0,16.83,19.0,46.6,43.6,44.8,44.5,47.0,47.3,45.3,45.9,60.8,62.0,28.5,30.7,33.4,36.2,33,30,25,0.0,0.0,0.1,6,6,4,0,29,29,29,61,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.67,141.98,0.23,0.33,0.33,4.94,0.0,3.02,8.74,-8.7,0.03,0.03,171.5,5.4,213,1,1,182,686,225,0,208,8.7,347.0,236,31.7,31.7,0.1,2.2,2067.6,0,16.83,18.9,46.5,43.5,44.6,44.3,46.8,47.1,45.2,45.8,60.7,62.0,28.5,30.7,33.2,36.1,32,30,25,0.0,0.0,0.3,6,6,4,0,29,29,28,60,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.39,0.0,0.24,0.31,0.33,8.02,0.0,1.26,8.41,-1.2,0.04,-0.03,171.3,4.3,214,1,1,166,686,200,0,186,8.4,318.4,218,31.5,30.8,0.1,2.3,1955.0,0,16.66,18.8,46.0,43.0,44.1,43.8,46.4,46.6,44.7,45.3,60.4,61.7,28.5,30.7,33.3,36.1,31,29,25,-0.2,0.0,0.0,6,6,4,0,29,29,28,60,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.4,294.98,0.24,0.31,0.31,6.48,3.4,0.78,8.49,-6.0,0.04,-0.03,171.4,5.1,214,1,1,173,686,200,0,195,8.5,330.8,224,30.7,29.8,0.1,2.2,2023.2,0,16.76,18.8,46.1,43.1,44.2,43.9,46.5,46.7,44.8,45.3,60.5,61.7,28.5,30.7,33.3,36.0,31,29,25,0.1,0.0,0.0,6,6,4,0,29,29,28,60,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.85,245.02,0.24,0.31,0.32,6.16,12.82,2.3,8.85,-1.9,0.02,0.02,171.5,4.1,208,1,1,190,686,226,0,224,8.86,355.4,243,32.2,31.4,0.1,2.2,2067.6,0,16.83,19.0,46.6,43.6,44.8,44.5,47.0,47.3,45.3,45.9,60.8,62.1,28.5,30.7,33.4,36.2,32,30,25,0.0,-4.0,0.1,6,6,4,0,29,29,29,61,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.32,245.02,0.24,0.31,0.31,5.1,11.24,1.02,8.46,-3.3,0.03,0.06,171.3,5.0,212,1,1,170,686,197,0,190,8.42,325.0,221,31.7,31.0,0.1,2.3,2031.4,0,16.78,18.8,46.0,43.0,44.1,43.8,46.3,46.6,44.7,45.2,60.4,61.7,28.5,30.7,33.3,36.0,31,29,25,0.1,-2.0,0.0,6,6,4,0,29,29,28,60,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.52,87.98,0.23,0.32,0.31,6.44,0.48,3.76,8.56,-1.6,0.0,0.02,171.5,4.5,213,1,1,173,686,200,0,197,8.52,325.6,224,30.0,29.8,0.1,2.2,1977.7,0,16.7,18.8,46.4,43.4,44.5,44.2,46.8,47.0,45.1,45.7,60.6,61.9,28.5,30.7,33.3,36.1,31,29,25,-0.1,0.1,0.1,6,6,4,0,29,29,28,60,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.82,348.98,0.24,0.31,0.31,8.02,0.0,4.2,8.82,-1.4,0.01,0.03,171.5,5.1,206,1,1,183,687,222,0,217,8.82,352.2,240,32.0,31.5,0.1,2.2,2064.5,0,16.83,19.0,46.7,43.7,44.8,44.6,47.1,47.4,45.4,46.0,60.8,62.1,28.6,30.7,33.4,36.2,32,29,25,0.0,0.0,0.0,6,6,4,0,29,29,29,61,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.48,284.0,0.24,0.31,0.32,5.96,7.24,0.32,8.48,-3.0,-0.01,-0.03,171.3,4.7,213,1,1,174,686,210,0,198,8.52,333.4,226,31.1,30.6,0.1,2.2,2003.5,0,16.73,18.8,46.0,43.1,44.1,43.8,46.4,46.7,44.7,45.3,60.4,61.7,28.5,30.7,33.2,35.9,31,29,25,0.3,-2.7,0.0,6,6,4,0,29,29,28,60,63,69,30,30,300,0,0,0,0,0,0,0,0,0
8.67,211.0,0.24,0.33,0.33,5.4,7.34,2.0,8.69,8.7,0.03,0.01,171.6,4.6,205,1,1,184,686,217,0,204,8.68,340.4,233,31.3,30.5,0.1,2.2,2067.6,0,16.83,19.0,46.8,43.8,44.9,44.6,47.1,47.4,45.4,46.1,60.8,62.1,28.6,30.7,33.5,36.4,31,29,25,0.1,-3.9,0.0,6,6,4,0,29,29,29,61,63,70,30,30,300,0,0,0,0,0,0,0,0,0
