轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.65,246.74,0.22,0.22,0.2,11.06,8.78,10.64,11.68,-6.9,0.0,0.02,173.3,6.6,100.0,1.0,1.0,419.0,688.0,520.0,0.0,507.0,11.64,613.7,421.0,33.1,32.6,0.1,2.3,2067.6,0.0,16.83,18.8,40.5,37.7,38.5,38.4,40.9,41.2,38.2,38.7,55.8,57.3,26.6,28.7,30.2,32.8,36.0,33.0,25.0,-0.2,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,60.0,63.0,69.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.94,112.14,0.22,0.22,0.2,9.28,7.86,8.9,11.99,-6.6,0.0,-0.01,173.1,6.9,104.0,1.0,1.0,455.0,689.0,552.0,0.0,543.0,11.94,644.7,442.0,29.3,29.6,0.1,2.2,2067.6,0.0,16.83,18.6,40.6,37.8,38.5,38.4,40.9,41.3,38.2,38.8,55.8,57.3,26.6,28.7,30.1,32.4,34.0,31.0,25.0,0.2,-0.2,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,60.0,63.0,69.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.91,56.88,0.22,0.22,0.19,7.34,5.88,7.42,8.9,-16.8,-0.1,0.04,0.0,5.3,128.0,1.0,1.0,174.0,687.0,210.0,0.0,212.0,8.86,349.5,239.0,30.2,30.0,0.1,2.2,1251.6,0.0,15.57,18.0,40.5,37.7,38.5,38.4,40.9,41.3,38.2,38.8,55.8,57.3,26.6,28.7,30.1,32.4,31.0,29.0,25.0,-0.2,0.0,0.3,6.0,6.0,4.0,2.0,27.0,27.0,27.0,60.0,63.0,69.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.58,151.38,0.22,0.22,0.2,9.7,8.16,9.8,11.62,-4.7,0.0,0.02,173.2,6.8,98.0,1.0,1.0,413.0,689.0,504.0,0.0,491.0,11.56,608.3,415.0,32.6,31.8,0.2,2.3,2067.6,0.0,16.83,18.8,40.5,37.7,38.5,38.4,40.9,41.3,38.2,38.7,55.8,57.3,26.6,28.7,30.2,32.8,36.0,32.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,60.0,63.0,69.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.93,114.01,0.22,0.22,0.2,10.26,8.76,10.26,11.96,-6.6,0.01,0.0,173.2,7.1,104.0,1.0,1.0,454.0,689.0,549.0,0.0,540.0,11.92,647.4,441.0,29.3,29.7,0.1,2.2,2067.6,0.0,16.83,18.7,40.6,37.7,38.5,38.4,40.9,41.3,38.2,38.7,55.8,57.4,26.6,28.7,30.1,32.4,34.0,31.0,25.0,0.0,-0.6,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,60.0,63.0,69.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.82,130.39,0.22,0.22,0.2,9.38,7.8,9.16,11.88,-5.7,0.01,0.0,173.3,6.7,100.0,1.0,1.0,450.0,688.0,546.0,0.0,528.0,11.84,636.6,435.0,28.8,29.1,0.1,2.2,2067.6,0.0,16.83,18.6,40.5,37.7,38.5,38.4,40.9,41.3,38.2,38.7,55.8,57.3,26.6,28.7,30.2,32.8,34.0,31.0,25.0,0.2,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,60.0,63.0,69.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.63,273.64,0.22,0.22,0.2,10.82,8.68,10.92,11.61,-6.3,-0.01,0.02,173.2,6.5,101.0,1.0,1.0,423.0,688.0,511.0,0.0,500.0,11.6,609.3,418.0,31.9,32.7,0.2,2.2,2067.6,0.0,16.83,18.8,40.5,37.7,38.5,38.4,40.9,41.3,38.2,38.7,55.8,57.3,26.6,28.7,30.2,32.7,36.0,33.0,25.0,-0.5,0.2,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,60.0,63.0,69.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.46,119.63,0.22,0.22,0.2,9.44,7.96,9.48,11.51,-4.1,-0.01,-0.01,173.3,5.9,99.0,1.0,1.0,406.0,688.0,492.0,0.0,473.0,11.44,594.2,407.0,30.7,30.4,0.1,2.2,2067.6,0.0,16.83,18.8,40.6,37.8,38.5,38.4,40.9,41.3,38.2,38.7,55.8,57.3,26.6,28.7,30.3,33.0,34.0,31.0,25.0,0.0,-0.4,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,60.0,63.0,69.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.58,179.89,0.22,0.22,0.2,10.64,8.46,10.2,11.6,-4.7,0.03,0.01,173.3,6.5,101.0,1.0,1.0,419.0,688.0,506.0,0.0,493.0,11.56,608.6,415.0,31.1,31.6,0.1,2.2,2067.6,0.0,16.83,18.8,40.5,37.7,38.5,38.4,40.9,41.3,38.2,38.7,55.8,57.3,26.6,28.7,30.2,32.7,36.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,27.0,60.0,63.0,69.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.16,219.24,0.22,0.22,0.19,7.26,6.38,7.14,9.17,-12.6,-0.04,0.07,0.0,5.8,128.0,1.0,1.0,186.0,687.0,219.0,0.0,229.0,9.12,364.0,252.0,30.1,29.5,0.1,2.2,1251.6,0.0,15.57,18.0,40.5,37.7,38.4,38.4,40.9,41.2,38.2,38.8,55.8,57.3,26.7,28.7,30.1,32.4,31.0,28.0,25.0,0.3,0.3,0.0,6.0,6.0,4.0,2.0,27.0,27.0,27.0,60.0,63.0,69.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
