轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.73,348.44,0.38,0.38,0.34,7.6,3.04,13.52,15.79,-2.9,0.04,-0.01,170.6,7.7,121.0,1.0,1.0,1034.0,700.0,1279.0,2.0,1308.0,15.72,1200.6,820.0,30.7,31.1,0.1,2.2,2067.6,0.0,16.83,19.6,52.9,49.8,50.4,50.0,53.3,53.7,49.5,50.3,60.1,61.6,27.6,29.3,32.7,35.5,44.0,39.0,25.0,0.3,-0.1,1.2,6.0,6.0,4.0,0.0,28.0,27.0,27.0,59.0,63.0,72.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.1,273.67,0.38,0.38,0.34,7.1,5.98,9.88,15.14,4.6,0.01,0.01,170.2,7.5,117.0,1.0,1.0,893.0,699.0,1104.0,0.0,1091.0,15.1,1035.7,707.0,29.5,30.1,0.1,2.2,2067.6,0.0,16.83,19.3,53.3,50.2,50.6,50.5,53.6,54.1,50.7,51.6,60.4,61.8,27.6,29.3,32.5,35.3,41.0,37.0,25.0,0.3,-1.2,-0.5,6.0,6.0,4.0,0.0,28.0,27.0,27.0,59.0,63.0,72.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.69,26.57,0.38,0.38,0.34,7.46,2.42,14.0,15.73,1.6,0.03,0.08,170.2,7.2,118.0,1.0,1.0,1072.0,700.0,1325.0,0.0,1301.0,15.7,1189.0,813.0,30.2,30.5,0.1,2.2,2067.6,0.0,16.83,19.5,53.1,49.9,50.4,50.2,53.4,53.9,50.0,50.8,60.2,61.6,27.6,29.4,32.4,35.3,44.0,39.0,25.0,0.0,0.0,2.5,6.0,6.0,4.0,0.0,28.0,27.0,27.0,59.0,63.0,72.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.9,199.19,0.38,0.38,0.34,4.82,9.58,10.9,15.92,-1.5,-0.08,0.01,170.2,7.9,119.0,1.0,1.0,1076.0,699.0,1330.0,2.0,1404.0,15.86,1265.2,864.0,30.4,31.3,0.1,2.2,2067.6,0.0,16.83,19.5,53.2,50.0,50.5,50.2,53.4,53.9,50.0,50.9,60.2,61.7,27.6,29.4,32.4,35.3,44.0,39.0,25.0,0.1,0.0,-1.4,6.0,6.0,4.0,0.0,28.0,27.0,27.0,59.0,63.0,72.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.75,211.68,0.38,0.38,0.34,5.38,9.62,10.7,15.8,2.1,-0.01,0.07,170.2,8.0,118.0,1.0,1.0,1038.0,699.0,1285.0,0.0,1316.0,15.72,1202.5,821.0,30.7,31.3,0.1,2.2,2067.6,0.0,16.83,19.5,53.1,49.9,50.4,50.2,53.4,53.8,49.9,50.8,60.2,61.6,27.6,29.4,32.5,35.4,44.0,39.0,25.0,0.1,0.0,-1.2,6.0,6.0,4.0,0.0,28.0,27.0,27.0,59.0,63.0,72.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.48,75.82,0.38,0.38,0.34,6.2,3.5,15.76,15.49,2.1,0.07,0.05,170.2,7.2,115.0,1.0,1.0,928.0,699.0,1146.0,0.0,1173.0,15.48,1085.1,742.0,29.7,30.0,0.1,2.2,2067.6,0.0,16.83,19.3,53.4,50.3,50.7,50.5,53.7,54.1,50.7,51.5,60.4,61.8,27.6,29.3,32.5,35.4,41.0,37.0,25.0,-0.7,0.2,0.0,6.0,6.0,4.0,0.0,28.0,27.0,27.0,59.0,63.0,72.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.14,177.26,0.37,0.38,0.34,4.66,8.72,11.46,15.16,0.6,0.01,0.05,170.1,8.5,118.0,1.0,1.0,903.0,699.0,1118.0,0.0,1097.0,15.12,1036.2,709.0,29.5,30.2,0.1,2.2,2067.6,0.0,16.83,19.3,53.4,50.2,50.6,50.5,53.6,54.1,50.7,51.6,60.4,61.8,27.6,29.3,32.5,35.4,41.0,37.0,25.0,0.0,0.4,-1.0,6.0,6.0,4.0,0.0,28.0,27.0,27.0,59.0,63.0,72.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.75,102.06,0.38,0.38,0.35,5.14,5.48,13.9,15.75,3.4,0.03,-0.03,170.2,8.1,118.0,1.0,1.0,1058.0,700.0,1303.0,0.0,1324.0,15.74,1205.9,824.0,30.7,31.4,0.1,2.2,2067.6,0.0,16.83,19.5,53.0,49.9,50.4,50.1,53.4,53.8,49.8,50.7,60.1,61.6,27.6,29.4,32.5,35.5,44.0,39.0,25.0,-0.2,1.0,0.6,6.0,6.0,4.0,0.0,28.0,27.0,27.0,59.0,63.0,72.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.68,236.45,0.38,0.38,0.34,6.18,9.44,9.96,15.69,3.6,0.0,-0.05,170.2,8.2,120.0,1.0,1.0,1012.0,700.0,1251.0,0.0,1274.0,15.66,1169.9,799.0,30.7,31.7,0.1,2.2,2067.6,0.0,16.83,19.6,53.0,49.8,50.4,50.1,53.3,53.7,49.6,50.5,60.1,61.6,27.6,29.3,32.7,35.6,44.0,39.0,25.0,0.3,-0.2,-0.7,6.0,6.0,4.0,0.0,28.0,27.0,27.0,59.0,63.0,72.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.69,317.48,0.38,0.38,0.34,8.26,4.6,10.64,15.68,-1.4,0.02,-0.01,170.5,7.8,121.0,1.0,1.0,1038.0,700.0,1284.0,0.0,1272.0,15.64,1168.4,797.0,30.4,31.3,0.1,2.2,2067.6,0.0,16.83,19.6,53.0,49.9,50.4,50.1,53.3,53.8,49.7,50.6,60.1,61.6,27.6,29.3,32.6,35.5,44.0,39.0,25.0,0.2,-0.5,0.5,6.0,6.0,4.0,0.0,28.0,27.0,27.0,59.0,63.0,72.0,29.0,29.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
