轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.19,353.02,0.41,0.37,0.4,8.94,4.84,12.74,15.25,4.8,0.03,0.12,172.1,7.6,38,1,1,902,699,1113,-2,1125,15.2,1051.0,719,29.1,29.8,0.1,2.2,2067.6,0,16.83,16.0,53.6,50.1,50.5,50.5,53.7,53.9,51.1,52.3,60.8,62.3,24.4,25.8,29.7,32.4,41,37,25,0.0,-0.4,1.4,6,6,4,0,24,24,23,56,60,68,25,25,300,0,0,0,0,0,0,0,0,0
15.9,63.0,0.41,0.37,0.4,9.12,5.4,16.48,15.94,2.9,0.1,0.02,172.5,7.7,38,1,1,982,700,1214,6,1415,15.92,1292.0,881,30.8,30.6,0.1,2.2,2067.6,0,16.83,15.9,53.6,50.1,50.5,50.4,53.7,53.9,51.2,52.4,60.8,62.3,24.4,25.8,29.6,32.4,44,37,25,-0.4,0.0,0.7,6,6,4,0,24,24,23,56,60,68,25,25,300,0,0,0,0,0,0,0,0,0
13.57,25.74,0.41,0.37,0.4,5.54,3.18,12.94,13.62,7.9,0.0,-0.08,172.4,7.4,32,1,1,667,699,826,-2,779,13.58,833.1,567,29.5,29.9,0.1,2.2,2067.6,0,16.83,16.2,53.6,50.1,50.5,50.5,53.7,53.9,51.1,52.3,60.8,62.4,24.5,25.8,29.6,32.5,37,34,25,0.0,0.0,0.6,6,6,4,0,24,24,23,56,60,68,25,25,300,0,0,0,0,0,0,0,0,0
15.36,335.99,0.41,0.37,0.4,7.76,4.28,11.4,15.41,8.3,0.07,-0.04,172.2,6.9,35,1,1,893,699,1104,3,1144,15.36,1071.6,731,30.4,30.3,0.1,2.2,2067.6,0,16.83,16.2,53.5,50.0,50.4,50.4,53.6,53.8,51.1,52.3,60.8,62.3,24.5,25.8,29.6,32.4,40,34,25,0.5,-0.2,2.0,6,6,4,0,24,24,23,56,60,68,25,25,300,0,0,0,0,0,0,0,0,0
15.16,162.36,0.41,0.38,0.4,5.88,8.54,11.88,15.15,5.4,0.0,-0.09,172.1,7.9,39,1,1,910,699,1128,0,1112,15.12,1043.7,712,29.3,30.1,0.1,2.2,2067.6,0,16.83,16.0,53.6,50.1,50.5,50.5,53.7,53.9,51.1,52.3,60.8,62.3,24.4,25.8,29.8,32.4,41,37,25,-0.1,0.8,-1.3,6,6,4,0,24,24,23,56,60,69,25,25,300,0,0,0,0,0,0,0,0,0
15.26,249.88,0.41,0.38,0.4,7.84,10.24,10.38,15.3,-14.9,0.03,0.05,172.3,8.9,44,1,1,975,702,1208,3,1174,15.26,1078.7,729,29.4,30.5,0.1,2.2,2067.6,0,16.83,15.9,53.6,50.0,50.4,50.4,53.6,53.8,51.4,52.5,60.8,62.4,24.4,25.8,29.6,32.4,41,36,25,0.2,-0.5,-1.4,6,6,4,0,24,24,23,56,60,68,25,25,300,0,0,0,0,0,0,0,0,0
15.05,193.39,0.41,0.38,0.4,6.58,10.18,11.04,15.05,5.1,0.02,-0.03,172.1,7.6,38,1,1,838,701,1042,0,1075,15.02,1028.9,701,29.7,30.3,0.1,2.2,2067.6,0,16.83,15.8,53.6,50.0,50.4,50.3,53.6,53.8,51.5,52.6,60.8,62.3,24.4,25.8,29.6,32.4,40,35,25,-0.1,0.0,-1.5,6,6,4,0,24,24,23,56,60,68,25,25,300,0,0,0,0,0,0,0,0,0
15.28,343.87,0.41,0.37,0.4,7.74,4.08,11.4,15.34,7.5,0.01,0.14,172.4,8.9,34,1,1,935,699,1156,3,1130,15.3,1063.7,726,30.5,30.3,0.1,2.2,2067.6,0,16.83,16.2,53.5,50.0,50.4,50.4,53.6,53.8,51.1,52.3,60.8,62.3,24.5,25.8,29.6,32.4,40,35,25,0.3,-0.2,1.5,6,6,4,0,24,24,23,56,60,68,25,25,300,0,0,0,0,0,0,0,0,0
15.73,305.64,0.41,0.37,0.4,9.0,7.32,11.24,15.8,2.3,0.01,-0.01,172.8,9.3,38,1,1,1100,700,1364,-7,1309,15.74,1204.2,823,31.6,31.6,0.1,2.2,2067.6,0,16.83,15.9,53.6,50.1,50.5,50.5,53.7,53.9,51.2,52.4,60.8,62.3,24.4,25.8,29.6,32.4,44,39,25,0.4,-1.4,0.0,6,6,4,0,24,24,23,56,60,69,25,25,300,0,0,0,0,0,0,0,0,0
14.37,33.62,0.41,0.37,0.4,7.24,4.22,12.54,14.41,3.5,-0.04,0.07,172.4,8.3,35,1,1,720,698,890,-2,910,14.38,931.9,637,31.8,32.6,0.1,2.2,2067.6,0,16.83,15.9,53.8,50.2,50.6,50.5,53.8,54.0,51.2,52.4,60.8,62.3,24.4,25.8,29.7,32.3,41,38,25,0.0,-0.1,0.8,6,6,4,0,24,24,23,56,60,69,25,25,300,0,0,0,0,0,0,0,0,0
15.48,302.76,0.41,0.37,0.4,7.94,6.36,9.62,15.54,1.1,0.06,0.03,172.4,8.9,39,1,1,1026,700,1268,-4,1197,15.48,1097.2,749,29.5,30.2,0.1,2.2,2067.6,0,16.83,16.0,53.6,50.1,50.5,50.5,53.7,53.9,51.1,52.3,60.8,62.3,24.4,25.8,29.8,32.4,42,38,25,0.4,-1.0,0.0,6,6,4,0,24,24,23,56,60,69,25,25,300,0,0,0,0,0,0,0,0,0
14.4,316.12,0.41,0.37,0.4,6.04,4.16,9.82,14.44,-5.6,0.03,0.04,172.4,7.5,46,1,1,882,701,1100,-7,954,14.38,946.7,646,28.9,29.4,0.1,2.2,2067.6,0,16.83,15.9,53.6,50.0,50.4,50.4,53.6,53.8,51.4,52.5,60.8,62.3,24.4,25.8,29.7,32.4,40,36,25,0.3,-0.4,0.9,6,6,4,0,24,24,23,56,60,68,25,25,300,0,0,0,0,0,0,0,0,0
15.78,29.38,0.41,0.37,0.4,8.62,4.18,13.78,15.8,0.3,0.04,0.02,172.4,10.8,38,1,1,911,700,1129,-2,1262,15.78,1190.0,823,30.8,30.5,0.1,2.2,2067.6,0,16.83,16.0,53.6,50.1,50.5,50.4,53.7,53.9,51.2,52.4,60.8,62.3,24.4,25.8,29.7,32.4,41,38,25,0.0,-0.1,2.1,6,6,4,0,24,24,23,56,60,69,25,25,300,0,0,0,0,0,0,0,0,0
15.54,6.98,0.41,0.37,0.4,9.28,5.2,13.72,15.55,5.8,0.05,0.01,172.4,8.2,37,1,1,1017,700,1265,-5,1174,15.54,1086.5,747,32.1,32.0,0.1,2.2,2067.6,0,16.83,15.9,53.7,50.2,50.6,50.5,53.8,54.0,51.2,52.4,60.8,62.4,24.4,25.8,29.6,32.4,43,40,25,0.0,-0.2,1.8,6,6,4,0,24,24,23,56,60,68,25,25,300,0,0,0,0,0,0,0,0,0
14.52,329.26,0.41,0.37,0.4,7.72,5.32,11.16,14.55,-12.8,0.1,-0.1,172.5,8.1,46,1,1,965,701,1205,-10,999,14.52,970.7,656,29.6,30.5,0.1,2.2,2067.6,0,16.83,15.9,53.6,50.0,50.4,50.4,53.6,53.8,51.4,52.5,60.8,62.4,24.4,25.8,29.7,32.4,41,37,25,0.0,-0.5,0.2,6,6,4,0,24,24,23,56,60,68,25,25,300,0,0,0,0,0,0,0,0,0
14.76,313.74,0.41,0.37,0.4,7.88,5.68,10.92,14.85,5.4,0.05,-0.07,172.4,6.0,36,1,1,866,699,1074,2,1039,14.8,999.5,681,30.5,31.1,0.1,2.2,2067.6,0,16.83,15.9,53.7,50.1,50.6,50.5,53.7,53.9,51.2,52.4,60.8,62.3,24.4,25.8,29.7,32.3,41,37,25,0.0,-0.8,0.0,6,6,4,0,24,24,23,56,60,68,25,25,300,0,0,0,0,0,0,0,0,0
14.49,120.24,0.41,0.37,0.4,5.74,6.74,12.6,14.45,3.4,0.05,0.0,172.5,7.6,35,1,1,721,698,892,0,929,14.44,938.7,642,31.8,32.8,0.1,2.2,2067.6,0,16.83,15.9,53.8,50.2,50.6,50.5,53.8,54.0,51.2,52.4,60.8,62.3,24.4,25.8,29.7,32.3,41,38,25,-0.1,0.9,0.0,6,6,4,0,24,24,23,56,60,69,25,25,300,0,0,0,0,0,0,0,0,0
15.44,285.12,0.41,0.37,0.4,8.22,6.84,10.38,15.47,8.7,0.0,0.11,172.2,8.0,34,1,1,925,699,1140,-2,1144,15.4,1072.9,733,30.9,30.8,0.1,2.2,2067.6,0,16.83,16.2,53.5,50.0,50.4,50.4,53.6,53.8,51.0,52.3,60.8,62.4,24.5,25.8,29.5,32.4,41,36,25,0.4,-1.2,-0.2,6,6,4,0,24,24,23,56,60,68,25,25,300,0,0,0,0,0,0,0,0,0
14.15,194.11,0.41,0.37,0.4,4.8,8.1,10.12,14.14,6.9,-0.03,0.01,172.4,7.9,35,1,1,792,699,984,-4,895,14.12,908.1,619,32.9,33.3,0.1,2.2,2067.6,0,16.83,15.9,53.8,50.3,50.6,50.6,53.8,54.0,51.2,52.4,60.8,62.3,24.4,25.8,29.7,32.4,42,39,25,0.1,0.5,-0.9,6,6,4,0,24,24,23,56,60,68,25,25,300,0,0,0,0,0,0,0,0,0
