轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.24,28.01,0.24,0.24,0.22,3.92,5.12,5.1,7.28,-3.6,0.02,0.07,170.7,3.4,307,1,1,66,695,78,0,68,7.26,135.5,91,32.2,31.3,0.1,2.2,2067.6,0,16.83,7.4,26.4,24.0,24.9,25.0,26.9,27.6,25.6,25.6,45.8,47.6,17.9,20.2,20.8,26.1,30,29,25,0.0,0.0,0.0,6,6,4,0,19,18,19,59,59,58,20,20,300,0,0,0,0,0,0,0,0,0
7.23,349.99,0.24,0.24,0.22,4.72,5.82,6.5,7.28,0.8,0.03,0.03,170.9,3.6,307,1,1,67,696,81,0,67,7.24,128.0,88,32.1,31.1,0.1,2.2,2067.6,0,16.83,7.4,26.4,24.0,24.9,25.0,26.9,27.6,25.6,25.6,45.7,47.6,17.9,20.2,20.8,26.2,30,29,25,0.0,0.1,-0.1,6,6,4,0,19,18,19,59,58,58,20,20,300,0,0,0,0,0,0,0,0,0
7.22,245.99,0.24,0.23,0.22,4.76,3.18,6.56,7.27,-1.3,-0.03,0.0,170.7,2.7,310,1,1,62,695,70,0,57,7.22,116.8,76,31.1,30.2,0.1,2.2,2067.6,0,16.83,7.4,26.4,24.1,25.0,25.1,27.0,27.7,25.7,25.7,45.9,47.7,17.9,20.1,20.8,25.6,29,28,25,-0.2,-0.1,0.0,6,6,4,0,19,18,19,57,60,58,20,20,300,0,0,0,0,0,0,0,0,0
7.26,159.98,0.24,0.24,0.22,6.92,5.06,5.56,7.29,-5.6,0.02,-0.03,171.0,3.0,309,1,1,65,695,73,0,62,7.24,118.3,82,30.7,29.9,0.1,2.2,2067.6,0,16.83,7.4,26.5,24.1,25.0,25.1,27.0,27.7,25.7,25.7,45.9,47.8,17.7,20.2,20.7,25.9,28,28,25,0.0,0.0,0.0,6,6,4,0,19,18,19,56,60,58,20,20,300,0,0,0,0,0,0,0,0,0
7.17,298.01,0.24,0.23,0.22,4.02,3.18,5.48,7.23,7.5,-0.05,-0.06,170.9,2.6,307,1,1,60,695,73,0,56,7.2,112.2,76,31.8,31.0,0.1,2.2,2067.6,0,16.83,7.4,26.4,24.1,25.0,25.1,27.0,27.7,25.7,25.7,45.9,47.7,17.9,20.2,20.8,25.7,29,29,25,0.0,0.1,0.0,6,6,4,0,19,18,19,57,60,58,20,20,300,0,0,0,0,0,0,0,0,0
7.24,226.01,0.24,0.24,0.22,5.1,4.02,5.56,7.26,-5.9,0.0,0.05,170.9,3.1,309,1,1,66,696,75,0,64,7.24,123.2,86,31.0,30.0,0.1,2.2,2067.6,0,16.83,7.4,26.4,24.1,25.0,25.1,27.0,27.7,25.7,25.7,45.9,47.8,17.9,20.2,20.7,25.8,29,28,25,-0.1,0.0,0.1,6,6,4,0,19,18,19,57,60,58,20,20,300,0,0,0,0,0,0,0,0,0
7.26,339.98,0.24,0.24,0.22,4.34,5.06,5.96,7.29,-2.3,-0.03,-0.03,170.9,3.3,306,1,1,67,696,81,0,70,7.26,135.1,92,32.1,31.0,0.1,2.2,2067.6,0,16.83,7.3,26.4,24.0,25.0,25.0,26.9,27.6,25.6,25.6,45.8,47.7,17.9,20.2,20.8,26.0,29,29,25,0.0,0.1,0.0,6,6,4,0,19,18,19,58,59,58,20,20,300,0,0,0,0,0,0,0,0,0
7.22,10.01,0.24,0.24,0.22,4.06,5.26,5.56,7.25,1.0,0.07,0.09,170.9,3.2,307,1,1,56,695,70,0,55,7.2,106.8,75,31.6,30.7,0.0,2.2,2067.6,0,16.83,7.4,26.4,24.1,25.0,25.1,27.0,27.7,25.7,25.6,45.9,47.7,17.9,20.2,20.8,25.7,29,28,25,0.0,0.0,0.0,6,6,4,0,19,18,19,57,60,58,20,20,300,0,0,0,0,0,0,0,0,0
7.23,208.01,0.24,0.24,0.22,5.38,3.94,5.46,7.26,-0.6,-0.05,-0.03,170.9,2.7,310,1,1,57,695,72,0,58,7.22,107.5,76,31.2,30.3,0.1,2.2,2067.6,0,16.83,7.4,26.4,24.1,25.0,25.1,27.0,27.7,25.7,25.7,45.9,47.8,17.9,20.1,20.8,25.6,29,28,25,-0.1,0.0,0.0,6,6,4,0,19,18,19,57,60,58,20,20,300,0,0,0,0,0,0,0,0,0
7.28,140.0,0.24,0.24,0.22,6.6,4.96,5.34,7.32,-1.6,-0.05,0.03,170.9,3.2,313,1,1,65,695,79,-2,68,7.26,130.0,90,30.5,29.3,0.1,2.2,2067.6,0,16.83,7.4,26.5,24.2,25.0,25.1,27.0,27.7,25.7,25.7,46.0,47.8,17.7,20.2,20.8,26.0,28,27,25,0.0,-0.1,0.0,6,6,4,0,19,18,18,56,59,58,20,20,300,0,0,0,0,0,0,0,0,0
