轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
14.11,200.02,0.5,0.55,0.56,13.12,12.66,9.44,14.08,8.6,-0.22,-0.21,173.5,8.7,32.0,1.0,3.0,982.0,677.0,1168.0,5.0,1167.0,14.08,1273.7,877.0,32.5,33.2,0.7,2.8,1666.7,0.0,16.23,20.0,64.9,68.1,68.9,67.2,69.3,72.4,71.3,72.2,62.8,62.2,27.2,28.9,29.7,31.5,43.0,37.0,25.0,0.6,-0.3,0.2,6.0,6.0,4.0,0.0,25.0,25.0,25.0,61.0,57.0,60.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.14,349.99,0.5,0.55,0.56,13.66,12.5,15.5,15.12,-5.7,-0.19,-0.12,173.5,10.0,40.0,1.0,3.0,1299.0,677.0,1557.0,-5.0,1559.0,15.12,1529.6,1042.0,30.8,33.4,0.7,2.8,2067.6,0.0,16.83,19.9,65.4,68.5,69.3,67.7,69.8,73.0,71.7,72.7,62.7,62.2,27.2,28.9,29.7,31.4,49.0,42.0,25.0,-0.6,0.3,1.0,6.0,6.0,4.0,0.0,25.0,25.0,25.0,62.0,58.0,60.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.52,172.01,0.5,0.55,0.56,12.32,12.7,10.34,13.58,-2.4,-0.06,-0.07,173.4,5.6,37.0,1.0,3.0,937.0,677.0,1122.0,-4.0,1117.0,13.52,1224.1,830.0,32.1,33.7,0.7,2.7,2067.6,0.0,16.83,19.8,65.5,68.6,68.6,67.8,69.9,73.1,71.8,72.9,62.7,62.2,27.2,28.9,29.7,31.5,45.0,39.0,25.0,0.0,0.0,-0.5,6.0,6.0,4.0,0.0,25.0,25.0,25.0,62.0,58.0,60.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.84,277.99,0.5,0.55,0.56,14.48,12.2,13.46,14.86,-1.7,-0.17,-0.19,173.3,8.3,34.0,1.0,3.0,1196.0,678.0,1434.0,-2.0,1439.0,14.84,1449.9,991.0,29.7,34.0,0.7,2.8,2067.6,0.0,16.83,19.7,66.4,69.5,69.1,68.6,70.8,74.0,72.4,73.6,62.7,62.2,26.9,28.7,29.5,31.2,49.0,42.0,25.0,0.0,-0.3,1.5,6.0,6.0,4.0,0.0,25.0,25.0,25.0,62.0,59.0,60.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.45,148.0,0.5,0.55,0.56,12.98,13.46,9.86,13.5,3.2,-0.22,-0.23,173.4,6.9,35.0,1.0,3.0,945.0,677.0,1129.0,-7.0,1120.0,13.48,1223.0,828.0,30.8,33.7,0.7,2.8,2067.6,0.0,16.83,19.9,65.4,68.5,67.8,67.7,69.8,73.0,71.5,72.7,62.7,62.2,27.2,28.9,29.8,31.4,46.0,39.0,25.0,0.0,-0.3,-0.4,6.0,6.0,4.0,0.0,25.0,25.0,25.0,62.0,58.0,60.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.36,259.99,0.5,0.55,0.56,12.12,10.92,11.22,13.37,-0.4,-0.25,-0.14,173.4,9.0,36.0,1.0,3.0,854.0,676.0,1021.0,0.0,1041.0,13.36,1156.4,792.0,33.1,33.3,0.7,2.8,1687.3,0.0,16.26,20.0,65.0,68.1,67.6,67.2,69.3,72.5,71.3,72.2,62.8,62.2,27.2,28.8,29.7,31.5,42.0,36.0,25.0,0.0,-0.2,0.7,6.0,6.0,4.0,0.0,25.0,25.0,25.0,61.0,57.0,60.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.76,195.98,0.5,0.55,0.56,14.5,13.7,10.94,14.75,0.4,-0.18,-0.14,173.3,10.4,32.0,1.0,3.0,1120.0,679.0,1337.0,2.0,1350.0,14.76,1410.7,968.0,31.8,34.0,0.7,2.7,2067.6,0.0,16.83,19.8,66.3,69.4,68.5,68.6,70.7,74.0,72.3,73.5,62.7,62.2,27.0,28.8,29.5,31.3,47.0,41.0,25.0,1.3,-0.3,0.0,6.0,6.0,4.0,0.0,25.0,25.0,25.0,62.0,60.0,60.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.48,46.01,0.5,0.55,0.56,12.48,12.34,13.1,14.49,3.5,-0.2,-0.15,173.4,8.2,32.0,1.0,3.0,1120.0,678.0,1351.0,-2.0,1345.0,14.48,1382.2,943.0,33.4,34.1,0.7,2.8,2067.6,0.0,16.83,19.8,66.3,69.4,68.5,68.6,70.8,74.0,72.4,73.5,62.7,62.1,27.0,28.8,29.5,31.3,48.0,41.0,25.0,0.0,0.5,-0.3,6.0,6.0,4.0,0.0,25.0,25.0,25.0,62.0,60.0,60.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.48,108.0,0.5,0.55,0.56,12.92,14.82,12.56,15.5,-10.5,-0.19,-0.08,173.5,11.1,40.0,1.0,3.0,1286.0,677.0,1535.0,11.0,1549.0,15.46,1550.8,1080.0,31.2,33.3,0.7,2.8,1876.4,0.0,16.54,19.9,65.4,68.6,68.9,67.7,69.8,73.0,71.8,72.8,62.7,62.2,27.2,28.9,29.7,31.5,45.0,39.0,25.0,0.0,1.0,-1.1,6.0,6.0,4.0,0.0,25.0,25.0,25.0,61.0,58.0,60.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.34,105.98,0.5,0.55,0.56,10.88,11.36,9.82,13.31,0.2,-0.18,-0.13,173.5,6.7,34.0,1.0,3.0,920.0,680.0,1109.0,-5.0,1084.0,13.34,1199.1,810.0,29.6,33.0,0.7,2.8,2067.6,0.0,16.83,19.9,64.8,67.9,69.0,67.0,69.1,72.3,71.1,72.0,62.7,62.2,27.2,28.9,29.7,31.5,45.0,38.0,25.0,0.0,0.8,-0.4,6.0,6.0,4.0,0.0,25.0,25.0,25.0,61.0,57.0,60.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
