轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
14.51,37.01,0.51,0.59,0.58,11.22,13.68,12.54,14.51,2.4,-0.22,-0.14,172.7,7.9,184.0,1.0,3.0,1094.0,690.0,1339.0,0.0,1345.0,14.52,1384.3,947.0,29.4,32.4,0.7,2.7,2067.6,0.0,16.83,8.3,67.1,70.7,71.4,68.9,70.6,75.3,77.3,76.4,65.0,64.4,24.1,27.0,29.7,32.2,46.0,39.0,25.0,0.0,0.9,-0.6,6.0,6.0,4.0,0.0,24.0,24.0,24.0,60.0,54.0,60.0,27.0,27.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.02,108.0,0.51,0.59,0.58,14.72,15.76,13.38,15.03,12.7,-0.19,-0.18,172.9,9.0,173.0,1.0,3.0,1253.0,689.0,1523.0,-10.0,1513.0,15.04,1502.2,1023.0,30.6,33.9,0.7,2.8,2067.6,0.0,16.83,8.5,67.9,71.5,70.2,69.7,71.4,76.3,77.4,76.8,65.0,64.4,24.3,26.9,29.7,32.1,52.0,45.0,25.0,0.3,-0.7,-0.6,6.0,6.0,4.0,0.0,24.0,24.0,24.0,61.0,55.0,61.0,26.0,26.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.52,227.99,0.51,0.58,0.58,11.88,9.76,13.56,13.54,-0.9,-0.23,-0.17,172.7,8.8,186.0,1.0,3.0,908.0,690.0,1109.0,-2.0,1099.0,13.54,1206.3,823.0,31.8,33.0,0.7,2.8,2067.6,0.0,16.83,8.3,66.6,70.2,69.8,68.4,70.0,74.8,76.9,75.9,64.9,64.4,24.1,27.0,29.7,32.1,44.0,37.0,25.0,0.3,0.0,0.9,6.0,6.0,4.0,0.0,24.0,24.0,24.0,60.0,54.0,60.0,27.0,27.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.68,208.01,0.92,1.0,1.0,16.04,8.62,16.68,16.68,0.8,-0.17,-0.21,172.5,9.8,178.0,1.0,3.0,1579.0,691.0,1933.0,0.0,1915.0,16.68,1759.2,1200.0,32.5,34.7,0.7,2.8,2067.6,0.0,16.83,8.3,66.0,69.5,69.7,67.8,69.3,74.0,75.9,74.9,64.8,64.3,24.1,27.2,29.7,32.4,52.0,45.0,25.0,9.3,5.7,15.9,6.0,6.0,4.0,0.0,24.0,24.0,24.0,60.0,55.0,60.0,27.0,27.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.76,331.99,0.51,0.58,0.58,12.42,12.32,15.32,13.79,-10.9,-0.18,-0.16,172.7,9.4,188.0,1.0,3.0,963.0,689.0,1180.0,-2.0,1156.0,13.76,1252.6,855.0,31.9,34.1,0.7,2.8,2067.6,0.0,16.83,8.4,67.4,71.0,70.7,69.2,70.9,75.7,77.4,76.6,65.0,64.4,24.1,26.9,29.8,32.2,46.0,40.0,25.0,-0.5,0.0,-1.0,6.0,6.0,4.0,0.0,24.0,24.0,24.0,60.0,54.0,61.0,26.0,26.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.27,272.02,0.51,0.58,0.58,13.58,11.86,15.88,14.26,-7.6,-0.2,-0.12,172.7,8.4,187.0,1.0,3.0,989.0,690.0,1207.0,5.0,1235.0,14.22,1318.6,909.0,29.1,34.0,0.7,2.7,1993.2,0.0,16.72,8.3,67.3,70.8,70.7,69.1,70.8,75.5,77.4,76.5,65.0,64.4,24.1,27.0,29.7,32.2,45.0,39.0,25.0,-0.6,0.0,0.4,6.0,6.0,4.0,0.0,24.0,24.0,24.0,60.0,54.0,60.0,27.0,27.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.26,290.99,0.51,0.59,0.58,13.74,12.42,17.88,15.28,2.4,-0.27,-0.13,172.5,8.8,178.0,1.0,3.0,1261.0,691.0,1535.0,0.0,1564.0,15.24,1531.8,1048.0,27.8,31.9,0.7,2.7,2067.6,0.0,16.83,8.5,66.0,69.6,70.1,67.8,69.4,74.1,76.4,75.3,64.9,64.3,24.1,27.0,29.5,32.3,46.0,39.0,25.0,-0.6,0.3,0.4,6.0,6.0,4.0,0.0,24.0,24.0,24.0,60.0,54.0,60.0,27.0,27.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.35,284.0,0.49,0.58,0.56,15.44,14.56,19.08,15.37,-0.4,-0.23,-0.15,172.6,10.1,178.0,1.0,3.0,1310.0,691.0,1600.0,-4.0,1590.0,15.34,1556.4,1060.0,30.8,32.7,0.7,2.7,2067.6,0.0,16.83,8.3,66.3,69.9,69.0,68.1,69.7,74.4,75.8,75.0,64.9,64.2,24.1,27.1,29.5,32.1,51.0,44.0,25.0,-1.0,0.0,0.0,6.0,6.0,4.0,0.0,24.0,24.0,24.0,60.0,55.0,60.0,27.0,27.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.16,191.99,0.52,0.59,0.58,17.22,13.28,17.26,16.16,3.9,-0.19,-0.19,172.4,9.7,177.0,1.0,3.0,1446.0,691.0,1765.0,3.0,1793.0,16.14,1681.3,1150.0,29.7,33.1,0.7,2.7,2067.6,0.0,16.83,8.4,65.9,69.5,70.1,67.7,69.3,74.0,76.1,75.0,64.9,64.3,24.1,27.2,29.7,32.4,49.0,41.0,25.0,0.0,-1.5,1.9,6.0,6.0,4.0,0.0,24.0,24.0,24.0,60.0,54.0,60.0,27.0,27.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.22,135.0,0.51,0.59,0.58,14.2,12.94,12.56,14.21,-12.0,-0.12,-0.2,172.6,9.7,189.0,1.0,3.0,1043.0,690.0,1263.0,0.0,1271.0,14.2,1332.9,910.0,29.7,31.2,0.7,2.7,2067.6,0.0,16.83,8.3,66.8,70.4,69.1,68.6,70.3,75.0,77.2,76.2,64.9,64.4,24.1,27.0,29.7,32.1,43.0,37.0,25.0,0.3,-0.9,-0.6,6.0,6.0,4.0,0.0,24.0,24.0,24.0,60.0,54.0,60.0,27.0,27.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
