轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.03,259.24,0.49,0.5,0.49,6.1,7.64,2.3,7.05,-6.4,-0.29,-0.24,170.6,2.7,22.0,1.0,3.0,55.0,689.0,67.0,0.0,50.0,7.02,107.7,72.0,29.0,30.2,0.6,2.7,2067.6,0.0,16.83,2.0,14.1,16.0,15.6,15.2,14.2,15.5,18.0,15.4,35.3,34.8,9.9,12.1,11.3,12.7,27.0,27.0,25.0,0.0,0.0,-0.1,6.0,6.0,4.0,0.0,17.0,16.0,18.0,59.0,53.0,55.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.08,52.99,0.49,0.5,0.5,5.92,3.26,7.48,7.1,-1.9,-0.26,-0.17,170.5,3.0,17.0,1.0,3.0,58.0,689.0,69.0,0.0,56.0,7.06,121.8,80.0,33.2,33.1,0.7,2.7,2067.6,0.0,16.83,2.2,14.1,16.0,15.1,15.2,14.2,15.5,18.0,15.4,35.3,34.8,9.9,12.1,11.4,12.8,29.0,30.0,25.0,-0.1,0.0,0.5,6.0,6.0,4.0,0.0,17.0,15.0,19.0,59.0,53.0,55.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.05,265.5,0.49,0.5,0.5,7.34,8.0,2.34,7.08,-5.0,-0.2,-0.21,170.5,3.5,14.0,1.0,3.0,58.0,690.0,69.0,0.0,53.0,7.04,108.1,75.0,32.7,33.1,0.7,2.7,2067.6,0.0,16.83,2.2,14.1,16.0,15.9,15.2,14.2,15.5,18.0,15.4,35.3,34.8,9.9,12.1,11.3,12.8,30.0,30.0,25.0,0.0,-0.2,0.0,6.0,6.0,4.0,0.0,17.0,15.0,18.0,59.0,53.0,55.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.07,285.77,0.49,0.5,0.49,6.76,5.88,1.88,7.08,-6.0,-0.2,-0.18,170.6,3.2,18.0,1.0,3.0,60.0,689.0,73.0,0.0,55.0,7.06,113.1,79.0,32.4,32.6,0.7,2.7,2067.6,0.0,16.83,2.2,14.1,16.0,17.5,15.3,14.2,15.5,18.0,15.4,35.3,34.8,9.9,12.1,11.4,12.8,29.0,30.0,25.0,0.5,-0.1,0.0,6.0,6.0,4.0,0.0,17.0,15.0,19.0,59.0,53.0,55.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.96,267.01,0.49,0.5,0.49,6.58,7.8,2.1,6.97,-25.5,-0.02,-0.29,170.5,2.5,25.0,1.0,3.0,46.0,689.0,52.0,-2.0,37.0,6.96,76.7,53.0,30.5,31.1,0.7,2.7,2067.6,0.0,16.83,1.7,14.1,16.0,17.0,15.2,14.2,15.6,18.0,15.4,35.4,34.9,10.3,12.1,11.3,12.6,27.0,28.0,25.0,0.0,-0.2,0.0,6.0,6.0,4.0,0.0,16.0,17.0,17.0,59.0,53.0,56.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.01,189.25,0.48,0.5,0.5,4.06,8.1,4.54,6.99,7.9,-0.22,-0.11,170.5,2.7,8.0,1.0,3.0,54.0,689.0,61.0,0.0,45.0,7.02,91.3,64.0,30.8,30.5,0.7,2.7,2067.6,0.0,16.83,1.9,14.1,16.0,14.9,15.2,14.2,15.5,18.0,15.4,35.4,34.8,9.9,12.1,11.3,12.7,27.0,27.0,25.0,0.0,0.0,-0.4,6.0,6.0,4.0,0.0,17.0,16.0,18.0,59.0,53.0,55.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.02,218.74,0.48,0.5,0.5,5.0,8.88,3.1,7.06,-13.1,-0.18,-0.16,170.5,3.1,16.0,1.0,3.0,54.0,689.0,67.0,0.0,50.0,7.02,105.2,70.0,29.0,32.2,0.6,2.7,2067.6,0.0,16.83,2.2,14.1,16.1,17.7,15.3,14.3,15.6,18.0,15.4,35.3,34.8,9.9,12.1,11.4,12.7,29.0,29.0,25.0,0.0,0.0,-0.3,6.0,6.0,4.0,0.0,17.0,15.0,18.0,59.0,53.0,55.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.96,241.99,0.49,0.5,0.49,4.64,7.06,2.26,6.98,-15.7,-0.14,-0.17,170.5,2.3,25.0,1.0,3.0,44.0,689.0,54.0,0.0,37.0,6.96,74.2,51.0,31.6,31.4,0.7,2.7,2067.6,0.0,16.83,1.7,14.0,16.0,15.6,15.2,14.2,15.5,18.0,15.4,35.4,34.9,10.3,12.1,11.3,12.6,27.0,28.0,25.0,0.2,0.0,-0.1,6.0,6.0,4.0,0.0,16.0,17.0,17.0,59.0,53.0,56.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.05,176.51,0.48,0.5,0.5,3.48,6.76,6.22,7.06,-9.3,-0.17,-0.18,170.5,3.0,15.0,1.0,3.0,55.0,689.0,69.0,0.0,50.0,7.04,103.2,72.0,28.8,32.1,0.6,2.7,2067.6,0.0,16.83,2.2,14.1,16.1,16.8,15.3,14.2,15.5,18.0,15.4,35.3,34.8,9.9,12.1,11.4,12.7,29.0,30.0,25.0,0.0,0.3,-0.4,6.0,6.0,4.0,0.0,17.0,15.0,18.0,59.0,53.0,55.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.99,128.27,0.48,0.5,0.5,2.76,4.48,7.64,6.99,-24.1,-0.09,-0.31,170.4,3.5,19.0,1.0,3.0,51.0,689.0,57.0,0.0,44.0,6.98,90.0,59.0,31.2,31.3,0.7,2.7,2067.6,0.0,16.83,1.8,14.1,16.0,17.7,15.3,14.2,15.6,18.0,15.4,35.4,34.9,10.3,12.1,11.3,12.6,27.0,28.0,25.0,0.0,0.3,0.3,6.0,6.0,4.0,0.0,16.0,17.0,17.0,59.0,53.0,55.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.99,7.49,0.49,0.5,0.5,8.44,3.78,4.26,7.0,-1.4,-0.27,-0.14,170.5,2.2,16.0,1.0,3.0,41.0,690.0,47.0,0.0,33.0,6.98,73.9,49.0,31.3,30.9,0.7,2.7,2067.6,0.0,16.83,1.8,14.1,16.0,17.7,15.3,14.2,15.6,18.0,15.4,35.4,34.9,10.0,12.1,11.3,12.7,27.0,28.0,25.0,-0.2,0.0,0.4,6.0,6.0,4.0,0.0,16.0,17.0,17.0,59.0,53.0,56.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.07,32.26,0.49,0.5,0.5,7.58,4.38,6.44,7.08,0.4,-0.21,-0.2,170.6,2.8,16.0,1.0,3.0,61.0,689.0,76.0,0.0,56.0,7.06,116.1,79.0,33.2,33.1,0.7,2.7,2067.6,0.0,16.83,2.2,14.1,16.0,17.6,15.3,14.2,15.6,18.0,15.4,35.3,34.8,9.9,12.1,11.4,12.8,29.0,30.0,25.0,-0.2,0.0,0.3,6.0,6.0,4.0,0.0,17.0,15.0,19.0,59.0,53.0,55.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.05,63.0,0.49,0.5,0.5,6.28,4.3,9.14,7.04,-6.4,-0.19,-0.18,170.4,3.2,24.0,1.0,3.0,55.0,689.0,61.0,0.0,49.0,7.04,103.1,73.0,30.5,31.2,0.6,2.7,2067.6,0.0,16.83,1.7,14.1,16.0,16.3,15.2,14.2,15.6,18.0,15.4,35.4,34.9,10.3,12.1,11.3,12.6,27.0,28.0,25.0,-0.6,0.0,0.2,6.0,6.0,4.0,0.0,16.0,17.0,17.0,59.0,53.0,56.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.22,346.0,0.49,0.5,0.5,6.9,3.64,2.6,7.21,1.1,-0.21,-0.08,170.7,3.8,15.0,1.0,3.0,85.0,690.0,99.0,0.0,86.0,7.2,168.5,119.0,32.3,32.1,0.7,2.7,2067.6,0.0,16.83,1.5,14.0,16.0,15.6,15.2,14.2,15.5,18.0,15.4,35.5,34.9,10.3,12.1,11.3,12.9,29.0,29.0,25.0,0.2,0.0,0.1,6.0,6.0,4.0,0.0,15.0,19.0,17.0,56.0,53.0,56.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.07,74.99,0.49,0.5,0.5,5.52,3.98,8.46,7.09,0.8,-0.19,-0.13,170.6,3.3,13.0,1.0,3.0,61.0,690.0,73.0,0.0,55.0,7.06,117.1,78.0,32.1,33.1,0.7,2.7,2067.6,0.0,16.83,2.2,14.1,16.0,16.2,15.3,14.2,15.5,18.0,15.4,35.3,34.8,9.9,12.1,11.4,12.8,29.0,30.0,25.0,-0.2,0.0,0.2,6.0,6.0,4.0,0.0,17.0,15.0,19.0,59.0,53.0,55.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.07,138.49,0.48,0.5,0.5,3.52,5.46,8.36,7.09,3.9,-0.22,-0.22,170.5,3.1,13.0,1.0,3.0,57.0,690.0,69.0,0.0,55.0,7.06,115.4,78.0,32.4,33.2,0.7,2.7,2067.6,0.0,16.83,2.2,14.1,16.1,17.8,15.3,14.2,15.5,18.0,15.4,35.3,34.8,9.9,12.1,11.4,12.8,29.0,30.0,25.0,0.0,0.2,0.0,6.0,6.0,4.0,0.0,17.0,15.0,19.0,59.0,53.0,55.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,173.27,0.48,0.5,0.5,4.42,7.36,6.92,7.19,0.0,-0.16,-0.32,170.8,3.2,15.0,1.0,3.0,77.0,689.0,94.0,0.0,81.0,7.16,165.8,112.0,31.5,32.1,0.7,2.7,2067.6,0.0,16.83,1.5,14.1,16.0,17.6,15.2,14.2,15.6,18.0,15.4,35.5,34.9,10.3,12.1,11.3,13.0,29.0,29.0,25.0,0.0,0.2,-0.8,6.0,6.0,4.0,0.0,15.0,19.0,17.0,56.0,53.0,56.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.18,45.76,0.49,0.5,0.5,7.06,4.02,8.2,7.2,-11.6,-0.25,-0.2,170.3,3.4,23.0,1.0,3.0,76.0,689.0,96.0,0.0,78.0,7.16,160.7,109.0,31.0,31.6,0.7,2.7,2067.6,0.0,16.83,1.6,14.1,16.0,17.6,15.2,14.3,15.6,18.0,15.4,35.4,34.9,10.3,12.1,11.3,12.6,28.0,28.0,25.0,-0.5,0.0,0.2,6.0,6.0,4.0,0.0,16.0,18.0,17.0,59.0,53.0,56.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.03,223.24,0.49,0.5,0.5,4.02,7.36,2.48,7.05,-5.7,-0.21,-0.2,170.5,3.4,14.0,1.0,3.0,54.0,690.0,70.0,0.0,54.0,7.04,115.0,75.0,33.3,33.2,0.7,2.7,2067.6,0.0,16.83,2.2,14.1,16.0,15.2,15.2,14.2,15.5,18.0,15.4,35.3,34.8,9.9,12.1,11.3,12.8,30.0,30.0,25.0,0.2,0.0,-0.1,6.0,6.0,4.0,0.0,17.0,15.0,19.0,59.0,53.0,55.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.01,236.02,0.48,0.5,0.49,4.8,7.94,2.88,7.03,5.1,-0.21,-0.28,170.4,2.7,13.0,1.0,3.0,52.0,689.0,63.0,0.0,45.0,7.0,88.8,64.0,30.5,30.9,0.7,2.7,2067.6,0.0,16.83,1.7,14.1,16.0,15.7,15.2,14.2,15.5,18.0,15.4,35.4,34.9,10.1,12.1,11.3,12.6,27.0,28.0,25.0,0.0,0.0,-0.1,6.0,6.0,4.0,0.0,16.0,17.0,17.0,59.0,53.0,56.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.08,13.0,0.49,0.5,0.5,7.3,3.44,4.5,7.08,-7.1,-0.2,-0.24,171.2,2.7,20.0,1.0,3.0,57.0,690.0,69.0,0.0,54.0,7.06,110.6,77.0,32.3,32.1,0.7,2.7,2067.6,0.0,16.83,1.5,14.0,16.0,14.8,15.2,14.2,15.5,17.9,15.4,35.5,35.0,10.3,12.2,11.3,12.8,28.0,29.0,25.0,0.0,0.0,0.6,6.0,6.0,4.0,0.0,15.0,18.0,17.0,56.0,53.0,56.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.96,263.48,0.49,0.5,0.49,5.6,6.1,1.78,6.99,-5.7,-0.18,-0.26,170.6,3.1,11.0,1.0,3.0,48.0,690.0,57.0,0.0,39.0,6.96,80.5,54.0,29.7,30.6,0.7,2.7,2067.6,0.0,16.83,2.0,14.1,16.0,17.1,15.3,14.3,15.6,18.0,15.4,35.4,34.9,9.9,12.1,11.3,12.7,27.0,28.0,25.0,0.6,0.0,0.0,6.0,6.0,4.0,0.0,16.0,16.0,18.0,59.0,53.0,55.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.13,299.48,0.49,0.5,0.49,8.02,6.56,2.84,7.13,6.6,-0.13,-0.12,174.7,3.8,17.0,1.0,3.0,75.0,689.0,91.0,0.0,74.0,7.14,150.4,102.0,31.1,32.0,0.7,2.7,2067.6,0.0,16.83,1.5,14.1,16.0,15.8,15.2,14.2,15.5,18.0,15.4,35.4,34.9,10.3,12.1,11.3,12.8,28.0,29.0,25.0,0.2,-0.4,0.0,6.0,6.0,4.0,0.0,16.0,18.0,17.0,58.0,53.0,56.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.02,107.24,0.48,0.5,0.5,3.46,3.84,8.64,7.04,-4.7,-0.26,-0.21,170.5,2.8,23.0,1.0,3.0,48.0,690.0,60.0,0.0,44.0,7.0,94.3,64.0,31.3,31.5,0.7,2.7,2067.6,0.0,16.83,1.7,14.0,16.0,15.1,15.2,14.2,15.5,18.0,15.4,35.4,34.9,10.3,12.1,11.3,12.6,28.0,28.0,25.0,-0.1,0.1,0.2,6.0,6.0,4.0,0.0,16.0,17.0,17.0,59.0,53.0,56.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.97,277.74,0.49,0.5,0.49,6.4,6.34,1.7,6.99,-15.3,-0.1,-0.15,170.4,2.1,25.0,1.0,3.0,40.0,689.0,47.0,0.0,34.0,6.96,70.4,50.0,31.6,31.4,0.7,2.7,2067.6,0.0,16.83,1.7,14.1,16.0,17.8,15.3,14.2,15.6,18.0,15.4,35.4,34.9,10.3,12.1,11.3,12.6,27.0,28.0,25.0,0.6,0.0,0.0,6.0,6.0,4.0,0.0,16.0,17.0,17.0,59.0,53.0,56.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.99,320.26,0.49,0.5,0.49,7.66,4.98,2.26,7.02,3.3,-0.23,-0.17,170.5,3.0,13.0,1.0,3.0,49.0,690.0,61.0,0.0,45.0,7.0,91.8,64.0,30.0,31.0,0.7,2.7,2067.6,0.0,16.83,1.7,14.1,16.0,17.8,15.2,14.2,15.6,18.0,15.4,35.4,34.9,10.1,12.1,11.3,12.6,27.0,28.0,25.0,0.0,-0.2,0.0,6.0,6.0,4.0,0.0,16.0,17.0,17.0,59.0,53.0,56.0,12.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
