轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
10.17,346.0,0.46,0.42,0.44,8.82,7.6,9.88,10.18,2.1,-0.15,-0.13,170.1,6.1,133.0,1.0,1.0,349.0,692.0,428.0,0.0,428.0,10.14,605.5,413.0,29.7,30.4,0.1,2.2,2067.6,0.0,16.83,18.1,36.1,38.3,37.4,37.2,36.7,38.7,47.4,38.4,55.6,55.2,26.1,28.3,28.8,30.8,33.0,29.0,25.0,0.0,-0.2,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,57.0,58.0,56.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.85,102.49,0.45,0.41,0.44,9.02,7.46,8.64,9.86,3.2,-0.16,-0.11,170.0,4.9,135.0,1.0,1.0,320.0,693.0,393.0,0.0,385.0,9.86,559.4,381.0,30.0,31.4,0.1,2.2,2067.6,0.0,16.83,18.3,36.1,38.3,38.0,37.2,36.7,38.7,47.4,38.4,55.6,55.2,26.1,28.3,28.6,30.9,34.0,30.0,25.0,-0.2,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,57.0,58.0,56.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.4,172.01,0.45,0.42,0.44,7.5,7.98,9.18,10.42,2.4,-0.13,-0.15,169.9,6.7,132.0,1.0,1.0,379.0,693.0,470.0,0.0,459.0,10.38,642.1,439.0,31.7,31.3,0.1,2.2,2067.6,0.0,16.83,18.2,36.1,38.3,38.2,37.2,36.7,38.7,47.4,38.4,55.6,55.2,26.1,28.3,28.8,30.9,34.0,30.0,25.0,-0.3,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,57.0,58.0,56.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.38,200.02,0.45,0.42,0.44,7.26,7.62,9.02,10.36,-1.7,-0.18,-0.19,169.9,6.9,133.0,1.0,1.0,382.0,692.0,461.0,0.0,457.0,10.36,639.0,436.0,31.7,31.9,0.1,2.2,2067.6,0.0,16.83,18.2,36.1,38.3,38.8,37.3,36.8,38.7,47.4,38.3,55.6,55.2,26.1,28.3,28.8,30.9,35.0,30.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,57.0,58.0,56.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,158.51,0.45,0.42,0.44,7.46,8.36,9.36,10.52,-1.3,-0.17,-0.11,169.9,7.0,134.0,1.0,1.0,394.0,693.0,483.0,0.0,469.0,10.5,654.2,450.0,31.3,32.4,0.1,2.2,2067.6,0.0,16.83,18.2,36.1,38.3,39.4,37.3,36.8,38.8,47.3,38.3,55.6,55.2,26.1,28.3,28.7,30.9,35.0,32.0,25.0,-0.8,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,57.0,58.0,56.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.24,99.5,0.46,0.41,0.44,9.28,7.42,8.72,10.25,-5.4,-0.17,-0.03,169.9,5.4,137.0,1.0,1.0,362.0,693.0,439.0,0.0,429.0,10.24,617.3,421.0,32.7,33.4,0.1,2.3,2067.6,0.0,16.83,18.3,36.2,38.4,39.6,37.4,36.9,38.8,47.5,38.5,55.6,55.2,26.2,28.3,28.7,30.9,36.0,32.0,25.0,-0.2,0.0,-0.4,6.0,6.0,4.0,0.0,26.0,26.0,26.0,57.0,57.0,56.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.4,234.5,0.45,0.42,0.44,6.26,6.72,9.12,10.41,2.3,-0.18,-0.12,170.0,6.4,132.0,1.0,1.0,378.0,693.0,468.0,2.0,459.0,10.38,639.8,438.0,31.1,31.2,0.1,2.2,2067.6,0.0,16.83,18.2,36.1,38.3,39.5,37.3,36.8,38.7,47.4,38.3,55.6,55.2,26.1,28.3,28.8,30.9,34.0,30.0,25.0,0.1,0.0,0.8,6.0,6.0,4.0,0.0,26.0,26.0,26.0,57.0,58.0,56.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.45,162.5,0.45,0.42,0.44,7.38,7.8,9.0,10.48,-4.9,-0.12,-0.1,169.9,7.0,135.0,1.0,1.0,387.0,693.0,479.0,0.0,472.0,10.46,655.8,446.0,32.2,32.2,0.1,2.2,2067.6,0.0,16.83,18.1,36.1,38.3,37.3,37.2,36.7,38.7,47.3,38.4,55.7,55.2,26.1,28.3,28.7,30.8,35.0,31.0,25.0,-0.5,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,57.0,58.0,56.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.11,329.51,0.46,0.42,0.44,8.3,7.28,9.38,10.1,3.3,-0.09,-0.11,169.9,6.2,132.0,1.0,1.0,347.0,692.0,424.0,0.0,420.0,10.1,595.4,408.0,30.1,30.3,0.1,2.2,2067.6,0.0,16.83,18.1,36.1,38.3,39.7,37.3,36.8,38.8,47.4,38.4,55.6,55.1,26.1,28.3,28.8,30.8,33.0,30.0,25.0,0.2,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,57.0,58.0,56.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,302.51,0.46,0.42,0.44,7.86,6.94,9.0,10.5,-3.9,-0.18,-0.12,170.0,6.4,135.0,1.0,1.0,393.0,693.0,485.0,0.0,469.0,10.5,654.1,450.0,32.3,32.5,0.1,2.3,2067.6,0.0,16.83,18.2,36.1,38.3,38.6,37.2,36.8,38.7,47.4,38.4,55.6,55.2,26.1,28.3,28.7,30.9,35.0,32.0,25.0,0.3,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,57.0,58.0,56.0,28.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
