轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.16,86.0,5.54,5.63,5.63,13.5,15.58,12.86,16.18,4.2,-0.2,-0.17,171.8,10.3,36,1,3,1508,698,1863,0,1882,16.14,1770.9,1209,29.0,32.8,0.7,2.8,1806.1,0,16.44,14.6,75.2,78.4,77.6,77.3,79.2,83.3,84.1,84.8,67.5,67,27.7,29.6,32.2,34.4,52,45,25,0.9,0.0,-0.3,6,6,4,0,27,27,27,64,57,64,29,29,300,0,0,0,0,0,0,0,0,0
16.44,285.98,4.92,5.0,5.0,18.96,20.64,26.84,16.48,-0.5,-0.23,-0.06,172.0,11.0,38,1,3,1530,698,1890,-2,1909,16.44,1754.1,1199,30.4,33.3,0.7,2.8,1828.9,0,16.47,14.8,75.1,78.3,78.5,77.2,79.1,83.2,84.0,84.6,67.6,67,27.7,29.7,32.0,34.5,52,45,25,-16.4,-15.1,-15.5,6,6,4,0,27,27,27,64,59,64,29,29,300,0,0,0,0,0,0,0,0,0
15.77,254.99,5.14,5.2,5.21,13.92,13.64,18.16,15.73,1.2,-0.31,-0.12,171.9,12.0,35,1,3,1479,698,1820,0,1839,15.74,1793.7,1225,30.8,32.9,0.7,2.8,1795.8,0,16.42,14.7,75.3,78.5,78.9,77.4,79.3,83.4,84.3,84.9,67.5,67,27.7,30.0,32.1,34.2,52,44,25,-3.1,-0.3,0.4,6,6,4,0,27,27,27,64,56,64,30,30,300,0,0,0,0,0,0,0,0,0
16.74,292.0,3.74,3.83,3.83,15.24,14.94,21.22,16.75,2.5,-0.27,-0.1,171.9,11.2,37,1,3,1540,698,1896,0,1897,16.7,1748.0,1193,31.4,33.3,0.8,2.8,1820.6,0,16.46,14.6,75.2,78.4,78.4,77.3,79.2,83.3,84.1,84.6,67.6,67,27.7,30.0,32.2,34.6,53,45,25,-1.7,0.0,-0.5,6,6,4,0,27,27,27,64,59,64,30,30,300,0,0,0,0,0,0,0,0,0
17.26,185.0,4.65,4.71,4.69,17.04,14.94,15.32,17.25,2.7,-0.07,-0.16,171.8,9.7,35,1,3,1554,698,1924,0,1919,17.22,1696.2,1160,31.3,33.2,0.7,2.8,1840.2,0,16.49,14.7,75.2,78.4,77.9,77.3,79.2,83.3,84.1,84.7,67.5,67,27.7,30.1,32.2,34.5,52,45,25,0.0,-1.3,2.5,6,6,4,0,27,27,27,64,58,64,30,30,300,0,0,0,0,0,0,0,0,0
16.74,248.0,4.94,5.02,5.02,15.32,13.3,19.4,16.74,1.9,-0.3,-0.18,171.8,11.0,38,1,3,1543,698,1903,0,1915,16.72,1743.6,1190,29.7,33.1,0.7,2.7,1828.9,0,16.47,14.8,75.1,78.3,78.2,77.2,79.1,83.2,84.0,84.6,67.6,67,27.7,29.7,32.0,34.4,52,45,25,-0.3,0.0,3.0,6,6,4,0,27,27,27,64,59,64,29,29,300,0,0,0,0,0,0,0,0,0
17.01,339.98,4.72,4.77,4.76,13.16,15.14,16.88,17.07,-2.3,-0.25,-0.08,171.8,9.6,36,1,3,1550,698,1908,-2,1926,17.02,1717.1,1173,30.3,33.0,0.7,2.8,1840.2,0,16.49,14.7,75.2,78.4,77.8,77.3,79.2,83.3,84.1,84.7,67.5,67,27.7,30.1,32.2,34.5,52,45,25,-0.3,2.0,-0.4,6,6,4,0,27,27,27,64,58,64,30,30,300,0,0,0,0,0,0,0,0,0
16.42,200.99,4.94,5.02,5.02,15.08,12.82,17.08,16.42,-3.9,-0.19,-0.19,171.8,12.4,39,1,3,1527,698,1883,0,1901,16.42,1762.1,1204,29.7,33.4,0.7,2.8,1828.9,0,16.47,14.7,75.1,78.3,78.4,77.2,79.0,83.1,84.0,84.5,67.5,67,27.7,29.7,32.0,34.3,53,45,25,1.0,0.0,4.2,6,6,4,0,27,27,27,64,59,64,29,29,300,0,0,0,0,0,0,0,0,0
17.08,50.0,4.58,4.65,4.64,9.62,13.26,6.2,17.07,4.6,-0.15,-0.19,171.8,9.0,35,1,3,1548,698,1908,0,1927,17.04,1708.9,1166,32.1,33.1,0.7,2.8,1781.3,0,16.4,14.6,75.2,78.4,77.7,77.3,79.2,83.3,84.2,84.7,67.5,67,27.7,29.9,32.3,34.6,52,45,25,17.3,22.7,10.9,6,6,4,0,27,27,27,64,57,64,29,29,300,0,0,0,0,0,0,0,0,0
15.91,155.99,5.51,5.59,5.57,24.56,20.46,21.22,15.91,3.5,-0.17,-0.13,171.8,9.5,35,1,3,1488,698,1842,0,1833,15.9,1780.0,1215,29.6,32.9,0.7,2.7,1780.3,0,16.4,14.6,75.2,78.4,77.5,77.3,79.2,83.3,84.2,84.8,67.5,67,27.7,29.7,32.2,34.2,53,44,25,-47.0,-39.6,-41.0,6,6,4,0,27,27,27,64,57,64,29,29,300,0,0,0,0,0,0,0,0,0
