轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
9.19,56,19.43,19.45,19.45,10.6,10.6,10.9,9.02,2.1,0.08,0.04,208.2,7.8,29,1,3,457,693,288,1,294,9.0,43.1,308,22.7,22.0,0,3.9,308,0,9.83,-10.8,3.2,7.8,6.2,3.5,3.9,3.2,4.6,4.7,35.4,35.4,11,20,-2.0,1.0,27,28,25,0,0,0,6,6,4,0,5,4,5,25,20,23,20,20,18,45.2,45.07,45.17,23,180,2.0,0,0,0
9.29,344,19.43,19.45,19.45,10.6,10.8,10.8,9.02,2.6,0.06,0.01,208.3,10.7,29,1,3,458,693,290,-1,289,9.0,41.7,308,21.9,21.4,0,3.9,308,0,9.83,-10.8,3.2,7.9,6.2,3.5,3.9,3.2,4.6,4.7,35.4,35.4,11,20,-2.0,1.0,26,28,25,0,0,0,6,6,4,0,5,4,5,25,21,23,20,20,18,45.2,45.08,45.17,21,180,2.0,0,0,0
9.3,312,19.43,19.45,19.45,10.6,10.8,10.8,8.98,6.9,0.05,0.04,208.2,9.5,27,1,3,459,693,287,-1,298,9.0,43.4,308,21.8,21.4,0,3.9,308,0,9.83,-10.8,3.2,7.9,6.2,3.5,4.0,3.2,4.6,4.7,35.5,35.6,11,23,-2.0,0.9,0,27,25,0,0,0,6,6,4,0,5,4,5,25,21,23,23,23,18,45.2,45.07,45.17,21,180,1.9,0,0,0
9.4,272,19.43,19.45,19.45,10.6,10.6,10.8,9.11,3.6,0.06,0.06,208.3,11.0,29,1,3,458,693,288,2,292,9.0,42.8,307,23.3,22.8,0,3.9,308,0,9.83,-10.8,3.1,7.8,6.2,3.5,3.9,3.2,4.6,4.7,35.4,35.4,11,20,-2.0,1.0,28,29,25,0,0,0,6,6,4,0,5,4,5,25,20,23,20,20,19,45.2,45.08,45.17,20,190,2.0,0,0,0
9.34,240,19.43,19.45,19.45,10.6,10.7,10.8,9.1,3.4,0.02,0.06,208.2,10.6,28,1,3,462,693,291,0,279,9.0,41.0,307,21.0,20.9,0,3.9,308,0,9.83,-10.8,3.1,7.7,6.1,3.4,3.9,3.1,4.5,4.7,35.2,35.3,11,19,-2.0,1.0,25,27,0,0,0,0,6,6,4,0,5,4,5,25,20,23,19,19,18,45.2,45.07,45.17,23,180,2.0,0,0,0
9.2,232,19.43,19.45,19.45,10.6,10.7,10.8,8.93,3.1,0.08,0.01,208.2,8.5,30,1,3,459,693,287,0,284,8.9,41.3,308,20.9,20.7,0,3.9,308,0,9.83,-10.8,3.2,7.9,6.2,3.5,4.0,3.2,4.6,4.7,35.5,35.5,11,22,-2.0,0.9,25,27,25,0,0,0,6,6,4,0,5,4,5,25,21,23,22,22,17,45.2,45.07,45.17,22,170,2.1,0,0,0
9.19,296,19.43,19.45,19.45,10.6,10.8,10.8,9.0,-0.8,0.08,0.01,208.3,11.7,31,1,3,462,693,286,1,280,8.9,41.2,308,20.9,20.5,0,3.9,308,0,9.83,-10.8,3.2,7.9,6.2,3.5,3.9,3.2,4.6,4.8,35.5,35.5,11,22,-2.0,0.9,25,27,25,0,0,0,6,6,4,0,5,4,5,25,20,23,22,22,18,45.2,45.08,45.17,21,180,1.9,0,0,0
9.49,152,19.43,19.45,19.45,10.6,10.7,10.8,9.41,3.6,0.04,0.06,208.0,8.2,28,1,3,466,694,295,-1,298,9.4,42.5,303,20.1,20.0,0,3.9,308,0,9.83,-10.8,3.0,7.7,6.1,3.4,3.8,3.1,4.5,4.6,35.2,35.3,11,18,-2.0,1.0,25,26,25,0,0,0,6,6,4,0,5,4,5,25,21,23,18,18,17,45.2,45.08,45.17,21,180,2.0,0,0,0
9.35,192,19.43,19.45,19.45,10.6,10.8,10.8,9.06,4.9,0.05,0.04,208.3,10.1,28,1,3,460,694,289,3,289,9.0,42.9,308,23.6,22.8,0,3.9,308,0,9.83,-10.8,3.2,7.8,6.2,3.5,3.9,3.1,4.5,4.7,35.3,35.4,11,20,-2.0,1.0,28,29,25,0,0,0,6,6,4,0,5,4,5,25,20,23,20,20,18,45.2,45.07,45.17,22,180,2.0,0,0,0
9.4,200,19.43,19.45,19.45,10.6,10.7,10.8,9.13,4.3,0.06,0.06,208.3,8.1,29,1,3,462,693,292,0,289,9.0,43.2,307,23.2,23.0,0,3.9,308,0,9.83,-10.8,3.1,7.8,6.2,3.5,3.9,3.2,4.6,4.7,35.4,35.4,11,20,-2.0,1.0,28,29,25,0,0,0,6,6,4,0,5,4,5,25,20,23,20,20,19,45.2,45.07,45.17,21,190,2.0,0,0,0
