轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.88,8.0,12.15,12.15,12.19,10.7,11.1,11.0,11.65,12.2,0.12,0.02,213.7,10.0,23.0,1.0,3.0,636.0,699.0,594.0,-1.0,599.0,11.6,67.4,493.0,25.5,25.1,0.1,4.1,630.6,0.0,12.48,1.1,13.1,16.6,15.0,12.9,12.5,12.9,13.1,14.0,35.8,35.8,19.0,19.0,7.6,10.2,31.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,13.0,12.0,13.0,29.0,25.0,27.0,19.0,19.0,28.0,45.18,45.05,45.13,31.0,280.0,2.9,0.0,0.0,0.0
12.54,284.0,11.11,11.11,11.14,10.8,10.9,11.1,12.29,7.2,0.04,0.04,213.5,10.3,26.0,1.0,3.0,646.0,699.0,617.0,0.0,612.0,12.3,66.5,480.0,25.5,25.4,0.1,4.1,630.6,0.0,12.48,1.1,13.2,16.8,15.2,13.1,12.5,13.0,13.2,14.2,35.9,35.9,19.0,19.0,7.5,10.2,31.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,13.0,29.0,25.0,27.0,19.0,19.0,28.0,45.18,45.05,45.13,31.0,280.0,2.9,0.0,0.0,0.0
12.81,292.0,12.62,12.62,12.66,11.6,11.2,11.3,12.52,11.3,0.13,0.04,213.7,10.9,24.0,1.0,3.0,630.0,701.0,587.0,2.0,584.0,12.6,60.2,451.0,24.9,24.2,0.0,4.1,600.1,0.0,12.27,1.1,12.5,15.9,14.5,12.2,11.7,12.4,12.6,13.4,35.4,35.4,19.0,19.0,7.7,10.2,30.0,32.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,13.0,29.0,25.0,27.0,19.0,19.0,28.0,45.18,45.05,45.13,30.0,280.0,2.9,0.0,0.0,0.0
12.49,288.0,11.97,11.97,12.01,11.7,11.2,11.8,12.31,13.3,0.04,0.03,213.8,10.8,24.0,1.0,3.0,627.0,701.0,588.0,0.0,598.0,12.3,64.4,463.0,24.6,24.4,0.0,4.1,600.1,0.0,12.27,1.1,12.5,15.9,14.4,12.2,11.8,12.4,12.6,13.4,35.4,35.4,19.0,19.0,7.7,10.2,30.0,32.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,13.0,29.0,25.0,27.0,19.0,19.0,28.0,45.18,45.05,45.13,30.0,290.0,2.9,0.0,0.0,0.0
12.38,76.0,11.05,11.05,11.09,11.1,11.1,11.1,12.08,7.1,0.07,0.03,213.7,10.7,24.0,1.0,3.0,645.0,699.0,610.0,1.0,612.0,12.1,67.6,486.0,25.5,25.1,0.1,4.1,630.6,0.0,12.48,1.1,13.2,16.7,15.2,13.0,12.5,13.0,13.3,14.1,35.9,35.9,19.0,19.0,7.5,10.2,31.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,13.0,29.0,25.0,27.0,19.0,19.0,28.0,45.18,45.05,45.13,31.0,280.0,2.9,0.0,0.0,0.0
12.09,200.0,12.54,12.54,12.58,11.3,10.9,11.0,11.87,7.7,0.08,0.04,213.7,11.1,24.0,1.0,3.0,627.0,699.0,583.0,-1.0,583.0,11.8,64.0,469.0,25.0,25.1,0.1,4.1,600.1,0.0,12.27,1.1,12.7,16.2,14.7,12.4,12.0,12.4,12.8,13.6,35.5,35.5,19.0,19.0,7.7,10.2,31.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,13.0,29.0,25.0,27.0,19.0,19.0,28.0,45.18,45.05,45.13,30.0,290.0,2.9,0.0,0.0,0.0
11.93,296.0,12.15,12.15,12.19,10.7,10.8,11.0,11.7,12.9,0.01,0.06,213.8,7.4,23.0,1.0,3.0,631.0,699.0,596.0,1.0,602.0,11.7,68.5,491.0,25.3,25.4,0.1,4.1,630.6,0.0,12.48,1.1,13.1,16.6,15.0,12.9,12.5,12.9,13.1,14.0,35.8,35.8,18.0,19.0,7.6,10.2,31.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,13.0,12.0,13.0,29.0,25.0,27.0,19.0,19.0,28.0,45.18,45.05,45.13,31.0,280.0,2.9,0.0,0.0,0.0
12.25,196.0,12.6,12.6,12.65,10.9,11.1,11.1,11.97,12.0,0.07,0.01,213.7,11.2,23.0,1.0,3.0,627.0,700.0,582.0,2.0,592.0,11.9,65.2,468.0,25.2,24.9,0.1,4.1,600.1,0.0,12.27,1.1,12.7,16.2,14.7,12.5,12.0,12.5,12.8,13.6,35.6,35.6,19.0,19.0,7.7,10.2,31.0,33.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,13.0,29.0,25.0,27.0,19.0,19.0,28.0,45.18,45.05,45.13,31.0,280.0,2.9,0.0,0.0,0.0
11.51,344.0,12.54,12.54,12.58,10.9,10.8,10.8,11.35,9.7,0.04,0.08,213.8,10.1,24.0,1.0,3.0,612.0,700.0,564.0,1.0,568.0,11.4,67.2,481.0,25.0,24.7,0.0,4.1,600.1,0.0,12.27,1.1,12.7,16.1,14.7,12.3,11.9,12.4,12.7,13.5,35.5,35.5,19.0,19.0,7.7,10.2,30.0,32.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,13.0,28.0,25.0,27.0,19.0,19.0,28.0,45.18,45.05,45.13,30.0,290.0,2.8,0.0,0.0,0.0
12.64,0.0,11.97,11.97,12.01,11.2,11.3,11.0,12.41,12.5,0.07,0.11,213.7,10.2,24.0,1.0,3.0,636.0,701.0,594.0,1.0,602.0,12.3,62.4,462.0,24.7,24.3,0.0,4.1,600.1,0.0,12.27,1.1,12.5,15.9,14.4,12.2,11.8,12.3,12.6,13.4,35.4,35.4,19.0,19.0,7.7,10.2,30.0,32.0,25.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,13.0,29.0,25.0,27.0,19.0,19.0,28.0,45.18,45.05,45.13,30.0,290.0,2.9,0.0,0.0,0.0
