轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.14,224.0,85.98,85.98,85.98,11.8,10.9,10.9,0.03,-3.9,0.06,0.03,208.3,2.5,196.0,1.0,3.0,385.0,695.0,0.0,1.0,0.0,0.0,1.9,0.0,30.2,29.8,0.7,4.0,425.4,0.0,10.95,-19.1,-11.7,-7.4,-7.1,-11.4,-11.2,-11.7,-10.9,-11.5,7.2,7.1,7.0,17.0,-8.2,-3.4,35.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,9.0,1.0,1.0,26.0,18.0,20.0,17.0,17.0,19.0,45.18,45.09,45.18,25.0,230.0,2.5,0.0,0.0,0.0
0.14,224.0,85.98,85.98,85.98,11.4,10.5,11.4,0.0,-24.9,0.08,-0.02,27.1,2.6,206.0,1.0,3.0,388.0,695.0,0.0,-1.0,0.0,0.0,1.9,0.0,30.6,30.3,0.6,3.9,425.4,0.0,10.95,-19.1,-11.7,-7.6,-7.2,-11.4,-11.2,-11.7,-10.9,-11.7,7.0,7.0,7.0,17.0,-8.4,-3.5,36.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,2.0,9.0,3.0,1.0,26.0,18.0,20.0,17.0,17.0,19.0,45.19,45.09,45.18,27.0,210.0,2.5,0.0,0.0,0.0
0.14,224.0,85.98,85.98,85.98,11.7,10.6,11.3,0.02,-8.2,0.06,0.03,208.2,2.8,195.0,1.0,3.0,384.0,695.0,0.0,2.0,0.0,0.0,1.9,0.0,30.3,29.9,0.7,4.0,425.4,0.0,10.95,-19.1,-11.7,-7.4,-7.1,-11.4,-11.2,-11.7,-10.9,-11.7,7.2,7.1,7.0,17.0,-8.2,-3.4,35.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,9.0,1.0,1.0,26.0,18.0,20.0,17.0,17.0,19.0,45.18,45.09,45.18,26.0,220.0,2.4,0.0,0.0,0.0
0.09,224.0,85.98,85.98,85.98,11.8,11.2,10.7,0.02,-7.2,0.06,0.04,208.4,2.6,199.0,1.0,3.0,385.0,695.0,0.0,1.0,0.0,0.0,1.9,0.0,29.7,29.4,0.6,3.9,425.4,0.0,10.95,-18.9,-11.7,-7.4,-7.1,-11.3,-11.0,-11.5,-10.9,-11.5,7.3,7.2,7.0,17.0,-8.0,-3.2,35.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,1.0,1.0,26.0,18.0,20.0,17.0,17.0,18.0,45.18,45.09,45.18,27.0,230.0,2.4,0.0,0.0,0.0
0.15,224.0,85.98,85.98,85.98,11.7,10.6,11.2,0.02,-7.6,0.06,0.03,208.0,3.3,194.0,1.0,3.0,386.0,696.0,0.0,0.0,0.0,0.0,1.9,0.0,30.2,30.0,0.7,4.0,425.4,0.0,10.95,-19.1,-11.7,-7.4,-7.1,-11.4,-11.2,-11.7,-10.9,-11.7,7.2,7.1,7.0,17.0,-8.2,-3.4,35.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,9.0,1.0,1.0,26.0,18.0,20.0,17.0,17.0,19.0,45.19,45.09,45.18,25.0,220.0,2.5,0.0,0.0,0.0
0.13,224.0,85.98,85.98,85.98,11.8,11.0,10.9,0.02,-7.2,0.06,0.04,208.2,3.0,198.0,1.0,3.0,388.0,695.0,0.0,2.0,0.0,0.0,1.9,0.0,29.9,29.6,0.7,4.0,425.4,0.0,10.95,-19.1,-11.7,-7.4,-7.1,-11.3,-11.0,-11.6,-10.9,-11.5,7.2,7.1,7.0,17.0,-8.2,-3.4,35.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,10.0,1.0,1.0,26.0,18.0,20.0,17.0,17.0,18.0,45.18,45.09,45.18,26.0,230.0,2.4,0.0,0.0,0.0
0.09,224.0,85.98,85.98,85.98,11.2,10.5,11.8,0.01,6.6,0.06,0.04,207.6,2.4,193.0,1.0,3.0,386.0,695.0,0.0,1.0,0.0,0.0,1.9,0.0,30.6,30.3,0.7,4.0,425.4,0.0,10.95,-19.1,-11.8,-7.6,-7.2,-11.4,-11.2,-11.7,-11.0,-11.7,7.0,6.9,8.0,17.0,-8.4,-3.6,36.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,9.0,3.0,1.0,26.0,18.0,20.0,17.0,17.0,19.0,45.19,45.08,45.18,26.0,200.0,2.5,0.0,0.0,0.0
0.13,224.0,85.98,85.98,85.98,11.7,10.6,11.3,0.01,-8.1,0.06,0.03,208.1,3.4,196.0,1.0,3.0,388.0,694.0,0.0,-1.0,0.0,0.0,1.9,0.0,30.3,30.0,0.7,3.9,425.4,0.0,10.95,-19.1,-11.7,-7.5,-7.1,-11.4,-11.2,-11.7,-10.9,-11.7,7.1,7.0,7.0,17.0,-8.2,-3.4,35.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,9.0,2.0,1.0,26.0,18.0,20.0,17.0,17.0,19.0,45.18,45.09,45.18,27.0,230.0,2.4,0.0,0.0,0.0
0.09,224.0,85.98,85.98,85.98,11.8,11.3,10.5,0.01,-6.5,0.06,0.04,208.6,0.6,204.0,1.0,3.0,386.0,694.0,0.0,1.0,0.0,0.0,1.9,0.0,29.6,29.2,0.5,4.4,425.4,0.0,10.95,-18.9,-11.6,-7.4,-6.9,-11.3,-11.0,-11.5,-10.7,-11.4,7.4,7.3,8.0,18.0,-7.9,-3.1,34.0,28.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,11.0,1.0,1.0,25.0,18.0,19.0,18.0,18.0,19.0,45.18,45.08,45.18,27.0,230.0,2.5,0.0,0.0,0.0
0.14,224.0,85.98,85.98,85.98,11.7,10.7,11.2,0.03,-2.0,0.06,0.04,208.1,3.0,193.0,1.0,3.0,387.0,695.0,0.0,0.0,0.0,0.0,1.9,0.0,30.2,29.9,0.6,3.9,425.4,0.0,10.95,-19.1,-11.7,-7.4,-7.1,-11.4,-11.2,-11.7,-10.9,-11.6,7.2,7.1,7.0,17.0,-8.2,-3.4,35.0,29.0,25.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,9.0,1.0,1.0,26.0,18.0,20.0,17.0,17.0,19.0,45.18,45.08,45.18,26.0,230.0,2.5,0.0,0.0,0.0
