轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
12.1,112,0.24,0.24,0.24,11.2,11.3,11.3,11.79,9.5,0.11,0.03,205.6,6.9,49,1,3,604,699,543,1,547,11.8,58.8,444,24.9,25.7,0.4,4.3,2067.6,0,16.83,-15.6,0.0,4.7,3.1,0.8,0.7,0.5,1.5,1.4,31.8,31.7,9,22,-4.7,-2.3,31,33,25,0,0,0,6,6,4,0,6,2,3,24,20,22,22,22,17,45.2,45.09,45.17,20,170,2.0,0,0,0
11.05,24,0.24,0.24,0.24,11.1,11.4,11.2,10.9,6.9,0.04,0.04,205.6,4.8,49,1,3,537,698,432,-1,425,10.9,52.0,382,25.8,26.4,0.4,4.4,1941.5,0,16.64,-15.7,-0.3,4.4,2.8,0.5,0.5,0.1,1.2,1.0,31.5,31.5,9,22,-4.6,-2.3,31,32,25,0,0,0,6,6,4,0,6,2,3,24,19,22,22,22,17,45.2,45.09,45.18,20,170,2.0,0,0,0
11.91,32,0.24,0.24,0.24,11.1,11.8,11.3,11.64,10.0,0.06,0.04,205.6,5.8,47,1,3,592,699,528,0,538,11.6,59.2,436,25.0,25.3,0.3,4.3,2067.6,0,16.83,-15.6,0.2,4.7,3.1,0.8,0.8,0.5,1.5,1.4,31.8,31.8,8,22,-4.7,-2.3,31,33,25,0,0,0,6,6,4,0,5,2,3,24,20,22,22,22,17,45.2,45.08,45.18,20,170,2.0,0,0,0
11.05,248,0.24,0.24,0.24,11.1,11.4,11.2,10.76,10.6,-0.01,0.04,205.6,5.3,49,1,3,529,698,419,-1,415,10.7,50.5,375,26.2,26.6,0.5,4.4,2067.6,0,16.83,-15.8,-0.3,4.4,2.8,0.4,0.4,0.1,1.1,1.0,31.5,31.5,9,22,-4.6,-2.1,31,33,25,0,0,0,6,6,4,0,6,2,3,24,20,22,22,22,17,45.19,45.08,45.18,21,170,2.0,0,0,0
11.25,300,0.24,0.24,0.24,11.2,11.1,11.2,10.99,0.6,0.05,0.03,205.8,5.7,50,1,3,540,698,442,0,443,10.9,52.9,387,25.6,26.3,0.4,4.4,2012.8,0,16.75,-15.7,-0.3,4.4,2.9,0.5,0.5,0.2,1.1,1.1,31.6,31.5,9,22,-4.6,-2.3,31,32,25,0,0,0,6,6,4,0,6,2,3,24,20,22,22,22,16,45.2,45.09,45.18,21,160,2.0,0,0,0
12.13,332,0.24,0.24,0.24,11.1,11.6,11.4,11.8,12.3,0.08,0.04,205.5,6.5,48,1,3,607,699,551,0,554,11.8,61.8,448,25.0,25.5,0.4,4.3,2067.6,0,16.83,-15.6,0.0,4.7,3.1,0.8,0.7,0.5,1.5,1.4,31.8,31.7,10,22,-4.7,-2.3,31,33,25,0,0,0,6,6,4,0,6,2,3,24,20,22,22,22,17,45.2,45.08,45.18,21,170,1.9,0,0,0
12.05,36,0.24,0.24,0.24,11.1,11.1,11.4,11.81,8.5,0.06,0.04,205.6,5.3,49,1,3,606,699,559,1,569,11.8,61.7,453,25.2,25.5,0.3,4.3,2067.6,0,16.83,-15.6,0.1,4.7,3.1,0.8,0.8,0.5,1.5,1.4,31.8,31.7,9,22,-4.7,-2.3,31,33,25,0,0,0,6,6,4,0,6,2,3,24,20,22,22,22,16,45.2,45.08,45.18,21,160,2.0,0,0,0
11.77,328,0.24,0.24,0.24,11.1,11.8,11.4,11.54,15.6,0.12,0.04,205.6,4.6,47,1,3,589,699,525,2,521,11.5,57.7,436,25.1,25.7,0.3,4.3,2067.6,0,16.83,-15.6,0.1,4.7,3.1,0.8,0.8,0.5,1.5,1.4,31.8,31.7,8,22,-4.7,-2.3,31,33,25,0,0,0,6,6,4,0,5,2,3,24,19,22,22,22,17,45.2,45.08,45.18,21,170,1.9,0,0,0
11.04,324,0.24,0.24,0.24,11.1,11.0,11.3,10.85,10.9,0.08,0.05,205.6,6.0,47,1,3,536,698,424,2,430,10.8,50.1,377,26.2,26.9,0.5,4.4,2022.1,0,16.76,-15.8,-0.4,4.3,2.7,0.4,0.5,0.2,1.1,0.9,31.5,31.4,9,22,-4.6,-2.1,0,33,25,0,0,0,6,6,4,0,6,2,3,24,20,22,22,22,17,45.19,45.08,45.18,20,170,1.9,0,0,0
12.1,188,0.24,0.24,0.24,11.2,11.4,11.3,11.86,14.2,0.06,0.04,205.5,5.3,48,1,3,616,699,562,0,567,11.8,60.0,454,25.0,25.7,0.4,4.3,2067.6,0,16.83,-15.6,0.0,4.7,3.1,0.7,0.7,0.5,1.5,1.4,31.8,31.7,9,22,-4.7,-2.3,31,33,25,0,0,0,6,6,4,0,6,2,3,24,20,22,22,22,16,45.2,45.08,45.18,20,160,2.0,0,0,0
