轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.52,276,0.24,0.24,0.24,11.0,11.6,11.1,11.2,10.6,0.02,0.05,204.4,5.1,55,1,3,556,696,474,0,471,11.2,55.6,406,20.2,20.1,0.0,3.9,1294.9,0,15.64,-15.8,1.7,6.9,5.2,3.0,2.9,2.1,2.6,3.1,35.2,35.3,8,22,-5.9,-3.6,26,28,25,0,0,0,6,6,4,0,7,10,2,24,19,21,22,22,16,45.19,45.06,45.18,20,160,1.8,0,0,0
12.16,180,0.24,0.24,0.24,11.2,12.0,11.3,11.94,7.1,0.05,0.03,204.3,5.6,54,1,3,624,697,573,0,578,11.9,62.6,461,23.4,22.6,0.0,3.9,1500.9,0,15.98,-15.8,1.8,6.9,5.3,3.1,3.0,2.2,2.6,3.1,35.2,35.3,8,22,-5.9,-3.6,29,31,25,0,0,0,6,6,4,0,7,10,2,24,19,21,22,22,16,45.19,45.06,45.19,18,160,1.8,0,0,0
12.19,300,0.24,0.24,0.24,11.2,11.5,11.3,11.93,6.8,0.02,0.05,204.3,5.5,54,1,3,619,697,569,2,574,11.9,63.0,459,22.7,22.7,0.0,4.0,1428.8,0,15.86,-15.8,1.8,7.0,5.3,3.1,3.0,2.2,2.7,3.2,35.2,35.3,8,22,-5.9,-3.6,28,30,25,0,0,0,6,6,4,0,6,11,2,24,19,22,22,22,16,45.19,45.06,45.19,19,160,1.7,0,0,0
11.98,32,0.24,0.24,0.24,11.2,11.4,11.3,11.8,11.0,0.06,0.04,204.6,4.7,55,1,3,610,697,552,-2,552,11.7,61.7,449,23.6,23.7,0.1,4.1,1491.6,0,15.96,-15.8,1.8,6.9,5.3,3.1,3.0,2.1,2.6,3.1,35.2,35.3,8,22,-5.9,-3.6,30,31,25,0,0,0,6,6,4,0,6,10,2,24,20,21,22,22,15,45.19,45.06,45.18,20,150,1.8,0,0,0
12.1,336,0.24,0.24,0.24,11.1,11.2,11.3,11.83,3.8,0.06,0.03,204.4,5.5,55,1,3,606,697,550,0,547,11.7,59.5,447,21.1,20.3,0.0,3.9,1399.9,0,15.81,-15.8,1.7,6.9,5.2,3.0,2.9,2.0,2.5,3.1,35.2,35.3,8,22,-5.9,-3.6,27,29,25,0,0,0,6,6,4,0,7,10,2,24,19,21,22,22,16,45.19,45.06,45.19,18,160,1.8,0,0,0
12.16,36,0.24,0.24,0.24,11.2,11.6,11.3,11.98,6.2,0.06,0.03,204.4,5.0,55,1,3,623,697,573,0,584,11.9,61.2,463,23.9,23.2,0.0,4.0,1504.0,0,15.98,-15.8,1.8,6.9,5.3,3.1,3.0,2.1,2.6,3.1,35.2,35.3,8,22,-5.9,-3.6,30,31,25,0,0,0,6,6,4,0,7,10,2,24,19,21,22,22,16,45.19,45.06,45.19,18,160,1.8,0,0,0
11.51,136,0.24,0.24,0.24,11.0,11.6,11.1,11.28,-3.5,0.08,0.04,204.5,6.1,58,1,3,570,697,482,2,484,11.3,55.0,411,20.3,20.0,0.0,3.9,1308.3,0,15.66,-15.8,1.7,6.9,5.3,3.0,2.9,2.1,2.6,3.1,35.2,35.3,8,22,-5.9,-3.6,26,28,25,0,0,0,6,6,4,0,7,10,2,24,19,21,22,22,16,45.19,45.06,45.18,18,160,1.8,0,0,0
11.77,288,0.24,0.24,0.24,11.0,11.6,11.2,11.51,12.1,0.04,0.04,204.4,4.3,53,1,3,582,697,511,1,505,11.5,56.6,427,20.3,20.1,0.0,3.9,1317.5,0,15.68,-15.8,1.7,6.9,5.2,3.0,2.9,2.1,2.6,3.1,35.2,35.3,7,22,-5.9,-3.6,26,28,0,0,0,0,6,6,4,0,7,9,2,24,19,22,22,22,16,45.19,45.06,45.18,20,160,1.8,0,0,0
11.6,276,0.24,0.24,0.24,11.0,12.0,11.2,11.37,4.6,0.04,0.03,204.6,5.2,58,1,3,573,697,497,1,504,11.4,57.7,419,20.5,20.1,0.0,3.9,1308.3,0,15.66,-15.8,1.7,6.9,5.2,3.0,2.9,2.1,2.6,3.1,35.2,35.3,7,22,-5.9,-3.6,26,28,25,0,0,0,6,6,4,0,7,10,2,24,19,21,22,22,16,45.19,45.06,45.18,18,160,1.8,0,0,0
11.99,160,0.24,0.24,0.24,11.2,11.6,11.3,11.69,4.5,0.1,0.04,204.4,6.1,56,1,3,601,697,538,3,543,11.7,59.0,443,23.1,22.7,0.0,4.0,1437.0,0,15.87,-15.8,1.8,7.0,5.3,3.1,3.0,2.2,2.6,3.1,35.2,35.3,8,22,-5.9,-3.6,29,31,25,0,0,0,6,6,4,0,6,11,2,24,19,21,22,22,16,45.19,45.06,45.18,18,160,1.8,0,0,0
