轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
10.21,216,21.35,21.28,21.41,10.6,10.8,10.8,9.96,-8.2,0.09,0.04,208.3,13.6,40,1,3,492,695,358,1,361,10.0,47.5,346,22.6,22.2,0,3.9,374.4,0,10.49,-0.2,18.5,23.5,21.7,18.8,19.1,18.2,17.5,19.0,45.0,45.2,19,19,7.6,10.4,27,29,25,0,0,0,6,6,4,0,13,13,13,30,26,28,19,19,29,45.18,45.04,45.13,30,290,2.9,0,0,0
9.47,156,21.7,21.64,21.76,10.4,10.7,10.8,9.29,-6.5,0.09,0.13,208.1,10.7,38,1,3,480,696,328,-1,331,9.3,48.0,339,22.0,21.6,0,3.9,356.0,0,10.31,-0.1,18.1,23.0,21.3,18.4,18.7,17.7,17.3,18.7,44.7,44.9,20,19,7.5,10.4,26,28,25,0,0,0,6,6,4,0,13,13,13,30,26,28,19,19,29,45.18,45.04,45.13,30,290,2.9,0,0,0
9.78,228,21.7,21.64,21.76,10.7,10.8,10.8,9.66,-0.6,0.1,0.06,208.1,10.1,37,1,3,491,696,339,0,343,9.6,45.6,337,21.9,21.5,0,3.9,356.0,0,10.31,-0.1,18.1,23.0,21.3,18.4,18.8,17.8,17.3,18.8,44.7,44.9,19,19,7.5,10.4,26,28,25,0,0,0,6,6,4,0,13,13,13,30,26,28,19,19,28,45.18,45.04,45.13,30,280,3.0,0,0,0
9.89,312,21.7,21.64,21.76,10.8,10.8,10.8,9.72,-2.8,0.08,0.09,208.3,13.1,39,1,3,486,697,339,0,343,9.7,47.7,336,22.1,22.0,0,3.9,356.0,0,10.31,-0.2,18.2,23.1,21.4,18.5,18.8,17.8,17.3,18.8,44.8,44.9,20,19,7.5,10.4,27,28,25,0,0,0,6,6,4,0,13,13,13,30,25,28,19,19,29,45.18,45.04,45.13,31,290,2.9,0,0,0
9.74,16,21.7,21.64,21.76,10.8,10.9,10.8,9.56,-1.9,0.02,-0.02,208.3,13.3,37,1,3,486,696,336,-1,334,9.6,47.6,338,22.1,21.9,0,3.9,356.0,0,10.31,-0.1,18.1,23.0,21.3,18.4,18.8,17.9,17.3,18.7,44.7,44.9,19,19,7.5,10.4,26,28,25,0,0,0,6,6,4,0,13,13,13,30,25,28,19,19,29,45.18,45.04,45.13,30,290,2.9,0,0,0
9.89,52,21.35,21.28,21.41,10.8,10.6,10.8,9.75,2.1,0.08,0.06,208.1,8.9,37,1,3,491,696,356,1,347,9.7,47.3,349,22.3,22.1,0,3.9,374.4,0,10.49,-0.2,18.4,23.4,21.5,18.7,19.0,18.1,17.4,18.9,45.0,45.1,19,19,7.7,10.4,27,29,25,0,0,0,6,6,4,0,13,13,13,30,26,28,19,19,28,45.18,45.04,45.13,31,280,3.0,0,0,0
10.09,60,21.35,21.28,21.41,10.9,10.8,10.8,9.86,-5.2,0.13,0.03,208.1,12.5,39,1,3,498,696,358,-1,363,9.8,48.1,348,22.4,22.3,0,3.9,374.4,0,10.49,-0.1,18.5,23.4,21.6,18.8,19.0,18.1,17.5,18.9,45.0,45.2,19,19,7.7,10.4,27,29,25,0,0,0,6,6,4,0,13,13,13,30,26,28,19,19,29,45.18,45.04,45.13,31,290,3.0,0,0,0
10.0,180,21.35,21.28,21.41,11.0,10.8,10.8,9.73,-5.1,0.02,0.05,208.0,12.0,40,1,3,497,696,353,2,345,9.7,48.8,350,22.4,22.1,0,3.9,374.4,0,10.49,-0.2,18.3,23.3,21.4,18.6,18.9,18.0,17.3,18.8,44.9,45.0,20,19,7.5,10.4,27,29,25,0,0,0,6,6,4,0,13,13,13,30,26,28,19,19,29,45.18,45.04,45.13,31,290,2.9,0,0,0
9.69,344,21.7,21.64,21.76,11.4,10.7,10.8,9.5,-5.0,0.09,0.04,208.3,12.9,37,1,3,484,696,335,0,343,9.6,47.1,339,21.5,21.8,0,3.9,356.0,0,10.31,-0.1,17.9,22.8,21.1,18.1,18.5,17.5,17.1,18.5,44.6,44.8,19,19,7.5,10.4,26,28,25,0,0,0,6,6,4,0,13,13,13,30,25,28,19,19,28,45.18,45.04,45.13,31,280,2.8,0,0,0
10.09,56,21.35,21.28,21.41,10.8,10.7,10.8,9.92,-2.0,0.09,0.08,208.1,11.6,38,1,3,496,696,358,1,363,9.8,48.9,346,22.6,22.2,0,3.9,374.4,0,10.49,-0.2,18.4,23.4,21.6,18.8,19.0,18.2,17.5,18.9,45.0,45.2,20,19,7.7,10.4,27,29,25,0,0,0,6,6,4,0,13,13,13,30,26,28,19,19,29,45.17,45.05,45.13,30,280,3.0,0,0,0
