轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
8.82,16,0.25,0.25,0.25,10.9,10.6,11.1,8.63,16.7,0.18,0.03,209.2,4.3,91,1,3,436,699,216,1,215,8.6,32.8,240,25.1,25.0,0.0,4.1,1162.0,0,15.3,-6.9,7.5,9.0,7.4,5.0,5.4,6.7,8.2,8.8,33.7,33.8,14,14,4.2,6.5,29,29,25,0,0,0,6,6,4,0,8,7,8,27,22,25,14,14,23,45.19,45.06,45.15,23,230,2.4,0,0,0
9.09,232,0.25,0.25,0.25,10.9,10.9,10.9,8.83,14.7,0.02,0.11,209.4,5.6,90,1,3,438,699,230,1,230,8.8,33.7,251,25.2,24.7,0.0,4.1,1173.3,0,15.35,-6.9,7.5,9.0,7.4,5.0,5.3,6.6,8.2,8.7,33.7,33.8,14,14,4.2,6.5,29,29,25,0,0,0,6,6,4,0,8,7,8,27,23,25,14,14,23,45.19,45.07,45.15,24,230,2.4,0,0,0
10.01,168,0.25,0.25,0.25,11.0,10.8,11.1,9.73,10.6,0.02,0.04,209.6,5.1,95,1,3,473,699,312,-1,305,9.8,41.3,309,25.9,25.5,0.0,4.1,753.1,0,13.24,-6.8,7.8,9.1,7.5,5.1,5.4,6.7,8.3,9.0,33.7,33.8,15,14,4.2,6.5,30,31,25,0,0,0,6,6,4,0,8,7,8,27,22,24,14,14,22,45.2,45.06,45.16,24,220,2.4,0,0,0
9.4,16,0.25,0.25,0.25,11.0,10.6,11.2,9.2,-13.5,0.12,0.08,209.6,4.6,100,1,3,455,699,264,0,269,9.1,37.1,276,26.0,25.5,0.0,4.1,720.3,0,13.05,-6.8,7.8,9.1,7.5,5.2,5.4,6.8,8.4,8.9,33.7,33.8,14,14,4.2,6.5,30,31,25,0,0,0,6,6,4,0,8,7,8,27,22,25,14,14,23,45.19,45.06,45.16,24,230,2.3,0,0,0
9.04,80,0.25,0.25,0.25,10.9,10.6,11.1,8.8,0.4,0.07,0.01,209.4,4.5,95,1,3,442,700,232,2,238,8.7,34.4,255,25.0,25.0,0.0,4.1,684.6,0,12.83,-6.8,7.6,9.0,7.4,5.0,5.4,6.6,8.3,8.8,33.7,33.8,14,14,4.2,6.5,29,30,25,0,0,0,6,6,4,0,8,7,8,27,22,24,14,14,23,45.19,45.06,45.16,25,230,2.3,0,0,0
9.71,96,0.25,0.25,0.25,10.9,11.4,11.0,9.47,12.3,0.01,0.04,209.5,4.7,99,1,3,460,699,285,3,282,9.4,40.6,292,25.9,25.4,0.0,4.1,696.8,0,12.9,-6.7,7.8,9.1,7.5,5.1,5.4,6.8,8.4,9.0,33.6,33.8,14,14,4.2,6.5,30,31,25,0,0,0,6,6,4,0,8,7,8,27,22,24,14,14,23,45.2,45.06,45.16,24,230,2.3,0,0,0
9.31,232,0.25,0.25,0.25,10.9,10.6,11.1,9.05,17.5,0.06,0.09,209.2,4.9,92,1,3,447,700,252,2,240,9.0,37.2,268,25.3,25.0,0.0,4.1,684.6,0,12.83,-6.8,7.6,9.0,7.4,5.0,5.4,6.6,8.3,8.9,33.7,33.8,14,14,4.2,6.5,29,29,25,0,0,0,6,6,4,0,8,7,8,27,23,24,14,14,21,45.19,45.07,45.15,23,210,2.3,0,0,0
8.58,216,0.25,0.25,0.25,10.9,10.8,10.8,8.29,-16.7,0.04,0.01,209.5,3.8,106,1,3,425,699,194,0,197,8.4,30.9,228,25.6,25.5,0.0,4.0,720.3,0,13.05,-6.8,7.7,9.1,7.5,5.2,5.4,6.8,8.4,8.9,33.7,33.8,14,14,4.2,6.5,30,30,25,0,0,0,6,6,4,0,8,7,8,27,22,25,14,14,23,45.2,45.06,45.15,24,230,2.3,0,0,0
9.81,240,0.25,0.25,0.25,11.0,10.6,11.1,9.61,6.9,-0.01,0.04,209.5,3.3,95,1,3,468,699,300,1,299,9.6,40.9,301,26.0,25.4,0.0,4.1,753.1,0,13.24,-6.8,7.8,9.1,7.5,5.2,5.4,6.8,8.4,9.0,33.7,33.8,14,14,4.2,6.5,30,31,25,0,0,0,6,6,4,0,8,7,8,27,23,25,14,14,22,45.19,45.06,45.15,25,220,2.4,0,0,0
9.19,24,0.25,0.25,0.25,11.0,10.7,11.0,8.99,-11.9,0.04,0.02,209.5,4.4,102,1,3,446,699,248,1,252,8.9,37.7,265,25.8,25.5,0.0,4.0,720.3,0,13.05,-6.8,7.8,9.2,7.5,5.1,5.4,6.8,8.4,9.0,33.7,33.8,13,14,4.2,6.5,30,31,25,0,0,0,6,6,4,0,8,7,8,27,22,24,14,14,23,45.2,45.06,45.16,24,230,2.3,0,0,0
